Rank,Name,Team,Sort▼,G,GS,IP,TC,PO,Ass,E,F%,RF9,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼,팀,pid
Rank,Name,Team,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼,,
64,이형종,23 RF,-0.575,77,61,571.2,123,117,4,2,98.4,1.9,-3.42,0.52,0.11,,,,,,-2.79,-4.05,-2.85,-5.64,-0.284,-0.575,키움 히어로즈,12516
65,이원석,23 1B,-0.629,42,37,323.1,332,299,26,7,97.9,9.05,-3.18,,0.09,,0.08,,,,-3.01,-4.87,-3.16,-6.17,-0.307,-0.629,키움 히어로즈,10180
66,도슨,23 CF,-0.64,26,26,230.2,59,57,0,2,96.6,2.22,-5.1,-0.48,-0.7,,,,,,-6.28,-15.86,0.0,-6.28,-0.64,-0.64,키움 히어로즈,15652
67,박수종,23 LF,,4,0,3.1,0,0,0,0,0.0,0.0,-0.09,,0.01,,,,,,-0.09,-0.54,,,-0.009,,키움 히어로즈,15132
67,송재선,23 CF,,1,0,1.0,1,1,0,0,100.0,9.0,0.2,0.01,0.0,,,,,,0.21,6.08,,,0.022,,키움 히어로즈,15477
67,원종현,23 P,,20,0,18.2,4,2,2,0,100.0,1.93,,,,,,,,,0.0,0.0,,,0.0,,키움 히어로즈,11161
67,박준태,23 CF,,1,0,1.0,0,0,0,0,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,,,0.0,,키움 히어로즈,11260
67,이병규,23 RF,,1,0,1.0,0,0,0,0,0.0,0.0,,,0.0,,,,,,0.0,0.04,,,0.0,,키움 히어로즈,12859
67,김동혁,23 P,,35,2,39.1,8,1,6,1,87.5,1.6,,,,,,,,,0.0,0.0,,,0.0,,키움 히어로즈,14674
67,김성진,23 P,,55,0,47.0,7,1,5,1,85.7,1.15,,,,,,,,,0.0,0.0,,,0.0,,키움 히어로즈,14849
67,김건희,23 P,,2,0,2.0,0,0,0,0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,,키움 히어로즈,15472
67,후라도,23 P,,30,30,183.2,50,13,37,0,100.0,2.45,,,,,,,,,0.0,0.0,,,0.0,,키움 히어로즈,15531
67,문성현,23 P,,31,0,28.1,5,2,3,0,100.0,1.59,,,,,,,,,0.0,0.0,,,0.0,,키움 히어로즈,10437
67,김재웅,23 P,,66,0,59.2,9,1,8,0,100.0,1.36,,,,,,,,,0.0,0.0,,,0.0,,키움 히어로즈,12858
67,임창민,23 P,,51,0,46.2,4,2,2,0,100.0,0.77,,,,,,,,,0.0,0.0,,,0.0,,키움 히어로즈,10452
67,하영민,23 P,,57,0,52.1,15,1,11,3,80.0,2.06,,,,,,,,,0.0,0.0,,,0.0,,키움 히어로즈,11222
67,김선기,23 P,,17,7,43.2,14,3,9,2,85.7,2.47,,,,,,,,,0.0,0.0,,,0.0,,키움 히어로즈,13092
67,이명종,23 P,,45,2,57.0,10,2,8,0,100.0,1.58,,,,,,,,,0.0,0.0,,,0.0,,키움 히어로즈,15073
67,송재선,23 LF,,2,0,2.0,0,0,0,0,0.0,0.0,,,0.0,,,,,,0.0,0.1,,,0.0,,키움 히어로즈,15477
67,김태훈,23 P,,8,0,7.2,1,0,1,0,100.0,1.17,,,,,,,,,0.0,0.0,,,0.0,,키움 히어로즈,10871
67,김준형,23 P,,7,0,7.2,0,0,0,0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,,키움 히어로즈,14848
67,김동규,23 P,,3,1,4.0,0,0,0,0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,,키움 히어로즈,15485
67,윤정현,23 P,,4,0,6.0,1,0,1,0,100.0,1.5,,,,,,,,,0.0,0.0,,,0.0,,키움 히어로즈,14131
67,신준우,23 3B,,1,0,1.0,0,0,0,0,0.0,0.0,0.0,,0.0,,,,,,0.0,-0.01,,,0.0,,키움 히어로즈,14695
67,양현,23 P,,54,0,57.0,14,3,11,0,100.0,2.21,,,,,,,,,0.0,0.0,,,0.0,,키움 히어로즈,10730
