이름,계약 구단,계약금(만원),계약기간
최주환,SSG 랜더스,120000,4년
오재일,삼성 라이온즈,240000,4년
이용찬,NC 다이노스,50000,3년
김성현,SSG 랜더스,20000,2년
김용의,LG 트윈스,10000,1년
허경민,두산 베어스,250000,4년
최형우,KIA 타이거즈,130000,3년
정수빈,두산 베어스,160000,6년
이원석,삼성 라이온즈,30000,2년
김재호,두산 베어스,90000,3년
김상수,키움 히어로즈,40000,2년
이대호,롯데 자이언츠,80000,2년
