선수,연봉(만원),WAR,WAR당 연봉,팀
최수호,3000,,,SSG 랜더스
고명준,3000,0.30,10078,SSG 랜더스
채현우,3000,0.00,-2247444,SSG 랜더스
추신수,3000,0.94,3179,SSG 랜더스
박정빈,3000,,,SSG 랜더스
최유빈,3000,,,SSG 랜더스
박시후,3000,0.11,28325,SSG 랜더스
이찬혁,3000,,,SSG 랜더스
이승훈,3000,,,SSG 랜더스
류현곤,3000,,,SSG 랜더스
김민준,3000,,,SSG 랜더스
박세직,3000,,,SSG 랜더스
안현서,3000,,,SSG 랜더스
김정민,3000,,,SSG 랜더스
김건이,3000,,,SSG 랜더스
박세웅,135000,4.69,28778,롯데 자이언츠
전준우,130000,1.95,66702,롯데 자이언츠
유강남,100000,0.02,5859879,롯데 자이언츠
반즈,85000,6.81,12473,롯데 자이언츠
레이예스,60000,3.72,16111,롯데 자이언츠
윌커슨,60000,7.42,8084,롯데 자이언츠
노진혁,60000,-0.23,-260317,롯데 자이언츠
김원중,50000,2.65,18866,롯데 자이언츠
구승민,45000,0.24,188098,롯데 자이언츠
정훈,30000,1.18,25494,롯데 자이언츠
한현희,30000,1.66,18041,롯데 자이언츠
김민성,20000,0.13,150016,롯데 자이언츠
나균안,17000,-0.30,-56322,롯데 자이언츠
최준용,16300,0.13,121606,롯데 자이언츠
한동희,16200,-0.57,-28421,롯데 자이언츠
김상수,16000,1.22,13126,롯데 자이언츠
진해수,15000,0.02,609489,롯데 자이언츠
박승욱,13500,-0.10,-135107,롯데 자이언츠
이인복,10000,-0.10,-101025,롯데 자이언츠
오선진,10000,0.18,54627,롯데 자이언츠
심재민,9400,,,롯데 자이언츠
이학주,9200,-0.19,-48785,롯데 자이언츠
윤동희,9000,3.72,2419,롯데 자이언츠
박진형,8600,0.21,40344,롯데 자이언츠
김민석,8500,-0.32,-26589,롯데 자이언츠
고승민,8000,3.49,2294,롯데 자이언츠
김도규,8000,-0.01,-706658,롯데 자이언츠
신정락,8000,,,롯데 자이언츠
황성빈,7600,2.15,3532,롯데 자이언츠
정보근,7500,-0.54,-13918,롯데 자이언츠
이정훈,6000,0.49,12178,롯데 자이언츠
김진욱,6000,2.38,2524,롯데 자이언츠
