선수,WAR,G_x,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,pid,연도,기존pid,G_y,GS,IP,WAAwithPOS,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,수상횟수,1루수,2루수,3루수,우익수,유격수,좌익수,중견수,포수,샐러리캡,연봉,이후연봉
김수환,-0.14,13,-0.1,-0.04,44,44,41,5,9,2,0,2,17,5,0,0,2,0,0,17,2,0,1,0.22,0.25,0.415,0.665,0.078,64.5,130967,2021,13096,12.0,11.0,87.0,-0.079,63.0,51.0,10.0,2.0,0.968,6.31,-0.48,0.0,0.07,0.0,0.0,0.0,0.0,0.0,-0.41,-4.92,-0.387,-0.797,-0.041,0.0,1,0,0,0,0,0,0,0,674831,3000.0,4500.0
문찬종,-0.14,13,-0.08,-0.06,17,17,14,0,2,0,0,0,2,1,0,0,3,0,0,4,1,0,0,0.143,0.294,0.143,0.437,0.038,31.1,145787,2021,14578,12.0,3.0,40.0,-0.057,23.0,9.0,14.0,0.0,1.0,5.175,0.08,0.0,0.05,-0.74,0.0,0.0,0.0,0.0,-0.62,-7.44,0.043,-0.577,-0.062,0.0,0,1,0,0,0,0,0,0,674831,3000.0,
임지열,-0.18,19,-0.23,0.05,30,30,25,5,3,0,0,0,3,0,0,1,4,1,0,10,1,0,0,0.12,0.267,0.12,0.387,0.018,14.5,112257,2021,11225,12.0,7.0,55.0,0.029,11.0,10.0,1.0,0.0,1.0,1.8,-0.87,1.3,0.05,0.0,0.0,0.0,0.0,0.0,0.48,5.76,-0.192,0.288,0.048,0.0,1,0,0,0,0,0,0,0,674831,3000.0,5000.0
크레익,-0.2,61,0.08,-0.28,247,246,222,25,55,12,0,6,85,30,0,1,20,4,1,43,4,0,1,0.248,0.32,0.383,0.703,0.109,90.7,149907,2021,14990,47.0,44.0,366.0,-0.448,277.0,256.0,18.0,3.0,0.989,6.738,-1.83,0.11,-1.11,0.0,0.0,0.0,0.0,0.0,-2.78,-8.517,-1.732,-4.512,-0.276,0.0,1,0,0,0,0,0,0,0,674831,48230.0,
김재현,-0.23,39,-0.03,-0.2,51,49,46,2,10,7,0,0,17,8,0,1,3,0,0,12,1,2,0,0.217,0.265,0.37,0.635,0.075,62.5,108707,2021,10870,39.0,12.0,139.0,-0.081,102.0,93.0,8.0,1.0,99.0,6.54,-0.09,0.0,-0.05,0.0,-0.04,-0.56,-1.78,0.0,-1.99,-7.35,1.18,-0.82,-0.197,0.0,0,0,0,0,0,0,0,1,674831,7000.0,6500.0
신준우,-0.23,56,-0.16,-0.07,51,50,42,7,7,3,0,0,10,4,0,1,4,3,0,21,1,1,1,0.167,0.28,0.238,0.518,0.051,42.5,146957,2021,14695,52.0,16.0,164.0,-0.018,92.0,32.0,55.0,5.0,0.946,4.774,-0.66,0.0,0.25,-0.27,0.0,0.0,0.0,0.0,-0.67,-1.855,0.488,-0.182,-0.066,0.0,0,0,0,0,1,0,0,0,674831,3000.0,4800.0
박주홍,-0.26,23,-0.49,0.23,56,56,47,4,5,2,0,0,7,3,1,1,9,0,0,21,1,0,0,0.106,0.25,0.149,0.399,0.016,13.3,145807,2021,14580,12.0,6.0,60.0,0.206,31.0,31.0,0.0,0.0,1.0,4.65,2.64,-0.42,0.06,0.0,0.0,0.0,0.0,0.0,2.28,27.36,-0.199,2.081,0.226,0.0,0,0,0,0,0,1,0,0,674831,3000.0,4000.0
예진원,-0.29,52,-0.8,0.51,132,129,114,16,18,6,1,1,29,8,0,1,12,2,0,28,2,3,1,0.158,0.248,0.254,0.502,0.037,30.8,130937,2021,13093,55.0,34.0,303.0,0.486,85.0,82.0,3.0,0.0,1.0,2.525,4.16,0.7,0.3,0.0,0.0,0.0,0.0,0.0,5.15,13.484,-0.249,4.901,0.511,0.0,0,0,0,0,0,1,0,0,674831,3000.0,3900.0
프레이타스,-0.56,43,-0.34,-0.22,148,148,139,13,36,10,0,2,52,14,0,0,7,1,0,29,7,0,1,0.259,0.297,0.374,0.671,0.091,76.3,147627,2021,14762,10.0,10.0,61.0,-0.165,49.0,41.0,7.0,1.0,0.98,7.082,-1.08,0.0,-0.32,0.0,-0.54,0.0,-0.39,0.0,-2.21,-31.824,0.55,-1.66,-0.219,0.0,0,0,0,0,0,0,0,1,674831,71500.0,
김휘집,-0.67,34,-0.37,-0.3,89,86,70,9,9,1,0,1,13,8,1,0,13,2,0,23,0,3,1,0.129,0.279,0.186,0.465,0.042,35.3,147857,2021,14785,40.0,23.0,206.0,-0.29,69.0,17.0,45.0,7.0,0.899,2.709,-2.17,0.0,-0.31,-0.3,0.0,0.0,0.0,0.0,-2.98,-10.728,0.052,-2.928,-0.296,0.0,0,0,0,0,1,0,0,0,674831,13000.0,17400.0
터크먼,4.14,144,4.23,-0.09,648,644,575,88,166,37,4,12,247,43,19,11,64,7,5,104,12,0,2,0.289,0.366,0.43,0.796,0.146,126.5,150129,2022,15012,144.0,135.0,1163.0,-0.089,386.0,372.0,9.0,5.0,0.987,2.948,-1.94,1.87,-0.78,0.0,0.0,0.0,0.0,0.0,-0.85,-0.85,-0.013,-0.863,-0.088,0.0,0,0,0,0,0,0,1,0,509546,130000.0,
정은원,3.11,140,3.68,-0.57,601,597,508,67,139,20,2,8,187,49,10,6,85,1,0,109,10,4,3,0.274,0.377,0.368,0.745,0.135,116.7,131379,2022,13137,118.0,115.0,990.0,-0.063,542.0,249.0,276.0,17.0,0.969,4.773,-6.03,0.0,0.19,0.3,0.0,0.0,0.0,0.0,-5.54,-6.761,4.927,-0.613,-0.571,1.0,0,1,0,0,0,0,0,0,509546,19080.0,17800.0
최재훈,2.22,114,1.76,0.47,437,431,364,38,81,14,0,5,110,30,1,1,44,21,0,65,17,5,2,0.223,0.339,0.302,0.641,0.105,90.9,101709,2022,10170,106.0,101.0,853.2,1.479,725.0,644.0,78.0,3.0,99.6,7.61,0.17,0.0,1.15,0.0,-0.41,1.74,2.67,0.0,4.51,5.7,9.84,14.35,0.465,0.0,0,0,0,0,0,0,0,1,509546,132000.0,92000.0
노시환,1.88,115,1.91,-0.03,490,490,434,55,122,24,1,6,166,59,6,2,48,4,1,95,13,0,4,0.281,0.355,0.382,0.737,0.127,109.6,141259,2022,14125,110.0,94.0,826.0,-0.101,389.0,258.0,121.0,10.0,0.974,4.13,-0.53,0.0,0.68,-0.18,0.0,0.0,0.0,0.0,-0.28,-0.367,-0.7,-0.98,-0.029,0.0,0,0,1,0,0,0,0,0,509546,12000.0,35000.0
김인환,1.09,113,0.59,0.5,429,428,398,48,104,14,0,16,166,54,2,0,24,3,2,111,4,0,4,0.261,0.305,0.417,0.722,0.111,96.2,125899,2022,12589,75.0,71.0,603.2,-0.118,629.0,567.0,57.0,5.0,99.2,9.3,4.59,0.0,0.45,0.0,-0.17,0.0,0.0,0.0,4.88,6.21,-6.02,-1.14,0.503,0.0,1,0,0,0,0,0,0,0,509546,3200.0,6900.0
김태연,0.9,119,0.74,0.16,464,461,404,46,97,18,0,7,136,53,3,2,48,5,1,106,9,3,4,0.24,0.325,0.337,0.662,0.102,87.6,125859,2022,12585,100.0,86.0,719.0,0.168,285.0,117.0,154.0,14.0,0.951,3.392,1.5,0.17,-0.21,0.46,0.0,0.0,0.0,0.0,1.55,2.232,0.081,1.631,0.16,0.0,0,0,1,0,0,0,0,0,509546,5600.0,7800.0
박정현,0.89,81,0.02,0.87,220,218,205,23,50,4,1,3,65,19,6,1,12,1,0,56,2,2,0,0.244,0.289,0.317,0.606,0.074,63.9,147049,2022,14704,84.0,53.0,500.0,0.94,307.0,172.0,127.0,8.0,0.974,5.382,6.56,0.0,0.14,1.48,0.0,0.0,0.0,0.0,8.46,14.503,0.658,9.118,0.872,0.0,0,0,0,0,1,0,0,0,509546,3500.0,
하주석,0.88,125,1.46,-0.58,483,481,445,50,115,18,2,5,152,58,20,6,31,3,1,126,4,1,3,0.258,0.309,0.342,0.651,0.091,79.0,109139,2022,10913,111.0,104.0,900.0,0.275,431.0,136.0,276.0,19.0,0.956,4.12,-4.85,0.0,-0.45,-0.31,0.0,0.0,0.0,0.0,-5.6,-7.265,8.265,2.665,-0.577,0.0,0,0,0,0,1,0,0,0,509546,20090.0,7000.0
노수광,0.7,117,0.46,0.24,361,351,315,33,72,18,6,4,114,30,17,6,32,1,1,107,2,10,3,0.229,0.299,0.362,0.661,0.097,84.5,112689,2022,11268,104.0,83.0,719.0,-0.029,201.0,192.0,5.0,4.0,0.98,2.466,3.91,-0.72,-0.86,0.0,0.0,0.0,0.0,0.0,2.34,3.24,-2.62,-0.28,0.241,0.0,0,0,0,0,0,1,0,0,509546,12840.0,
장운호,0.45,57,0.11,0.34,146,143,122,12,29,3,0,1,35,15,0,2,17,3,1,24,2,2,2,0.238,0.34,0.287,0.627,0.096,82.1,111229,2022,11122,58.0,35.0,337.0,0.279,75.0,73.0,0.0,2.0,0.973,1.95,3.59,0.16,-0.41,0.0,0.0,0.0,0.0,0.0,3.35,8.317,-0.647,2.703,0.345,0.0,0,0,0,1,0,0,0,0,509546,5350.0,
장진혁,0.17,41,-0.14,0.31,132,131,116,11,27,2,0,2,35,17,2,1,12,0,0,28,1,1,3,0.233,0.298,0.302,0.6,0.074,63.3,125839,2022,12583,40.0,31.0,275.0,0.203,71.0,64.0,3.0,4.0,0.944,2.193,2.92,0.55,-0.49,0.0,0.0,0.0,0.0,0.0,2.99,10.764,-1.022,1.968,0.308,0.0,0,0,0,0,0,0,1,0,509546,5800.0,5800.0
강상원,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,125649,2022,12564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,509546,3250.0,
백용환,-0.02,4,-0.03,0.01,5,5,5,1,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.2,0.2,0.4,0.6,0.062,53.6,100039,2022,10003,1.0,0.0,3.0,0.012,4.0,4.0,0.0,0.0,100.0,12.0,0.0,0.0,0.01,0.0,0.0,0.0,0.08,0.0,0.06,2.32,0.05,0.11,0.007,0.0,0,0,0,0,0,0,0,1,509546,4000.0,
권광민,-0.03,32,0.09,-0.12,87,87,71,6,16,3,1,0,21,8,0,1,13,1,0,30,0,0,2,0.225,0.345,0.296,0.641,0.104,90.4,136769,2022,13676,29.0,20.0,184.0,-0.164,47.0,47.0,0.0,0.0,1.0,2.299,-1.3,-0.13,0.29,0.0,0.0,0.0,0.0,0.0,-1.14,-5.661,-0.45,-1.59,-0.118,0.0,0,0,0,0,0,1,0,0,509546,3000.0,3300.0
변우혁,-0.03,21,0.01,-0.04,61,61,61,5,16,3,0,3,28,8,0,0,0,0,0,21,3,0,0,0.262,0.262,0.459,0.721,0.103,89.0,141249,2022,14124,15.0,10.0,91.0,-0.068,69.0,57.0,9.0,3.0,0.957,6.527,-0.26,0.0,-0.41,0.0,0.0,0.0,0.0,0.0,-0.41,-3.936,-0.245,-0.655,-0.042,0.0,1,0,0,0,0,0,0,0,509546,3000.0,6000.0
유상빈,-0.09,17,0.21,-0.29,49,47,46,3,15,5,0,0,20,4,0,1,0,0,0,11,0,2,1,0.326,0.319,0.435,0.754,0.118,103.5,151419,2022,15141,14.0,13.0,101.0,-0.323,14.0,14.0,0.0,0.0,1.0,1.248,-2.17,-0.8,0.16,0.0,0.0,0.0,0.0,0.0,-2.82,-29.006,-0.31,-3.13,-0.291,0.0,0,0,0,0,0,1,0,0,509546,3000.0,
이성곤,-0.13,41,-0.35,0.21,117,117,99,6,19,5,0,0,24,5,1,1,17,0,0,32,0,0,1,0.192,0.308,0.242,0.55,0.071,61.2,112069,2022,11206,28.0,20.0,175.1,0.048,174.0,161.0,11.0,2.0,98.9,8.83,1.94,0.0,0.13,0.0,0.0,0.0,0.0,0.0,2.07,7.25,-1.6,0.47,0.213,0.0,1,0,0,0,0,0,0,0,509546,6400.0,
박상언,-0.14,56,0.3,-0.44,151,146,134,16,30,5,1,4,49,17,0,3,11,0,0,28,2,5,1,0.224,0.281,0.366,0.647,0.087,75.5,125879,2022,12587,51.0,35.0,329.2,-0.085,310.0,275.0,26.0,9.0,97.1,8.22,-0.48,0.0,-2.38,0.0,0.11,-0.99,-0.71,0.0,-4.23,-10.89,3.41,-0.83,-0.436,0.0,0,0,0,0,0,0,0,1,509546,3200.0,4200.0
허관회,-0.22,15,-0.12,-0.1,25,24,23,3,5,2,0,0,7,1,1,0,1,0,0,7,2,1,0,0.217,0.25,0.304,0.554,0.053,46.7,142049,2022,14204,5.0,1.0,13.0,-0.084,14.0,13.0,1.0,0.0,100.0,9.69,-0.08,0.0,0.04,0.0,0.0,-0.4,-0.71,0.0,-0.94,-9.02,0.12,-0.82,-0.097,0.0,0,0,0,0,0,0,0,1,509546,3370.0,3300.0
이진영,-0.26,70,-0.21,-0.05,240,240,220,27,44,12,1,8,82,31,2,2,17,0,0,90,4,0,3,0.2,0.254,0.373,0.627,0.077,66.9,125399,2022,12539,67.0,55.0,486.0,-0.223,92.0,87.0,3.0,2.0,0.978,1.667,-0.44,0.04,-0.13,0.0,0.0,0.0,0.0,0.0,-0.52,-1.118,-1.644,-2.164,-0.054,0.0,0,0,0,1,0,0,0,0,509546,3600.0,7000.0
임종찬,-0.3,20,-0.34,0.04,57,57,53,2,10,1,0,2,17,6,0,1,3,0,1,23,1,0,1,0.189,0.228,0.321,0.549,0.045,38.0,147069,2022,14706,20.0,17.0,138.0,-0.013,27.0,24.0,2.0,1.0,0.963,1.696,-0.44,0.59,0.24,0.0,0.0,0.0,0.0,0.0,0.39,2.808,-0.513,-0.123,0.04,0.0,0,0,0,1,0,0,0,0,509546,3600.0,3400.0
허인서,-0.31,8,-0.15,-0.16,19,19,18,1,3,0,0,0,3,0,0,0,1,0,0,8,0,0,0,0.167,0.211,0.167,0.378,-0.008,-6.7,150159,2022,15015,8.0,4.0,43.0,-0.115,35.0,33.0,1.0,1.0,97.1,7.12,-0.14,0.0,-0.35,0.0,0.0,0.04,-1.6,0.0,-1.57,-28.21,0.46,-1.11,-0.162,0.0,0,0,0,0,0,0,0,1,509546,3000.0,
이해창,-0.31,4,-0.26,-0.05,11,10,10,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0.0,0.0,0.0,0.0,-0.16,-132.3,103919,2022,10391,4.0,3.0,26.0,-0.024,21.0,19.0,2.0,0.0,100.0,7.27,-0.08,0.0,0.08,0.0,-0.29,-0.39,0.26,0.0,-0.5,-17.97,0.26,-0.24,-0.051,0.0,0,0,0,0,0,0,0,1,509546,6000.0,
정민규,-0.4,9,-0.28,-0.12,24,24,23,3,3,0,0,0,3,0,0,0,0,1,0,11,0,0,0,0.13,0.167,0.13,0.297,-0.035,-32.2,148139,2022,14813,8.0,7.0,58.0,-0.171,46.0,39.0,6.0,1.0,97.8,6.98,-0.65,0.0,0.04,0.0,-0.6,0.0,0.0,0.0,-1.2,-19.24,-0.46,-1.66,-0.124,0.0,1,0,0,0,0,0,0,0,509546,18100.0,
이원석,-0.44,20,-0.33,-0.11,39,38,35,4,4,0,0,1,7,1,0,0,3,0,0,18,1,1,0,0.114,0.184,0.2,0.384,-0.004,-3.7,131389,2022,13138,18.0,8.0,86.0,-0.112,22.0,21.0,0.0,1.0,0.955,2.198,1.03,-1.74,-0.36,0.0,0.0,0.0,0.0,0.0,-1.07,-8.56,-0.018,-1.088,-0.11,0.0,0,0,0,0,0,0,1,0,509546,3300.0,3600.0
원혁재,-0.44,11,-0.23,-0.21,23,23,21,2,2,1,0,0,3,0,0,0,2,0,0,12,0,0,0,0.095,0.174,0.143,0.317,-0.023,-20.8,128729,2022,12872,9.0,7.0,55.0,-0.223,16.0,16.0,0.0,0.0,1.0,2.618,-1.92,-0.23,0.09,0.0,0.0,0.0,0.0,0.0,-2.06,-32.96,-0.107,-2.167,-0.212,0.0,0,0,0,0,0,1,0,0,509546,3000.0,
이도윤,-0.61,80,-0.66,0.05,126,122,113,9,18,7,0,1,28,8,3,2,8,0,0,30,1,4,1,0.159,0.213,0.248,0.461,0.022,18.7,114149,2022,11414,69.0,27.0,307.0,0.09,132.0,45.0,81.0,6.0,0.955,3.694,1.66,0.0,0.38,-1.76,0.0,0.0,0.0,0.0,0.49,1.023,0.38,0.87,0.051,0.0,0,0,0,0,1,0,0,0,509546,3400.0,7500.0
유로결,-0.93,30,-0.8,-0.13,68,65,60,5,8,0,0,0,8,4,0,0,4,1,0,9,1,3,0,0.133,0.2,0.133,0.333,-0.017,-14.6,141269,2022,14126,28.0,17.0,160.0,-0.151,32.0,30.0,1.0,1.0,0.969,1.744,-1.2,0.22,-0.24,0.0,0.0,0.0,0.0,0.0,-1.22,-6.274,-0.246,-1.466,-0.126,0.0,0,0,0,1,0,0,0,0,509546,3300.0,3300.0
오지환,6.31,142,5.75,0.56,569,565,494,75,133,16,4,25,232,87,20,7,62,7,2,107,11,3,3,0.269,0.357,0.47,0.827,0.155,139.8,104756,2022,10475,142.0,137.0,1167.0,1.729,585.0,210.0,359.0,16.0,97.3,4.39,5.0,0.0,0.96,-0.53,0.0,0.0,0.0,0.0,5.44,5.51,11.34,16.78,0.56,1.0,0,0,0,0,1,0,0,0,1053200,60000.0,30000.0
김현수,4.18,141,4.53,-0.35,604,598,524,78,150,25,2,23,248,106,2,1,71,5,7,62,5,0,3,0.286,0.375,0.473,0.848,0.162,146.5,101876,2022,10187,96.0,94.0,802.1,-0.774,178.0,172.0,4.0,2.0,98.9,1.97,-2.33,-1.33,0.24,0.0,0.0,0.0,0.0,0.0,-3.42,-3.49,-4.09,-7.51,-0.353,0.0,0,0,0,0,0,1,0,0,1053200,275000.0,225000.0
박해민,4.17,144,2.99,1.17,636,629,570,97,165,20,8,3,210,49,24,6,44,9,0,85,4,7,6,0.289,0.347,0.368,0.715,0.118,107.0,111906,2022,11190,145.0,142.0,1206.0,1.174,361.0,356.0,3.0,2.0,0.994,2.679,10.04,0.64,0.71,0.0,0.0,0.0,0.0,0.0,11.39,11.311,0.0,11.39,1.174,0.0,0,0,0,0,0,0,1,0,1053200,140000.0,140000.0
문보경,4.13,126,3.66,0.47,466,460,406,52,128,22,3,9,183,56,7,0,47,1,1,56,11,5,7,0.315,0.382,0.451,0.833,0.157,141.9,141376,2022,14137,165.0,113.0,1006.0,0.391,439.0,278.0,155.0,6.0,0.986,3.874,3.66,0.0,-0.13,1.1,0.0,0.0,0.0,0.0,4.6,4.015,-0.808,3.792,0.474,0.0,0,0,1,0,0,0,0,0,1053200,6800.0,30000.0
홍창기,3.53,118,2.78,0.75,525,520,437,76,125,19,4,1,155,51,13,4,59,19,0,75,11,5,5,0.286,0.39,0.355,0.745,0.141,128.2,125466,2022,12546,125.0,101.0,898.0,0.372,196.0,189.0,6.0,1.0,0.995,1.954,5.34,0.87,1.08,0.0,0.0,0.0,0.0,0.0,7.29,8.398,-3.682,3.608,0.752,0.0,0,0,0,1,0,0,0,0,1053200,32000.0,51000.0
문성주,3.07,106,2.37,0.7,390,380,327,55,99,15,3,6,138,41,9,6,51,3,2,36,13,8,1,0.303,0.401,0.422,0.823,0.161,145.6,131126,2022,13112,61.0,49.0,456.0,0.587,129.0,125.0,4.0,0.0,1.0,2.546,5.78,0.27,0.75,0.0,0.0,0.0,0.0,0.0,6.8,16.052,-1.11,5.69,0.701,0.0,0,0,0,0,0,1,0,0,1053200,4200.0,20000.0
유강남,2.78,139,2.49,0.29,469,463,416,54,106,16,0,8,146,47,0,0,34,11,1,98,9,6,2,0.255,0.326,0.351,0.677,0.106,95.7,107536,2022,10753,134.0,116.0,1008.1,1.41,899.0,821.0,71.0,7.0,99.2,7.96,0.32,0.0,0.17,0.0,0.25,0.26,2.65,0.0,2.86,2.96,10.82,13.68,0.294,0.0,0,0,0,0,0,0,0,1,1053200,27000.0,200000.0
채은성,2.12,126,2.13,0.0,526,524,467,48,138,26,2,12,204,83,6,7,27,21,3,88,16,0,11,0.296,0.354,0.437,0.791,0.142,128.1,112156,2022,11215,129.0,121.0,968.0,-0.972,966.0,902.0,54.0,10.0,0.99,8.888,0.62,-0.06,-0.2,0.0,0.0,0.0,0.0,0.0,-0.02,-0.022,-9.408,-9.428,-0.002,0.0,1,0,0,0,0,0,0,0,1053200,28000.0,160000.0
이재원,1.22,85,1.42,-0.21,253,253,223,31,50,8,2,13,101,43,3,1,18,12,2,77,3,0,0,0.224,0.316,0.453,0.769,0.137,121.6,131046,2022,13104,53.0,36.0,310.0,-0.276,67.0,64.0,2.0,1.0,0.985,1.916,-1.72,-0.29,0.01,0.0,0.0,0.0,0.0,0.0,-2.0,-5.434,-0.677,-2.677,-0.206,0.0,0,0,0,0,0,1,0,0,1053200,5200.0,7000.0
송찬의,0.41,33,0.29,0.12,78,78,72,8,17,4,0,3,30,10,2,1,2,3,0,24,0,0,1,0.236,0.282,0.417,0.699,0.105,96.7,131096,2022,13109,30.0,18.0,163.0,0.137,110.0,66.0,40.0,4.0,0.964,5.853,0.91,-0.17,0.2,0.22,0.0,0.0,0.0,0.0,1.17,5.616,0.155,1.325,0.121,0.0,0,1,0,0,0,0,0,0,1053200,3000.0,3600.0
이형종,0.26,26,0.07,0.19,63,62,53,3,14,3,0,0,17,7,0,0,5,1,0,10,0,1,3,0.264,0.323,0.321,0.644,0.091,83.7,125166,2022,12516,8.0,3.0,34.0,0.181,19.0,18.0,1.0,0.0,1.0,5.029,2.2,-0.41,0.05,0.0,0.0,0.0,0.0,0.0,1.84,33.12,-0.086,1.754,0.19,0.0,0,0,0,0,0,1,0,0,1053200,12000.0,68000.0
가르시아,0.25,39,0.57,-0.32,156,156,136,21,28,6,1,4,48,19,4,1,19,1,0,40,4,0,0,0.206,0.308,0.353,0.661,0.102,91.4,151506,2022,15150,41.0,38.0,330.0,-0.201,161.0,60.0,95.0,6.0,0.963,4.227,-2.37,0.0,-0.11,-0.29,0.0,0.0,0.0,0.0,-3.14,-11.028,1.19,-1.95,-0.324,0.0,0,1,0,0,0,0,0,0,1053200,23400.0,
허도환,0.05,64,0.24,-0.19,92,89,85,7,21,5,0,1,29,6,0,0,2,2,0,26,2,3,0,0.247,0.281,0.341,0.622,0.079,70.7,106846,2022,10684,63.0,27.0,254.2,0.031,224.0,211.0,13.0,0.0,100.0,7.92,-0.03,0.0,0.78,0.0,0.07,-0.26,-3.42,0.0,-1.83,-4.12,2.14,0.3,-0.189,0.0,0,0,0,0,0,0,0,1,1053200,20000.0,10000.0
손호영,0.05,36,0.36,-0.31,82,81,74,13,19,0,2,3,32,14,0,3,6,0,0,14,2,1,1,0.257,0.309,0.432,0.741,0.119,108.0,145906,2022,14590,38.0,22.0,193.0,-0.262,110.0,46.0,59.0,5.0,0.955,4.896,-2.51,0.0,-0.24,-0.21,0.0,0.0,0.0,0.0,-2.96,-11.217,0.421,-2.539,-0.305,0.0,0,1,0,0,0,0,0,0,1053200,3500.0,4500.0
신민재,0.02,14,-0.06,0.08,3,3,3,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.16,-140.8,130566,2022,13056,8.0,0.0,13.0,0.078,5.0,5.0,0.0,0.0,1.0,3.462,0.81,-0.06,0.02,0.0,0.0,0.0,0.0,0.0,0.76,13.68,0.0,0.76,0.078,0.0,0,1,0,0,0,0,0,0,1053200,5000.0,11500.0
이영빈,0.02,60,-0.11,0.13,83,83,76,16,14,3,0,1,20,5,0,0,7,0,0,25,3,0,0,0.184,0.253,0.263,0.516,0.046,41.1,147836,2022,14783,45.0,11.0,145.0,0.164,97.0,49.0,46.0,2.0,0.979,5.897,0.86,0.0,0.19,0.1,0.0,0.0,0.0,0.0,1.3,4.16,0.293,1.593,0.134,0.0,1,0,0,0,0,0,0,0,1053200,18500.0,5500.0
박재욱,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,125126,2022,12512,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,100.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,1.64,0.0,0.0,0.001,0.0,0,0,0,0,0,0,0,1,1053200,3500.0,
김기연,-0.01,12,-0.06,0.05,9,9,9,0,2,0,0,0,2,1,0,0,0,0,0,3,0,0,0,0.222,0.222,0.222,0.444,0.007,5.7,125496,2022,12549,12.0,1.0,24.0,0.076,12.0,12.0,0.0,0.0,100.0,4.5,-0.08,0.0,0.07,0.0,0.0,0.0,0.75,0.0,0.52,6.2,0.22,0.73,0.053,0.0,0,0,0,0,0,0,0,1,1053200,3000.0,4000.0
김호은,-0.05,2,-0.05,0.0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-0.16,-143.9,125546,2022,12554,1.0,0.0,3.0,-0.003,2.0,2.0,0.0,0.0,100.0,6.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-0.5,-0.02,-0.03,-0.001,0.0,1,0,0,0,0,0,0,0,1053200,4000.0,
최민창,-0.06,4,-0.04,-0.03,5,5,5,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.2,0.2,0.2,0.4,-0.01,-8.5,113516,2022,11351,5.0,0.0,13.0,-0.032,2.0,2.0,0.0,0.0,1.0,1.385,0.03,-0.34,0.02,0.0,0.0,0.0,0.0,0.0,-0.29,-8.352,-0.02,-0.31,-0.03,0.0,0,0,0,0,0,1,0,0,1053200,3200.0,3000.0
안익훈,-0.07,14,-0.04,-0.02,4,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.25,0.0,0.25,0.001,0.6,113476,2022,11347,14.0,0.0,25.0,-0.023,7.0,7.0,0.0,0.0,1.0,2.52,-0.28,0.04,0.04,0.0,0.0,0.0,0.0,0.0,-0.22,-2.263,-0.007,-0.227,-0.023,0.0,0,0,0,0,0,0,1,0,1053200,5500.0,5500.0
한석현,-0.1,6,-0.15,0.05,10,9,9,1,2,0,0,0,2,0,0,1,0,0,0,3,0,1,0,0.222,0.222,0.222,0.444,0.007,5.6,132506,2022,13250,6.0,1.0,27.0,0.047,7.0,7.0,0.0,0.0,1.0,2.333,0.28,0.16,0.04,0.0,0.0,0.0,0.0,0.0,0.48,11.52,-0.02,0.46,0.049,0.0,0,0,0,0,0,1,0,0,1053200,3900.0,3900.0
서건창,-0.12,77,0.25,-0.36,247,244,219,39,49,10,1,2,67,18,8,3,20,4,0,44,5,3,1,0.224,0.299,0.306,0.605,0.081,72.7,108556,2022,10855,63.0,54.0,474.0,-0.153,257.0,98.0,155.0,4.0,98.4,4.8,-3.68,0.0,0.07,0.07,0.0,0.0,0.0,0.0,-3.54,-6.61,2.05,-1.49,-0.364,0.0,0,1,0,0,0,0,0,0,1053200,26000.0,5000.0
이천웅,-0.13,19,-0.06,-0.07,23,23,20,3,4,0,0,0,4,0,0,0,3,0,0,3,0,0,0,0.2,0.304,0.2,0.504,0.054,48.8,109356,2022,10935,9.0,1.0,24.0,-0.076,4.0,4.0,0.0,0.0,1.0,1.5,-0.42,-0.32,0.04,0.0,0.0,0.0,0.0,0.0,-0.7,-11.2,-0.033,-0.733,-0.072,0.0,0,0,0,0,0,0,1,0,1053200,10000.0,
