선수,WAR,G_x,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,pid,연도,기존pid,G_y,GS,IP,WAAwithPOS,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,수상횟수,1루수,2루수,3루수,우익수,유격수,좌익수,중견수,포수,샐러리캡,연봉,이후연봉
박상언,-0.03,1,-0.03,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.179,-133.0,125879,2021,12587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,415241,3200.0,3600.0
장규현,-0.05,7,-0.05,0.0,12,12,12,0,3,1,0,0,4,1,0,0,0,0,0,4,1,0,0,0.25,0.25,0.333,0.583,0.051,45.5,148119,2021,14811,4.0,1.0,16.0,0.019,12.0,12.0,0.0,0.0,100.0,6.75,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.05,1.01,0.14,0.19,0.005,0.0,0,0,0,0,0,0,0,1,415241,10000.0,
정진호,-0.18,48,-0.5,0.32,167,162,145,9,33,9,0,0,42,15,4,1,15,1,1,22,5,4,2,0.228,0.301,0.29,0.591,0.07,58.0,106459,2021,10645,44.0,38.0,304.0,0.184,83.0,78.0,3.0,2.0,0.976,2.398,4.04,-0.12,-0.72,0.0,0.0,0.0,0.0,0.0,3.2,10.473,-1.342,1.858,0.317,0.0,0,0,0,0,0,1,0,0,415241,12000.0,
김현민,-0.21,5,-0.29,0.08,12,12,12,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0.083,0.083,0.083,0.166,-0.111,-95.1,142099,2021,14209,3.0,1.0,13.0,0.089,7.0,2.0,5.0,0.0,100.0,4.85,0.95,0.0,0.02,-0.11,0.0,0.0,0.0,0.0,0.85,24.46,0.05,0.9,0.084,0.0,0,1,0,0,0,0,0,0,415241,3100.0,3100.0
정민규,-0.23,6,-0.21,-0.02,17,17,16,1,2,1,0,0,3,0,0,0,1,0,0,6,1,0,0,0.125,0.176,0.188,0.364,-0.024,-19.0,148139,2021,14813,5.0,4.0,28.0,-0.02,22.0,8.0,11.0,3.0,0.864,6.107,-0.4,0.0,0.02,-0.19,0.0,0.0,0.0,0.0,-0.19,-5.472,-0.01,-0.2,-0.019,0.0,1,0,0,0,0,0,0,0,415241,18000.0,18100.0
김지수,-0.24,11,-0.34,0.11,25,25,24,0,2,1,0,0,3,0,0,0,1,0,0,14,0,0,0,0.083,0.12,0.125,0.245,-0.064,-53.0,126629,2021,12662,12.0,7.0,59.0,0.098,14.0,14.0,0.0,0.0,1.0,2.136,0.79,0.22,0.07,0.0,0.0,0.0,0.0,0.0,1.08,12.96,-0.094,0.986,0.107,0.0,0,0,0,1,0,0,0,0,415241,3100.0,
이성열,-0.26,46,-0.34,0.08,140,140,119,15,25,8,0,2,39,20,1,0,18,1,0,36,2,0,2,0.21,0.314,0.328,0.642,0.091,76.5,101689,2021,10168,10.0,7.0,64.0,0.019,52.0,46.0,5.0,1.0,98.1,7.17,0.7,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.76,2.37,-0.56,0.2,0.075,0.0,1,0,0,0,0,0,0,0,415241,40000.0,
송호정,-0.32,10,-0.15,-0.17,11,11,10,1,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0.0,0.091,0.0,0.091,-0.116,-97.2,148129,2021,14812,6.0,2.0,24.0,-0.161,5.0,0.0,4.0,1.0,0.8,1.5,-1.77,0.0,0.04,0.0,0.0,0.0,0.0,0.0,-1.73,-41.52,0.107,-1.623,-0.172,0.0,0,0,0,0,1,0,0,0,415241,13000.0,
이해창,-0.38,20,-0.42,0.04,60,57,54,4,9,3,0,0,12,4,0,1,1,1,0,13,0,3,1,0.167,0.193,0.222,0.415,-0.009,-7.5,103919,2021,10391,20.0,16.0,149.0,0.18,129.0,112.0,16.0,1.0,99.2,7.73,0.27,0.0,-0.02,0.0,-0.06,0.56,-0.54,0.0,0.37,2.68,1.44,1.81,0.037,0.0,0,0,0,0,0,0,0,1,415241,6000.0,
조한민,-0.4,52,-0.14,-0.25,145,144,127,15,25,6,2,5,50,18,3,2,13,2,0,57,4,1,2,0.197,0.278,0.394,0.672,0.09,75.6,142109,2021,14210,53.0,37.0,297.0,-0.269,121.0,95.0,22.0,4.0,0.967,3.545,0.27,-0.86,-1.16,-0.82,0.0,0.0,0.0,0.0,-2.57,-6.983,-0.139,-2.709,-0.255,0.0,0,0,0,1,0,0,0,0,415241,3400.0,
강상원,-0.42,35,-0.18,-0.24,49,47,37,7,4,0,0,0,4,2,3,0,9,1,0,11,0,2,0,0.108,0.298,0.108,0.406,0.037,30.5,125649,2021,12564,35.0,9.0,130.0,-0.245,29.0,29.0,0.0,0.0,1.0,2.008,-0.94,-1.58,0.14,0.0,0.0,0.0,0.0,0.0,-2.38,-9.792,-0.088,-2.468,-0.236,0.0,0,0,0,0,0,1,0,0,415241,3000.0,
박정현,-0.42,33,-0.52,0.1,120,117,107,10,21,4,0,0,25,9,1,0,9,0,0,32,1,3,1,0.196,0.256,0.234,0.49,0.031,25.7,147049,2021,14704,35.0,27.0,242.0,0.141,134.0,75.0,53.0,6.0,0.955,4.76,2.14,0.0,-0.19,-1.5,0.0,0.0,0.0,0.0,0.98,4.032,0.446,1.426,0.097,0.0,0,0,0,0,1,0,0,0,415241,3400.0,4200.0
장지승,-0.44,24,-0.37,-0.07,72,70,61,7,11,1,0,1,15,5,2,0,7,1,0,24,4,2,1,0.18,0.271,0.246,0.517,0.047,39.4,148809,2021,14880,21.0,18.0,146.0,-0.122,33.0,32.0,0.0,1.0,0.97,1.973,0.41,-1.32,0.2,0.0,0.0,0.0,0.0,0.0,-0.72,-4.937,-0.507,-1.227,-0.071,0.0,0,0,0,1,0,0,0,0,415241,3000.0,3200.0
백용환,-0.44,36,-0.19,-0.25,95,93,81,10,12,1,0,4,25,4,0,0,9,3,0,24,4,2,0,0.148,0.258,0.309,0.567,0.061,51.0,100039,2021,10003,24.0,19.0,164.0,-0.091,160.0,148.0,11.0,1.0,0.994,8.726,-0.19,0.0,0.02,0.0,-2.08,0.0,-0.3,0.0,-2.52,-15.12,1.608,-0.913,-0.25,0.0,0,0,0,0,0,0,0,1,415241,4000.0,
허관회,-0.5,28,-0.25,-0.25,79,79,63,4,12,0,0,0,12,2,0,0,13,1,0,22,1,0,2,0.19,0.329,0.19,0.519,0.067,56.0,142049,2021,14204,17.0,9.0,94.0,-0.14,78.0,74.0,3.0,1.0,98.7,7.37,-0.12,0.0,-0.2,0.0,0.0,-0.31,-2.67,0.0,-2.49,-12.83,1.08,-1.41,-0.247,0.0,0,0,0,0,0,0,0,1,415241,3100.0,3300.0
