선수,Team,Sort▼,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,WAR▼,팀,pid,연봉(만원),연도,포지션구분,WAAwithPOS,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,pid_new
벤자민,투수,3.48,17,17,0,0,0,0,5,4,0,0,96.2,29,34,34.0,385,75,9,1,11,24,4,2,77,6,1,3,2.7,3.17,3.17,3.02,4.04,1.02,3.48,KT 위즈,15143,23100,2022,투수,,,,,,,,,,,,,,,,,,,,,
김민수,투수,3.24,76,0,76,13,0,0,5,4,3,30,80.2,17,19,25.35,327,66,13,1,3,15,6,3,91,4,0,6,1.9,2.12,2.83,2.72,2.1,1.0,3.24,KT 위즈,11317,11500,2022,투수,,,,,,,,,,,,,,,,,,,,,
데스파이네,투수,2.69,30,29,1,0,0,0,8,12,0,0,163.0,82,94,88.2,725,198,27,0,14,48,9,2,123,13,1,7,4.53,5.19,4.87,4.7,3.98,1.51,2.69,KT 위즈,14602,70000,2022,투수,,,,,,,,,,,,,,,,,,,,,
김재윤,투수,2.26,61,0,61,55,0,0,9,7,33,0,66.1,24,26,24.95,267,46,6,0,5,21,0,6,78,1,1,2,3.26,3.53,3.39,3.3,2.54,1.01,2.26,KT 위즈,11489,28000,2022,투수,,,,,,,,,,,,,,,,,,,,,
배제성,투수,2.11,24,18,6,4,0,0,3,9,0,0,107.0,50,56,54.3,458,103,15,2,8,46,1,0,89,3,0,8,4.21,4.71,4.57,4.26,3.96,1.39,2.11,KT 위즈,11394,27000,2022,투수,,,,,,,,,,,,,,,,,,,,,
주권,투수,1.37,58,0,58,9,0,0,3,3,1,15,50.2,22,22,19.3,203,58,7,1,3,8,0,0,31,0,0,0,3.91,3.91,3.43,3.42,3.45,1.3,1.37,KT 위즈,11323,29500,2022,투수,,,,,,,,,,,,,,,,,,,,,
박영현,투수,0.93,52,0,52,17,0,0,0,1,0,2,51.2,21,23,24.85,219,46,8,0,5,20,0,1,55,1,0,3,3.66,4.01,4.33,4.09,3.41,1.28,0.93,KT 위즈,15089,3000,2022,투수,,,,,,,,,,,,,,,,,,,,,
이채호,투수,0.76,38,0,38,6,0,0,5,0,0,3,36.2,12,13,15.95,156,28,11,0,0,13,6,2,32,2,0,2,2.95,3.19,3.92,3.81,3.12,1.12,0.76,KT 위즈,13130,3000,2022,투수,,,,,,,,,,,,,,,,,,,,,
심재민,투수,0.63,44,1,43,7,0,0,4,1,0,6,43.1,18,19,21.9,184,41,6,2,4,16,2,3,21,2,0,0,3.74,3.95,4.55,4.45,4.82,1.32,0.63,KT 위즈,11311,8200,2022,투수,,,,,,,,,,,,,,,,,,,,,
쿠에바스,투수,0.48,2,2,0,0,0,0,1,0,0,0,11.0,3,3,3.0,40,2,0,0,1,5,1,0,8,0,0,2,2.45,2.45,2.45,2.41,4.74,0.64,0.48,KT 위즈,13942,80000,2022,투수,,,,,,,,,,,,,,,,,,,,,
