선수,연봉(만원),WAR,WAR당 연봉,팀,pid
류현진,200000,2.77,72322,한화 이글스,10590
폰세,112000,5.86,19116,한화 이글스,16313
플로리얼,98000,1.96,50070,한화 이글스,16312
엄상백,90000,-0.11,-783140,한화 이글스,11318
와이스,84000,3.42,24584,한화 이글스,16153
채은성,60000,1.73,34667,한화 이글스,11215
안치홍,50000,-1.17,-42635,한화 이글스,10014
최재훈,50000,2.62,19096,한화 이글스,10170
심우준,50000,0.16,320587,한화 이글스,11334
노시환,33000,1.97,16764,한화 이글스,14125
리베라토,28700,1.18,24220,한화 이글스,16396
이태양,27000,0.05,516439,한화 이글스,10609
주현상,25000,-0.07,-358015,한화 이글스,11415
박상원,22000,1.16,19041,한화 이글스,12871
장시환,15000,-,-,한화 이글스,10453
장민재,15000,-,-,한화 이글스,10610
김태연,14600,0.25,58459,한화 이글스,12585
김범수,14300,0.74,19196,한화 이글스,11411
김민우,13000,-,-,한화 이글스,11410
이도윤,11000,0.47,23199,한화 이글스,11414
문동주,10000,2.30,4357,한화 이글스,15013
이재원,10000,0.11,88731,한화 이글스,10082
한승혁,9400,1.70,5519,한화 이글스,10812
이민우,9400,-,-,한화 이글스,13003
하주석,9000,2.03,4433,한화 이글스,10913
문현빈,8800,1.74,5062,한화 이글스,15422
황영묵,8300,0.34,24381,한화 이글스,16110
윤대경,7000,-,-,한화 이글스,11110
최인호,6800,0.15,44444,한화 이글스,14707
이진영,6200,2.38,2605,한화 이글스,12539
김기중,6000,0.31,19506,한화 이글스,14808
김서현,5600,2.38,2353,한화 이글스,15421
김인환,5500,-0.30,-18530,한화 이글스,12589
김종수,5500,0.38,14456,한화 이글스,11117
김규연,5300,-,-,한화 이글스,14871
이원석,5000,1.23,4072,한화 이글스,13138
이상규,4800,-0.23,-20767,한화 이글스,13245
황준서,4500,0.71,6337,한화 이글스,16107
박상언,4200,-,-,한화 이글스,12587
배민서,4100,-,-,한화 이글스,14158
조동욱,4000,1.26,3175,한화 이글스,16108
권광민,3800,-0.12,-32057,한화 이글스,13676
윤산흠,3800,-0.04,-103378,한화 이글스,14196
임종찬,3700,-0.12,-31331,한화 이글스,14706
박정현,3700,-0.02,-180849,한화 이글스,14704
조한민,3600,-,-,한화 이글스,14210
이상혁,3500,-0.36,-9610,한화 이글스,15139
유로결,3500,-0.31,-11252,한화 이글스,14126
장지수,3400,-,-,한화 이글스,14178
이충호,3400,-,-,한화 이글스,11116
배동현,3400,-,-,한화 이글스,14809
허관회,3300,-,-,한화 이글스,14204
박성웅,3300,-,-,한화 이글스,13136
장규현,3300,0.06,52038,한화 이글스,14811
김건,3200,-,-,한화 이글스,14209
김승일,3200,-0.05,-62000,한화 이글스,14711
송호정,3100,-,-,한화 이글스,14812
정민규,3100,-,-,한화 이글스,14813
한경빈,3100,-,-,한화 이글스,15633
허인서,3100,0.10,29929,한화 이글스,15015
김도빈,3100,-,-,한화 이글스,16118
한지윤,3000,-,-,한화 이글스,16303
권민규,3000,-0.03,-97063,한화 이글스,16302
정우주,3000,0.08,37671,한화 이글스,16301
배승수,3000,-,-,한화 이글스,16304
박상현,3000,-,-,한화 이글스,16306
이민재,3000,-0.17,-18171,한화 이글스,16311
최주원,3000,-,-,한화 이글스,16310
엄요셉,3000,-,-,한화 이글스,16309
엄상현,3000,-,-,한화 이글스,16308
이지성,3000,-,-,한화 이글스,16307
이동영,3000,-,-,한화 이글스,16305
이승현,3000,0.13,23411,한화 이글스,16372
박준영,3000,-,-,한화 이글스,15014
안진,3000,-,-,한화 이글스,14876
문승진,3000,-,-,한화 이글스,14874
유민,3000,-,-,한화 이글스,15016
이성민,3000,-,-,한화 이글스,15019
정이황,3000,-,-,한화 이글스,14127
김범준,3000,-,-,한화 이글스,14710
원종혁,3000,-0.04,-69660,한화 이글스,16114
최준서,3000,-,-,한화 이글스,16112
이기창,3000,-,-,한화 이글스,16111
정안석,3000,-,-,한화 이글스,16109
한서구,3000,-,-,한화 이글스,15426
성지훈,3000,-,-,한화 이글스,15631
신우재,3000,-,-,한화 이글스,16011
박부성,-,-,-,한화 이글스,16373
양선률,-,-,-,한화 이글스,14682
오스틴,168000,3.05,55006,LG 트윈스,15532
박동원,120000,4.38,27387,LG 트윈스,10387
에르난데스,112000,0.92,121512,LG 트윈스,16160
치리노스,112000,2.69,41679,LG 트윈스,16286
홍창기,65000,0.73,88999,LG 트윈스,12546
박해민,60000,3.29,18232,LG 트윈스,11190
김현수,50000,2.43,20606,LG 트윈스,10187
문보경,41000,3.58,11468,LG 트윈스,14137
김진성,33000,-0.04,-817072,LG 트윈스,11166
오지환,30000,1.32,22660,LG 트윈스,10475
이정용,27000,0.22,124346,LG 트윈스,14134
유영찬,21000,-0.08,-252431,LG 트윈스,14669
임찬규,20000,3.36,5953,LG 트윈스,10652
함덕주,20000,-0.04,-454960,LG 트윈스,11094
장현식,20000,0.92,21641,LG 트윈스,11164
신민재,20000,1.20,16654,LG 트윈스,13056
정우영,18000,-0.07,-271651,LG 트윈스,14136
