Name,Team,WAAwithPOS,G_x,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,pid,WAR,G_y,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,연봉(만원)
우규민,24 P,,44,0,43.1,7,1,5,1,85.7,1.25,,,,,,,,,0.0,0.0,,,0.0,105238,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,22000
손동현,24 P,,41,0,47.1,8,3,3,2,75.0,1.14,,,,,,,,,0.0,0.0,,,0.0,141088,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,12000
이재현,24 SS,1.529,107,99,862.1,409,186,212,11,97.3,4.15,7.13,,2.13,-1.29,,,,,7.96,10.52,8.78,16.74,0.727,150343,3.03,109,2.43,0.6,458,457,389,71,101,18,1,14,163,66,2,1,58,8,1,83,8,0,3,0.26,0.365,0.419,0.784,0.146,104.8,14000
강민호,24 C,1.181,120,96,803.0,686,631,53,2,99.7,7.67,-0.56,,1.9,,-0.1,0.95,1.84,,3.47,3.68,9.46,12.93,0.317,102323,3.32,136,3.02,0.3,452,450,403,48,122,19,1,19,200,77,3,0,35,8,2,52,17,0,6,0.303,0.365,0.496,0.861,0.161,115.6,40000
이병헌,24 C,0.234,90,44,421.2,365,341,21,3,99.2,7.73,-0.5,,0.02,,-0.44,0.01,-0.57,,-1.31,-1.98,3.86,2.56,-0.119,141173,0.1,95,0.23,-0.13,166,164,145,9,36,4,0,1,43,9,0,0,17,2,0,48,0,2,0,0.248,0.335,0.297,0.632,0.094,66.8,4000
디아즈,24 1B,0.206,18,18,151.0,136,121,14,1,99.3,8.05,3.48,,0.24,,0.06,,,,3.78,18.77,-1.52,2.26,0.345,161623,0.53,29,0.21,0.32,118,118,110,14,31,5,0,7,57,19,0,0,6,2,0,25,2,0,0,0.282,0.331,0.518,0.849,0.152,107.9,5000
류승민,24 RF,0.088,4,0,7.0,3,3,0,0,100.0,3.86,0.96,0.01,0.02,,,,,,0.99,28.43,-0.02,0.97,0.09,155033,0.13,5,0.04,0.09,3,3,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0.0,0.667,0.0,0.667,0.294,226.9,3500
김민수,24 C,0.001,8,1,23.0,14,12,2,0,100.0,5.48,-0.09,,0.08,,,0.0,-0.22,,-0.16,-2.58,0.17,0.01,-0.015,112663,0.07,9,0.09,-0.02,8,8,8,1,2,0,0,1,5,3,0,0,0,0,0,1,0,0,0,0.25,0.25,0.625,0.875,0.136,99.8,4600
김도환,24 C,-0.032,1,1,6.0,5,5,0,0,100.0,7.5,-0.09,,0.02,,,-0.14,-0.3,,-0.42,-60.41,0.07,-0.35,-0.038,141153,-0.11,1,-0.07,-0.04,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-0.19,-151.2,5000
박병호,24 1B,-0.049,31,29,248.2,253,223,28,2,99.2,9.08,1.37,,0.23,,0.25,,,,1.85,2.22,-2.38,-0.53,0.169,104703,0.53,76,0.4,0.13,285,285,249,42,61,5,0,20,126,60,3,0,31,3,0,83,5,0,2,0.245,0.333,0.506,0.839,0.149,106.8,70000
김태훈,24 P,,56,0,52.1,13,5,7,1,92.3,2.06,,,,,,,,,0.0,0.0,,,0.0,108713,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,17000
최지광,24 P,,34,0,36.1,6,2,4,0,100.0,1.49,,,,,,,,,0.0,0.0,,,0.0,129343,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,14000
김재윤,24 P,,65,0,66.0,11,1,10,0,100.0,1.5,,,,,,,,,0.0,0.0,,,0.0,114893,0.0,3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,40000
이상민,24 P,,36,0,30.0,1,1,0,0,100.0,0.3,,,,,,,,,0.0,0.0,,,0.0,111693,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,6500
오승환,24 P,,58,0,55.0,6,1,5,0,100.0,0.98,,,,,,,,,0.0,0.0,,,0.0,103673,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,40000
김대우,24 P,,30,1,34.1,5,0,4,1,80.0,1.05,,,,,,,,,0.0,0.0,,,0.0,106853,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,10000
육선엽,24 P,,11,1,17.0,2,2,0,0,100.0,1.06,,,,,,,,,0.0,0.0,,,0.0,158643,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3000
이지영,24 C,1.513,117,105,914.2,987,919,61,7,99.3,9.64,1.2,,-0.21,,0.1,1.67,5.34,,6.5,7.61,10.06,16.56,0.594,103124,1.53,123,0.96,0.57,432,425,398,45,111,11,1,5,139,50,8,1,18,7,0,35,10,7,2,0.279,0.32,0.349,0.669,0.097,70.1,20000
박성한,24 SS,1.059,135,128,1115.0,564,209,332,23,95.9,4.37,1.35,,-1.65,0.75,,,,,0.45,0.47,11.14,11.59,0.041,129224,3.6,137,3.5,0.1,564,559,489,78,147,24,0,10,201,67,13,3,64,2,3,86,11,3,6,0.301,0.38,0.411,0.791,0.145,104.0,30000
김민식,24 C,0.064,40,30,264.2,240,224,16,0,100.0,8.16,0.64,,0.96,,0.03,-1.79,-2.92,,-2.2,-7.05,2.9,0.7,-0.201,107074,-0.26,45,-0.05,-0.21,126,122,106,10,22,5,0,1,30,10,0,0,16,0,0,33,2,4,0,0.208,0.311,0.283,0.594,0.079,56.5,15000
김창평,24 RF,0.041,1,1,4.0,3,3,0,0,100.0,6.75,0.46,,0.01,,,,,,0.47,11.34,-0.02,0.45,0.043,141464,-0.06,6,-0.1,0.04,9,9,7,1,0,0,0,0,0,0,1,0,2,0,0,4,0,0,0,0.0,0.222,0.0,0.222,-0.029,-22.1,3100
추신수,24 RF,0.009,6,5,35.0,7,7,0,0,100.0,1.8,0.23,-0.05,0.11,,,,,,0.29,0.53,-0.19,0.1,0.026,148884,0.67,78,0.64,0.02,302,300,253,40,71,14,1,5,102,37,5,1,37,4,0,68,2,2,6,0.281,0.373,0.403,0.776,0.143,102.0,3000
문승원,24 P,0.0,61,0,60.0,11,2,9,0,100.0,1.65,,,,,,,,,0.0,0.0,0.0,0.0,0.0,107834,-0.03,6,-0.03,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-0.19,-140.8,18000
조형우,24 C,-0.077,19,9,90.1,86,79,6,1,98.8,8.47,-0.01,,-0.18,,,0.12,-2.42,,-1.76,-13.33,0.91,-0.85,-0.161,148064,-0.08,19,0.08,-0.16,38,38,33,4,8,0,0,0,8,4,0,0,1,4,0,6,0,0,0,0.242,0.342,0.242,0.584,0.094,66.6,6300
최지훈,24 CF,-0.297,119,113,989.2,249,237,5,7,97.2,2.2,-2.9,1.1,-1.45,,,,,,-3.25,-3.74,0.0,-3.25,-0.297,145874,1.76,125,2.03,-0.27,543,537,483,89,133,22,7,11,202,49,32,5,50,2,0,71,5,6,2,0.275,0.345,0.418,0.763,0.128,92.2,25000
전의산,24 1B,-0.369,22,14,114.0,102,91,9,2,98.0,7.89,-2.4,,-0.44,,-0.26,,,,-3.1,-13.14,-0.94,-4.04,-0.283,146994,-1.35,34,-1.09,-0.26,63,63,57,3,5,0,0,1,8,3,0,1,5,0,0,15,3,0,1,0.088,0.159,0.14,0.299,-0.051,-37.6,8000
이로운,24 P,,58,0,56.0,4,1,3,0,100.0,0.64,,,,,,,,,0.0,0.0,,,0.0,154614,0.0,3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,7400
조병현,24 P,,74,0,73.0,10,6,2,2,80.0,0.99,,,,,,,,,0.0,0.0,,,0.0,148054,0.0,3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3000
한두솔,24 P,,64,0,59.1,8,2,5,1,87.5,1.06,,,,,,,,,0.0,0.0,,,0.0,132284,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3200
박민호,24 P,,19,0,22.2,1,0,1,0,100.0,0.4,,,,,,,,,0.0,0.0,,,0.0,112364,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,6000
김주원,24 SS,1.722,132,115,1023.2,501,196,287,18,96.4,4.25,9.13,,0.05,0.26,,,,,9.43,10.13,9.42,18.85,0.861,147655,3.75,134,3.07,0.68,475,466,385,61,97,18,2,9,146,49,16,6,51,25,1,111,5,9,5,0.252,0.371,0.379,0.75,0.143,108.4,16000
박민우,24 2B,1.023,98,95,779.1,402,186,210,6,98.5,4.57,4.88,,1.7,0.31,,,,,6.89,8.2,4.31,11.2,0.629,111375,4.7,121,4.11,0.58,528,520,457,75,150,26,2,8,204,50,32,7,54,9,4,79,5,4,4,0.328,0.406,0.446,0.852,0.172,129.6,100000
김형준,24 C,0.967,116,104,870.1,832,761,59,12,98.6,8.48,0.42,,-2.88,,-0.04,1.15,3.15,,0.86,1.04,9.72,10.58,0.079,130815,0.42,119,0.31,0.11,414,407,354,39,69,12,0,17,132,50,0,0,45,2,0,144,6,7,6,0.195,0.285,0.373,0.658,0.086,64.9,5800
송승환,24 RF,0.139,2,1,9.0,5,5,0,0,100.0,5.0,1.51,0.01,0.03,,,,,,1.55,74.33,-0.03,1.52,0.141,141725,0.09,3,-0.05,0.14,5,5,5,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.2,0.2,0.2,0.4,-0.022,-16.6,3500
박세혁,24 C,0.134,71,36,357.1,311,290,18,3,99.0,7.76,0.41,,-0.22,,0.16,-0.95,-2.27,,-2.18,-3.84,3.65,1.46,-0.2,108915,0.48,82,0.69,-0.21,171,166,148,21,39,9,0,1,51,10,4,0,14,3,0,43,3,5,1,0.264,0.337,0.345,0.682,0.108,82.4,70000
오영수,24 1B,0.093,10,6,49.2,53,49,4,0,100.0,9.6,1.21,,0.25,,,,,,1.46,10.51,-0.44,1.02,0.133,130825,0.08,20,-0.04,0.12,34,34,30,4,6,0,0,3,15,5,0,0,2,1,0,6,0,0,1,0.2,0.265,0.5,0.765,0.108,80.8,7200
신용석,24 C,0.006,1,0,3.0,4,4,0,0,100.0,12.0,,,0.01,,,,0.04,,0.04,2.64,0.02,0.06,0.003,154525,-0.06,2,-0.07,0.0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,-0.19,-136.9,3000
안중열,24 C,-0.015,9,4,45.0,42,39,3,0,100.0,8.4,0.0,,0.16,,,-0.2,-0.92,,-0.69,-9.89,0.53,-0.16,-0.063,113295,0.23,10,0.29,-0.06,25,25,21,5,6,1,0,2,13,4,0,0,3,0,0,7,0,0,1,0.286,0.36,0.619,0.979,0.187,138.4,7100
박한결,24 LF,-0.259,21,13,110.1,21,20,0,1,95.2,1.63,-1.96,0.01,-0.38,,,,,,-2.32,-11.93,-0.52,-2.84,-0.212,154515,-0.28,28,-0.07,-0.21,71,71,65,8,12,1,0,7,34,14,0,0,6,0,0,29,1,0,0,0.185,0.254,0.523,0.777,0.11,84.6,3100
데이비슨,24 1B,-1.16,109,109,890.1,813,733,69,11,98.6,8.11,-2.26,,-1.12,,0.08,,,,-3.29,-3.62,-9.4,-12.69,-0.301,160665,3.98,131,4.26,-0.28,567,565,504,90,154,25,1,46,319,119,0,1,39,17,5,142,12,0,7,0.306,0.37,0.633,1.003,0.203,153.9,56000
김범준,24 LF,,2,0,3.0,0,0,0,0,0.0,0.0,-0.03,,0.0,,,,,,-0.03,-0.78,,,-0.002,142225,-0.15,5,-0.15,0.0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0.0,0.0,0.0,0.0,-0.19,-142.8,3000
류진욱,24 P,,49,0,42.1,12,6,5,1,91.7,2.34,,,,,,,,,0.0,0.0,,,0.0,113555,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,16500
한재승,24 P,,49,0,45.1,8,2,5,1,87.5,1.39,,,,,,,,,0.0,0.0,,,0.0,147645,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3400
송명기,24 P,,32,0,38.1,1,0,1,0,100.0,0.23,,,,,,,,,0.0,0.0,,,0.0,141555,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,13500
김재열,24 P,,68,0,68.2,10,3,5,2,80.0,1.05,,,,,,,,,0.0,0.0,,,0.0,147475,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,6000
김영규,24 P,,42,0,45.2,11,2,8,1,90.9,1.97,,,,,,,,,0.0,,,,0.0,130885,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,22500
김기연,24 C,0.895,84,61,579.0,501,474,25,2,99.6,7.76,-0.24,,1.09,,-0.26,1.28,2.43,,3.56,5.4,6.24,9.8,0.325,125491,1.16,95,0.85,0.31,283,279,252,31,70,10,0,5,95,31,0,2,22,2,0,47,5,4,3,0.278,0.337,0.377,0.714,0.113,86.7,4000
양의지,24 C,0.517,76,74,608.1,579,551,24,4,99.3,8.51,0.03,,0.19,,-0.17,-0.93,-1.5,,-1.93,-2.33,7.58,5.66,-0.176,101651,3.21,119,3.4,-0.19,485,482,430,57,135,18,1,17,206,94,2,1,40,9,5,56,13,0,6,0.314,0.379,0.479,0.858,0.164,125.3,50000
정수빈,24 CF,0.471,133,131,1114.0,319,313,5,1,99.7,2.57,2.03,1.31,1.82,,,,,,5.15,5.46,0.0,5.15,0.471,101951,2.97,136,2.52,0.45,608,598,510,95,145,21,3,4,184,47,52,13,71,9,1,72,8,10,8,0.284,0.376,0.361,0.737,0.131,100.2,60000
허경민,24 3B,0.334,110,109,883.0,225,77,143,5,97.8,2.24,-0.33,,3.55,0.48,-0.05,,,,3.66,4.58,0.0,3.66,0.334,101841,3.2,115,2.99,0.21,477,477,417,69,129,28,0,7,178,61,5,1,36,18,0,25,8,0,6,0.309,0.384,0.427,0.811,0.16,122.0,60000
임종성,24 3B,0.046,1,1,9.0,2,0,2,0,100.0,2.0,0.44,,0.06,,,,,,0.5,72.24,0.0,0.5,0.046,160691,-0.01,1,-0.06,0.04,4,4,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0,0.25,0.0,0.25,-0.008,-6.5,3000
안승한,24 C,0.025,2,1,9.1,7,7,0,0,100.0,6.75,0.0,,0.03,,,-0.14,0.45,,0.2,7.37,0.07,0.28,0.019,113281,-0.03,4,-0.05,0.02,5,5,5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.2,0.2,0.2,0.4,-0.022,-17.2,5500
장승현,24 C,0.015,9,7,58.0,59,57,2,0,100.0,9.16,-0.24,,0.21,,0.05,-0.21,-0.27,,-0.38,-6.16,0.55,0.17,-0.035,110971,-0.1,9,-0.07,-0.04,23,22,20,1,4,2,0,0,6,0,0,1,2,0,0,5,0,1,0,0.2,0.273,0.3,0.573,0.061,43.3,6000
장규빈,24 C,0.009,3,0,7.0,9,8,1,0,100.0,11.57,-0.09,,0.03,,,,0.13,,0.02,1.11,0.07,0.1,0.002,145701,-0.02,3,-0.02,0.0,4,4,4,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.25,0.25,0.25,0.5,0.02,15.1,3000
류현준,24 C,0.007,1,0,3.0,4,3,1,0,100.0,12.0,0.0,,0.01,,,,0.07,,0.06,4.18,0.02,0.08,0.005,160761,0.12,2,0.11,0.01,3,3,3,0,2,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0.667,0.667,1.0,1.667,0.487,380.3,3000
여동건,24 2B,0.006,5,2,21.0,13,5,8,0,100.0,5.57,0.14,,0.13,-0.29,,,,,-0.02,-0.4,0.09,0.07,-0.002,160681,-0.03,9,-0.02,-0.01,11,11,10,2,4,0,0,0,4,0,3,0,1,0,0,2,0,0,0,0.4,0.455,0.4,0.855,0.181,140.6,3000
권휘,24 P,0.0,8,0,9.0,3,1,1,1,66.7,2.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,136651,-0.03,1,-0.03,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-0.19,-140.8,3000
박민준,24 C,-0.008,4,1,10.0,10,10,0,0,100.0,9.0,0.0,,0.04,,,,-0.28,,-0.16,-4.65,0.07,-0.09,-0.015,155151,-0.14,5,-0.12,-0.01,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,-0.19,-144.6,3000
윤준호,24 C,-0.056,3,0,9.0,5,5,0,0,100.0,5.0,0.0,,0.03,,,,-1.02,,-0.68,-32.69,0.07,-0.61,-0.062,155121,-0.08,3,-0.02,-0.06,4,4,4,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.25,0.25,0.25,0.5,0.02,15.3,3000
김재호,24 SS,-0.063,52,38,326.0,148,65,76,7,95.3,3.89,-3.93,,-0.62,0.89,,,,,-3.66,-9.26,2.98,-0.68,-0.335,101741,0.68,57,0.99,-0.31,154,147,126,20,38,5,0,1,46,11,0,0,19,1,0,23,4,7,1,0.302,0.395,0.365,0.76,0.144,112.2,30000
김재환,24 LF,-0.437,45,43,335.1,71,71,0,0,100.0,1.91,-3.11,-0.27,0.38,,,,,,-3.0,-3.18,-1.78,-4.78,-0.274,106431,3.09,136,3.37,-0.28,552,549,474,78,134,28,0,29,249,92,1,1,63,6,3,168,8,0,9,0.283,0.368,0.525,0.893,0.173,132.0,150000
라모스,24 RF,-0.49,79,79,654.2,131,123,4,4,96.9,1.75,-1.65,-0.24,-0.03,,,,,,-1.92,-3.46,-3.44,-5.36,-0.175,150001,1.68,80,1.9,-0.22,348,346,311,43,95,19,3,10,150,48,3,3,27,3,1,60,5,1,6,0.305,0.36,0.482,0.842,0.154,119.6,55000
양석환,24 1B,-0.711,131,130,1118.0,1038,943,85,10,99.0,8.28,2.55,,0.51,,0.21,,,,3.27,3.32,-11.06,-7.79,0.299,112131,2.17,142,1.79,0.37,593,592,533,83,131,25,1,34,260,107,5,3,49,7,1,128,15,1,3,0.246,0.316,0.488,0.804,0.136,104.5,30000
김강률,24 P,,52,0,42.0,9,4,5,0,100.0,1.93,,,,,,,,,0.0,0.0,,,0.0,106901,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,15000
박치국,24 P,,50,0,48.0,10,1,8,1,90.0,1.69,,,,,,,,,0.0,0.0,,,0.0,128501,0.0,3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,13000
정철원,24 P,,33,0,32.1,2,0,2,0,100.0,0.56,,,,,,,,,0.0,0.0,,,0.0,130711,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,16500
오명진,24 2B,,1,0,1.0,0,0,0,0,0.0,0.0,-0.28,,0.01,,,,,,-0.27,-19.42,,,-0.025,147371,-0.01,2,0.01,-0.02,2,2,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0.0,0.5,0.0,0.5,0.173,130.2,3100
이교훈,24 P,,32,0,35.1,7,5,2,0,100.0,1.78,,,,,,,,,0.0,0.0,,,0.0,141731,0.0,4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3300
김동주,24 P,,14,9,50.0,5,2,3,0,100.0,0.9,,,,,,,,,0.0,0.0,,,0.0,147691,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,5500
이영하,24 P,,56,1,65.1,12,4,6,2,83.3,1.38,,,,,,,,,0.0,0.0,,,0.0,125681,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,10000
김호준,24 P,,15,1,13.1,2,0,2,0,100.0,1.35,,,,,,,,,0.0,0.0,,,0.0,132681,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3100
이병헌,24 P,,76,0,65.1,16,2,13,1,93.8,2.07,,,,,,,,,0.0,0.0,,,0.0,150991,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3600
홍건희,24 P,,64,0,59.1,14,1,12,1,92.9,1.97,,,,,,,,,0.0,0.0,,,0.0,106961,0.0,4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,30000
김민규,24 P,,12,4,25.0,0,0,0,0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,130721,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,5000
박정수,24 P,,28,1,29.2,3,0,2,1,66.7,0.61,,,,,,,,,0.0,0.0,,,0.0,113001,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,5500
최승용,24 P,,12,6,27.0,4,0,4,0,100.0,1.33,,,,,,,,,0.0,0.0,,,0.0,147701,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,10200
김명신,24 P,,32,0,32.2,5,2,3,0,100.0,1.38,,,,,,,,,0.0,0.0,,,0.0,128471,0.0,3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,22500
김민혁,24 1B,,1,0,1.0,0,0,0,0,0.0,0.0,0.0,,0.0,,,,,,0.0,0.12,,,0.0,129701,0.19,5,0.19,0.0,8,8,5,1,1,0,0,1,4,2,0,0,3,0,0,3,0,0,0,0.2,0.5,0.8,1.3,0.303,237.7,3800
최지강,24 P,,52,0,50.0,12,2,9,1,91.7,1.98,,,,,,,,,0.0,0.0,,,0.0,151271,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3400
김택연,24 P,,60,0,65.0,7,1,6,0,100.0,0.97,,,,,,,,,0.0,0.0,,,0.0,160671,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3000
김혜성,24 2B,1.142,119,118,1015.0,616,258,342,16,97.4,5.32,8.6,,-1.9,0.48,,,,,7.18,8.15,5.32,12.5,0.656,129057,5.16,127,4.47,0.69,567,565,509,90,166,26,4,11,233,75,30,6,47,4,2,62,6,0,7,0.326,0.383,0.458,0.841,0.16,124.1,65000
김재현,24 C,0.787,109,85,758.1,682,627,48,7,99.0,8.01,-1.18,,-0.78,,-0.12,2.21,0.98,,0.81,1.06,7.8,8.61,0.074,108707,-0.07,110,-0.18,0.1,326,316,288,27,70,11,0,0,81,26,1,1,14,10,0,63,8,10,4,0.243,0.297,0.281,0.578,0.067,52.1,5500
김건희,24 C,0.296,66,49,431.2,295,267,24,4,98.6,6.07,-0.32,,-0.45,,-0.37,-1.12,0.91,,-1.63,-2.83,4.87,3.24,-0.149,154727,0.22,83,0.37,-0.16,283,283,261,27,67,15,0,9,109,38,0,0,18,0,0,82,7,0,4,0.257,0.3,0.418,0.718,0.103,79.2,3200
김시앙,24 C,0.034,6,2,19.1,20,20,0,0,100.0,9.31,-0.09,,0.07,,,,0.32,,0.2,4.86,0.17,0.37,0.019,148517,-0.07,6,-0.09,0.02,7,7,7,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.143,0.143,0.143,0.286,-0.07,-52.9,3600
이형종,24 RF,-0.007,29,26,218.2,60,59,0,1,98.3,2.43,0.87,-0.05,0.16,,,,,,0.98,4.03,-1.06,-0.08,0.09,125167,0.36,35,0.28,0.08,126,125,102,19,22,3,0,4,37,19,1,0,22,1,1,27,1,1,0,0.216,0.36,0.363,0.723,0.128,100.7,68000
송지후,24 2B,-0.012,1,0,3.0,0,0,0,0,0.0,0.0,-0.16,,0.02,,,,,,-0.14,-10.1,0.01,-0.13,-0.013,161307,-0.05,2,-0.03,-0.01,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.19,-151.2,3000
박성빈,24 C,-0.047,12,4,37.0,27,24,2,1,96.3,6.32,0.0,,-0.37,,,-0.12,-0.38,,-0.76,-9.08,0.24,-0.52,-0.069,154797,-0.02,12,0.05,-0.07,11,11,9,1,2,1,0,0,3,2,0,0,1,1,0,2,0,0,0,0.222,0.364,0.333,0.697,0.137,110.5,3000
박준형,24 C,-0.094,4,2,12.1,7,7,0,0,100.0,5.11,0.0,,0.04,,,-0.24,-1.36,,-1.15,-41.35,0.12,-1.03,-0.105,142117,-0.22,4,-0.12,-0.11,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,-0.19,-154.2,3000
김동헌,24 C,-0.123,2,2,14.0,11,10,0,1,90.9,6.43,0.0,,-0.45,,,-0.73,-0.47,,-1.51,-109.07,0.17,-1.35,-0.138,154737,-0.1,2,0.04,-0.14,7,7,5,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0.2,0.429,0.2,0.629,0.153,115.9,4000
이원석,24 1B,-0.254,12,12,87.0,91,85,4,2,97.8,9.21,-1.45,,-0.57,,,,,,-2.02,-7.46,-0.76,-2.78,-0.185,101807,-0.53,39,-0.33,-0.2,109,109,91,5,20,4,0,0,24,8,0,0,14,2,0,18,2,0,2,0.22,0.33,0.264,0.594,0.085,66.4,40000
이재상,24 SS,-0.344,35,28,221.0,98,44,50,4,95.9,3.83,-3.25,,-0.05,-2.19,,,,,-5.49,-21.96,1.72,-3.77,-0.501,161247,-1.04,36,-0.55,-0.49,89,88,84,7,16,1,0,1,20,5,0,0,2,2,0,33,0,1,0,0.19,0.227,0.238,0.465,0.013,9.9,3000
최주환,24 1B,-0.499,122,116,1027.2,972,906,60,6,99.4,8.46,2.39,,2.07,,0.29,,,,4.75,5.26,-10.22,-5.47,0.434,101827,-0.03,130,-0.32,0.3,544,544,482,49,124,23,1,13,188,84,0,1,47,6,2,92,12,0,9,0.257,0.325,0.39,0.715,0.111,86.1,65000
김윤하,24 P,,18,12,79.0,12,2,9,1,91.7,1.25,,,,,,,,,0.0,0.0,,,0.0,161237,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3000
김선기,24 P,,41,6,76.1,11,0,11,0,100.0,1.3,,,,,,,,,0.0,0.0,,,0.0,130927,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,7000
