Name,Team,WAAwithPOS,G_x,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,pid,WAR,G_y,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,연봉(만원)
김성우,24 C,-0.13,4,2,16.0,8,7,1,0,100.0,4.5,-0.09,,0.06,,0.05,-0.3,-1.75,,-1.52,-54.61,0.1,-1.42,-0.139,150856,-0.26,4,-0.12,-0.14,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0.0,-0.19,-139.9,3100
허도환,24 C,-0.195,58,27,250.0,229,219,8,2,99.1,8.17,-0.24,,-0.1,,,-1.17,-4.38,,-4.58,-11.18,2.45,-2.13,-0.418,106846,-0.64,59,-0.22,-0.42,105,100,80,10,11,2,0,0,13,11,0,1,9,10,0,26,4,5,1,0.138,0.3,0.163,0.463,0.059,44.6,10000
오스틴,24 1B,-0.7,106,105,863.0,810,728,74,8,99.0,8.36,1.3,,0.25,,-0.01,,,,1.54,1.58,-9.2,-7.66,0.141,155326,5.06,140,4.9,0.17,604,600,527,99,168,32,3,32,302,132,12,8,61,3,6,82,9,0,13,0.319,0.384,0.573,0.957,0.192,147.8,80000
김대원,24 2B,,1,0,1.0,2,1,1,0,100.0,18.0,-0.2,,0.01,,,,,,-0.2,-1.5,,,-0.018,160166,0.04,19,0.06,-0.02,4,4,4,5,2,0,0,0,2,0,2,1,0,0,0,1,0,0,0,0.5,0.5,0.5,1.0,0.229,174.5,3000
김대현,24 P,,35,0,35.0,1,0,1,0,100.0,0.26,,,,,,,,,0.0,0.0,,,0.0,125326,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,5700
유영찬,24 P,,61,0,63.2,8,4,4,0,100.0,1.13,,,,,,,,,0.0,0.0,,,0.0,146696,0.0,7,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,8500
이지강,24 P,,44,2,53.2,10,4,6,0,100.0,1.68,,,,,,,,,0.0,0.0,,,0.0,141436,0.0,3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,6800
함덕주,24 P,,14,0,11.2,3,0,3,0,100.0,2.31,,,,,,,,,0.0,0.0,,,0.0,110946,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,20000
김유영,24 P,,52,2,47.2,9,0,6,3,66.7,1.13,,,,,,,,,0.0,0.0,,,0.0,112296,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,6700
진우영,24 P,,6,0,7.2,0,0,0,0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,160156,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3000
