선수,연봉(만원),WAR,WAR당 연봉,팀,pid
채은성,180000,2.36,76221,한화 이글스,11215
최재훈,80000,3.90,20492,한화 이글스,10170
스미스,70000,0.09,756875,한화 이글스,15540
오그레디,70000,-0.87,-80365,한화 이글스,15541
이태양,66000,1.44,45702,한화 이글스,10609
페냐,55000,4.20,13083,한화 이글스,15146
정우람,50000,0.26,193563,한화 이글스,10156
산체스,40000,2.51,15960,한화 이글스,15643
장시환,28000,0.52,53948,한화 이글스,10453
윌리엄스,25000,-0.81,-30701,한화 이글스,15647
김민우,22800,-0.46,-49756,한화 이글스,11410
정은원,21800,1.03,21251,한화 이글스,13137
강재민,15000,-0.64,-23513,한화 이글스,14708
김범수,14100,0.17,84338,한화 이글스,11411
박상원,13300,-0.18,-75459,한화 이글스,12871
노시환,13100,6.82,1920,한화 이글스,14125
장민재,11500,0.05,223567,한화 이글스,10610
노수광,10900,-0.12,-88193,한화 이글스,11268
오선진,10000,0.02,472498,한화 이글스,10557
하주석,10000,-0.58,-17260,한화 이글스,10913
윤대경,9000,1.08,8310,한화 이글스,11110
김종수,8900,-,-,한화 이글스,11117
김인환,6400,0.23,27855,한화 이글스,12589
한승혁,6200,-0.26,-23712,한화 이글스,10812
장진혁,6000,-0.44,-13624,한화 이글스,12583
김태연,6000,1.41,4268,한화 이글스,12585
주현상,5800,2.21,2621,한화 이글스,11415
김재영,5300,-0.14,-38416,한화 이글스,12547
이민우,5100,0.16,32490,한화 이글스,13003
이명기,5000,-0.29,-17008,한화 이글스,10119
장운호,5000,-0.08,-63382,한화 이글스,11122
이성곤,4800,-0.20,-24185,한화 이글스,11206
윤산흠,4800,-0.14,-34278,한화 이글스,14196
남지민,4300,-0.14,-31683,한화 이글스,14619
박정현,4200,-0.33,-12799,한화 이글스,14704
이진영,3900,3.60,1083,한화 이글스,12539
최인호,3800,1.49,2545,한화 이글스,14707
박상언,3600,-0.30,-12106,한화 이글스,12587
김기중,3600,0.67,5394,한화 이글스,14808
송윤준,3500,-0.04,-99340,한화 이글스,10748
류원석,3500,0.02,198876,한화 이글스,13251
이도윤,3400,2.27,1501,한화 이글스,11414
박윤철,3400,-0.09,-39271,한화 이글스,14129
류희운,3300,-0.06,-59419,한화 이글스,12655
이원석,3300,0.25,12947,한화 이글스,13138
유로결,3300,-0.45,-7413,한화 이글스,14126
허관회,3300,-0.27,-12371,한화 이글스,14204
문동주,3300,2.96,1115,한화 이글스,15013
유상빈,3300,-0.03,-127240,한화 이글스,15141
이충호,3200,-0.10,-32240,한화 이글스,11116
장지수,3200,-0.05,-58276,한화 이글스,14178
장지승,3200,-0.06,-53377,한화 이글스,14880
원혁재,3100,-,-,한화 이글스,12872
이재용,3100,0.04,76581,한화 이글스,12902
이승관,3100,-,-,한화 이글스,13135
권광민,3100,-1.03,-2999,한화 이글스,13676
김건,3100,-0.35,-8914,한화 이글스,14209
신지후,3100,-,-,한화 이글스,14620
한승주,3100,0.57,5440,한화 이글스,14621
정민규,3100,-,-,한화 이글스,14813
김규연,3100,0.46,6801,한화 이글스,14871
박준영,3100,-0.08,-37897,한화 이글스,15014
이재민,3100,-,-,한화 이글스,15020
이성원,3000,-,-,한화 이글스,13140
김민기,3000,-,-,한화 이글스,13141
정이황,3000,-,-,한화 이글스,14127
김현우,3000,-,-,한화 이글스,14166
김범준,3000,-,-,한화 이글스,14710
오세훈,3000,-,-,한화 이글스,14835
안진,3000,-,-,한화 이글스,14876
양경모,3000,-,-,한화 이글스,15017
김겸재,3000,-,-,한화 이글스,15018
노석진,3000,-,-,한화 이글스,15022
민승기,3000,-,-,한화 이글스,15137
이상혁,3000,-0.16,-18204,한화 이글스,15139
김서현,3000,-0.24,-12563,한화 이글스,15421
문현빈,3000,1.87,1606,한화 이글스,15422
이민준,3000,0.05,63253,한화 이글스,15423
김관우,3000,-,-,한화 이글스,15424
김해찬,3000,-,-,한화 이글스,15425
한서구,3000,-,-,한화 이글스,15426
송성훈,3000,-,-,한화 이글스,15427
최원준,3000,-,-,한화 이글스,15428
박재규,3000,-,-,한화 이글스,15429
천보웅,3000,-,-,한화 이글스,15430
김예준,3000,-,-,한화 이글스,15431
이정재,3000,-,-,한화 이글스,15628
고영재,3000,-,-,한화 이글스,15629
이석제,3000,-,-,한화 이글스,15630
성지훈,3000,-,-,한화 이글스,15631
김석훈,3000,-,-,한화 이글스,15632
한경빈,3000,-,-,한화 이글스,15633
켈리,105000,3.41,30748,LG 트윈스,13934
김현수,100000,2.19,45737,LG 트윈스,10187
플럿코,80000,4.58,17476,LG 트윈스,15003
오지환,60000,5.14,11668,LG 트윈스,10475
박해민,60000,4.80,12494,LG 트윈스,11190
고우석,43000,0.53,81646,LG 트윈스,12907
정우영,40000,-0.74,-54168,LG 트윈스,14136
오스틴,40000,5.74,6973,LG 트윈스,15532
최원태,35000,3.20,10921,LG 트윈스,11379
