Name,Team,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,pid
서건창,21 2B,0.465,62,58,463.2,237,115,121,1,99.6,4.58,1.93,,0.09,0.23,,,,,2.25,2.25,2.44,4.69,0.223,108556
김재성,21 C,0.227,55,16,198.2,176,162,13,1,99.4,7.93,0.16,,0.14,,0.14,-0.16,0.49,,0.63,1.56,1.66,2.29,0.062,113446
정주현,21 2B,0.224,72,67,505.0,310,110,188,12,96.1,5.31,0.28,,-0.36,0.22,,,,,0.13,0.27,2.12,2.25,0.013,104806
이성우,21 C,0.15,34,11,112.2,107,101,5,1,99.1,8.47,-0.14,,-0.13,,0.14,-0.43,1.77,,0.67,2.69,0.84,1.51,0.067,100046
김호은,21 1B,0.034,2,1,9.0,11,9,2,0,100.0,11.0,0.42,,0.01,,,,,,0.43,8.78,-0.08,0.35,0.042,125546
보어,21 1B,-0.29,28,27,200.0,196,181,12,3,98.5,8.69,-1.09,,0.17,,0.07,,,,-0.86,-3.87,-2.06,-2.92,-0.085,149886
라모스,21 1B,-0.293,37,37,287.0,314,286,24,4,98.7,9.72,1.63,,-0.76,,-0.83,,,,0.04,0.13,-3.0,-2.96,0.004,145926
김지용,21 P,,3,0,4.0,1,0,1,0,100.0,2.25,,,,,,,,,0.0,0.0,,,0.0,107476
채지선,21 P,,14,0,17.1,0,0,0,0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,113876
이상규,21 P,,7,0,6.0,1,0,1,0,100.0,1.5,,,,,,,,,0.0,0.0,,,0.0,132456
김진수,21 P,,3,0,2.1,0,0,0,0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,147816
최성훈,21 P,,46,0,40.2,6,4,1,1,83.3,1.11,,,,,,,,,0.0,0.0,,,0.0,108516
고우석,21 P,,63,0,58.0,13,2,11,0,100.0,2.02,,,,,,,,,0.0,0.0,,,0.0,129076
이상영,21 P,,21,9,50.0,7,1,6,0,100.0,1.26,,,,,,,,,0.0,0.0,,,0.0,141356
진해수,21 P,,48,0,44.1,13,4,9,0,100.0,2.64,,,,,,,,,0.0,0.0,,,0.0,100756
이우찬,21 P,,15,5,34.0,5,1,4,0,100.0,1.32,,,,,,,,,0.0,0.0,,,0.0,107496
이찬혁,21 P,,1,0,1.0,0,0,0,0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,129096
류원석,21 P,,5,0,6.0,0,0,0,0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,132516
김대유,21 P,,64,0,50.2,12,2,8,2,83.3,1.78,,,,,,,,,0.0,,,,0.0,107066
이정용,21 P,,66,0,69.2,12,3,8,1,91.7,1.42,,,,,,,,,0.0,0.0,,,0.0,141346
마차도,21 SS,1.818,133,127,1076.2,583,235,337,11,98.1,4.78,3.38,,1.24,3.03,,,,,7.66,8.23,10.68,18.34,0.759,146292
안중열,21 C,0.709,56,41,364.2,324,292,31,1,99.7,7.97,-0.15,,0.68,,-0.04,1.92,1.46,,3.43,8.53,3.72,7.15,0.341,113292
지시완,21 C,0.406,72,52,448.1,436,395,40,1,99.8,8.73,0.44,,0.95,,-0.04,0.02,-2.41,,-0.32,-0.63,4.42,4.1,-0.031,114132
김준태,21 C,0.203,45,31,286.0,273,254,18,1,99.6,8.56,-0.14,,0.43,,-0.27,-1.77,1.11,,-0.97,-2.42,3.02,2.05,-0.097,108352
김주현,21 1B,0.133,2,1,11.0,12,11,1,0,100.0,9.82,1.43,,0.01,,,,,,1.44,25.86,-0.1,1.34,0.142,125702
최종은,21 2B,0.02,1,0,1.0,1,0,1,0,100.0,9.0,0.19,,0.0,,,,,,0.19,27.71,0.01,0.2,0.019,148202
손성빈,21 C,-0.013,12,3,37.2,36,33,3,0,100.0,8.6,0.0,,0.12,,,-0.12,-0.76,,-0.54,-3.86,0.41,-0.13,-0.053,147962
정보근,21 C,-0.075,11,7,54.0,48,41,6,1,97.9,7.83,-0.12,,-0.32,,-0.04,0.0,-1.07,,-1.23,-16.13,0.48,-0.75,-0.122,131542
이병규,21 1B,-0.128,3,2,17.0,17,17,0,0,100.0,9.0,-1.11,,0.01,,,,,,-1.09,-5.44,-0.2,-1.29,-0.109,104772
