Rank,Name,Team,Sort▼,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,비율,비율,비율,비율,비율,비율,WAR▼,팀,pid
Rank,Name,Team,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR▼,,
8,김현수,23 DH,1.64,133,1.71,-0.07,556,555,488,53,143,22,2,6,187,88,2,1,58,1,4,53,10,1,8,0.293,0.364,0.383,0.747,0.13,114.4,1.64,LG 트윈스,10187
9,김민성,23 2B,1.62,112,1.14,0.48,316,307,273,34,68,11,0,8,103,41,2,1,25,7,0,58,7,9,2,0.249,0.326,0.377,0.703,0.114,100.7,1.62,LG 트윈스,10238
10,신민재,23 2B,1.21,122,0.98,0.24,331,314,282,47,78,5,2,0,87,28,37,17,29,1,0,34,5,17,2,0.277,0.344,0.309,0.653,0.1,87.7,1.21,LG 트윈스,13056
11,이천웅,23 LF,0.13,4,0.16,-0.03,3,3,3,0,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,0.612,520.1,0.13,LG 트윈스,10935
12,안익훈,23 RF,0.05,11,0.04,0.01,23,23,22,1,7,1,0,0,8,2,0,0,0,1,0,2,0,0,0,0.318,0.348,0.364,0.712,0.117,103.7,0.05,LG 트윈스,11347
13,이재원,23 LF,0.05,57,0.17,-0.13,129,128,112,15,24,5,0,4,41,18,4,2,12,2,2,40,1,0,3,0.214,0.295,0.366,0.661,0.091,80.4,0.05,LG 트윈스,13104
14,이정용,23 P,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,LG 트윈스,14134
14,김대현,23 P,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,LG 트윈스,12532
14,채지선,23 P,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,LG 트윈스,11387
14,오석주,23 P,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,LG 트윈스,12860
14,최동환,23 P,0.0,3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,LG 트윈스,10535
14,박명근,23 P,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,LG 트윈스,15486
14,김동규,23 P,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,LG 트윈스,15485
14,고우석,23 P,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,LG 트윈스,12907
22,전준호,23 C,-0.02,2,-0.02,0.0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.167,-140.9,-0.02,LG 트윈스,12864
