선수_x,팀_x,pid,포지션
조수행,두산 베어스,125241,좌익수
이상혁,한화 이글스,151399,중견수
이원석,한화 이글스,131389,중견수
천재환,NC 다이노스,132615,우익수
김성욱,NC 다이노스,111535,중견수
유로결,한화 이글스,141269,우익수
오선진,롯데 자이언츠,105572,3루수
김휘집,NC 다이노스,147855,유격수
정준재,SSG 랜더스,160424,2루수
김찬형,SSG 랜더스,126224,2루수
정현승,SSG 랜더스,160434,우익수
박민석,KT 위즈,141108,2루수
최경모,SSG 랜더스,141514,2루수
송민섭,KT 위즈,113428,우익수
하재훈,SSG 랜더스,141474,우익수
최민창,SSG 랜더스,113514,우익수
안상현,SSG 랜더스,126134,2루수
황영묵,한화 이글스,161109,2루수
황성빈,롯데 자이언츠,146422,중견수
이진영,한화 이글스,125399,중견수
박승욱,롯데 자이언츠,108042,유격수
이도윤,한화 이글스,114149,유격수
장두성,롯데 자이언츠,131552,중견수
노진혁,롯데 자이언츠,111652,유격수
손호영,롯데 자이언츠,145902,3루수
안주형,삼성 라이온즈,129883,2루수
김성윤,삼성 라이온즈,129363,중견수
김헌곤,삼성 라이온즈,106403,좌익수
양도근,삼성 라이온즈,158753,2루수
김재상,삼성 라이온즈,154993,2루수
윤정빈,삼성 라이온즈,131613,우익수
최상민,SSG 랜더스,131954,우익수
김성현,SSG 랜더스,106364,2루수
김영웅,삼성 라이온즈,150353,3루수
전병우,삼성 라이온즈,114223,3루수
김현준,삼성 라이온즈,148673,우익수
김민혁,KT 위즈,113398,좌익수
오윤석,KT 위즈,113978,2루수
신본기,KT 위즈,108408,유격수
정준영,KT 위즈,155198,우익수
황재균,KT 위즈,104078,3루수
로하스,KT 위즈,129958,우익수
최원준,KIA 타이거즈,125340,중견수
홍현빈,KT 위즈,129418,우익수
안치영,KT 위즈,130068,중견수
이호연,KT 위즈,131518,3루수
김병준,KT 위즈,150978,중견수
문상철,KT 위즈,113338,1루수
이창진,KIA 타이거즈,112330,좌익수
김동혁,롯데 자이언츠,156452,중견수
윤도현,KIA 타이거즈,150580,2루수
소크라테스,KIA 타이거즈,149960,좌익수
박민,KIA 타이거즈,146110,유격수
레이예스,롯데 자이언츠,161062,우익수
이우성,KIA 타이거즈,110990,1루수
카디네스,삼성 라이온즈,161563,우익수
류지혁,삼성 라이온즈,108943,2루수
장재영,키움 히어로즈,147847,우익수
도슨,키움 히어로즈,156527,좌익수
임지열,키움 히어로즈,112257,우익수
최승민,LG 트윈스,141876,좌익수
김주성,LG 트윈스,125456,유격수
주성원,키움 히어로즈,141337,우익수
변상권,키움 히어로즈,132237,좌익수
맥키넌,삼성 라이온즈,158623,1루수
김수인,LG 트윈스,146756,2루수
김민석,롯데 자이언츠,152532,좌익수
김민성,롯데 자이언츠,102382,3루수
이호준,롯데 자이언츠,160912,2루수
한유섬,SSG 랜더스,108154,우익수
고명준,SSG 랜더스,148074,1루수
윤동희,롯데 자이언츠,150482,중견수
최정,SSG 랜더스,101064,3루수
에레디아,SSG 랜더스,155304,좌익수
최준우,SSG 랜더스,131284,2루수
박지환,SSG 랜더스,160384,2루수
강진성,SSG 랜더스,111484,지명타자
김세훈,NC 다이노스,160585,유격수
한재환,NC 다이노스,146595,지명타자
박영빈,NC 다이노스,146615,좌익수
강승호,두산 베어스,110871,2루수
문보경,LG 트윈스,141376,3루수
박건우,NC 다이노스,101895,우익수
서호철,NC 다이노스,142205,3루수
박시원,NC 다이노스,145975,중견수
손아섭,NC 다이노스,102615,지명타자
양찬열,두산 베어스,147381,우익수
박준영,두산 베어스,125221,유격수
서예일,두산 베어스,125231,3루수
김범석,LG 트윈스,154846,지명타자
김현수,LG 트윈스,101876,좌익수
김인태,두산 베어스,110981,좌익수
김성진,LG 트윈스,141416,1루수
홍창기,LG 트윈스,125466,우익수
신민재,LG 트윈스,130566,2루수
함창건,LG 트윈스,146806,좌익수
김도영,KIA 타이거즈,150560,3루수
김두현,KIA 타이거즈,160860,유격수
최정용,KIA 타이거즈,114070,2루수
변우혁,KIA 타이거즈,141240,1루수
이정훈,롯데 자이언츠,129162,지명타자
서건창,KIA 타이거즈,108550,1루수
이인한,롯데 자이언츠,146902,중견수
이학주,롯데 자이언츠,141142,유격수
이창용,삼성 라이온즈,148663,1루수
김재성,삼성 라이온즈,113443,포수
양우현,삼성 라이온즈,141163,2루수
김태훈,삼성 라이온즈,113363,우익수
구자욱,삼성 라이온즈,108923,좌익수
공민규,삼성 라이온즈,131643,3루수
오선우,KIA 타이거즈,141810,우익수
심우준,KT 위즈,113348,유격수
강백호,KT 위즈,131688,지명타자
윤준혁,KT 위즈,146058,3루수
김상수,KT 위즈,103208,유격수
김지찬,삼성 라이온즈,146183,중견수
김동진,삼성 라이온즈,148633,2루수
권동진,KT 위즈,147778,2루수
장준원,KT 위즈,112148,유격수
조용호,KT 위즈,129438,우익수
안치홍,한화 이글스,100149,지명타자
임종찬,한화 이글스,147069,중견수
최인호,한화 이글스,147079,좌익수
채은성,한화 이글스,112159,1루수
김인환,한화 이글스,125899,좌익수
이명기,한화 이글스,101199,지명타자
이승원,키움 히어로즈,154767,유격수
