선수,연봉(만원),WAR,WAR당 연봉,팀,pid
류원석,3300,0.10,34091,LG 트윈스,13251
이재원,3200,0.75,4268,LG 트윈스,13104
한석현,3200,0.09,34781,LG 트윈스,13250
한선태,3200,-,-,LG 트윈스,14144
김주성,3100,-0.16,-19525,LG 트윈스,12545
이찬혁,3100,-0.02,-133633,LG 트윈스,12909
박재욱,3100,-,-,LG 트윈스,12512
김재성,3100,-0.58,-5349,LG 트윈스,11344
오석주,3100,-0.05,-66938,LG 트윈스,12860
김태형,3100,-0.02,-188092,LG 트윈스,12863
이상영,3100,0.51,6039,LG 트윈스,14135
문성주,3100,0.36,8625,LG 트윈스,13112
최민창,3100,0.00,-4591837,LG 트윈스,11351
함창건,3000,-,-,LG 트윈스,14680
이정우,3000,-,-,LG 트윈스,14678
하영진,3000,-,-,LG 트윈스,14671
강효종,3000,-,-,LG 트윈스,14780
김진수,3000,0.04,84095,LG 트윈스,14781
조건희,3000,-,-,LG 트윈스,14782
이영빈,3000,0.26,11669,LG 트윈스,14783
김형욱,3000,-,-,LG 트윈스,14844
김지용,3000,-,-,LG 트윈스,14843
김유민,3000,-,-,LG 트윈스,14842
김대현,3000,-,-,LG 트윈스,14841
이믿음,3000,-,-,LG 트윈스,14847
송승기,3000,-,-,LG 트윈스,14846
박민호,3000,-,-,LG 트윈스,14845
최우혁,3000,-,-,LG 트윈스,13111
김기연,3000,-,-,LG 트윈스,12549
이동규,3000,-,-,LG 트윈스,12553
배재준,3000,0.35,8565,LG 트윈스,12697
이주형,3000,0.07,40684,LG 트윈스,14591
강민,3000,-,-,LG 트윈스,14660
조용근,3000,-,-,LG 트윈스,14670
문보경,3000,1.78,1688,LG 트윈스,14137
임지섭,3000,-,-,LG 트윈스,11211
임준형,3000,0.76,3964,LG 트윈스,14142
스트레일리,90000,4.37,20594,롯데 자이언츠,14627
이대호,80000,0.88,91238,롯데 자이언츠,10251
민병헌,50000,-0.69,-72463,롯데 자이언츠,10188
마차도,50000,4.24,11779,롯데 자이언츠,14629
전준우,50000,3.84,13027,롯데 자이언츠,10266
손아섭,50000,2.73,18294,롯데 자이언츠,10261
안치홍,29000,2.94,9863,롯데 자이언츠,10014
프랑코,24500,2.10,11678,롯데 자이언츠,14756
노경은,20000,-0.20,-100203,롯데 자이언츠,10203
김원중,17000,1.86,9124,롯데 자이언츠,10825
박세웅,16500,5.23,3155,롯데 자이언츠,11310
구승민,15000,1.38,10881,롯데 자이언츠,11291
박진형,12000,-0.33,-36160,롯데 자이언츠,11425
