선수_x,팀_x,pid
한유섬,SSG 랜더스,108154
고명준,SSG 랜더스,148074
윤동희,롯데 자이언츠,150482
최정,SSG 랜더스,101064
에레디아,SSG 랜더스,155304
최준우,SSG 랜더스,131284
박지환,SSG 랜더스,160384
강진성,SSG 랜더스,111484
김세훈,NC 다이노스,160585
한재환,NC 다이노스,146595
박영빈,NC 다이노스,146615
강승호,두산 베어스,110871
문보경,LG 트윈스,141376
박건우,NC 다이노스,101895
서호철,NC 다이노스,142205
박시원,NC 다이노스,145975
손아섭,NC 다이노스,102615
양찬열,두산 베어스,147381
박준영,두산 베어스,125221
서예일,두산 베어스,125231
김범석,LG 트윈스,154846
김현수,LG 트윈스,101876
김인태,두산 베어스,110981
김성진,LG 트윈스,141416
홍창기,LG 트윈스,125466
신민재,LG 트윈스,130566
함창건,LG 트윈스,146806
김도영,KIA 타이거즈,150560
김두현,KIA 타이거즈,160860
최정용,KIA 타이거즈,114070
변우혁,KIA 타이거즈,141240
이정훈,롯데 자이언츠,129162
서건창,KIA 타이거즈,108550
이인한,롯데 자이언츠,146902
이학주,롯데 자이언츠,141142
이창용,삼성 라이온즈,148663
김재성,삼성 라이온즈,113443
양우현,삼성 라이온즈,141163
김태훈,삼성 라이온즈,113363
구자욱,삼성 라이온즈,108923
공민규,삼성 라이온즈,131643
오선우,KIA 타이거즈,141810
심우준,KT 위즈,113348
강백호,KT 위즈,131688
윤준혁,KT 위즈,146058
김상수,KT 위즈,103208
김지찬,삼성 라이온즈,146183
김동진,삼성 라이온즈,148633
권동진,KT 위즈,147778
장준원,KT 위즈,112148
조용호,KT 위즈,129438
안치홍,한화 이글스,100149
임종찬,한화 이글스,147069
최인호,한화 이글스,147079
채은성,한화 이글스,112159
김인환,한화 이글스,125899
이명기,한화 이글스,101199
이승원,키움 히어로즈,154767
