Rank,Name,Team,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,pid
4,최정원,24 CF,0.11,60,30,296.0,141,108,30,3,0.979,4.196,0.67,0.04,-0.47,0.77,0.0,,0.0,0.0,1.02,2.448,0.186,1.206,0.093,142215
4,최항,24 2B,0.202,68,27,295.0,163,64,97,2,0.988,4.912,0.45,0.0,0.82,0.38,0.0,,0.0,0.0,1.64,3.473,0.576,2.216,0.15,108102
13,조수행,24 LF,0.445,135,93,885.0,252,247,4,1,0.996,2.553,5.46,-0.29,1.14,0.0,0.0,,0.0,0.0,6.32,6.741,-1.445,4.875,0.577,125241
31,이상혁,24 RF,-0.116,18,1,41.0,10,10,0,0,1.0,2.195,-0.64,-0.71,0.1,0.0,0.0,,0.0,0.0,-1.26,-10.08,-0.009,-1.269,-0.115,151399
5,이원석,24 CF,0.025,75,28,336.0,82,80,1,1,0.988,2.17,0.9,-0.68,0.17,0.0,0.0,,0.0,0.0,0.39,0.749,-0.117,0.273,0.036,131389
46,천재환,24 RF,-0.303,96,51,494.0,104,100,2,2,0.981,1.858,-3.51,0.89,0.1,0.0,0.0,,0.0,0.0,-2.52,-3.78,-0.8,-3.32,-0.23,132615
38,김성욱,24 CF,-0.367,144,94,875.0,233,226,6,1,0.996,2.386,-4.93,-0.35,1.34,0.0,0.0,,0.0,0.0,-3.93,-3.93,-0.084,-4.014,-0.359,111535
6,유로결,24 RF,0.246,20,6,81.0,16,16,0,0,1.0,1.778,1.95,0.7,0.17,0.0,0.0,,0.0,0.0,2.82,20.304,-0.128,2.692,0.258,141269
14,오선진,24 3B,0.144,27,3,74.0,20,3,17,0,1.0,2.432,0.69,0.0,0.5,0.35,0.0,,0.0,0.0,1.54,8.213,0.034,1.574,0.141,105572
5,김휘집,24 3B,0.412,89,75,638.0,286,150,126,10,0.965,3.893,3.57,0.0,-0.49,1.04,0.0,,0.0,0.0,4.22,6.828,0.288,4.508,0.386,147855
3,정준재,24 2B,0.423,78,57,476.0,248,89,156,3,0.988,4.632,3.38,0.0,1.46,-0.84,0.0,,0.0,0.0,3.33,6.148,1.303,4.633,0.304,160424
23,김찬형,24 2B,-0.02,5,2,24.0,10,6,4,0,1.0,3.75,-0.39,0.0,0.17,0.0,0.0,,0.0,0.0,-0.24,-6.912,0.016,-0.224,-0.022,126224
17,정현승,24 RF,-0.087,21,8,86.0,15,15,0,0,1.0,1.57,-1.23,0.16,0.2,0.0,0.0,,0.0,0.0,-0.87,-5.966,-0.085,-0.955,-0.079,160434
51,박민석,24 2B,-0.258,13,0,30.0,14,4,7,3,0.786,3.3,-1.96,0.0,-1.3,0.38,0.0,,0.0,0.0,-2.88,-31.902,0.06,-2.82,-0.263,141108
5,최경모,24 2B,-0.08,48,11,152.0,53,14,35,4,0.925,2.901,0.67,0.0,-0.97,-0.67,0.0,,0.0,0.0,-0.98,-2.94,0.102,-0.878,-0.09,141514
60,송민섭,24 RF,-0.261,36,0,68.0,12,11,0,1,0.917,1.456,-2.15,-0.31,-0.32,0.0,0.0,,0.0,0.0,-2.79,-11.16,-0.067,-2.857,-0.255,113428
50,하재훈,24 RF,-1.018,100,73,666.0,140,128,5,7,0.95,1.797,-8.65,0.45,-2.04,0.0,0.0,,0.0,0.0,-10.25,-14.76,-0.896,-11.146,-0.937,141474
25,최민창,24 RF,-0.005,6,0,8.0,2,2,0,0,1.0,2.25,-0.39,0.33,0.01,0.0,0.0,,0.0,0.0,-0.05,-1.2,-0.005,-0.055,-0.005,113514
37,안상현,24 2B,-0.255,34,23,193.0,96,34,57,5,0.948,4.244,-1.84,0.0,-1.31,-0.28,0.0,,0.0,0.0,-3.35,-14.188,0.557,-2.793,-0.306,126134
3,황영묵,24 2B,0.212,131,83,786.0,449,191,246,12,0.973,5.004,2.76,0.0,-0.52,-2.37,0.0,,0.0,0.0,-0.12,-0.132,2.441,2.321,-0.011,161109
