선수,연봉(만원),팀,pid,연도,팀연봉순위,전체연봉순위,계약금(만원),계약금(만원)분할,연봉 총수령액(만원)
김대현,2700,KT 위즈,14883,2022,81,830,0,0,2700
김도규,5700,롯데 자이언츠,13148,2022,32,357,0,0,5700
김도영,3000,KIA 타이거즈,15056,2022,62,581,0,0,3000
김도윤,9100,두산 베어스,14768,2022,30,249,0,0,9100
김도현,3500,KIA 타이거즈,14128,2022,50,475,0,0,3500
김도현,3000,SSG 랜더스,15025,2022,55,581,0,0,3000
김동엽,15000,삼성 라이온즈,12548,2022,18,163,0,0,15000
김동우,3100,롯데 자이언츠,13149,2022,50,559,0,0,3100
김동욱,3000,롯데 자이언츠,15136,2022,54,581,0,0,3000
김동욱,3100,키움 히어로즈,14681,2022,54,559,0,0,3100
김동주,15000,두산 베어스,14769,2022,17,163,0,0,15000
김동준,3000,두산 베어스,15100,2022,63,581,0,0,3000
김동진,9100,삼성 라이온즈,14863,2022,25,249,0,0,9100
김동혁,6000,키움 히어로즈,14674,2022,31,334,0,0,6000
김리안,3000,키움 히어로즈,15074,2022,55,581,0,0,3000
김만수,3100,KT 위즈,12646,2022,55,559,0,0,3100
김명신,10000,두산 베어스,12847,2022,27,228,0,0,10000
김문수,3000,두산 베어스,14205,2022,63,581,0,0,3000
김민,5500,KT 위즈,13167,2022,41,360,0,0,5500
김민기,3000,롯데 자이언츠,14635,2022,54,581,0,0,3000
김민기,3000,한화 이글스,13141,2022,63,581,0,0,3000
김민서,6000,KT 위즈,14884,2022,40,334,0,0,6000
김민성,18000,LG 트윈스,10238,2022,20,152,0,0,18000
김민수,3000,KIA 타이거즈,14183,2022,62,581,0,0,3000
김민수,11500,KT 위즈,11317,2022,23,207,0,0,11500
김민수,5300,롯데 자이언츠,12931,2022,33,368,0,0,5300
김민수,3000,롯데 자이언츠,14168,2022,54,581,0,0,3000
김민수,6200,삼성 라이온즈,11266,2022,31,332,0,0,6200
김민수,3000,키움 히어로즈,15077,2022,55,581,0,0,3000
김민식,9500,SSG 랜더스,10707,2022,31,246,0,0,9500
김민우,19100,한화 이글스,11410,2022,10,142,0,0,19100
김민재,3100,SSG 랜더스,12616,2022,54,559,0,0,3100
김민혁,9000,KT 위즈,11339,2022,28,252,0,0,9000
김민혁,3200,두산 베어스,12970,2022,55,525,0,0,3200
김범수,9680,한화 이글스,11411,2022,22,245,0,0,9680
김병준,3000,KT 위즈,15097,2022,59,581,0,0,3000
김병희,4700,KT 위즈,11330,2022,43,397,0,0,4700
김상민,3000,삼성 라이온즈,15042,2022,59,581,0,0,3000
김상수,30000,SSG 랜더스,10427,2022,13,93,0,0,30000
김상수,25000,삼성 라이온즈,10320,2022,13,121,0,0,25000
김서준,3000,삼성 라이온즈,15039,2022,59,581,0,0,3000
김서진,3000,롯데 자이언츠,15053,2022,54,581,0,0,3000
김석환,3100,KIA 타이거즈,12917,2022,59,559,0,0,3100
김선기,6300,키움 히어로즈,13092,2022,30,330,0,0,6300
김선빈,45000,KIA 타이거즈,10008,2022,7,76,0,0,45000
김선우,6000,KIA 타이거즈,14822,2022,31,334,0,0,6000
김선우,0,삼성 라이온즈,13260,2022,76,840,0,0,0
김성균,3000,KT 위즈,14723,2022,59,581,0,0,3000
김성민,3000,두산 베어스,14730,2022,63,581,0,0,3000
김성민,9000,키움 히어로즈,12918,2022,20,252,0,0,9000
김성우,3000,LG 트윈스,15085,2022,67,581,0,0,3000
김성윤,3800,삼성 라이온즈,12936,2022,49,458,0,0,3800
김성진,12000,키움 히어로즈,14849,2022,16,193,0,0,12000
김성표,3800,삼성 라이온즈,11109,2022,49,458,0,0,3800
김성현,20000,SSG 랜더스,10636,2022,13,93,20000,10000,30000
김성협,3000,LG 트윈스,12911,2022,67,581,0,0,3000
김세민,3000,롯데 자이언츠,15049,2022,54,581,0,0,3000
김세민,4000,삼성 라이온즈,14865,2022,46,423,0,0,4000
김수윤,3000,NC 다이노스,12903,2022,53,581,0,0,3000
김수환,3400,키움 히어로즈,13096,2022,46,491,0,0,3400
김승준,3000,롯데 자이언츠,15134,2022,54,581,0,0,3000
김승현,5500,삼성 라이온즈,12637,2022,34,360,0,0,5500
김시앙,8000,키움 히어로즈,14851,2022,23,273,0,0,8000
김시완,3000,두산 베어스,15108,2022,63,581,0,0,3000
김시훈,3000,NC 다이노스,13080,2022,53,581,0,0,3000
김양수,3000,KIA 타이거즈,14645,2022,62,581,0,0,3000
김영규,9500,NC 다이노스,13088,2022,27,246,0,0,9500
김영웅,3000,삼성 라이온즈,15035,2022,59,581,0,0,3000
김영준,3500,LG 트윈스,13102,2022,56,475,0,0,3500
김영현,9000,KT 위즈,14869,2022,28,252,0,0,9000
김용완,3000,롯데 자이언츠,15054,2022,54,581,0,0,3000
김웅빈,7000,키움 히어로즈,12503,2022,26,291,0,0,7000
김원중,28000,롯데 자이언츠,10825,2022,12,105,0,0,28000
김유민,7000,LG 트윈스,14842,2022,34,291,0,0,7000
김유신,3700,KIA 타이거즈,13114,2022,46,464,0,0,3700
김유영,4800,롯데 자이언츠,11229,2022,36,393,0,0,4800
김윤수,6500,삼성 라이온즈,13162,2022,28,313,0,0,6500
김윤식,7000,LG 트윈스,14588,2022,34,291,0,0,7000
김응민,4900,NC 다이노스,10890,2022,37,391,0,0,4900
김의준,3000,LG 트윈스,13108,2022,67,581,0,0,3000
김인범,3300,키움 히어로즈,14480,2022,48,500,0,0,3300
김인태,14000,두산 베어스,11098,2022,20,173,0,0,14000
김인환,3200,한화 이글스,12589,2022,54,525,0,0,3200
김재균,3000,NC 다이노스,13084,2022,53,581,0,0,3000
김재성,4500,삼성 라이온즈,11344,2022,42,403,0,0,4500
김재열,3900,KIA 타이거즈,14747,2022,44,456,0,0,3900
김재영,5500,한화 이글스,12547,2022,34,360,0,0,5500
김재웅,10400,키움 히어로즈,12858,2022,17,224,0,0,10400
김재유,6000,롯데 자이언츠,11483,2022,29,334,0,0,6000
김재윤,28000,KT 위즈,11489,2022,13,105,0,0,28000
김재혁,3000,삼성 라이온즈,15036,2022,59,581,0,0,3000
김재현,4000,SSG 랜더스,11289,2022,44,423,0,0,4000
김재현,6500,키움 히어로즈,10870,2022,29,313,0,0,6500
김재호,50000,두산 베어스,10174,2022,6,50,90000,30000,80000
김재환,150000,두산 베어스,10643,2022,1,3,550000,137500,287500
김정빈,3200,KIA 타이거즈,11364,2022,57,525,0,0,3200
김정우,3000,SSG 랜더스,13124,2022,55,581,0,0,3000
김정인,4000,키움 히어로즈,11531,2022,40,423,0,0,4000
김정호,7000,NC 다이노스,14829,2022,31,291,0,0,7000
김종수,7900,한화 이글스,11117,2022,24,283,0,0,7900
김주성,3300,LG 트윈스,12545,2022,60,500,0,0,3300
김주온,3000,SSG 랜더스,13057,2022,55,581,0,0,3000
김주완,3000,LG 트윈스,15079,2022,67,581,0,0,3000
김주원,21000,NC 다이노스,14765,2022,14,131,0,0,21000
김주현,3300,롯데 자이언츠,12570,2022,44,500,0,0,3300
김주형,4500,키움 히어로즈,14214,2022,38,403,0,0,4500
김준상,8000,NC 다이노스,14827,2022,29,273,0,0,8000
김준석,3000,한화 이글스,15140,2022,63,581,0,0,3000
김준완,5000,키움 히어로즈,11182,2022,34,376,0,0,5000
김준태,6500,KT 위즈,10835,2022,39,313,0,0,6500
김준형,12200,키움 히어로즈,14848,2022,15,192,0,0,12200
김지용,7000,LG 트윈스,14843,2022,34,291,0,0,7000
김지용,6000,두산 베어스,10747,2022,39,334,0,0,6000
김지찬,11000,삼성 라이온즈,14618,2022,22,212,0,0,11000
김진성,10000,LG 트윈스,11166,2022,27,228,0,0,10000
김진우,6000,NC 다이노스,14831,2022,33,334,0,0,6000
김진욱,42100,롯데 자이언츠,14792,2022,10,80,0,0,42100
김진호,3000,NC 다이노스,12897,2022,53,581,0,0,3000
김찬민,3000,KIA 타이거즈,15060,2022,62,581,0,0,3000
김창용,3000,KIA 타이거즈,14184,2022,62,581,0,0,3000
김창훈,11100,롯데 자이언츠,14793,2022,16,211,0,0,11100
김태경,3300,NC 다이노스,14593,2022,48,500,0,0,3300
김태군,20000,삼성 라이온즈,10459,2022,14,134,0,0,20000
김태근,3000,두산 베어스,14175,2022,63,581,0,0,3000
김태연,5600,한화 이글스,12585,2022,33,359,0,0,5600
김태오,3400,KT 위즈,12577,2022,49,491,0,0,3400
김태우,3000,SSG 랜더스,14688,2022,55,581,0,0,3000
김태우,0,삼성 라이온즈,13158,2022,76,840,0,0,0
김태윤,3000,SSG 랜더스,15030,2022,55,581,0,0,3000
김태진,10000,키움 히어로즈,11244,2022,18,228,0,0,10000
김태현,3000,NC 다이노스,12898,2022,53,581,0,0,3000
김태형,3200,LG 트윈스,12863,2022,62,525,0,0,3200
김태훈,4100,KT 위즈,11336,2022,45,417,0,0,4100
김태훈,15000,SSG 랜더스,10133,2022,21,163,0,0,15000
김태훈,19000,키움 히어로즈,10871,2022,12,144,0,0,19000
김택형,12500,SSG 랜더스,11373,2022,24,188,0,0,12500
김한별,3000,KT 위즈,12620,2022,59,581,0,0,3000
김한별,3000,NC 다이노스,14716,2022,53,581,0,0,3000
김헌곤,18000,삼성 라이온즈,10640,2022,17,152,0,0,18000
김현수,4000,KIA 타이거즈,14162,2022,39,423,0,0,4000
김현수,150000,LG 트윈스,10187,2022,1,4,500000,125000,275000
김현우,8000,키움 히어로즈,14856,2022,23,273,0,0,8000
김현준,3400,KIA 타이거즈,12533,2022,55,491,0,0,3400
김현준,6300,삼성 라이온즈,14867,2022,30,330,0,0,6300
김형욱,9000,LG 트윈스,14844,2022,31,252,0,0,9000
김혜성,32000,키움 히어로즈,12905,2022,7,89,0,0,32000
김호령,6000,KIA 타이거즈,11298,2022,31,334,0,0,6000
김호은,4000,LG 트윈스,12554,2022,49,423,0,0,4000
김호재,7000,삼성 라이온즈,13240,2022,26,291,0,0,7000
김휘집,13900,키움 히어로즈,14785,2022,14,178,0,0,13900
나균안,5800,롯데 자이언츠,12930,2022,31,354,0,0,5800
나성범,200000,KIA 타이거즈,11162,2022,1,2,600000,100000,300000
나승엽,54000,롯데 자이언츠,14797,2022,7,70,0,0,54000
나용기,3000,KIA 타이거즈,14186,2022,62,581,0,0,3000
나원탁,3100,롯데 자이언츠,12935,2022,50,559,0,0,3100
나지완,15000,KIA 타이거즈,10030,2022,13,163,0,0,15000
남지민,3300,한화 이글스,14619,2022,49,500,0,0,3300
남하준,3300,KIA 타이거즈,12535,2022,56,500,0,0,3300
남호,3500,두산 베어스,14139,2022,50,475,0,0,3500
노경은,10000,SSG 랜더스,10203,2022,29,228,0,0,10000
노바,117000,SSG 랜더스,15007,2022,8,30,0,0,117000
노상혁,3000,NC 다이노스,14648,2022,53,581,0,0,3000
노석진,3000,한화 이글스,15022,2022,63,581,0,0,3000
노성호,5800,삼성 라이온즈,11144,2022,32,354,0,0,5800
노수광,12840,한화 이글스,11268,2022,17,187,0,0,12840
노시환,12000,한화 이글스,14125,2022,18,193,0,0,12000
노시훈,3000,NC 다이노스,14649,2022,53,581,0,0,3000
노운현,3000,키움 히어로즈,15027,2022,55,581,0,0,3000
노진혁,23000,NC 다이노스,11165,2022,13,128,0,0,23000
놀린,78000,KIA 타이거즈,14998,2022,4,53,0,0,78000
더모디,28600,NC 다이노스,15154,2022,10,104,0,0,28600
데스파이네,143000,KT 위즈,14602,2022,1,20,0,0,143000
도태훈,4000,NC 다이노스,12560,2022,42,423,0,0,4000
라가레스,52000,SSG 랜더스,15151,2022,12,71,0,0,52000
라모스,97500,KT 위즈,15000,2022,4,40,0,0,97500
라미레즈,48750,한화 이글스,15145,2022,7,75,0,0,48750
렉스,40300,롯데 자이언츠,15152,2022,11,83,0,0,40300
로니,52000,KIA 타이거즈,14997,2022,6,71,0,0,52000
루이즈,97500,LG 트윈스,15002,2022,4,40,0,0,97500
루친스키,247000,NC 다이노스,13932,2022,2,8,0,0,247000
류승현,4000,KIA 타이거즈,12543,2022,39,423,0,0,4000
류원석,4000,LG 트윈스,13251,2022,49,423,0,0,4000
류지혁,10500,KIA 타이거즈,10894,2022,20,220,0,0,10500
류진욱,7500,NC 다이노스,11355,2022,30,286,0,0,7500
류하성,1500,키움 히어로즈,15130,2022,79,839,0,0,1500
류희운,3300,한화 이글스,12655,2022,49,500,0,0,3300
마티니,71500,NC 다이노스,15008,2022,5,59,0,0,71500
모리만도,23400,SSG 랜더스,15149,2022,15,125,0,0,23400
문경찬,9000,롯데 자이언츠,11299,2022,19,252,0,0,9000
문대원,3200,두산 베어스,12848,2022,55,525,0,0,3200
문동주,3000,한화 이글스,15013,2022,63,581,0,0,3000
문보경,6800,LG 트윈스,14137,2022,38,309,0,0,6800
문상인,3200,KT 위즈,13227,2022,52,525,0,0,3200
문상준,3000,KT 위즈,14720,2022,59,581,0,0,3000
문상철,6600,KT 위즈,11333,2022,38,312,0,0,6600
문성주,4200,LG 트윈스,13112,2022,48,413,0,0,4200
문성현,3500,키움 히어로즈,10437,2022,45,475,0,0,3500
문승원,160000,SSG 랜더스,10783,2022,6,16,0,0,160000
문승진,6000,한화 이글스,14874,2022,30,334,0,0,6000
문용익,4500,삼성 라이온즈,12885,2022,42,403,0,0,4500
문정빈,3000,LG 트윈스,15086,2022,67,581,0,0,3000
미란다,247000,두산 베어스,14751,2022,2,8,0,0,247000
민성우,3000,롯데 자이언츠,15135,2022,54,581,0,0,3000
민승기,3000,한화 이글스,15137,2022,63,581,0,0,3000
박건우,16100,KIA 타이거즈,14786,2022,12,159,0,0,16100
박건우,190000,NC 다이노스,10189,2022,1,6,400000,66666,256666
박경수,29000,KT 위즈,10469,2022,12,103,0,0,29000
박계범,14500,두산 베어스,11198,2022,18,171,0,0,14500
박관진,3000,키움 히어로즈,14693,2022,55,581,0,0,3000
박대온,4000,NC 다이노스,11246,2022,42,423,0,0,4000
박동수,3000,NC 다이노스,15112,2022,53,581,0,0,3000
박동원,31000,KIA 타이거즈,10387,2022,9,91,0,0,31000
박명현,3200,롯데 자이언츠,14622,2022,48,525,0,0,3200
박민,3500,KIA 타이거즈,14611,2022,50,475,0,0,3500
박민우,41000,NC 다이노스,11137,2022,9,81,0,0,41000
박민호,12000,SSG 랜더스,11236,2022,25,193,0,0,12000
박병호,60000,KT 위즈,10470,2022,6,49,70000,23333,83333
박상언,3200,한화 이글스,12587,2022,54,525,0,0,3200
박상원,13300,한화 이글스,12871,2022,15,180,0,0,13300
박상준,3000,KIA 타이거즈,15125,2022,62,581,0,0,3000
박상후,3000,SSG 랜더스,15026,2022,55,581,0,0,3000
박석민,70000,NC 다이노스,10322,2022,7,62,0,0,70000
박선우,3300,롯데 자이언츠,12569,2022,44,500,0,0,3300
박성재,3000,NC 다이노스,15110,2022,53,581,0,0,3000
박성재,6100,두산 베어스,14838,2022,38,333,0,0,6100
박성한,14000,SSG 랜더스,12922,2022,23,173,0,0,14000
박세웅,26000,롯데 자이언츠,11310,2022,13,115,0,0,26000
박세웅,3300,삼성 라이온즈,12651,2022,53,500,0,0,3300
박세혁,30000,두산 베어스,10891,2022,10,93,0,0,30000
박소준,4500,두산 베어스,11491,2022,45,403,0,0,4500
박수용,3000,KIA 타이거즈,14182,2022,62,581,0,0,3000
박수종,2700,키움 히어로즈,15132,2022,77,830,0,0,2700
박승규,5700,삼성 라이온즈,14122,2022,33,357,0,0,5700
박승욱,3000,롯데 자이언츠,10804,2022,54,581,0,0,3000
박승주,3200,키움 히어로즈,12989,2022,49,525,0,0,3200
박시영,12000,KT 위즈,10737,2022,22,193,0,0,12000
박시윤,2700,KT 위즈,13170,2022,81,830,0,0,2700
박시후,3000,SSG 랜더스,14687,2022,55,581,0,0,3000
박신지,3100,두산 베어스,13070,2022,60,559,0,0,3100
박영현,3000,KT 위즈,15089,2022,59,581,0,0,3000
박웅,3300,두산 베어스,14731,2022,51,500,0,0,3300
박유연,3000,두산 베어스,12892,2022,63,581,0,0,3000
박윤철,3200,한화 이글스,14129,2022,54,525,0,0,3200
박재욱,3500,LG 트윈스,12512,2022,56,475,0,0,3500
박정빈,8000,SSG 랜더스,14862,2022,33,273,0,0,8000
박정수,5000,두산 베어스,11300,2022,42,376,0,0,5000
박정우,3500,KIA 타이거즈,12869,2022,50,475,0,0,3500
박정준,3000,삼성 라이온즈,11220,2022,59,581,0,0,3000
박정현,3500,한화 이글스,14704,2022,44,475,0,0,3500
박정훈,3000,키움 히어로즈,15076,2022,55,581,0,0,3000
박제범,6000,SSG 랜더스,14859,2022,39,334,0,0,6000
박종훈,180000,SSG 랜더스,10131,2022,4,13,0,0,180000
박주성,4000,키움 히어로즈,14130,2022,40,423,0,0,4000
박주혁,3300,삼성 라이온즈,14668,2022,53,500,0,0,3300
박주현,2700,KT 위즈,13175,2022,81,830,0,0,2700
박주현,3200,키움 히어로즈,11375,2022,49,525,0,0,3200
박주홍,3200,키움 히어로즈,14580,2022,49,525,0,0,3200
박준영,7000,NC 다이노스,12522,2022,31,291,0,0,7000
박준영,3000,한화 이글스,15014,2022,63,581,0,0,3000
박준태,5000,키움 히어로즈,11260,2022,34,376,0,0,5000
박준표,12500,KIA 타이거즈,11070,2022,16,188,0,0,12500
박진,3100,롯데 자이언츠,14163,2022,50,559,0,0,3100
박진태,6000,KIA 타이거즈,12913,2022,31,334,0,0,6000
박찬혁,3000,키움 히어로즈,15068,2022,55,581,0,0,3000
박찬호,12000,KIA 타이거즈,11261,2022,17,193,0,0,12000
박치국,14500,두산 베어스,12850,2022,18,171,0,0,14500
박해민,60000,LG 트윈스,11190,2022,3,21,320000,80000,140000
반즈,79999,롯데 자이언츠,15011,2022,3,52,0,0,79999
배성근,4200,롯데 자이언츠,13279,2022,38,413,0,0,4200
배재준,5000,LG 트윈스,12697,2022,43,376,0,0,5000
배정대,26000,KT 위즈,11212,2022,15,115,0,0,26000
배제성,27000,KT 위즈,11394,2022,14,111,0,0,27000
배현호,3000,키움 히어로즈,13095,2022,55,581,0,0,3000
백도렬,3000,KIA 타이거즈,15062,2022,62,581,0,0,3000
백선기,2700,KT 위즈,13174,2022,81,830,0,0,2700
백승현,5000,LG 트윈스,13009,2022,43,376,0,0,5000
백용환,4000,한화 이글스,10003,2022,40,423,0,0,4000
백정현,80000,삼성 라이온즈,10363,2022,5,32,140000,35000,115000
백진수,3000,키움 히어로즈,15070,2022,55,581,0,0,3000
벤자민,43030,KT 위즈,15143,2022,9,79,0,0,43030
변상권,4800,키움 히어로즈,13223,2022,37,393,0,0,4800
변우혁,3000,한화 이글스,14124,2022,63,581,0,0,3000
뷰캐넌,156000,삼성 라이온즈,14617,2022,3,18,0,0,156000
브랜든,26000,두산 베어스,15153,2022,12,115,0,0,26000
서건창,26000,LG 트윈스,10855,2022,14,115,0,0,26000
서덕원,3600,KIA 타이거즈,12538,2022,47,469,0,0,3600
서동민,4000,SSG 랜더스,13191,2022,44,423,0,0,4000
서예일,3300,두산 베어스,12523,2022,51,500,0,0,3300
서의태,3000,NC 다이노스,12574,2022,53,581,0,0,3000
서주원,0,삼성 라이온즈,13165,2022,76,840,0,0,0
서준교,3000,NC 다이노스,15120,2022,53,581,0,0,3000
서준원,8400,롯데 자이언츠,14159,2022,21,268,0,0,8400
서진용,18500,SSG 랜더스,10784,2022,17,148,0,0,18500
서호철,3000,NC 다이노스,14220,2022,53,581,0,0,3000
석정우,3000,SSG 랜더스,15121,2022,55,581,0,0,3000
성동현,3000,LG 트윈스,13103,2022,67,581,0,0,3000
소크라테스,78000,KIA 타이거즈,14996,2022,4,53,0,0,78000
소형준,20000,KT 위즈,14600,2022,18,134,0,0,20000
손아섭,150000,NC 다이노스,10261,2022,3,11,260000,65000,215000
손정욱,4000,NC 다이노스,11142,2022,42,423,0,0,4000
손주영,3800,LG 트윈스,12908,2022,54,458,0,0,3800
손진규,3000,KIA 타이거즈,15066,2022,62,581,0,0,3000
손호영,3500,LG 트윈스,14590,2022,56,475,0,0,3500
송명기,13000,NC 다이노스,14155,2022,18,183,0,0,13000
송민섭,8100,KT 위즈,11342,2022,33,270,0,0,8100
송성문,7500,키움 히어로즈,11376,2022,25,286,0,0,7500
송승기,6000,LG 트윈스,14846,2022,39,334,0,0,6000
송승환,3000,두산 베어스,14172,2022,63,581,0,0,3000
송윤준,4100,한화 이글스,10748,2022,39,417,0,0,4100
송은범,15000,LG 트윈스,10137,2022,21,163,0,0,15000
송재영,9100,롯데 자이언츠,14794,2022,18,249,0,0,9100
송정인,3000,키움 히어로즈,15069,2022,55,581,0,0,3000
송준석,4700,삼성 라이온즈,11200,2022,39,397,0,0,4700
송찬의,3000,LG 트윈스,13109,2022,67,581,0,0,3000
송현제,3000,KT 위즈,15098,2022,59,581,0,0,3000
송호정,13100,한화 이글스,14812,2022,16,181,0,0,13100
송후섭,3000,KIA 타이거즈,12867,2022,62,581,0,0,3000
수아레즈,104000,삼성 라이온즈,15001,2022,6,33,0,0,104000
스탁,65000,두산 베어스,14999,2022,7,63,0,0,65000
스트레일리,52000,롯데 자이언츠,14627,2022,8,71,0,0,52000
스파크맨,65000,롯데 자이언츠,15010,2022,6,63,0,0,65000
신동민,3000,SSG 랜더스,13272,2022,55,581,0,0,3000
신명승,3000,KIA 타이거즈,15065,2022,62,581,0,0,3000
신민재,5000,LG 트윈스,13056,2022,43,376,0,0,5000
신민철,3000,두산 베어스,15102,2022,63,581,0,0,3000
신민혁,12000,NC 다이노스,13085,2022,21,193,0,0,12000
신범수,3600,KIA 타이거즈,12541,2022,47,469,0,0,3600
신범준,20000,KT 위즈,14774,2022,18,134,0,0,20000
신병률,3100,KT 위즈,13173,2022,55,559,0,0,3100
신본기,11500,KT 위즈,10840,2022,23,207,0,0,11500
신성현,4000,두산 베어스,11492,2022,46,423,0,0,4000
신용수,4900,롯데 자이언츠,14169,2022,35,391,0,0,4900
신재영,4000,SSG 랜더스,11149,2022,44,423,0,0,4000
신정락,5400,한화 이글스,10516,2022,35,366,0,0,5400
신정환,3000,삼성 라이온즈,15038,2022,59,581,0,0,3000
신준우,4000,키움 히어로즈,14695,2022,40,423,0,0,4000
신지후,3100,한화 이글스,14620,2022,59,559,0,0,3100
신창희,3000,두산 베어스,12608,2022,63,581,0,0,3000
신학진,3000,롯데 자이언츠,14637,2022,54,581,0,0,3000
신헌민,3000,SSG 랜더스,15024,2022,55,581,0,0,3000
신현수,3000,한화 이글스,15021,2022,63,581,0,0,3000
심우준,26000,KT 위즈,11334,2022,15,115,0,0,26000
심재민,8200,KT 위즈,11311,2022,32,269,0,0,8200
심창민,28000,NC 다이노스,10720,2022,11,105,0,0,28000
안광준,3000,KT 위즈,15126,2022,59,581,0,0,3000
안권수,4800,두산 베어스,14571,2022,44,393,0,0,4800
안상현,3200,SSG 랜더스,12613,2022,49,525,0,0,3200
안승한,3700,두산 베어스,11328,2022,48,464,0,0,3700
안영명,8500,KT 위즈,10600,2022,31,262,0,0,8500
안우진,15000,키움 히어로즈,13091,2022,13,163,0,0,15000
안익훈,5500,LG 트윈스,11347,2022,41,360,0,0,5500
안인산,3000,NC 다이노스,14598,2022,53,581,0,0,3000
안재석,25800,두산 베어스,14771,2022,13,120,0,0,25800
안주형,3300,삼성 라이온즈,12988,2022,53,500,0,0,3300
안중열,6400,롯데 자이언츠,11329,2022,27,326,0,0,6400
안창호,3000,한화 이글스,14878,2022,63,581,0,0,3000
안치영,3000,KT 위즈,13006,2022,59,581,0,0,3000
안치홍,100000,롯데 자이언츠,10014,2022,2,37,0,0,100000
안현민,3000,KT 위즈,15092,2022,59,581,0,0,3000
안현준,3200,KT 위즈,11312,2022,52,525,0,0,3200
알포드,75010,KT 위즈,15144,2022,7,56,0,0,75010
애플러,35750,키움 히어로즈,15005,2022,6,87,0,0,35750
양경모,3000,한화 이글스,15017,2022,63,581,0,0,3000
양경식,7000,키움 히어로즈,14853,2022,26,291,0,0,7000
양기현,3200,키움 히어로즈,12854,2022,49,525,0,0,3200
양석환,39000,두산 베어스,11213,2022,8,85,0,0,39000
양승혁,3000,KT 위즈,13233,2022,59,581,0,0,3000
양의지,100000,NC 다이노스,10165,2022,4,37,0,0,100000
양진혁,3000,LG 트윈스,15087,2022,67,581,0,0,3000
양찬열,3000,두산 베어스,14738,2022,63,581,0,0,3000
양창섭,4700,삼성 라이온즈,13157,2022,39,397,0,0,4700
양현,10000,키움 히어로즈,10730,2022,18,228,0,0,10000
양현종,100000,KIA 타이거즈,10058,2022,2,14,300000,75000,175000
양현진,6000,두산 베어스,14840,2022,39,334,0,0,6000
엄상백,8000,KT 위즈,11318,2022,34,273,0,0,8000
엄장윤,3000,롯데 자이언츠,15052,2022,54,581,0,0,3000
엄태경,3000,LG 트윈스,15088,2022,67,581,0,0,3000
예진원,4000,키움 히어로즈,13093,2022,40,423,0,0,4000
오명진,3100,두산 베어스,14737,2022,60,559,0,0,3100
오상민,0,삼성 라이온즈,14118,2022,76,840,0,0,0
오석주,3500,LG 트윈스,12860,2022,56,475,0,0,3500
오선우,3500,KIA 타이거즈,14181,2022,50,475,0,0,3500
오선진,7000,삼성 라이온즈,10557,2022,26,291,0,0,7000
오성민,2700,키움 히어로즈,15131,2022,77,830,0,0,2700
오세훈,0,한화 이글스,14835,2022,89,840,0,0,0
오승택,3000,NC 다이노스,15118,2022,53,581,0,0,3000
오승환,160000,삼성 라이온즈,10367,2022,2,16,0,0,160000
오영수,3000,NC 다이노스,13082,2022,53,581,0,0,3000
오원석,6500,SSG 랜더스,14581,2022,36,313,0,0,6500
오윤석,9000,KT 위즈,11397,2022,28,252,0,0,9000
오윤성,3000,키움 히어로즈,12856,2022,55,581,0,0,3000
오장한,11000,NC 다이노스,14767,2022,22,212,0,0,11000
오재원,30000,두산 베어스,10178,2022,10,93,0,0,30000
오재일,60000,삼성 라이온즈,10400,2022,4,27,240000,60000,120000
오정환,3100,KIA 타이거즈,13117,2022,59,559,0,0,3100
오준혁,3200,SSG 랜더스,10672,2022,49,525,0,0,3200
오지환,60000,LG 트윈스,10475,2022,6,67,0,0,60000
오태곤,10500,SSG 랜더스,10249,2022,28,220,0,0,10500
오태양,9000,NC 다이노스,14766,2022,28,252,0,0,9000
옥준호,3000,KIA 타이거즈,15123,2022,62,581,0,0,3000
요키시,117000,키움 히어로즈,13940,2022,2,30,0,0,117000
우규민,20000,삼성 라이온즈,10523,2022,14,134,0,0,20000
우종휘,3000,KT 위즈,15093,2022,59,581,0,0,3000
원종현,27000,NC 다이노스,11161,2022,12,111,0,0,27000
원태인,30000,삼성 라이온즈,14113,2022,12,93,0,0,30000
원혁재,3000,한화 이글스,12872,2022,63,581,0,0,3000
유강남,27000,LG 트윈스,10753,2022,12,111,0,0,27000
유로결,3300,한화 이글스,14126,2022,49,500,0,0,3300
유민,3000,한화 이글스,15016,2022,63,581,0,0,3000
유상빈,3000,한화 이글스,15141,2022,63,581,0,0,3000
유서준,3000,SSG 랜더스,11240,2022,55,581,0,0,3000
유승철,4000,KIA 타이거즈,12914,2022,39,423,0,0,4000
유재유,3200,두산 베어스,12544,2022,55,525,0,0,3200
유준규,11000,KT 위즈,14778,2022,25,212,0,0,11000
유호식,3000,SSG 랜더스,13127,2022,55,581,0,0,3000
윤강찬,2700,KT 위즈,13172,2022,81,830,0,0,2700
윤대경,9730,한화 이글스,11110,2022,21,244,0,0,9730
윤도현,3000,KIA 타이거즈,15058,2022,62,581,0,0,3000
윤동희,3000,롯데 자이언츠,15048,2022,54,581,0,0,3000
윤명준,14000,두산 베어스,10885,2022,20,173,0,0,14000
윤민석,3000,KIA 타이거즈,15124,2022,62,581,0,0,3000
윤산흠,3100,한화 이글스,14196,2022,59,559,0,0,3100
윤석원,3000,키움 히어로즈,15071,2022,55,581,0,0,3000
윤성빈,3100,롯데 자이언츠,12928,2022,50,559,0,0,3100
