,Unnamed: 0,선수,팀,G,GS,IP,WAAwithPOS,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,pid,연도,기존pid,포지션,연봉(만원),팀연봉순위,전체연봉순위,계약금(만원)분할,연봉 총수령액(만원)
25,25,이성우,LG 트윈스,34,11,112.2,0.15,107.0,101.0,5.0,1.0,99.1,8.47,-0.14,,-0.13,,0.14,-0.43,1.77,,0.67,2.69,0.84,1.51,0.067,100046,2021,10004,포수,8000.0,34.0,271.0,0.0,8000.0
26,26,김호은,LG 트윈스,2,1,9.0,0.034,11.0,9.0,2.0,0.0,100.0,11.0,0.42,,0.01,,,,,,0.43,8.78,-0.08,0.35,0.042,125546,2021,12554,1루수,5000.0,45.0,401.0,0.0,5000.0
27,27,보어,LG 트윈스,28,27,200.0,-0.29,196.0,181.0,12.0,3.0,98.5,8.69,-1.09,,0.17,,0.07,,,,-0.86,-3.87,-2.06,-2.92,-0.085,149886,2021,14988,1루수,45500.0,6.0,66.0,0.0,45500.0
28,28,라모스,LG 트윈스,37,37,287.0,-0.293,314.0,286.0,24.0,4.0,98.7,9.72,1.63,,-0.76,,-0.83,,,,0.04,0.13,-3.0,-2.96,0.004,145926,2021,14592,1루수,104000.0,2.0,20.0,0.0,104000.0
29,29,김지용,LG 트윈스,3,0,4.0,,1.0,0.0,1.0,0.0,100.0,2.25,,,,,,,,,0.0,0.0,,,0.0,107476,2021,10747,투수,11000.0,26.0,197.0,0.0,11000.0
30,30,채지선,LG 트윈스,14,0,17.1,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,113876,2021,11387,투수,3500.0,55.0,491.0,0.0,3500.0
31,31,이상규,LG 트윈스,7,0,6.0,,1.0,0.0,1.0,0.0,100.0,1.5,,,,,,,,,0.0,0.0,,,0.0,132456,2021,13245,투수,4000.0,51.0,455.0,0.0,4000.0
32,32,김진수,LG 트윈스,3,0,2.1,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,147816,2021,14781,투수,13000.0,24.0,174.0,0.0,13000.0
33,33,최성훈,LG 트윈스,46,0,40.2,,6.0,4.0,1.0,1.0,83.3,1.11,,,,,,,,,0.0,0.0,,,0.0,108516,2021,10851,투수,7200.0,35.0,303.0,0.0,7200.0
34,34,고우석,LG 트윈스,63,0,58.0,,13.0,2.0,11.0,0.0,100.0,2.02,,,,,,,,,0.0,0.0,,,0.0,129076,2021,12907,투수,18000.0,18.0,132.0,0.0,18000.0
35,35,이상영,LG 트윈스,21,9,50.0,,7.0,1.0,6.0,0.0,100.0,1.26,,,,,,,,,0.0,0.0,,,0.0,141356,2021,14135,투수,3100.0,60.0,573.0,0.0,3100.0
