선수,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,TBF,H,2B,3B,HR,BB,HP,SO,BK,WP,ERA,FIP,WHIP,WAR,팀,pid,연도,연봉(만원),신인여부,국적,선발투수,연봉등급
윤호솔,4,0,4,1,0,0,0,0,0,0,3.2,1,1,17,3,1,0,0,3,0,4,0,0,2.45,3.66,1.64,0.07,LG 트윈스,11170,2024,7000,False,내국인,0,C
박명근,57,1,56,12,0,0,4,3,5,9,51.1,29,31,236,49,9,1,4,28,6,40,0,1,5.08,4.82,1.5,-0.01,LG 트윈스,15486,2024,17500,True,내국인,0,B
성동현,1,0,1,1,0,0,0,0,0,0,1.0,1,1,6,2,0,0,0,1,0,1,0,0,9.0,4.45,3.0,-0.02,LG 트윈스,13103,2024,3200,False,내국인,0,D
김영준,1,0,1,0,0,0,1,0,0,0,0.1,1,1,3,1,0,0,0,1,0,0,0,0,27.0,13.15,6.0,-0.02,LG 트윈스,13102,2024,3600,False,내국인,0,D
강효종,7,7,0,0,0,0,1,2,0,0,21.2,15,18,103,25,3,0,1,12,2,14,1,0,6.23,4.79,1.71,-0.03,LG 트윈스,14780,2024,3800,False,내국인,0,D
배재준,1,0,1,0,0,0,0,0,0,0,1.0,2,2,6,2,0,1,0,1,0,0,0,1,18.0,6.95,3.0,-0.07,LG 트윈스,12697,2024,6000,False,내국인,0,C
최원태,9,9,0,0,0,0,3,3,0,0,44.1,33,35,210,59,6,1,5,17,2,40,0,1,6.7,4.12,1.71,-0.12,LG 트윈스,11379,2024,40000,False,내국인,0,A
손주영,3,2,1,0,0,0,1,0,0,0,8.2,5,7,46,12,0,0,0,6,0,5,1,0,5.19,4.55,2.08,-0.16,LG 트윈스,12908,2024,4300,False,내국인,0,D
김대현,5,0,5,2,0,0,0,0,0,0,3.1,4,5,22,8,2,0,1,2,1,3,0,1,10.8,7.96,3.0,-0.16,LG 트윈스,12532,2024,5700,False,내국인,0,C
정우영,60,0,60,3,0,0,5,6,0,11,51.2,27,39,245,63,11,0,1,17,15,41,1,2,4.7,3.96,1.55,-0.66,LG 트윈스,14136,2024,32000,False,내국인,0,A
반즈,30,30,0,0,0,0,11,10,0,0,170.1,62,68,734,171,34,1,6,56,15,147,0,7,3.28,3.4,1.33,5.49,롯데 자이언츠,15011,2024,85000,False,외국인,1,A
박세웅,27,27,0,0,0,0,9,7,0,0,154.0,59,70,657,145,24,0,8,59,4,129,0,10,3.45,3.62,1.32,4.21,롯데 자이언츠,11310,2024,135000,False,내국인,1,A
나균안,23,23,0,0,0,0,6,8,0,0,130.1,55,61,569,140,27,3,8,42,5,114,0,6,3.8,3.51,1.4,3.34,롯데 자이언츠,12930,2024,17000,False,내국인,1,B
윌커슨,13,13,0,0,0,0,7,2,0,0,79.2,20,28,327,67,15,2,3,20,2,81,1,3,2.26,2.61,1.09,2.92,롯데 자이언츠,12295,2024,60000,False,외국인,0,A
김상수,67,0,67,7,0,0,4,2,1,18,52.0,18,22,218,45,7,1,1,21,3,36,0,1,3.12,3.78,1.27,1.73,롯데 자이언츠,10427,2024,16000,False,내국인,0,B
최준용,47,0,47,4,0,0,2,3,0,14,47.2,13,15,210,50,6,0,2,18,1,40,0,1,2.45,3.42,1.43,1.66,롯데 자이언츠,14624,2024,16300,False,내국인,0,B
김원중,63,0,63,47,0,0,5,6,30,0,63.2,21,24,265,51,5,3,2,25,5,82,0,3,2.97,2.37,1.19,1.49,롯데 자이언츠,10825,2024,50000,False,내국인,0,A
심재민,29,6,23,6,1,0,3,1,0,6,45.2,15,18,202,49,5,0,2,16,1,28,0,1,2.96,3.92,1.42,1.19,롯데 자이언츠,11311,2024,9400,False,내국인,0,C
구승민,67,0,67,8,0,0,2,6,3,22,63.2,28,32,289,65,8,0,4,29,5,66,0,2,3.96,3.66,1.48,0.98,롯데 자이언츠,11291,2024,45000,False,내국인,0,A
한현희,38,18,20,3,0,0,6,12,0,3,104.0,63,69,476,123,20,4,11,44,11,74,0,6,5.45,4.97,1.61,0.79,롯데 자이언츠,10863,2024,30000,False,내국인,1,A
김도규,36,0,36,14,0,0,0,3,1,1,29.2,15,16,132,29,5,0,1,13,1,26,0,6,4.55,3.52,1.42,0.31,롯데 자이언츠,13148,2024,8000,False,내국인,0,C
정성종,12,3,9,2,0,0,0,1,0,1,22.0,13,14,98,21,5,0,1,15,1,10,0,1,5.32,5.37,1.64,0.21,롯데 자이언츠,13147,2024,3900,False,내국인,0,D
이진하,9,0,9,1,0,0,0,0,0,0,8.0,3,3,31,4,3,0,0,3,1,2,0,1,3.38,4.77,0.88,0.2,롯데 자이언츠,15441,2024,18200,True,내국인,0,B
이민석,1,0,1,0,0,0,0,0,0,0,1.1,0,0,5,0,0,0,0,1,0,1,0,0,0.0,4.3,0.75,0.08,롯데 자이언츠,15045,2024,3800,False,내국인,0,D
김강현,2,0,2,1,0,0,0,0,0,0,3.0,1,1,13,1,0,0,0,2,1,0,0,0,3.0,6.95,1.0,0.08,롯데 자이언츠,12699,2024,3200,False,내국인,0,D
최이준,28,0,28,9,0,0,1,0,0,1,29.0,22,22,143,37,11,3,1,21,0,20,0,4,6.83,4.78,2.0,0.04,롯데 자이언츠,13169,2024,3800,False,내국인,0,D
진승현,24,0,24,8,0,0,2,2,0,1,27.2,18,20,129,34,3,0,2,16,0,25,0,1,5.86,4.13,1.81,-0.01,롯데 자이언츠,15047,2024,4300,False,내국인,0,D
박진,4,0,4,1,0,0,0,0,0,0,5.0,5,5,29,7,2,0,1,7,0,2,1,1,9.0,9.57,2.8,-0.07,롯데 자이언츠,14163,2024,3300,False,내국인,0,D
신정락,34,0,34,9,0,0,4,0,0,1,29.0,15,15,128,32,6,0,4,11,3,28,0,0,4.66,4.47,1.48,-0.14,롯데 자이언츠,10516,2024,8000,False,내국인,0,C
김진욱,49,0,49,2,0,0,2,1,0,8,36.1,26,27,177,37,6,1,4,29,2,35,0,3,6.44,5.4,1.82,-0.16,롯데 자이언츠,14792,2024,6000,False,내국인,0,C
이인복,10,7,3,0,0,0,1,4,0,0,33.1,24,32,168,54,7,3,3,10,5,15,0,4,6.48,5.1,1.92,-0.4,롯데 자이언츠,11232,2024,10000,False,내국인,0,B
이태연,15,0,15,2,0,0,0,0,0,1,5.2,10,10,37,12,3,0,1,9,0,4,0,0,15.88,9.11,3.71,-0.41,롯데 자이언츠,15444,2024,9100,True,내국인,0,C
양현종,29,29,0,0,0,0,9,11,0,0,171.0,68,78,729,181,33,1,13,48,1,133,0,5,3.58,3.7,1.34,4.15,KIA 타이거즈,10058,2024,50000,False,내국인,1,A
