선수,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,TBF,H,2B,3B,HR,BB,HP,SO,BK,WP,ERA,FIP,WHIP,WAR,팀,pid,연도,연봉(만원),신인여부,국적,선발투수,연봉등급
신헌민,11,0,11,11,0,0,0,0,0,0,12.0,8,10,62,19,6,0,1,6,0,8,0,0,6.0,4.47,2.08,-0.06,SSG 랜더스,15024,2024,3200,False,내국인,0,D
서상준,2,0,2,1,0,0,0,0,0,0,2.0,0,3,13,1,0,0,0,5,0,3,0,1,0.0,7.85,3.0,-0.06,SSG 랜더스,14152,2024,3200,False,내국인,0,D
송영진,17,9,8,1,0,0,3,3,0,0,47.1,30,35,220,46,9,1,3,31,2,38,2,8,5.7,4.76,1.63,-0.08,SSG 랜더스,15462,2024,19500,True,내국인,0,B
이로운,50,0,50,14,0,0,6,1,0,5,57.2,36,39,268,67,13,1,7,29,1,52,0,3,5.62,4.65,1.66,-0.08,SSG 랜더스,15461,2024,32400,True,내국인,0,A
정성곤,6,0,6,3,0,0,0,0,0,0,4.1,5,9,29,8,3,0,2,7,0,3,0,0,10.38,12.62,3.46,-0.36,SSG 랜더스,11321,2024,3100,False,내국인,0,D
류진욱,70,0,70,9,0,0,1,4,0,22,67.0,16,19,268,41,2,2,1,32,1,62,0,5,2.15,3.24,1.09,2.72,NC 다이노스,11355,2024,16500,False,내국인,0,B
신민혁,29,24,5,2,0,0,5,5,0,0,122.0,54,63,519,122,27,2,14,25,6,97,0,3,3.98,4.01,1.2,2.29,NC 다이노스,13085,2024,18000,False,내국인,1,B
김영규,63,0,63,5,0,0,2,4,0,24,61.2,21,22,247,45,6,5,2,23,1,48,2,5,3.06,3.5,1.1,1.42,NC 다이노스,13088,2024,22500,False,내국인,0,B
이재학,15,13,2,0,0,0,5,5,0,0,67.1,34,36,293,55,5,2,6,33,5,43,0,7,4.54,5.06,1.31,1.26,NC 다이노스,10220,2024,20000,False,내국인,1,B
이용찬,60,0,60,50,0,0,4,4,29,0,61.0,28,28,254,53,6,1,5,19,3,51,0,4,4.13,3.8,1.18,1.22,NC 다이노스,10217,2024,40000,False,내국인,0,A
송명기,35,17,18,4,0,0,4,9,0,0,104.1,56,64,474,106,15,2,12,47,11,65,0,6,4.83,5.38,1.47,1.1,NC 다이노스,14155,2024,13500,False,내국인,1,B
최성영,18,13,5,0,0,0,5,4,0,0,66.2,36,37,303,77,15,2,6,32,5,38,0,1,4.86,5.22,1.64,1.08,NC 다이노스,12565,2024,8300,False,내국인,1,C
이용준,24,12,12,3,0,0,3,4,0,0,67.0,32,39,304,60,11,0,5,44,2,50,0,1,4.3,5.0,1.55,0.71,NC 다이노스,14763,2024,6700,False,내국인,0,C
김진호,19,0,19,1,0,0,2,1,0,9,16.1,5,5,73,15,2,0,0,10,1,22,0,3,2.76,2.57,1.53,0.53,NC 다이노스,12897,2024,6000,False,내국인,0,C
임정호,65,0,65,7,0,0,4,4,0,15,50.0,26,30,216,51,9,1,3,17,4,49,1,4,4.68,3.42,1.36,0.44,NC 다이노스,11168,2024,13500,False,내국인,0,B
김시훈,61,0,61,13,0,0,4,3,3,12,52.2,26,32,245,57,10,1,3,34,1,49,0,3,4.44,4.26,1.73,0.15,NC 다이노스,13080,2024,11000,False,내국인,0,B
김태현,16,0,16,9,0,0,1,0,0,0,20.1,10,13,90,17,1,1,4,13,1,14,0,0,4.43,6.6,1.48,0.1,NC 다이노스,12898,2024,4000,False,내국인,0,D
전사민,9,0,9,4,0,0,0,2,1,0,17.0,9,10,81,17,1,0,1,14,2,6,0,1,4.76,6.58,1.82,0.1,NC 다이노스,14156,2024,3400,False,내국인,0,D
심창민,5,0,5,1,0,0,0,1,0,0,3.1,1,2,18,2,0,0,0,5,1,5,0,0,2.7,5.68,2.1,0.08,NC 다이노스,10720,2024,8500,False,내국인,0,C
이준호,17,2,15,5,0,0,3,2,0,0,31.2,17,22,144,32,4,1,3,15,4,19,0,2,4.83,5.34,1.48,0.03,NC 다이노스,15455,2024,10500,True,내국인,0,B
이우석,1,0,1,0,0,0,0,0,0,0,0.2,0,0,2,0,0,0,0,1,0,0,0,0,0.0,8.5,1.5,0.03,NC 다이노스,11360,2024,3200,False,내국인,0,D
한재승,11,0,11,5,0,0,0,1,0,0,9.2,5,5,44,9,1,0,2,5,0,10,0,1,4.66,5.33,1.45,0.0,NC 다이노스,14764,2024,3400,False,내국인,0,D
알칸타라,31,31,0,0,0,0,13,9,0,0,192.0,57,67,777,171,33,0,16,35,5,162,0,3,2.67,3.38,1.07,6.08,두산 베어스,13941,2024,80000,False,외국인,1,A
곽빈,23,23,0,0,0,0,12,7,0,0,127.1,41,44,526,96,18,1,7,58,5,106,1,4,2.9,3.96,1.21,4.42,두산 베어스,13061,2024,21000,False,내국인,1,B
브랜든,18,18,0,0,0,0,11,3,0,0,104.2,29,34,427,80,13,0,4,30,12,100,0,3,2.49,3.16,1.05,3.72,두산 베어스,15153,2024,75000,False,외국인,0,A
최승용,34,20,14,4,0,0,3,6,1,0,111.0,49,54,479,116,11,1,9,34,4,82,0,3,3.97,4.03,1.35,2.02,두산 베어스,14770,2024,10200,False,내국인,1,B
김동주,18,17,1,1,0,0,3,6,0,0,78.1,36,37,334,73,14,4,5,35,4,59,1,4,4.14,4.27,1.38,1.88,두산 베어스,14769,2024,5500,False,내국인,0,C
최원준,26,20,6,1,0,0,3,10,0,0,107.2,59,60,465,119,33,1,11,28,12,71,0,1,4.93,4.57,1.37,1.41,두산 베어스,12852,2024,25000,False,내국인,1,B
김명신,70,0,70,5,0,0,3,3,1,24,79.0,32,34,334,72,18,0,3,27,6,65,0,3,3.65,3.42,1.25,1.37,두산 베어스,12847,2024,22500,False,내국인,0,B
홍건희,64,0,64,40,0,0,1,5,22,5,61.2,21,28,277,67,10,3,4,24,0,62,0,8,3.06,3.21,1.48,1.23,두산 베어스,10696,2024,30000,False,내국인,0,A
박치국,62,0,62,9,0,0,5,3,2,11,52.2,21,22,236,54,9,2,3,21,5,48,0,2,3.59,3.49,1.42,0.73,두산 베어스,12850,2024,13000,False,내국인,0,B
김강률,32,0,32,4,0,0,1,0,1,7,25.2,12,14,115,23,3,0,2,12,2,21,0,2,4.21,4.42,1.36,0.49,두산 베어스,10690,2024,15000,False,내국인,0,B
백승우,6,0,6,2,0,0,0,0,0,0,4.0,0,0,18,3,0,0,0,3,1,1,0,0,0.0,6.32,1.5,0.17,두산 베어스,15514,2024,8100,True,내국인,0,C
정철원,67,0,67,24,0,0,7,6,13,11,72.2,32,36,315,66,6,0,8,32,2,55,1,6,3.96,4.63,1.35,0.16,두산 베어스,13071,2024,16500,False,내국인,0,B
박정수,25,0,25,11,0,0,1,0,1,0,36.2,17,22,165,37,12,0,1,18,6,28,0,2,4.17,4.21,1.5,0.16,두산 베어스,11300,2024,5500,False,내국인,0,C
최지강,25,0,25,4,0,0,2,1,0,2,22.0,13,13,102,16,4,0,0,20,1,14,0,0,5.32,5.22,1.64,0.13,두산 베어스,15127,2024,3400,False,내국인,0,D
김민규,6,1,5,1,0,0,0,0,0,0,8.1,4,5,37,6,2,1,0,4,2,5,0,2,4.32,4.58,1.2,0.08,두산 베어스,13072,2024,5000,False,내국인,0,C
박신지,15,1,14,7,0,0,0,0,0,0,26.0,16,16,129,39,13,0,1,11,3,15,0,2,5.54,4.53,1.92,0.02,두산 베어스,13070,2024,3500,False,내국인,0,D
김호준,3,0,3,3,0,0,0,0,0,0,3.0,4,4,16,3,0,0,1,4,0,2,0,1,12.0,10.28,2.33,-0.11,두산 베어스,13268,2024,3100,False,내국인,0,D
제환유,1,0,1,0,0,0,0,0,0,0,2.0,3,4,14,3,0,0,0,4,0,2,0,1,13.5,7.55,3.5,-0.11,두산 베어스,14573,2024,3000,False,내국인,0,D
이승진,1,0,1,0,0,0,0,0,0,0,0.2,0,4,6,1,0,0,0,1,1,1,0,0,0.0,9.4,3.0,-0.11,두산 베어스,12678,2024,5500,False,내국인,0,C
이병헌,36,0,36,4,0,0,0,0,0,5,27.0,14,16,126,25,7,0,2,22,1,28,0,3,4.67,4.78,1.74,-0.12,두산 베어스,15099,2024,3600,False,내국인,0,D
이원재,1,1,0,0,0,0,0,0,0,0,1.0,3,3,9,3,1,0,0,3,0,0,0,0,27.0,13.15,6.0,-0.13,두산 베어스,15101,2024,3000,False,내국인,0,D
김정우,7,0,7,5,0,0,0,0,0,0,6.2,7,7,38,11,2,0,1,7,0,6,0,0,9.45,6.64,2.7,-0.21,두산 베어스,13124,2024,3100,False,내국인,0,D
이영하,36,0,36,5,0,0,5,3,0,4,39.1,24,27,184,40,9,1,2,21,4,28,0,2,5.49,4.57,1.55,-0.29,두산 베어스,12568,2024,10000,False,내국인,0,B
김유성,7,0,7,5,0,0,0,0,0,0,6.1,7,7,38,6,0,0,2,12,0,6,0,3,9.95,11.11,2.84,-0.33,두산 베어스,15509,2024,18000,True,내국인,0,B
후라도,30,30,0,0,0,0,11,8,0,0,183.2,54,64,763,164,19,0,7,41,9,147,0,5,2.65,3.15,1.12,6.61,키움 히어로즈,15531,2024,120000,False,외국인,1,A
김재웅,67,0,67,11,0,0,2,3,6,18,59.2,28,29,250,56,11,0,2,24,0,46,0,0,4.22,3.52,1.34,1.34,키움 히어로즈,12858,2024,19000,False,내국인,0,B
정찬헌,14,14,0,1,1,0,2,8,0,0,72.0,38,40,295,71,12,3,4,13,2,35,0,0,4.75,3.9,1.17,0.95,키움 히어로즈,10533,2024,20000,False,내국인,1,B
장재영,23,17,6,0,0,0,1,5,0,0,71.2,44,46,339,63,15,0,4,66,8,67,2,8,5.53,5.38,1.8,0.57,키움 히어로즈,14784,2024,4000,False,내국인,1,D
조영건,6,0,6,0,0,0,0,0,0,1,7.2,0,0,27,5,1,0,0,2,0,7,0,0,0.0,2.38,0.91,0.39,키움 히어로즈,14132,2024,4000,False,내국인,0,D
이명종,45,2,43,7,0,0,5,5,0,1,57.0,33,34,260,66,13,0,5,24,6,26,0,0,5.21,5.38,1.58,0.15,키움 히어로즈,15073,2024,6000,False,내국인,0,C
윤정현,5,0,5,2,0,0,0,0,0,0,6.0,1,2,26,5,0,0,0,6,0,2,0,1,1.5,6.12,1.83,0.14,키움 히어로즈,14131,2024,4000,False,내국인,0,D
김준형,8,0,8,3,0,0,0,0,0,0,7.2,6,6,36,4,3,0,0,6,3,5,0,0,7.04,5.86,1.3,0.05,키움 히어로즈,14848,2024,3700,False,내국인,0,D
양지율,1,0,1,0,0,0,0,0,0,0,0.2,1,1,6,1,0,0,0,3,0,2,0,0,13.5,10.3,6.0,-0.04,키움 히어로즈,12854,2024,3000,False,내국인,0,D
박승주,18,0,18,6,0,0,0,3,0,0,18.0,7,11,91,19,3,2,2,13,2,15,0,5,3.5,5.67,1.78,-0.06,키움 히어로즈,12989,2024,4500,False,내국인,0,D
문성현,32,0,32,7,0,0,2,2,0,2,28.1,14,16,134,26,3,0,2,20,2,21,0,2,4.45,5.02,1.62,-0.06,키움 히어로즈,10437,2024,7500,False,내국인,0,C
오상원,11,1,10,7,0,0,0,0,0,0,15.0,11,11,74,18,5,1,0,9,3,7,0,0,6.6,5.16,1.8,-0.07,키움 히어로즈,15474,2024,14300,True,내국인,0,B
김건희,3,0,3,2,0,0,0,0,0,0,2.0,5,5,14,6,0,0,2,2,0,0,0,0,22.5,18.85,4.0,-0.14,키움 히어로즈,15472,2024,3200,False,내국인,0,D
주승우,11,2,9,1,0,0,0,1,0,0,16.0,17,18,90,20,7,0,1,21,2,8,0,3,9.56,7.8,2.56,-0.21,키움 히어로즈,15067,2024,3200,False,내국인,0,D
원종현,20,0,20,1,0,0,1,1,0,6,18.2,12,16,87,24,8,1,3,5,1,17,0,2,5.79,4.32,1.55,-0.24,키움 히어로즈,11161,2024,50000,False,내국인,0,A
윤석원,21,0,21,3,0,0,2,0,0,2,24.0,12,17,110,29,5,0,2,8,0,8,0,1,4.5,4.91,1.54,-0.25,키움 히어로즈,15071,2024,4300,False,내국인,0,D
이종민,11,2,9,4,0,0,0,1,0,0,13.2,11,13,72,22,7,0,0,6,1,10,0,0,7.24,3.61,2.05,-0.29,키움 히어로즈,14576,2024,3200,False,내국인,0,D
김동규,3,1,2,0,0,0,0,1,0,0,4.0,10,10,25,6,0,0,1,9,1,1,0,4,22.5,13.95,3.75,-0.47,키움 히어로즈,15485,2024,3100,False,내국인,0,D
김동혁,35,2,33,11,0,0,1,7,0,6,39.1,32,34,192,51,9,3,1,18,6,24,2,0,7.32,4.52,1.75,-0.51,키움 히어로즈,14674,2024,6000,False,내국인,0,C
하영민,57,0,57,7,0,0,3,1,0,5,52.1,27,36,247,67,8,4,4,25,1,51,0,6,4.64,3.86,1.76,-0.7,키움 히어로즈,11222,2024,8000,False,내국인,0,C
김선기,17,7,10,6,0,0,1,3,1,0,43.2,29,37,200,56,16,2,2,15,1,29,1,0,5.98,3.87,1.63,-0.8,키움 히어로즈,13092,2024,7000,False,내국인,1,C
류현진,28,28,0,0,0,0,10,8,0,0,158.1,68,78,679,182,22,1,12,33,3,135,0,1,3.87,3.67,1.36,4.44,한화 이글스,10590,2025,200000,False,내국인,1,A
주현상,65,0,65,51,0,0,8,4,23,2,71.1,21,22,267,52,8,2,9,8,1,64,0,1,2.65,3.85,0.84,3.13,한화 이글스,11415,2025,25000,False,내국인,0,B
와이스,16,16,0,0,0,0,5,5,0,0,91.2,38,43,384,77,13,5,8,29,3,98,0,6,3.73,3.65,1.16,2.92,한화 이글스,16153,2025,84000,False,외국인,1,A
문동주,21,21,0,0,0,0,7,7,0,0,111.1,64,71,502,148,25,3,14,38,4,96,1,8,5.17,4.71,1.67,1.77,한화 이글스,15013,2025,10000,False,내국인,1,B
황준서,36,11,25,6,0,0,2,8,0,1,72.0,43,44,341,80,16,0,9,51,5,70,1,3,5.38,5.67,1.82,1.24,한화 이글스,16107,2025,39500,True,내국인,1,A
박상원,65,0,65,9,0,0,3,3,2,16,66.2,34,38,278,57,18,0,2,22,7,65,0,8,4.59,3.47,1.19,1.11,한화 이글스,12871,2025,22000,False,내국인,0,B
이민우,64,0,64,7,0,0,2,1,1,10,55.0,23,25,235,56,10,2,5,23,1,49,0,1,3.76,4.41,1.44,0.99,한화 이글스,13003,2025,9400,False,내국인,0,C
한승혁,70,0,70,4,0,0,5,5,0,19,62.2,35,39,289,63,7,1,2,38,6,64,0,6,5.03,4.2,1.61,0.94,한화 이글스,10812,2025,9400,False,내국인,0,C
장민재,26,0,26,9,0,0,1,1,0,0,29.0,10,10,138,46,7,0,2,7,1,17,0,5,3.1,4.41,1.83,0.74,한화 이글스,10610,2025,15000,False,내국인,0,B
김서현,37,0,37,5,0,0,1,2,0,10,38.1,16,20,178,31,6,2,0,32,4,43,0,3,3.76,4.31,1.64,0.71,한화 이글스,15421,2025,5600,False,내국인,0,C
김민우,3,3,0,0,0,0,1,0,0,0,12.1,3,3,49,7,0,0,2,6,0,13,0,0,2.19,5.0,1.05,0.62,한화 이글스,11410,2025,13000,False,내국인,0,B
이상규,21,3,18,4,0,0,1,4,0,0,32.0,20,20,149,39,7,1,5,15,1,27,0,1,5.63,5.4,1.69,0.48,한화 이글스,13245,2025,4800,False,내국인,0,D
김기중,27,11,16,4,0,0,5,4,0,0,59.0,43,44,286,83,12,1,8,27,6,39,0,2,6.56,5.89,1.86,0.33,한화 이글스,14808,2025,6000,False,내국인,0,C
장시환,30,0,30,2,0,0,2,2,0,2,33.1,19,27,156,34,6,1,3,22,1,28,0,0,5.13,5.31,1.68,0.28,한화 이글스,10453,2025,15000,False,내국인,0,B
김승일,3,0,3,1,0,0,0,0,0,0,3.0,1,1,13,4,1,0,0,0,1,2,0,1,3.0,3.57,1.33,0.12,한화 이글스,14711,2025,3200,False,내국인,0,D
김범수,39,0,39,6,0,0,0,0,0,4,34.0,20,20,157,33,2,0,11,20,5,38,0,3,5.29,7.44,1.56,0.08,한화 이글스,11411,2025,14300,False,내국인,0,B
김규연,58,1,57,12,0,0,1,0,0,4,59.0,46,50,270,66,10,1,6,28,4,40,0,3,7.02,5.4,1.59,0.01,한화 이글스,14871,2025,5300,False,내국인,0,C
조동욱,21,8,13,6,0,0,1,2,0,0,41.0,29,34,198,57,10,0,5,14,6,32,1,1,6.37,5.21,1.73,0.0,한화 이글스,16108,2025,19000,True,내국인,0,B
배민서,1,0,1,0,0,0,0,0,0,0,1.2,3,3,11,4,1,0,0,3,0,1,0,0,16.2,8.28,4.2,-0.08,한화 이글스,14158,2025,4100,False,내국인,0,D
김도빈,1,1,0,0,0,0,0,1,0,0,0.1,2,2,5,1,0,0,0,3,0,1,0,0,54.0,24.6,12.0,-0.11,한화 이글스,16118,2025,3100,False,내국인,0,D
이충호,3,0,3,0,0,0,0,0,0,0,2.1,1,1,13,4,1,0,0,3,0,3,0,0,3.86,4.97,3.0,-0.12,한화 이글스,11116,2025,3400,False,내국인,0,D
장지수,13,0,13,7,0,0,0,0,0,0,14.0,17,18,75,23,5,2,0,10,2,11,0,2,10.93,4.45,2.36,-0.14,한화 이글스,14178,2025,3400,False,내국인,0,D
윤대경,7,0,7,1,0,0,0,0,0,0,7.2,9,9,40,10,3,0,1,6,1,7,0,0,10.57,6.3,2.09,-0.26,한화 이글스,11110,2025,7000,False,내국인,0,C
이태양,10,1,9,3,0,0,0,2,0,0,9.1,12,13,48,17,3,0,4,2,0,2,0,0,11.57,9.43,2.04,-0.5,한화 이글스,10609,2025,27000,False,내국인,0,B
임찬규,25,24,1,0,0,0,10,6,0,1,134.0,57,58,577,144,29,1,12,42,5,136,0,1,3.83,3.79,1.39,4.46,LG 트윈스,10652,2025,20000,False,내국인,1,B
손주영,28,27,1,0,0,0,9,10,0,1,144.2,61,71,637,157,16,0,11,54,10,112,0,6,3.79,4.54,1.46,4.31,LG 트윈스,12908,2025,17200,False,내국인,1,B
에르난데스,11,9,2,1,0,0,3,2,1,1,47.0,21,21,195,41,6,1,5,16,2,55,0,1,4.02,3.73,1.21,1.59,LG 트윈스,16160,2025,112000,False,외국인,1,A
김진성,71,0,71,6,0,0,3,3,1,27,70.1,31,34,294,62,11,1,11,23,7,61,0,2,3.97,5.17,1.21,1.23,LG 트윈스,11166,2025,33000,False,내국인,0,A
유영찬,62,0,62,50,0,0,7,5,26,1,63.2,21,24,286,61,15,0,2,30,3,77,2,5,2.97,3.06,1.43,1.06,LG 트윈스,14669,2025,21000,False,내국인,0,B
김유영,53,2,51,6,0,0,1,2,1,6,47.2,20,27,212,50,7,0,2,16,4,42,1,3,3.78,3.8,1.38,0.84,LG 트윈스,11229,2025,10500,False,내국인,1,B
이종준,27,0,27,13,0,0,1,2,0,1,26.0,12,13,119,26,5,0,4,16,0,28,0,1,4.15,5.25,1.62,0.52,LG 트윈스,14651,2025,4200,False,내국인,0,D
함덕주,15,0,15,1,0,0,0,1,0,3,11.2,7,7,54,13,0,1,2,7,1,8,0,0,5.4,6.65,1.71,0.32,LG 트윈스,11094,2025,20000,False,내국인,0,B
우강훈,13,0,13,5,0,0,1,0,0,0,11.2,3,5,54,11,1,0,0,6,5,10,0,2,2.31,4.98,1.46,0.27,LG 트윈스,14816,2025,3600,False,내국인,0,D
진우영,6,0,6,6,0,0,0,0,0,0,7.2,4,4,35,8,3,0,1,4,0,6,0,2,4.7,5.41,1.57,0.12,LG 트윈스,16015,2025,3400,True,내국인,0,D
김대현,37,0,37,8,0,0,2,0,1,1,35.0,21,21,155,33,6,1,6,18,2,30,0,5,5.4,5.87,1.46,0.11,LG 트윈스,12532,2025,7500,False,내국인,0,C
이지강,46,2,44,6,0,0,2,3,1,1,53.2,27,35,250,61,9,0,5,26,2,39,0,5,4.53,5.11,1.62,0.11,LG 트윈스,14143,2025,8300,False,내국인,0,C
정우영,27,0,27,2,0,0,2,1,0,3,22.2,12,15,108,31,6,0,0,11,6,17,0,3,4.76,4.65,1.85,0.09,LG 트윈스,14136,2025,18000,False,내국인,0,B
김진수,7,0,7,3,0,0,0,1,0,0,13.1,10,10,58,17,2,0,3,4,0,6,0,0,6.75,6.68,1.58,0.09,LG 트윈스,14781,2025,3600,False,내국인,0,D
성동현,2,0,2,1,0,0,0,0,0,0,2.0,0,0,8,0,0,0,0,3,0,1,0,0,0.0,7.6,1.5,0.08,LG 트윈스,13103,2025,3400,False,내국인,0,D
김영준,14,0,14,5,0,0,1,1,0,0,15.1,14,17,76,21,3,0,2,9,0,11,0,2,8.22,5.58,1.96,-0.33,LG 트윈스,13102,2025,4200,False,내국인,0,D
박명근,33,0,33,3,0,0,2,2,1,8,25.1,18,20,120,29,4,0,6,12,3,13,0,0,6.39,7.57,1.62,-0.34,LG 트윈스,15486,2025,6000,False,내국인,0,C
정지헌,17,0,17,4,0,0,0,0,0,1,12.1,16,18,69,19,2,0,2,11,3,11,0,3,11.68,7.42,2.43,-0.41,LG 트윈스,16017,2025,9500,True,내국인,0,C
백승현,36,0,36,7,0,0,2,1,2,1,26.2,27,28,135,33,7,0,3,22,2,14,0,1,9.11,6.9,2.06,-0.5,LG 트윈스,13009,2025,7000,False,내국인,0,C
이우찬,42,1,41,3,0,0,3,2,0,6,33.2,33,35,172,42,6,1,2,30,1,31,1,6,8.82,5.46,2.14,-0.73,LG 트윈스,10749,2025,10000,False,내국인,0,B
반즈,25,25,0,0,0,0,9,6,0,0,150.2,56,59,624,140,17,4,18,46,5,171,0,6,3.35,3.83,1.23,6.43,롯데 자이언츠,15011,2025,133000,False,외국인,1,A
박세웅,30,30,0,0,0,0,6,11,0,0,173.1,92,103,759,188,33,0,13,56,11,124,0,10,4.78,4.5,1.41,4.06,롯데 자이언츠,11310,2025,135000,False,내국인,1,A
김원중,56,0,56,42,0,0,3,6,25,0,63.1,25,27,277,59,8,0,4,31,1,68,0,5,3.55,3.64,1.42,2.44,롯데 자이언츠,10825,2025,110000,False,내국인,0,A
김진욱,19,18,1,0,0,0,4,3,0,0,84.2,50,54,388,89,21,3,13,44,3,87,0,5,5.31,5.18,1.57,2.02,롯데 자이언츠,14792,2025,10000,False,내국인,1,B
한현희,57,5,52,5,0,0,5,3,0,8,76.1,44,45,342,92,18,1,7,24,10,70,0,4,5.19,4.38,1.52,1.58,롯데 자이언츠,10863,2025,100000,False,내국인,0,A
박진,38,3,35,11,0,0,2,4,1,0,49.1,24,28,214,60,9,1,4,11,2,35,0,4,4.38,4.21,1.44,1.12,롯데 자이언츠,14163,2025,6000,False,내국인,0,C
김상수,74,0,74,10,0,0,8,4,2,17,73.2,34,40,322,71,11,1,5,26,5,56,1,6,4.15,4.33,1.32,1.12,롯데 자이언츠,10427,2025,24000,False,내국인,0,B
정현수,18,4,14,0,0,0,1,1,0,1,23.2,12,12,104,20,7,0,0,12,2,25,0,0,4.56,3.39,1.35,0.83,롯데 자이언츠,16090,2025,19000,True,내국인,0,B
김강현,26,0,26,10,0,0,0,0,0,0,25.1,10,13,123,28,4,0,2,18,2,24,0,3,3.55,5.1,1.82,0.53,롯데 자이언츠,12699,2025,4000,False,내국인,0,D
박진형,7,0,7,0,0,0,0,0,0,0,6.1,3,3,24,6,1,0,0,1,1,4,0,1,4.26,3.6,1.11,0.21,롯데 자이언츠,11425,2025,5600,False,내국인,0,C
구승민,66,0,66,7,0,0,5,3,0,13,57.2,31,37,279,68,10,0,6,35,6,62,0,7,4.84,4.9,1.79,0.19,롯데 자이언츠,11291,2025,30000,False,내국인,0,A
최준용,27,0,27,4,0,0,1,2,0,3,21.2,13,13,105,28,2,1,2,14,1,12,0,1,5.4,5.92,1.94,0.17,롯데 자이언츠,14624,2025,11000,False,내국인,0,B
이민석,18,5,13,5,0,0,0,2,0,1,31.0,25,27,153,38,5,3,3,25,2,20,0,1,7.26,6.44,2.03,0.07,롯데 자이언츠,15045,2025,4000,False,내국인,0,D
진승현,7,0,7,3,0,0,0,1,0,0,6.1,6,6,32,7,3,0,0,5,0,5,0,0,8.53,4.67,1.89,0.03,롯데 자이언츠,15047,2025,4000,False,내국인,0,D
정우준,8,0,8,5,0,0,0,0,0,0,8.1,4,4,40,10,2,0,2,7,0,5,0,0,4.32,8.16,2.04,0.03,롯데 자이언츠,14795,2025,3200,False,내국인,0,D
박준우,2,0,2,2,0,0,0,0,0,0,2.0,2,2,10,3,1,0,0,1,0,1,0,0,9.0,4.5,2.0,-0.01,롯데 자이언츠,16092,2025,11100,True,내국인,0,B
김도규,5,0,5,3,0,0,0,1,0,0,4.0,4,4,25,5,1,0,0,6,2,5,1,0,9.0,7.27,2.75,-0.03,롯데 자이언츠,13148,2025,4000,False,내국인,0,D
홍민기,3,1,2,0,0,0,0,0,0,0,3.2,5,7,24,8,3,0,0,1,2,2,0,3,12.27,5.37,2.45,-0.06,롯데 자이언츠,14625,2025,3100,False,내국인,0,D
진해수,54,0,54,3,0,0,2,1,0,5,27.2,19,21,128,36,3,0,5,10,3,22,0,2,6.18,5.82,1.66,-0.17,롯데 자이언츠,10075,2025,7000,False,내국인,0,C
윤성빈,1,1,0,0,0,0,0,1,0,0,1.0,5,5,9,4,1,0,1,2,0,1,0,0,45.0,19.8,6.0,-0.21,롯데 자이언츠,12928,2025,3100,False,내국인,0,D
현도훈,8,0,8,5,0,0,0,1,0,0,10.0,10,11,50,15,3,1,2,6,0,8,0,1,9.0,6.44,2.1,-0.3,롯데 자이언츠,13271,2025,3300,False,내국인,0,D
송재영,19,0,19,4,0,0,0,1,1,3,8.1,10,10,40,9,3,0,2,5,1,9,1,1,10.8,6.59,1.68,-0.36,롯데 자이언츠,14794,2025,3200,False,내국인,0,D
나균안,26,14,12,4,0,0,4,7,0,0,73.0,69,73,380,114,19,0,15,47,5,74,0,10,8.51,6.32,2.21,-0.64,롯데 자이언츠,12930,2025,12000,False,내국인,1,B
양현종,29,29,0,3,3,0,11,5,0,0,171.1,78,86,727,174,37,6,21,41,6,129,0,2,4.1,4.63,1.25,5.01,KIA 타이거즈,10058,2025,50000,False,내국인,1,A
네일,26,26,0,0,0,0,12,5,0,0,149.1,42,69,642,154,27,1,11,35,9,138,1,3,2.53,3.68,1.27,4.9,KIA 타이거즈,16088,2025,168000,False,외국인,1,A
정해영,53,0,53,44,0,0,2,3,31,1,50.2,14,14,210,47,5,1,8,16,1,50,0,0,2.49,4.59,1.24,2.44,KIA 타이거즈,14608,2025,36000,False,내국인,0,A
윤영철,18,18,0,0,0,0,7,4,0,0,81.2,38,44,362,82,14,1,8,43,1,58,0,1,4.19,5.26,1.53,2.18,KIA 타이거즈,15432,2025,12000,False,내국인,1,B
황동하,25,21,4,4,0,0,5,7,0,0,103.1,51,64,464,109,18,0,13,44,8,81,0,5,4.44,5.3,1.48,2.13,KIA 타이거즈,15063,2025,10000,False,내국인,1,B
전상현,66,0,66,16,0,0,10,5,7,19,66.0,30,32,272,55,7,2,5,20,5,54,0,2,4.09,4.18,1.14,1.64,KIA 타이거즈,12537,2025,30000,False,내국인,0,A
곽도규,71,0,71,3,0,0,4,2,2,16,55.2,22,24,248,43,7,0,4,34,4,64,0,7,3.56,4.24,1.38,1.33,KIA 타이거즈,15435,2025,12000,False,내국인,0,B
김도현,35,10,25,6,0,0,4,6,0,3,75.0,41,45,345,87,11,1,9,31,9,59,0,4,4.92,5.31,1.57,1.23,KIA 타이거즈,14128,2025,9000,False,내국인,0,C
이준영,56,0,56,5,0,0,4,0,0,9,35.0,15,21,160,37,8,0,5,17,2,33,0,0,3.86,4.96,1.54,0.42,KIA 타이거즈,11303,2025,17000,False,내국인,0,B
최지민,56,0,56,4,0,0,3,3,3,12,46.0,26,28,225,44,10,1,2,40,4,37,0,6,5.09,5.67,1.83,0.41,KIA 타이거즈,15057,2025,12000,False,내국인,0,B
