이름,계약 구단,계약금(만원),계약기간
원종현,키움 히어로즈,50000,4년
유강남,롯데 자이언츠,400000,4년
박동원,LG 트윈스,200000,4년
채은성,한화 이글스,360000,6년
양의지,두산 베어스,440000,4년
노진혁,롯데 자이언츠,240000,4년
이태양,한화 이글스,80000,4년
박세혁,NC 다이노스,180000,4년
김상수,KT 위즈,80000,4년
오선진,한화 이글스,15000,1년
한현희,롯데 자이언츠,30000,3년
장시환,한화 이글스,15000,3년
박민우,NC 다이노스,350000,5년
오태곤,SSG 랜더스,60000,4년
김진성,LG 트윈스,30000,2년
정찬헌,키움 히어로즈,20000,2년
