선수,연도,기존pid,연봉,이후연봉,예측연봉,포지션
노시환,2024,14125,35000.0,33000.0,35163.986,3루수
최재훈,2024,10170,92000.0,82000.0,78469.422,포수
황영묵,2024,16110,3000.0,8300.0,9952.2,2루수
안치홍,2024,10014,50000.0,50000.0,44875.032,1루수
최인호,2024,14707,4800.0,6800.0,7243.4,좌익수
김태연,2024,12585,7800.0,14600.0,15585.766,3루수
이도윤,2024,11414,7500.0,11000.0,12474.64,유격수
장진혁,2024,12583,5800.0,11500.0,11338.95,중견수
문현빈,2024,15422,23000.0,8800.0,15402.694,중견수
박상언,2024,12587,4200.0,4200.0,4408.96,포수
권광민,2024,13676,3300.0,3800.0,3910.67,좌익수
하주석,2024,10913,7000.0,9000.0,7906.8,유격수
유로결,2024,14126,3300.0,3500.0,3725.37,우익수
한경빈,2024,15633,3000.0,3100.0,3383.17,유격수
장규현,2024,14811,3200.0,3300.0,3337.95,포수
이진영,2024,12539,7000.0,6200.0,6219.3,우익수
이상혁,2024,15139,3100.0,3500.0,3456.4,우익수
이원석,2024,13138,3600.0,5000.0,5379.05,중견수
임종찬,2024,14706,3400.0,3700.0,3903.4,우익수
이재원,2024,10082,5000.0,10000.0,8470.7,포수
김인환,2024,12589,6900.0,5500.0,6020.1,1루수
홍창기,2024,12546,51000.0,65000.0,62335.82,우익수
문보경,2024,14137,30000.0,41000.0,43672.564,3루수
오지환,2024,10475,30000.0,30000.0,31365.57,유격수
신민재,2024,13056,11500.0,20000.0,22475.932,2루수
문성주,2024,13112,20000.0,18000.0,19934.382,좌익수
구본혁,2024,14140,7000.0,13500.0,13806.95,2루수
최원영,2024,15084,3000.0,4000.0,4320.37,좌익수
이주헌,2024,15081,3000.0,3300.0,3402.74,포수
김주성,2024,12545,3500.0,3500.0,3598.49,3루수
김현종,2024,16013,3000.0,3200.0,3297.35,중견수
안익훈,2024,11347,5500.0,5200.0,5216.6,중견수
김성진,2024,14141,3100.0,3300.0,3313.27,1루수
최승민,2024,14187,4000.0,4300.0,4661.4,좌익수
송찬의,2024,13109,3600.0,3500.0,3750.02,2루수
김수인,2024,14675,3000.0,3100.0,3460.9,2루수
이영빈,2024,14783,5500.0,6000.0,5517.4,1루수
함창건,2024,14680,3000.0,3200.0,3172.15,좌익수
김성우,2024,15085,3100.0,3100.0,3284.94,포수
김민수,2024,12931,6000.0,6000.0,5637.3,3루수
김범석,2024,15484,28300.0,4700.0,15080.266,1루수
윤동희,2024,15048,9000.0,20000.0,21783.346,중견수
고승민,2024,14160,8000.0,18500.0,18505.322,2루수
손호영,2024,14590,4500.0,12500.0,17875.214,3루수
황성빈,2024,14642,7600.0,15500.0,15888.302,중견수
나승엽,2024,14797,4000.0,12000.0,22207.884,1루수
박승욱,2024,10804,13500.0,17000.0,18521.28,유격수
정훈,2024,10253,46666.0,20000.0,27690.24,1루수
오선진,2024,10557,10000.0,4000.0,5623.4,3루수
김동혁,2024,15645,3100.0,3300.0,3423.76,중견수
이정훈,2024,12916,6000.0,6500.0,8295.0,좌익수
신윤후,2024,14169,5200.0,4800.0,5244.5,우익수
이호준,2024,16091,3000.0,3100.0,3491.57,유격수
이인한,2024,14690,3000.0,3100.0,3696.43,좌익수
김민성,2024,10238,20000.0,20000.0,18560.2,3루수
손성빈,2024,14796,5000.0,6800.0,8057.2,포수
강성우,2024,16093,3000.0,3100.0,6496.14,유격수
강승구,2024,16102,3000.0,3100.0,3193.65,포수
장두성,2024,13155,4000.0,4600.0,4510.12,중견수
최항,2024,10810,3100.0,5000.0,5363.7,2루수
김민석,2024,15253,33500.0,7500.0,13076.698,중견수
이주찬,2024,14819,3100.0,3200.0,3364.75,3루수
서동욱,2024,15624,3300.0,3500.0,3584.83,포수
정보근,2024,13154,7500.0,7700.0,7689.4,포수
김도영,2024,15056,10000.0,50000.0,45946.854,3루수
박찬호,2024,11261,30000.0,45000.0,38856.632,유격수
김선빈,2024,10008,60000.0,60000.0,54184.97,2루수
최원준,2024,12534,22000.0,40000.0,36867.036,우익수
한준수,2024,13113,5000.0,14000.0,12098.5,포수
서건창,2024,10855,5000.0,12000.0,10724.266,1루수
김태군,2024,10459,70000.0,70000.0,61474.744,포수
변우혁,2024,14124,6000.0,8500.0,8390.95,1루수
이창진,2024,11233,12000.0,14000.0,12670.1,좌익수
윤도현,2024,15058,3000.0,3200.0,4740.1,2루수
박정우,2024,12869,3800.0,6500.0,5885.3,중견수
이우성,2024,11099,13000.0,17000.0,17544.088,좌익수
홍종표,2024,14612,3500.0,6500.0,6067.1,2루수
박민,2024,14611,3500.0,3800.0,3841.79,유격수
고종욱,2024,10659,15000.0,15000.0,13297.6,좌익수
황대인,2024,11306,8000.0,7000.0,6624.8,1루수
오선우,2024,14181,3300.0,3400.0,3464.0,1루수
한승택,2024,11119,6500.0,6500.0,6013.9,포수
김두현,2024,16086,3000.0,3100.0,3743.72,유격수
김규성,2024,12540,5500.0,6500.0,6041.7,2루수
최정용,2024,11407,4300.0,4500.0,4319.84,2루수
김호령,2024,11298,9000.0,8000.0,7184.9,중견수
장성우,2024,10235,95000.0,95000.0,88327.318,포수
김민혁,2024,11339,24000.0,30000.0,32359.13,좌익수
강백호,2024,13168,29000.0,70000.0,43785.532,1루수
김상수,2024,10320,50000.0,50000.0,44984.768,유격수
문상철,2024,11333,11000.0,17000.0,17179.33,1루수
오윤석,2024,11397,14000.0,16000.0,17068.846,2루수
배정대,2024,11212,32000.0,34000.0,38775.788,중견수
심우준,2024,11334,29000.0,50000.0,39596.4,유격수
조대현,2024,13177,3100.0,4300.0,4535.88,포수
강현우,2024,14603,5000.0,5000.0,5487.3,포수
천성호,2024,14606,4500.0,7100.0,7069.55,2루수
김병준,2024,15097,3100.0,3600.0,3606.67,중견수
김준태,2024,10835,10000.0,7500.0,7692.2,포수
강민성,2024,14191,3600.0,3700.0,3757.36,3루수
장준원,2024,11214,5300.0,5100.0,5048.8,유격수
안현민,2024,15092,3000.0,3300.0,3311.26,좌익수
권동진,2024,14777,4600.0,4600.0,4528.62,유격수
홍현빈,2024,12941,4500.0,4500.0,4430.6,우익수
송민섭,2024,11342,6500.0,6000.0,5920.0,우익수
안치영,2024,13006,5000.0,4500.0,4645.8,우익수
윤준혁,2024,14605,3000.0,3500.0,3480.97,3루수
박민석,2024,14110,3100.0,3400.0,3799.16,2루수
김건형,2024,14779,3000.0,3300.0,3285.66,우익수
오재일,2024,10400,50000.0,15000.0,22756.404,1루수
이호연,2024,13151,8500.0,7000.0,6584.5,2루수
김지찬,2024,14618,16000.0,28000.0,27595.552,2루수
강민호,2024,10232,70000.0,70000.0,70425.322,포수
이재현,2024,15034,14000.0,21000.0,19946.03,유격수
김영웅,2024,15035,3800.0,15000.0,14290.746,3루수
이성규,2024,12562,6000.0,13000.0,12467.35,우익수
김헌곤,2024,10640,6000.0,10000.0,11123.65,좌익수
윤정빈,2024,13161,3700.0,7400.0,7482.5,우익수
박병호,2024,10470,70000.0,38000.0,45045.932,1루수
디아즈,2024,16162,5000.0,70000.0,46579.4,1루수
전병우,2024,11422,6000.0,7500.0,7246.9,3루수
이병헌,2024,14117,4000.0,6500.0,6146.0,포수
류지혁,2024,10894,20000.0,60000.0,18879.248,2루수
김민수,2024,11266,4600.0,4600.0,4537.74,포수
양도근,2024,15875,3000.0,3500.0,3689.94,2루수
