Name_x,포지션,fid_G,fid_GS,fid_IP,TC,PO,Ass,E,F%,RF9,수비 관련 득점 기여도,수비 관련 득점 기여도.1,수비 관련 득점 기여도.2,수비 관련 득점 기여도.3,수비 관련 득점 기여도.4,수비 관련 득점 기여도.5,수비 관련 득점 기여도.6,수비 관련 득점 기여도.7,수비 관련 득점 기여도.8,수비 관련 득점 기여도.9,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼,팀,pid,pit_G,pit_GS,GR,GF,CG,SHO,W,L,S,HD,pit_IP,ER,R_x,rRA,TBF,H_x,2B_x,3B_x,HR_x,BB_x,HP_x,IB_x,SO_x,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,WAR▼_x,bat_G,oWAR,dWAR,PA,ePA,AB,R_y,H_y,2B_y,3B_y,HR_y,TB,RBI,SB,CS,BB_y,HP_y,IB_y,SO_y,GDP,SH,SF,비율,비율.1,비율.2,비율.3,비율.4,비율.5,WAR▼_y,Name_y,연봉(만원),WAR,WAR당 연봉
박병호,1루수,32,23,227.1,206,189,15,2,99.0,8.08,1.19,0,0.12,0,0.06,0,0,0,1.36,1.64,-2.18,-0.82,0.125,-0.075,KT 위즈,10470.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,-0.31,0.17,121,121,101,10,20,2,0,3,31,10,1,0,16,4,0,38,8,0,0,0.198,0.331,0.307,0.638,0.101,72.7,-0.13,0,0,0,0
박병호,1루수,31,29,248.2,253,223,28,2,99.2,9.08,1.37,0,0.23,0,0.25,0,0,0,1.85,2.22,-2.38,-0.53,0.169,-0.049,삼성 라이온즈,10470.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0.4,0.13,285,285,249,42,61,5,0,20,126,60,3,0,31,3,0,83,5,0,2,0.245,0.333,0.506,0.839,0.149,106.8,0.53,박병호,70000,0.25,283380
최항,1루수,10,1,21.1,14,14,0,0,100.0,5.91,-0.64,0,0.11,0,0,0,0,0,-0.54,-1.08,-0.16,-0.7,-0.049,-0.064,롯데 자이언츠,10810.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,최항,3100,-0.18,-17554
서건창,1루수,51,25,276.2,275,241,30,4,98.5,8.82,-2.19,0,-0.64,0,-0.16,0,0,0,-2.99,-4.58,-2.72,-5.71,-0.273,-0.521,KIA 타이거즈,10855.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,1.54,-0.02,248,245,203,40,63,14,1,1,82,26,3,1,36,3,0,31,2,3,3,0.31,0.416,0.404,0.82,0.169,124.5,1.51,서건창,5000,1.61,3106
류지혁,1루수,13,3,44.2,36,34,2,0,100.0,7.25,-0.76,0,0.22,0,0,0,0,0,-0.54,-0.77,-0.34,-0.88,-0.049,-0.08,삼성 라이온즈,10894.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,류지혁,20000,0.34,58607
하주석,1루수,1,0,1.0,1,1,0,0,100.0,9.0,0,0,0.0,0,0,0,0,0,0.0,0.01,-0.02,-0.02,0.0,-0.001,한화 이글스,10913.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,하주석,7000,0.23,30579
강승호,1루수,32,13,143.2,145,126,18,1,99.3,9.02,1.74,0,0.21,0,0.06,0,0,0,2.01,2.06,-1.32,0.69,0.183,0.063,두산 베어스,11087.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,강승호,25500,4.39,5809
이우성,1루수,87,79,670.1,651,609,36,6,99.1,8.66,-4.16,0,0.3,0,-0.29,0,0,0,-4.15,-5.33,-6.66,-10.81,-0.379,-0.987,KIA 타이거즈,11099.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0.73,-0.55,449,449,399,56,115,16,1,9,160,54,7,1,44,3,0,89,17,0,3,0.288,0.361,0.401,0.762,0.134,99.8,0.18,이우성,13000,-0.10,-128006
강진성,1루수,2,1,9.0,7,6,1,0,100.0,7.0,0.66,0,0.04,0,0,0,0,0,0.7,6.31,-0.08,0.62,0.064,0.057,SSG 랜더스,11148.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,강진성,8500,-0.04,-196132
노진혁,1루수,12,3,36.0,40,36,3,1,97.5,9.75,0.53,0,-0.32,0,0,0,0,0,0.21,0.41,-0.28,-0.07,0.019,-0.006,롯데 자이언츠,11165.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,노진혁,60000,-0.23,-260317
박계범,1루수,1,0,1.0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.03,0,0,0.0,0,두산 베어스,11198.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,박계범,8500,-0.47,-18168
양석환,1루수,131,130,1118.0,1038,943,85,10,99.0,8.28,2.55,0,0.51,0,0.21,0,0,0,3.27,3.32,-11.06,-7.79,0.299,-0.711,두산 베어스,11213.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,1.79,0.37,593,592,533,83,131,25,1,34,260,107,5,3,49,7,1,128,15,1,3,0.246,0.316,0.488,0.804,0.136,104.5,2.17,양석환,30000,2.31,13009
채은성,1루수,75,73,601.1,578,548,23,7,98.8,8.55,-2.79,0,-0.54,0,0.0,0,0,0,-3.33,-3.86,-5.98,-9.31,-0.304,-0.85,한화 이글스,11215.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,1.32,-0.18,498,498,436,61,118,24,0,20,202,83,1,1,49,8,1,83,12,0,5,0.271,0.351,0.463,0.814,0.147,108.9,1.14,채은성,100000,1.40,71340
강한울,1루수,1,0,1.0,1,1,0,0,100.0,9.0,0,0,0.0,0,0,0,0,0,0.0,0.04,0,0,0.0,0,삼성 라이온즈,11255.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,강한울,10000,-0.32,-30994
황대인,1루수,2,2,10.0,10,9,1,0,100.0,9.0,-0.51,0,0.05,0,0,0,0,0,-0.46,-22.06,-0.12,-0.58,-0.042,-0.053,KIA 타이거즈,11306.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-0.01,-0.04,7,7,7,1,2,1,0,0,3,3,0,0,0,0,0,1,0,0,0,0.286,0.286,0.429,0.715,0.1,74.4,-0.05,황대인,8000,-0.02,-349722
문상철,1루수,88,78,638.2,619,563,50,6,99.0,8.64,8.27,0,0.15,0,-0.32,0,0,0,8.1,9.34,-6.48,1.62,0.74,0.148,KT 위즈,11333.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0.96,0.68,403,401,347,50,89,11,0,17,151,58,6,1,45,7,2,86,8,1,3,0.256,0.351,0.435,0.786,0.139,101.7,1.64,문상철,11000,3.43,3206
김재성,1루수,1,1,5.0,4,3,0,1,75.0,5.4,-0.47,0,-0.48,0,0,0,0,0,-0.94,-13.59,-0.08,-1.02,-0.086,-0.094,삼성 라이온즈,11344.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,김재성,7000,-0.23,-30485
송성문,1루수,32,15,148.0,138,130,7,1,99.3,8.33,-2.05,0,0.23,0,0.06,0,0,0,-1.76,-1.78,-1.48,-3.24,-0.161,-0.296,키움 히어로즈,11376.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,송성문,13000,6.87,1892
오윤석,1루수,5,0,7.0,5,5,0,0,100.0,6.43,0.17,0,0.03,0,0,0,0,0,0.21,0.41,-0.04,0.17,0.019,0.015,KT 위즈,11397.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,오윤석,14000,1.57,8907
전병우,1루수,3,3,18.0,14,13,0,1,92.9,6.5,1.18,0,-0.41,0,0,0,0,0,0.77,1.9,-0.12,0.65,0.07,0.059,삼성 라이온즈,11422.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,전병우,6000,0.46,13079
최원준,1루수,1,0,1.0,1,1,0,0,100.0,9.0,-0.6,0,0.0,0,0,0,0,0,-0.6,-0.63,0,0,-0.055,0,KIA 타이거즈,12534.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,최원준,22000,2.35,9351
김규성,1루수,9,0,13.0,17,15,1,1,94.1,11.08,0.73,0,-0.44,0,0,0,0,0,0.29,1.55,-0.06,0.23,0.026,0.021,KIA 타이거즈,12540.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,김규성,5500,-0.18,-30087
도태훈,1루수,57,17,215.2,192,171,20,1,99.5,7.97,1.25,0,0.56,0,0.06,0,0,0,1.87,2.7,-1.78,0.09,0.171,0.009,NC 다이노스,12560.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,-0.24,0.3,181,177,145,20,31,4,0,0,35,15,1,0,24,6,0,29,5,4,2,0.214,0.345,0.241,0.586,0.092,69.3,0.06,도태훈,8000,0.48,16655
이성규,1루수,39,21,201.1,185,173,10,2,98.9,8.18,0.68,0,-0.01,0,0,0,0,0,0.67,0.79,-1.86,-1.19,0.061,-0.109,삼성 라이온즈,12562.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,이성규,6000,1.86,3233
김태연,1루수,49,30,306.1,284,253,26,5,98.2,8.2,-2.39,0,-0.99,0,0.06,0,0,0,-3.33,-3.8,-2.94,-6.27,-0.304,-0.572,한화 이글스,12585.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,김태연,7800,0.47,16566
김인환,1루수,14,7,66.0,55,50,3,2,96.4,7.23,-0.81,0,-0.68,0,0.06,0,0,0,-1.43,-4.05,-0.62,-2.05,-0.131,-0.188,한화 이글스,12589.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,김인환,6900,-1.27,-5425
홍성호,1루수,3,0,5.0,5,5,0,0,100.0,9.0,0.0,0,0.02,0,0,0,0,0,0.02,0.2,-0.04,-0.02,0.002,-0.002,두산 베어스,12606.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.03,0.03,15,15,14,0,4,2,0,0,6,1,1,0,1,0,0,7,0,0,0,0.286,0.333,0.429,0.762,0.129,100.8,0.07,홍성호,3300,0.10,31759
김수윤,1루수,5,1,22.0,23,22,1,0,100.0,9.41,0.5,0,0.11,0,0,0,0,0,0.61,9.7,-0.14,0.47,0.055,0.043,NC 다이노스,12903.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,-0.07,-0.08,10,10,9,0,2,0,0,0,2,0,0,0,1,0,0,4,0,0,0,0.222,0.3,0.222,0.522,0.05,37.3,-0.16,김수윤,3200,-0.10,-31236
김민수,1루수,6,2,15.0,13,12,0,1,92.3,7.2,-0.72,0,-0.43,0,0,0,0,0,-1.15,-8.72,-0.12,-1.27,-0.105,-0.116,LG 트윈스,12931.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,김민수,6000,-0.36,-16868
김민혁,1루수,1,0,1.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.12,0,0,0.0,0,두산 베어스,12970.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,김민혁,3800,0.22,17536
전민재,1루수,3,1,10.0,10,9,0,1,90.0,8.1,-0.8,0,-0.45,0,0,0,0,0,-1.25,-1.8,-0.06,-1.31,-0.114,-0.12,두산 베어스,13073.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,전민재,3400,0.32,10606
오영수,1루수,10,6,49.2,53,49,4,0,100.0,9.6,1.21,0,0.25,0,0,0,0,0,1.46,10.51,-0.44,1.02,0.133,0.093,NC 다이노스,13082.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,-0.04,0.12,34,34,30,4,6,0,0,3,15,5,0,0,2,1,0,6,0,0,1,0.2,0.265,0.5,0.765,0.108,80.8,0.08,오영수,7200,0.23,30943
이호연,1루수,1,0,2.0,4,4,0,0,100.0,18.0,0.0,0,0.01,0,0,0,0,0,0.01,0.05,-0.02,-0.01,0.001,-0.001,KT 위즈,13151.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,이호연,8500,-0.65,-13160
윤정빈,1루수,7,1,31.0,22,21,1,0,100.0,6.39,0.87,0,0.15,0,0,0,0,0,1.02,2.13,-0.26,0.76,0.093,0.07,삼성 라이온즈,13161.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,윤정빈,3700,1.74,2126
공민규,1루수,2,0,5.0,7,5,2,0,100.0,12.6,0.27,0,0.02,0,0,0,0,0,0.3,3.59,-0.02,0.28,0.027,0.026,삼성 라이온즈,13164.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,공민규,4100,-0.22,-18498
