Rank,Name,Team,Sort▼,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,비율,비율,비율,비율,비율,비율,WAR▼,포지션
Rank,Name,Team,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR▼,
35,김재성,25 C,-0.35,33,-0.39,0.03,62,61,54,3,7,1,0,0,8,4,0,0,4,2,0,21,0,1,1,0.13,0.213,0.148,0.361,-0.005,-3.9,-0.35,포수
36,박세혁,25 C,-0.57,30,-0.35,-0.23,59,59,54,5,7,1,0,2,14,7,0,0,4,0,0,20,3,0,1,0.13,0.186,0.259,0.445,0.011,9.3,-0.57,포수
1,위즈덤,25 1B,3.56,70,3.3,0.25,304,303,258,53,67,15,1,21,147,53,3,0,41,2,1,80,3,0,3,0.26,0.362,0.57,0.932,0.186,162.3,3.56,1루수
2,디아즈,25 1B,2.66,90,2.05,0.61,388,385,350,55,107,16,0,31,216,93,1,0,31,2,4,67,8,0,5,0.306,0.361,0.617,0.978,0.19,151.7,2.66,1루수
3,오스틴,25 1B,2.66,75,2.41,0.24,314,309,265,52,72,12,0,20,144,55,2,0,44,0,6,45,7,0,5,0.272,0.369,0.543,0.912,0.173,154.4,2.66,1루수
4,채은성,25 1B,1.53,88,1.96,-0.43,343,338,312,41,92,21,1,16,163,61,1,1,20,8,2,69,4,3,0,0.295,0.353,0.522,0.875,0.162,132.7,1.53,1루수
5,데이비슨,25 1B,1.24,63,1.56,-0.32,245,245,220,30,68,10,0,16,126,47,0,0,14,6,0,66,7,0,5,0.309,0.359,0.573,0.932,0.178,150.5,1.24,1루수
6,양석환,25 1B,0.79,60,0.5,0.29,247,247,218,27,54,13,0,6,85,23,0,0,21,5,0,66,6,0,3,0.248,0.324,0.39,0.714,0.115,100.9,0.79,1루수
7,오선우,25 1B,0.77,71,1.45,-0.68,274,274,250,40,76,15,1,8,117,34,0,1,23,1,1,79,6,0,0,0.304,0.365,0.468,0.833,0.154,133.6,0.77,1루수
8,고명준,25 1B,0.63,86,0.12,0.51,336,336,315,26,88,18,1,7,129,40,1,0,14,2,0,59,6,0,5,0.279,0.31,0.41,0.72,0.106,90.1,0.63,1루수
9,나승엽,25 1B,0.24,73,0.77,-0.53,286,284,242,31,57,9,2,8,94,35,0,0,39,3,1,44,8,1,1,0.236,0.347,0.388,0.735,0.132,108.0,0.24,1루수
10,이호연,25 1B,0.17,19,0.19,-0.02,55,54,51,8,17,4,0,1,24,4,0,0,2,1,0,8,2,1,0,0.333,0.37,0.471,0.841,0.154,124.4,0.17,1루수
11,문상철,25 1B,0.13,66,-0.12,0.25,190,188,159,20,33,5,1,4,52,17,1,1,21,5,0,38,3,2,3,0.208,0.314,0.327,0.641,0.098,83.4,0.13,1루수
12,김민혁,25 1B,0.13,10,0.07,0.05,21,21,17,2,2,0,0,1,5,1,0,0,4,0,0,6,0,0,0,0.118,0.286,0.294,0.58,0.09,77.4,0.13,1루수
13,김주성,25 1B,0.01,13,0.08,-0.07,13,13,11,2,2,0,0,1,5,1,0,1,1,1,0,2,0,0,0,0.182,0.308,0.455,0.763,0.131,109.3,0.01,1루수
14,도태훈,25 1B,0.0,39,0.11,-0.11,68,63,54,6,11,4,1,0,17,4,2,0,6,3,0,9,2,5,0,0.204,0.317,0.315,0.632,0.099,82.8,0.0,1루수
15,김민수,25 1B,-0.01,13,-0.11,0.1,13,13,11,0,2,0,0,0,2,1,1,0,1,0,0,6,0,0,1,0.182,0.231,0.182,0.413,0.006,5.1,-0.01,1루수
16,최항,25 1B,-0.02,5,-0.01,-0.01,3,3,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0,0.333,0.0,0.333,0.074,60.8,-0.02,1루수
17,윤준혁,25 1B,-0.17,20,-0.31,0.14,17,16,16,2,1,1,0,0,2,0,1,0,0,0,0,5,0,1,0,0.063,0.063,0.125,0.188,-0.099,-81.3,-0.17,1루수
18,강진성,25 1B,-0.18,6,-0.11,-0.07,13,13,11,1,2,0,0,0,2,1,0,0,2,0,0,1,2,0,0,0.182,0.308,0.182,0.49,0.062,60.3,-0.18,1루수
19,황대인,25 1B,-0.19,18,-0.36,0.16,57,57,53,3,10,3,0,1,16,8,0,0,3,0,0,14,0,0,1,0.189,0.228,0.302,0.53,0.039,33.5,-0.19,1루수
20,최주환,25 1B,-0.23,87,0.36,-0.59,369,367,335,32,88,26,1,7,137,50,0,0,25,4,2,53,5,0,5,0.263,0.317,0.409,0.726,0.111,101.7,-0.23,1루수
21,김인환,25 1B,-0.3,4,-0.22,-0.08,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0.0,-0.166,-138.2,-0.3,1루수
22,김태연,25 1B,-0.31,74,-0.34,0.02,217,214,198,25,50,8,0,1,61,11,5,2,12,4,0,44,5,3,0,0.253,0.308,0.308,0.616,0.081,65.7,-0.31,1루수
23,서호철,25 1B,-0.7,58,-0.54,-0.16,169,163,151,8,40,4,0,1,47,19,4,3,5,3,0,26,6,6,4,0.265,0.294,0.311,0.605,0.068,57.3,-0.7,1루수
1,박민우,25 2B,3.8,81,3.02,0.78,328,324,286,45,91,20,7,1,128,47,20,7,28,10,3,43,4,3,1,0.318,0.397,0.448,0.845,0.163,138.3,3.8,2루수
2,오명진,25 2B,2.05,68,1.67,0.38,256,253,229,29,67,12,3,4,97,35,3,1,20,2,1,55,3,2,3,0.293,0.35,0.424,0.774,0.134,115.7,2.05,2루수
3,고승민,25 2B,1.91,71,1.77,0.14,310,308,274,42,82,15,1,2,105,30,4,1,31,0,0,45,5,2,3,0.299,0.367,0.383,0.75,0.133,108.4,1.91,2루수
4,류지혁,25 2B,1.61,85,1.65,-0.04,315,305,268,37,81,10,0,1,94,26,8,2,26,9,0,50,5,10,2,0.302,0.38,0.351,0.731,0.13,103.9,1.61,2루수
