팀,선수,연봉 총수령액(만원),연봉등급,pid,연도,팀연봉순위,전체연봉순위
NC 다이노스,김진호,3000,D,12897,2022,53,581
KIA 타이거즈,김찬민,3000,D,15060,2022,62,581
KIA 타이거즈,김창용,3000,D,14184,2022,62,581
롯데 자이언츠,김창훈,11100,B,14793,2022,16,211
NC 다이노스,김태경,3300,D,14593,2022,48,500
삼성 라이온즈,김태군,20000,B,10459,2022,14,134
두산 베어스,김태근,3000,D,14175,2022,63,581
한화 이글스,김태연,5600,C,12585,2022,33,359
KT 위즈,김태오,3400,D,12577,2022,49,491
SSG 랜더스,김태우,3000,D,14688,2022,55,581
삼성 라이온즈,김태우,0,D,13158,2022,76,840
SSG 랜더스,김태윤,3000,D,15030,2022,55,581
키움 히어로즈,김태진,10000,B,11244,2022,18,228
NC 다이노스,김태현,3000,D,12898,2022,53,581
LG 트윈스,김태형,3200,D,12863,2022,62,525
KT 위즈,김태훈,4100,D,11336,2022,45,417
SSG 랜더스,김태훈,15000,B,10133,2022,21,163
키움 히어로즈,김태훈,19000,B,10871,2022,12,144
SSG 랜더스,김택형,12500,B,11373,2022,24,188
KT 위즈,김한별,3000,D,12620,2022,59,581
NC 다이노스,김한별,3000,D,14716,2022,53,581
삼성 라이온즈,김헌곤,18000,B,10640,2022,17,152
KIA 타이거즈,김현수,4000,D,14162,2022,39,423
LG 트윈스,김현수,275000,A,10187,2022,1,4
키움 히어로즈,김현우,8000,C,14856,2022,23,273
KIA 타이거즈,김현준,3400,D,12533,2022,55,491
삼성 라이온즈,김현준,6300,C,14867,2022,30,330
LG 트윈스,김형욱,9000,C,14844,2022,31,252
키움 히어로즈,김혜성,32000,B,12905,2022,7,89
KIA 타이거즈,김호령,6000,C,11298,2022,31,334
LG 트윈스,김호은,4000,D,12554,2022,49,423
삼성 라이온즈,김호재,7000,C,13240,2022,26,291
키움 히어로즈,김휘집,13900,B,14785,2022,14,178
롯데 자이언츠,나균안,5800,C,12930,2022,31,354
KIA 타이거즈,나성범,300000,A,11162,2022,1,2
롯데 자이언츠,나승엽,54000,A,14797,2022,7,70
KIA 타이거즈,나용기,3000,D,14186,2022,62,581
롯데 자이언츠,나원탁,3100,D,12935,2022,50,559
KIA 타이거즈,나지완,15000,B,10030,2022,13,163
한화 이글스,남지민,3300,D,14619,2022,49,500
KIA 타이거즈,남하준,3300,D,12535,2022,56,500
두산 베어스,남호,3500,D,14139,2022,50,475
SSG 랜더스,노경은,10000,B,10203,2022,29,228
SSG 랜더스,노바,117000,A,15007,2022,8,30
NC 다이노스,노상혁,3000,D,14648,2022,53,581
한화 이글스,노석진,3000,D,15022,2022,63,581
삼성 라이온즈,노성호,5800,C,11144,2022,32,354
한화 이글스,노수광,12840,B,11268,2022,17,187
한화 이글스,노시환,12000,B,14125,2022,18,193
NC 다이노스,노시훈,3000,D,14649,2022,53,581
키움 히어로즈,노운현,3000,D,15027,2022,55,581
NC 다이노스,노진혁,23000,B,11165,2022,13,128
KIA 타이거즈,놀린,78000,A,14998,2022,4,53
NC 다이노스,더모디,28600,B,15154,2022,10,104
KT 위즈,데스파이네,143000,A,14602,2022,1,20
NC 다이노스,도태훈,4000,D,12560,2022,42,423
SSG 랜더스,라가레스,52000,A,15151,2022,12,71
KT 위즈,라모스,97500,A,15000,2022,4,40
한화 이글스,라미레즈,48750,B,15145,2022,7,75
롯데 자이언츠,렉스,40300,B,15152,2022,11,83
KIA 타이거즈,로니,52000,A,14997,2022,6,71
LG 트윈스,루이즈,97500,A,15002,2022,4,40
NC 다이노스,루친스키,247000,A,13932,2022,2,8
KIA 타이거즈,류승현,4000,D,12543,2022,39,423
LG 트윈스,류원석,4000,D,13251,2022,49,423
KIA 타이거즈,류지혁,10500,B,10894,2022,20,220
NC 다이노스,류진욱,7500,C,11355,2022,30,286
키움 히어로즈,류하성,1500,D,15130,2022,79,839
한화 이글스,류희운,3300,D,12655,2022,49,500
NC 다이노스,마티니,71500,A,15008,2022,5,59
SSG 랜더스,모리만도,23400,B,15149,2022,15,125
롯데 자이언츠,문경찬,9000,C,11299,2022,19,252
두산 베어스,문대원,3200,D,12848,2022,55,525
한화 이글스,문동주,3000,D,15013,2022,63,581
LG 트윈스,문보경,6800,C,14137,2022,38,309
KT 위즈,문상인,3200,D,13227,2022,52,525
KT 위즈,문상준,3000,D,14720,2022,59,581
KT 위즈,문상철,6600,C,11333,2022,38,312
LG 트윈스,문성주,4200,D,13112,2022,48,413
키움 히어로즈,문성현,3500,D,10437,2022,45,475
SSG 랜더스,문승원,160000,A,10783,2022,6,16
한화 이글스,문승진,6000,C,14874,2022,30,334
삼성 라이온즈,문용익,4500,D,12885,2022,42,403
LG 트윈스,문정빈,3000,D,15086,2022,67,581
두산 베어스,미란다,247000,A,14751,2022,2,8
롯데 자이언츠,민성우,3000,D,15135,2022,54,581
한화 이글스,민승기,3000,D,15137,2022,63,581
KIA 타이거즈,박건우,16100,B,14786,2022,12,159
NC 다이노스,박건우,256666,A,10189,2022,1,6
KT 위즈,박경수,29000,B,10469,2022,12,103
두산 베어스,박계범,14500,B,11198,2022,18,171
키움 히어로즈,박관진,3000,D,14693,2022,55,581
NC 다이노스,박대온,4000,D,11246,2022,42,423
NC 다이노스,박동수,3000,D,15112,2022,53,581
KIA 타이거즈,박동원,31000,B,10387,2022,9,91
롯데 자이언츠,박명현,3200,D,14622,2022,48,525
KIA 타이거즈,박민,3500,D,14611,2022,50,475
NC 다이노스,박민우,41000,B,11137,2022,9,81
SSG 랜더스,박민호,12000,B,11236,2022,25,193
KT 위즈,박병호,83333,A,10470,2022,6,49
한화 이글스,박상언,3200,D,12587,2022,54,525
한화 이글스,박상원,13300,B,12871,2022,15,180
KIA 타이거즈,박상준,3000,D,15125,2022,62,581
SSG 랜더스,박상후,3000,D,15026,2022,55,581
NC 다이노스,박석민,70000,A,10322,2022,7,62
롯데 자이언츠,박선우,3300,D,12569,2022,44,500
NC 다이노스,박성재,3000,D,15110,2022,53,581
두산 베어스,박성재,6100,C,14838,2022,38,333
SSG 랜더스,박성한,14000,B,12922,2022,23,173
롯데 자이언츠,박세웅,26000,B,11310,2022,13,115
삼성 라이온즈,박세웅,3300,D,12651,2022,53,500
두산 베어스,박세혁,30000,B,10891,2022,10,93
두산 베어스,박소준,4500,D,11491,2022,45,403
KIA 타이거즈,박수용,3000,D,14182,2022,62,581
키움 히어로즈,박수종,2700,D,15132,2022,77,830
삼성 라이온즈,박승규,5700,C,14122,2022,33,357
롯데 자이언츠,박승욱,3000,D,10804,2022,54,581
키움 히어로즈,박승주,3200,D,12989,2022,49,525
KT 위즈,박시영,12000,B,10737,2022,22,193
KT 위즈,박시윤,2700,D,13170,2022,81,830
SSG 랜더스,박시후,3000,D,14687,2022,55,581
두산 베어스,박신지,3100,D,13070,2022,60,559
KT 위즈,박영현,3000,D,15089,2022,59,581
두산 베어스,박웅,3300,D,14731,2022,51,500
두산 베어스,박유연,3000,D,12892,2022,63,581
한화 이글스,박윤철,3200,D,14129,2022,54,525
LG 트윈스,박재욱,3500,D,12512,2022,56,475
SSG 랜더스,박정빈,8000,C,14862,2022,33,273
두산 베어스,박정수,5000,C,11300,2022,42,376
KIA 타이거즈,박정우,3500,D,12869,2022,50,475
삼성 라이온즈,박정준,3000,D,11220,2022,59,581
한화 이글스,박정현,3500,D,14704,2022,44,475
키움 히어로즈,박정훈,3000,D,15076,2022,55,581
SSG 랜더스,박제범,6000,C,14859,2022,39,334
SSG 랜더스,박종훈,180000,A,10131,2022,4,13
키움 히어로즈,박주성,4000,D,14130,2022,40,423
삼성 라이온즈,박주혁,3300,D,14668,2022,53,500
KT 위즈,박주현,2700,D,13175,2022,81,830
키움 히어로즈,박주현,3200,D,11375,2022,49,525
키움 히어로즈,박주홍,3200,D,14580,2022,49,525
NC 다이노스,박준영,7000,C,12522,2022,31,291
한화 이글스,박준영,3000,D,15014,2022,63,581
키움 히어로즈,박준태,5000,C,11260,2022,34,376
KIA 타이거즈,박준표,12500,B,11070,2022,16,188
롯데 자이언츠,박진,3100,D,14163,2022,50,559
KIA 타이거즈,박진태,6000,C,12913,2022,31,334
키움 히어로즈,박찬혁,3000,D,15068,2022,55,581
KIA 타이거즈,박찬호,12000,B,11261,2022,17,193
두산 베어스,박치국,14500,B,12850,2022,18,171
LG 트윈스,박해민,140000,A,11190,2022,3,21
롯데 자이언츠,반즈,79999,A,15011,2022,3,52
롯데 자이언츠,배성근,4200,D,13279,2022,38,413
LG 트윈스,배재준,5000,C,12697,2022,43,376
KT 위즈,배정대,26000,B,11212,2022,15,115
KT 위즈,배제성,27000,B,11394,2022,14,111
키움 히어로즈,배현호,3000,D,13095,2022,55,581
KIA 타이거즈,백도렬,3000,D,15062,2022,62,581
KT 위즈,백선기,2700,D,13174,2022,81,830
LG 트윈스,백승현,5000,C,13009,2022,43,376
한화 이글스,백용환,4000,D,10003,2022,40,423
삼성 라이온즈,백정현,115000,A,10363,2022,5,32
키움 히어로즈,백진수,3000,D,15070,2022,55,581
KT 위즈,벤자민,43030,B,15143,2022,9,79
키움 히어로즈,변상권,4800,D,13223,2022,37,393
한화 이글스,변우혁,3000,D,14124,2022,63,581
삼성 라이온즈,뷰캐넌,156000,A,14617,2022,3,18
두산 베어스,브랜든,26000,B,15153,2022,12,115
LG 트윈스,서건창,26000,B,10855,2022,14,115
KIA 타이거즈,서덕원,3600,D,12538,2022,47,469
SSG 랜더스,서동민,4000,D,13191,2022,44,423
두산 베어스,서예일,3300,D,12523,2022,51,500
NC 다이노스,서의태,3000,D,12574,2022,53,581
삼성 라이온즈,서주원,0,D,13165,2022,76,840
NC 다이노스,서준교,3000,D,15120,2022,53,581
롯데 자이언츠,서준원,8400,C,14159,2022,21,268
SSG 랜더스,서진용,18500,B,10784,2022,17,148
NC 다이노스,서호철,3000,D,14220,2022,53,581
SSG 랜더스,석정우,3000,D,15121,2022,55,581
LG 트윈스,성동현,3000,D,13103,2022,67,581
KIA 타이거즈,소크라테스,78000,A,14996,2022,4,53
KT 위즈,소형준,20000,B,14600,2022,18,134
NC 다이노스,손아섭,215000,A,10261,2022,3,11
NC 다이노스,손정욱,4000,D,11142,2022,42,423
LG 트윈스,손주영,3800,D,12908,2022,54,458
KIA 타이거즈,손진규,3000,D,15066,2022,62,581
LG 트윈스,손호영,3500,D,14590,2022,56,475
NC 다이노스,송명기,13000,B,14155,2022,18,183
KT 위즈,송민섭,8100,C,11342,2022,33,270
키움 히어로즈,송성문,7500,C,11376,2022,25,286
LG 트윈스,송승기,6000,C,14846,2022,39,334
두산 베어스,송승환,3000,D,14172,2022,63,581
한화 이글스,송윤준,4100,D,10748,2022,39,417
LG 트윈스,송은범,15000,B,10137,2022,21,163
롯데 자이언츠,송재영,9100,C,14794,2022,18,249
키움 히어로즈,송정인,3000,D,15069,2022,55,581
삼성 라이온즈,송준석,4700,D,11200,2022,39,397
LG 트윈스,송찬의,3000,D,13109,2022,67,581
KT 위즈,송현제,3000,D,15098,2022,59,581
한화 이글스,송호정,13100,B,14812,2022,16,181
KIA 타이거즈,송후섭,3000,D,12867,2022,62,581
삼성 라이온즈,수아레즈,104000,A,15001,2022,6,33
두산 베어스,스탁,65000,A,14999,2022,7,63
롯데 자이언츠,스트레일리,52000,A,14627,2022,8,71
롯데 자이언츠,스파크맨,65000,A,15010,2022,6,63
SSG 랜더스,신동민,3000,D,13272,2022,55,581
KIA 타이거즈,신명승,3000,D,15065,2022,62,581
LG 트윈스,신민재,5000,C,13056,2022,43,376
두산 베어스,신민철,3000,D,15102,2022,63,581
NC 다이노스,신민혁,12000,B,13085,2022,21,193
KIA 타이거즈,신범수,3600,D,12541,2022,47,469
KT 위즈,신범준,20000,B,14774,2022,18,134
KT 위즈,신병률,3100,D,13173,2022,55,559
KT 위즈,신본기,11500,B,10840,2022,23,207
두산 베어스,신성현,4000,D,11492,2022,46,423
롯데 자이언츠,신용수,4900,D,14169,2022,35,391
SSG 랜더스,신재영,4000,D,11149,2022,44,423
한화 이글스,신정락,5400,C,10516,2022,35,366
삼성 라이온즈,신정환,3000,D,15038,2022,59,581
키움 히어로즈,신준우,4000,D,14695,2022,40,423
한화 이글스,신지후,3100,D,14620,2022,59,559
두산 베어스,신창희,3000,D,12608,2022,63,581
롯데 자이언츠,신학진,3000,D,14637,2022,54,581
SSG 랜더스,신헌민,3000,D,15024,2022,55,581
한화 이글스,신현수,3000,D,15021,2022,63,581
KT 위즈,심우준,26000,B,11334,2022,15,115
KT 위즈,심재민,8200,C,11311,2022,32,269
NC 다이노스,심창민,28000,B,10720,2022,11,105
KT 위즈,안광준,3000,D,15126,2022,59,581
두산 베어스,안권수,4800,D,14571,2022,44,393
SSG 랜더스,안상현,3200,D,12613,2022,49,525
두산 베어스,안승한,3700,D,11328,2022,48,464
KT 위즈,안영명,8500,C,10600,2022,31,262
키움 히어로즈,안우진,15000,B,13091,2022,13,163
LG 트윈스,안익훈,5500,C,11347,2022,41,360
NC 다이노스,안인산,3000,D,14598,2022,53,581
두산 베어스,안재석,25800,B,14771,2022,13,120
삼성 라이온즈,안주형,3300,D,12988,2022,53,500
롯데 자이언츠,안중열,6400,C,11329,2022,27,326
한화 이글스,안창호,3000,D,14878,2022,63,581
KT 위즈,안치영,3000,D,13006,2022,59,581
롯데 자이언츠,안치홍,100000,A,10014,2022,2,37
KT 위즈,안현민,3000,D,15092,2022,59,581
KT 위즈,안현준,3200,D,11312,2022,52,525
KT 위즈,알포드,75010,A,15144,2022,7,56
키움 히어로즈,애플러,35750,B,15005,2022,6,87
한화 이글스,양경모,3000,D,15017,2022,63,581
키움 히어로즈,양경식,7000,C,14853,2022,26,291
키움 히어로즈,양기현,3200,D,12854,2022,49,525
두산 베어스,양석환,39000,B,11213,2022,8,85
KT 위즈,양승혁,3000,D,13233,2022,59,581
NC 다이노스,양의지,100000,A,10165,2022,4,37
LG 트윈스,양진혁,3000,D,15087,2022,67,581
두산 베어스,양찬열,3000,D,14738,2022,63,581
삼성 라이온즈,양창섭,4700,D,13157,2022,39,397
키움 히어로즈,양현,10000,B,10730,2022,18,228
KIA 타이거즈,양현종,175000,A,10058,2022,2,14
두산 베어스,양현진,6000,C,14840,2022,39,334
KT 위즈,엄상백,8000,C,11318,2022,34,273
롯데 자이언츠,엄장윤,3000,D,15052,2022,54,581
LG 트윈스,엄태경,3000,D,15088,2022,67,581
키움 히어로즈,예진원,4000,D,13093,2022,40,423
두산 베어스,오명진,3100,D,14737,2022,60,559
삼성 라이온즈,오상민,0,D,14118,2022,76,840
LG 트윈스,오석주,3500,D,12860,2022,56,475
KIA 타이거즈,오선우,3500,D,14181,2022,50,475
삼성 라이온즈,오선진,7000,C,10557,2022,26,291
키움 히어로즈,오성민,2700,D,15131,2022,77,830
한화 이글스,오세훈,0,D,14835,2022,89,840
NC 다이노스,오승택,3000,D,15118,2022,53,581
삼성 라이온즈,오승환,160000,A,10367,2022,2,16
NC 다이노스,오영수,3000,D,13082,2022,53,581
SSG 랜더스,오원석,6500,C,14581,2022,36,313
KT 위즈,오윤석,9000,C,11397,2022,28,252
키움 히어로즈,오윤성,3000,D,12856,2022,55,581
NC 다이노스,오장한,11000,B,14767,2022,22,212
두산 베어스,오재원,30000,B,10178,2022,10,93
삼성 라이온즈,오재일,120000,A,10400,2022,4,27
KIA 타이거즈,오정환,3100,D,13117,2022,59,559
SSG 랜더스,오준혁,3200,D,10672,2022,49,525
LG 트윈스,오지환,60000,A,10475,2022,6,67
SSG 랜더스,오태곤,10500,B,10249,2022,28,220
NC 다이노스,오태양,9000,C,14766,2022,28,252
KIA 타이거즈,옥준호,3000,D,15123,2022,62,581
키움 히어로즈,요키시,117000,A,13940,2022,2,30
삼성 라이온즈,우규민,20000,B,10523,2022,14,134
KT 위즈,우종휘,3000,D,15093,2022,59,581
NC 다이노스,원종현,27000,B,11161,2022,12,111
삼성 라이온즈,원태인,30000,B,14113,2022,12,93
한화 이글스,원혁재,3000,D,12872,2022,63,581
LG 트윈스,유강남,27000,B,10753,2022,12,111
한화 이글스,유로결,3300,D,14126,2022,49,500
한화 이글스,유민,3000,D,15016,2022,63,581
한화 이글스,유상빈,3000,D,15141,2022,63,581
SSG 랜더스,유서준,3000,D,11240,2022,55,581
KIA 타이거즈,유승철,4000,D,12914,2022,39,423
두산 베어스,유재유,3200,D,12544,2022,55,525
KT 위즈,유준규,11000,B,14778,2022,25,212
SSG 랜더스,유호식,3000,D,13127,2022,55,581
KT 위즈,윤강찬,2700,D,13172,2022,81,830
한화 이글스,윤대경,9730,C,11110,2022,21,244
KIA 타이거즈,윤도현,3000,D,15058,2022,62,581
롯데 자이언츠,윤동희,3000,D,15048,2022,54,581
두산 베어스,윤명준,14000,B,10885,2022,20,173
KIA 타이거즈,윤민석,3000,D,15124,2022,62,581
한화 이글스,윤산흠,3100,D,14196,2022,59,559
키움 히어로즈,윤석원,3000,D,15071,2022,55,581
롯데 자이언츠,윤성빈,3100,D,12928,2022,50,559
두산 베어스,윤수호,4000,D,11319,2022,46,423
삼성 라이온즈,윤정빈,3000,D,13161,2022,59,581
키움 히어로즈,윤정현,4100,D,14131,2022,39,417
삼성 라이온즈,윤정훈,3000,D,15044,2022,59,581
KT 위즈,윤준혁,3000,D,14605,2022,59,581
KIA 타이거즈,윤중현,6500,C,13122,2022,29,313
SSG 랜더스,윤태현,3000,D,15023,2022,55,581
두산 베어스,윤태호,3000,D,15104,2022,63,581
NC 다이노스,윤형준,4000,D,11135,2022,42,423
한화 이글스,윤호솔,6350,C,11170,2022,29,329
LG 트윈스,이강욱,3000,D,13107,2022,67,581
롯데 자이언츠,이강준,3000,D,14601,2022,54,581
SSG 랜더스,이건욱,3200,D,11242,2022,49,525
두산 베어스,이교훈,3300,D,14173,2022,51,500
SSG 랜더스,이기순,3000,D,15028,2022,55,581
삼성 라이온즈,이기용,3000,D,14868,2022,59,581
롯데 자이언츠,이대호,120000,A,10251,2022,1,27
한화 이글스,이도윤,3400,D,11414,2022,46,491
LG 트윈스,이동규,3000,D,12553,2022,67,581
NC 다이노스,이명기,17500,B,10119,2022,17,155
키움 히어로즈,이명기,3000,D,14212,2022,55,581
키움 히어로즈,이명종,3000,D,15073,2022,55,581
두산 베어스,이민석,3000,D,15129,2022,63,581
롯데 자이언츠,이민석,3000,D,15045,2022,54,581
한화 이글스,이민우,4800,D,13003,2022,38,393
LG 트윈스,이민호,9800,C,14589,2022,30,243
NC 다이노스,이민호,10000,B,11151,2022,25,228
키움 히어로즈,이병규,3000,D,12859,2022,55,581
두산 베어스,이병헌,3000,D,15099,2022,63,581
삼성 라이온즈,이병헌,3000,D,14117,2022,59,581
LG 트윈스,이상규,3700,D,13245,2022,55,464
삼성 라이온즈,이상민,5500,C,11169,2022,34,360
KT 위즈,이상우,3000,D,15090,2022,59,581
한화 이글스,이상혁,3000,D,15139,2022,63,581
LG 트윈스,이상호,8500,C,11147,2022,32,262
한화 이글스,이성곤,6400,C,11206,2022,28,326
삼성 라이온즈,이성규,5000,C,12562,2022,37,376
한화 이글스,이성민,3000,D,15019,2022,63,581
한화 이글스,이성원,3000,D,13140,2022,63,581
KIA 타이거즈,이성주,3000,D,15061,2022,62,581
키움 히어로즈,이세호,3000,D,15075,2022,55,581
삼성 라이온즈,이수민,3300,D,11196,2022,53,500
한화 이글스,이승관,3100,D,13135,2022,59,559
삼성 라이온즈,이승민,4100,D,14616,2022,45,417
KIA 타이거즈,이승재,11600,B,14787,2022,18,206
두산 베어스,이승진,11000,B,12678,2022,26,212
롯데 자이언츠,이승헌,5300,C,13146,2022,33,368
삼성 라이온즈,이승현,45000,B,10527,2022,9,76
삼성 라이온즈,이승현,40500,B,14798,2022,11,82
키움 히어로즈,이승호,8500,C,12865,2022,22,262
KT 위즈,이시원,3300,D,12526,2022,51,500
LG 트윈스,이영빈,18500,B,14783,2022,19,148
KIA 타이거즈,이영재,9000,C,14826,2022,23,252
키움 히어로즈,이영준,6000,C,12997,2022,31,334
두산 베어스,이영하,16000,B,12568,2022,16,160
키움 히어로즈,이용규,40000,B,10035,2022,5,84
NC 다이노스,이용준,13000,B,14763,2022,18,183
NC 다이노스,이용찬,56666,A,10217,2022,8,68
NC 다이노스,이우석,3300,D,11360,2022,48,500
KIA 타이거즈,이우성,4100,D,11099,2022,38,417
LG 트윈스,이우찬,5000,C,10749,2022,43,376
삼성 라이온즈,이원석,45000,B,10180,2022,9,76
한화 이글스,이원석,3300,D,13138,2022,49,500
두산 베어스,이원재,3000,D,15101,2022,63,581
두산 베어스,이유찬,6000,C,12894,2022,39,334
KIA 타이거즈,이의리,39000,B,14788,2022,8,85
롯데 자이언츠,이인복,8500,C,11232,2022,20,262
KIA 타이거즈,이인한,3000,D,14690,2022,62,581
NC 다이노스,이인혁,3000,D,13090,2022,53,581
한화 이글스,이재민,3000,D,15020,2022,63,581
NC 다이노스,이재용,3000,D,12902,2022,53,581
LG 트윈스,이재원,5200,C,13104,2022,42,374
SSG 랜더스,이재원,100000,A,10082,2022,9,37
삼성 라이온즈,이재익,3700,D,13244,2022,51,464
NC 다이노스,이재학,18000,B,10220,2022,16,152
삼성 라이온즈,이재현,3000,D,15034,2022,59,581
키움 히어로즈,이재홍,6000,C,14854,2022,31,334
삼성 라이온즈,이재희,19000,B,14799,2022,16,144
SSG 랜더스,이정범,3200,D,13194,2022,49,525
LG 트윈스,이정용,14000,B,14134,2022,22,173
KT 위즈,이정현,3500,D,12937,2022,48,475
키움 히어로즈,이정후,75000,A,12906,2022,4,57
KIA 타이거즈,이정훈,4000,D,12916,2022,39,423
키움 히어로즈,이종민,3000,D,14576,2022,55,581
한화 이글스,이종완,3000,D,14879,2022,63,581
KT 위즈,이종혁,3100,D,12938,2022,55,559
LG 트윈스,이주헌,3000,D,15081,2022,67,581
NC 다이노스,이주형,3000,D,15116,2022,53,581
키움 히어로즈,이주형,9000,C,14855,2022,20,252
한화 이글스,이준기,7000,C,14875,2022,26,291
KIA 타이거즈,이준범,6000,C,14823,2022,31,334
KIA 타이거즈,이준영,6700,C,11303,2022,28,310
NC 다이노스,이준혁,3000,D,15111,2022,53,581
KIA 타이거즈,이준형,3500,D,10903,2022,50,475
LG 트윈스,이지강,3000,D,14143,2022,67,581
키움 히어로즈,이지영,30000,B,10312,2022,9,93
LG 트윈스,이지훈,3000,D,15082,2022,67,581
한화 이글스,이진영,3600,D,12539,2022,42,469
LG 트윈스,이찬혁,3100,D,12909,2022,66,559
KT 위즈,이창재,6700,C,11320,2022,37,310
KIA 타이거즈,이창진,7000,C,11233,2022,25,291
KT 위즈,이채호,3000,D,13130,2022,59,581
LG 트윈스,이천웅,10000,B,10935,2022,27,228
한화 이글스,이충호,3200,D,11116,2022,54,525
SSG 랜더스,이태양,12000,B,10609,2022,25,193
롯데 자이언츠,이태오,3000,D,10887,2022,54,581
삼성 라이온즈,이태훈,3500,D,13160,2022,52,475
롯데 자이언츠,이학주,7000,C,14114,2022,24,291
NC 다이노스,이한,3000,D,15114,2022,53,581
삼성 라이온즈,이해승,3000,D,14121,2022,59,581
한화 이글스,이해창,6000,C,10391,2022,30,334
SSG 랜더스,이현석,5000,C,11369,2022,42,376
두산 베어스,이현승,10000,B,10221,2022,27,228
NC 다이노스,이현우,3000,D,15117,2022,53,581
두산 베어스,이형범,8100,C,11159,2022,32,270
LG 트윈스,이형종,12000,B,12516,2022,24,193
롯데 자이언츠,이호연,3000,D,13151,2022,54,581
SSG 랜더스,이흥련,9000,C,11108,2022,32,252
SSG 랜더스,이희재,3000,D,13133,2022,55,581
SSG 랜더스,임근우,3000,D,15122,2022,55,581
KIA 타이거즈,임기영,14000,B,10909,2022,14,173
삼성 라이온즈,임대한,4000,D,12558,2022,46,423
KT 위즈,임도혁,2700,D,12576,2022,81,830
KIA 타이거즈,임석진,3000,D,12612,2022,62,581
SSG 랜더스,임성준,3000,D,15031,2022,55,581
LG 트윈스,임정우,5000,C,10713,2022,43,376
NC 다이노스,임정호,10500,B,11168,2022,24,220
한화 이글스,임종찬,3600,D,14706,2022,42,469
한화 이글스,임준섭,4000,D,10795,2022,40,423
LG 트윈스,임준형,4000,D,14142,2022,49,423
두산 베어스,임준형,3000,D,15107,2022,63,581
NC 다이노스,임지민,3000,D,15115,2022,53,581
LG 트윈스,임지섭,3000,D,11211,2022,67,581
키움 히어로즈,임지열,3200,D,11225,2022,49,525
LG 트윈스,임찬규,20000,B,10652,2022,17,134
두산 베어스,임창민,12000,B,10452,2022,23,193
두산 베어스,임태윤,8000,C,14772,2022,33,273
한화 이글스,장규현,10200,B,14811,2022,20,225
롯데 자이언츠,장두성,3500,D,13155,2022,42,475
KIA 타이거즈,장민기,13500,B,14789,2022,15,179
한화 이글스,장민재,7600,C,10610,2022,25,285
두산 베어스,장빈,3000,D,14837,2022,63,581
KT 위즈,장성우,95000,A,10235,2022,5,43
두산 베어스,장승현,7800,C,11097,2022,34,284
한화 이글스,장시환,21000,B,10453,2022,8,131
SSG 랜더스,장우준,6000,C,14857,2022,39,334
한화 이글스,장운호,5350,C,11122,2022,36,367
두산 베어스,장원준,5000,C,10299,2022,42,376
키움 히어로즈,장재영,93100,A,14784,2022,3,45
KIA 타이거즈,장재혁,3000,D,14657,2022,62,581
삼성 라이온즈,장재혁,3000,D,15043,2022,59,581
KT 위즈,장준원,3800,D,11214,2022,47,458
KIA 타이거즈,장지수,3200,D,14178,2022,57,525
한화 이글스,장지승,3200,D,14880,2022,54,525
SSG 랜더스,장지훈,16500,B,14804,2022,18,158
한화 이글스,장진혁,5800,C,12583,2022,32,354
삼성 라이온즈,장필준,12000,B,11404,2022,20,193
KIA 타이거즈,장현식,20000,B,11164,2022,10,134
SSG 랜더스,전경원,3200,D,13129,2022,49,525
NC 다이노스,전민수,5000,C,10417,2022,36,376
두산 베어스,전민재,3200,D,13073,2022,55,525
키움 히어로즈,전병우,7000,C,11422,2022,26,291
NC 다이노스,전사민,3000,D,14156,2022,53,581
KIA 타이거즈,전상현,11000,B,12537,2022,19,212
한화 이글스,전승우,3000,D,15138,2022,63,581
SSG 랜더스,전영준,3000,D,15032,2022,55,581
KT 위즈,전용주,2800,D,14106,2022,80,829
KT 위즈,전유수,8000,C,10841,2022,34,273
SSG 랜더스,전의산,3000,D,14699,2022,55,581
롯데 자이언츠,전준우,50000,A,10266,2022,9,74
LG 트윈스,전준호,3200,D,12864,2022,62,525
KT 위즈,전진영,3000,D,14885,2022,59,581
SSG 랜더스,전진우,3000,D,14154,2022,55,581
두산 베어스,전창민,3000,D,14171,2022,63,581
두산 베어스,전희범,3000,D,15103,2022,63,581
NC 다이노스,정구범,3000,D,14595,2022,53,581
롯데 자이언츠,정대혁,3000,D,14995,2022,54,581
SSG 랜더스,정동윤,3000,D,12571,2022,55,581
한화 이글스,정민규,18100,B,14813,2022,13,150
NC 다이노스,정범모,4700,D,10772,2022,38,397
롯데 자이언츠,정보근,3400,D,13154,2022,43,491
SSG 랜더스,정성곤,7500,C,11321,2022,34,286
롯데 자이언츠,정성종,4100,D,13147,2022,39,417
두산 베어스,정수빈,86666,A,10195,2022,5,48
키움 히어로즈,정연제,3000,D,14850,2022,55,581
한화 이글스,정우람,80000,A,10156,2022,4,50
LG 트윈스,정우영,28000,B,14136,2022,10,105
롯데 자이언츠,정우준,8100,C,14795,2022,22,270
두산 베어스,정유석,3000,D,15105,2022,63,581
한화 이글스,정은원,19080,B,13137,2022,11,143
한화 이글스,정이황,3000,D,14127,2022,63,581
키움 히어로즈,정재원,3000,D,14701,2022,55,581
KT 위즈,정정우,3000,D,15095,2022,59,581
LG 트윈스,정주현,8000,C,10480,2022,33,273
KT 위즈,정주후,3200,D,11337,2022,52,525
NC 다이노스,정진기,5500,C,10717,2022,34,360
