팀,선수,연봉 총수령액(만원),연봉등급,pid,연도,팀연봉순위,전체연봉순위
KT 위즈,김성균,3000,D,14723,2021,67,618
SSG 랜더스,김성민,3000,D,14585,2021,45,618
키움 히어로즈,김성민,6000,C,12918,2021,34,348
삼성 라이온즈,김성윤,3300,D,12936,2021,61,521
키움 히어로즈,김성진,10000,B,14849,2021,22,218
삼성 라이온즈,김성표,3300,D,11109,2021,61,521
SSG 랜더스,김성현,35000,B,10636,2021,9,80
KT 위즈,김성훈,3200,D,14189,2021,62,544
삼성 라이온즈,김세민,7000,C,14865,2021,35,305
SSG 랜더스,김세현,8000,C,10431,2021,27,271
키움 히어로즈,김수환,3000,D,13096,2021,54,618
한화 이글스,김승일,3000,D,14711,2021,66,618
키움 히어로즈,김시앙,8000,C,14851,2021,28,271
키움 히어로즈,김신회,3000,D,14218,2021,54,618
KIA 타이거즈,김양수,3000,D,14645,2021,70,618
KIA 타이거즈,김연준,3000,D,14825,2021,70,618
NC 다이노스,김영규,8300,C,13088,2021,32,270
NC 다이노스,김영중,3000,D,12853,2021,55,618
KT 위즈,김영현,9000,C,14869,2021,26,249
KIA 타이거즈,김영환,3300,D,11332,2021,60,521
LG 트윈스,김용의,20000,B,10466,2021,16,119
키움 히어로즈,김웅빈,5600,C,12503,2021,38,389
KIA 타이거즈,김원경,8000,C,14791,2021,29,271
롯데 자이언츠,김원중,17000,B,10825,2021,13,143
LG 트윈스,김유민,7000,C,14842,2021,36,305
KIA 타이거즈,김유신,3000,D,13114,2021,70,618
롯데 자이언츠,김유영,4500,D,11229,2021,38,429
KIA 타이거즈,김윤동,10000,B,10821,2021,16,218
삼성 라이온즈,김윤수,8000,C,13162,2021,32,271
LG 트윈스,김윤식,5000,C,14588,2021,45,401
키움 히어로즈,김은성,3000,D,12683,2021,54,618
삼성 라이온즈,김응민,4900,D,10890,2021,49,422
한화 이글스,김이환,4100,D,14128,2021,37,453
키움 히어로즈,김인범,3000,D,14480,2021,54,618
