팀,선수,계약금(만원),포지션
두산 베어스,안재석,20000,내야수
키움 히어로즈,장재영,90000,투수
SSG 랜더스,김건우,20000,투수
LG 트윈스,강효종,20000,투수
KT 위즈,신범준,17000,투수
KIA 타이거즈,이의리,30000,투수
삼성 라이온즈,이승현,35000,투수
한화 이글스,정민규,15000,내야수
롯데 자이언츠,손성빈,15000,포수
롯데 자이언츠,김진욱,37000,투수
롯데 자이언츠,나승엽,50000,내야수
롯데 자이언츠,김창훈,8000,투수
롯데 자이언츠,송재영,6000,투수
롯데 자이언츠,우강훈,4000,투수
롯데 자이언츠,정우준,5000,투수
롯데 자이언츠,이병준,3000,투수
롯데 자이언츠,최우인,3000,투수
롯데 자이언츠,김정주,3000,투수
롯데 자이언츠,권동현,2000,투수
한화 이글스,김기중,15000,투수
한화 이글스,송호정,10000,내야수
한화 이글스,조은,8000,투수
한화 이글스,장규현,7000,포수
한화 이글스,배동현,6000,투수
한화 이글스,조현진,5000,내야수
한화 이글스,이준기,4000,투수
한화 이글스,김규연,4000,투수
한화 이글스,안진,3000,포수
한화 이글스,문승진,3000,투수
삼성 라이온즈,이재희,15000,투수
삼성 라이온즈,홍무원,10000,투수
삼성 라이온즈,오현석,8000,내야수
삼성 라이온즈,주한울,7000,외야수
삼성 라이온즈,김동진,6000,내야수
삼성 라이온즈,홍승원,5000,투수
삼성 라이온즈,김세민,4000,포수
삼성 라이온즈,이창용,4000,내야수
삼성 라이온즈,김현준,3000,외야수
삼성 라이온즈,이기용,3000,투수
KIA 타이거즈,박건우,13000,투수
KIA 타이거즈,장민기,10000,투수
KIA 타이거즈,이승재,8000,투수
KIA 타이거즈,권혁경,7000,포수
KIA 타이거즈,이영재,6000,외야수
KIA 타이거즈,김원경,5000,내야수
KIA 타이거즈,장시현,4000,내야수
KIA 타이거즈,이준범,3000,내야수
KIA 타이거즈,김선우,3000,포수
KIA 타이거즈,박대명,3000,투수
KT 위즈,권동진,15000,내야수
KT 위즈,한차현,10000,투수
KT 위즈,유준규,8000,내야수
KT 위즈,지명성,7000,투수
KT 위즈,김영현,6000,투수
KT 위즈,최성민,5000,외야수
KT 위즈,윤세훈,4000,투수
KT 위즈,김건형,4000,외야수
KT 위즈,정주원,3000,투수
KT 위즈,김민서,3000,내야수
NC 다이노스,김주원,15000,내야수
NC 다이노스,이용준,10000,투수
NC 다이노스,오장한,8000,외야수
NC 다이노스,한재승,7000,투수
NC 다이노스,오태양,6000,내야수
NC 다이노스,김준상,5000,내야수
NC 다이노스,조성현,4000,투수
NC 다이노스,김정호,4000,포수
NC 다이노스,김재중,3000,외야수
NC 다이노스,김진우,3000,투수
LG 트윈스,이영빈,13000,내야수
LG 트윈스,김진수,10000,투수
LG 트윈스,조건희,7000,투수
LG 트윈스,이믿음,7000,투수
LG 트윈스,김형욱,6000,내야수
LG 트윈스,김지용,4000,투수
LG 트윈스,김유민,4000,투수
LG 트윈스,김대현,3000,투수
LG 트윈스,송승기,3000,투수
LG 트윈스,박민호,3000,포수
SSG 랜더스,조형우,13000,포수
SSG 랜더스,고명준,9000,내야수
SSG 랜더스,조병현,7000,투수
SSG 랜더스,장지훈,6000,투수
SSG 랜더스,박정빈,5000,외야수
SSG 랜더스,박형준,4000,외야수
SSG 랜더스,조요한,4000,투수
SSG 랜더스,장우준,3000,투수
SSG 랜더스,박제범,3000,포수
SSG 랜더스,권혁찬,2000,내야수
키움 히어로즈,김휘집,10000,내야수
키움 히어로즈,김준형,8000,투수
키움 히어로즈,김성진,7000,투수
키움 히어로즈,이주형,6000,외야수
키움 히어로즈,김시앙,5000,포수
키움 히어로즈,김현우,5000,외야수
키움 히어로즈,양경식,4000,내야수
키움 히어로즈,정연제,,투수
키움 히어로즈,이재홍,3000,내야수
두산 베어스,김동주,12000,투수
두산 베어스,최승용,8000,투수
두산 베어스,강현구,7000,외야수
두산 베어스,김도윤,6000,투수
두산 베어스,임태윤,5000,내야수
두산 베어스,이상연,4000,투수
두산 베어스,강원진,4000,투수
두산 베어스,박성재,3000,포수
두산 베어스,김주완,3000,투수
두산 베어스,양현진,3000,외야수
