선수,연도,기존pid,연봉,이후연봉,예측연봉,포지션,연봉순서,개선순서,2024FA,외국인
노시환,2024,14125,35000.0,33000.0,35163.986,3루수,59,63,False,False
최재훈,2024,10170,92000.0,82000.0,78469.422,포수,27,28,False,False
황영묵,2024,16110,3000.0,8300.0,9952.2,2루수,466,204,False,False
안치홍,2024,10014,50000.0,50000.0,44875.032,1루수,43,44,False,False
최인호,2024,14707,4800.0,6800.0,7243.4,좌익수,277,256,False,False
김태연,2024,12585,7800.0,14600.0,15585.766,3루수,203,135,False,False
이도윤,2024,11414,7500.0,11000.0,12474.64,유격수,206,171,False,False
장진혁,2024,12583,5800.0,11500.0,11338.95,중견수,249,182,False,False
문현빈,2024,15422,23000.0,8800.0,15402.694,중견수,85,137,False,False
박상언,2024,12587,4200.0,4200.0,4408.96,포수,293,378,False,False
권광민,2024,13676,3300.0,3800.0,3910.67,좌익수,356,402,False,False
하주석,2024,10913,7000.0,9000.0,7906.8,유격수,217,232,True,False
유로결,2024,14126,3300.0,3500.0,3725.37,우익수,358,416,False,False
한경빈,2024,15633,3000.0,3100.0,3383.17,유격수,453,450,False,False
장규현,2024,14811,3200.0,3300.0,3337.95,포수,361,456,False,False
이진영,2024,12539,7000.0,6200.0,6219.3,우익수,219,283,False,False
이상혁,2024,15139,3100.0,3500.0,3456.4,우익수,394,440,False,False
이원석,2024,13138,3600.0,5000.0,5379.05,중견수,330,324,False,False
임종찬,2024,14706,3400.0,3700.0,3903.4,우익수,350,403,False,False
이재원,2024,10082,5000.0,10000.0,8470.7,포수,262,218,True,False
김인환,2024,12589,6900.0,5500.0,6020.1,1루수,222,293,False,False
홍창기,2024,12546,51000.0,65000.0,62335.82,우익수,40,35,False,False
문보경,2024,14137,30000.0,41000.0,43672.564,3루수,69,48,False,False
오지환,2024,10475,30000.0,30000.0,31365.57,유격수,66,75,False,False
신민재,2024,13056,11500.0,20000.0,22475.932,2루수,155,95,False,False
문성주,2024,13112,20000.0,18000.0,19934.382,좌익수,100,110,False,False
구본혁,2024,14140,7000.0,13500.0,13806.95,2루수,221,154,False,False
최원영,2024,15084,3000.0,4000.0,4320.37,좌익수,447,384,False,False
이주헌,2024,15081,3000.0,3300.0,3402.74,포수,400,448,False,False
김주성,2024,12545,3500.0,3500.0,3598.49,3루수,341,428,False,False
김현종,2024,16013,3000.0,3200.0,3297.35,중견수,443,459,False,False
안익훈,2024,11347,5500.0,5200.0,5216.6,중견수,254,333,False,False
김성진,2024,14141,3100.0,3300.0,3313.27,1루수,399,457,False,False
최승민,2024,14187,4000.0,4300.0,4661.4,좌익수,312,359,False,False
송찬의,2024,13109,3600.0,3500.0,3750.02,2루수,333,412,False,False
김수인,2024,14675,3000.0,3100.0,3460.9,2루수,467,439,False,False
이영빈,2024,14783,5500.0,6000.0,5517.4,1루수,256,316,False,False
함창건,2024,14680,3000.0,3200.0,3172.15,좌익수,448,469,False,False
김성우,2024,15085,3100.0,3100.0,3284.94,포수,377,462,False,False
김민수,2024,12931,6000.0,6000.0,5637.3,3루수,245,309,False,False
김범석,2024,15484,28300.0,4700.0,15080.266,1루수,73,141,False,False
윤동희,2024,15048,9000.0,20000.0,21783.346,중견수,184,100,False,False
고승민,2024,14160,8000.0,18500.0,18505.322,2루수,200,118,False,False
손호영,2024,14590,4500.0,12500.0,17875.214,3루수,284,121,False,False
황성빈,2024,14642,7600.0,15500.0,15888.302,중견수,204,131,False,False
나승엽,2024,14797,4000.0,12000.0,22207.884,1루수,315,97,False,False
박승욱,2024,10804,13500.0,17000.0,18521.28,유격수,143,117,False,False
정훈,2024,10253,46666.0,20000.0,27690.24,1루수,45,81,False,False
오선진,2024,10557,10000.0,4000.0,5623.4,3루수,174,310,False,False
김동혁,2024,15645,3100.0,3300.0,3423.76,중견수,391,443,False,False
이정훈,2024,12916,6000.0,6500.0,8295.0,좌익수,242,225,False,False
신윤후,2024,14169,5200.0,4800.0,5244.5,우익수,259,332,False,False
이호준,2024,16091,3000.0,3100.0,3491.57,유격수,454,435,False,False
이인한,2024,14690,3000.0,3100.0,3696.43,좌익수,449,419,False,False
김민성,2024,10238,20000.0,20000.0,18560.2,3루수,102,116,False,False
손성빈,2024,14796,5000.0,6800.0,8057.2,포수,263,228,False,False
강성우,2024,16093,3000.0,3100.0,6496.14,유격수,455,276,False,False
강승구,2024,16102,3000.0,3100.0,3193.65,포수,401,467,False,False
장두성,2024,13155,4000.0,4600.0,4510.12,중견수,310,371,False,False
최항,2024,10810,3100.0,5000.0,5363.7,2루수,396,326,False,False
김민석,2024,15253,33500.0,7500.0,13076.698,중견수,61,163,False,False
이주찬,2024,14819,3100.0,3200.0,3364.75,3루수,395,452,False,False
서동욱,2024,15624,3300.0,3500.0,3584.83,포수,351,430,False,False
정보근,2024,13154,7500.0,7700.0,7689.4,포수,205,240,False,False
김도영,2024,15056,10000.0,50000.0,45946.854,3루수,175,41,False,False
박찬호,2024,11261,30000.0,45000.0,38856.632,유격수,67,54,False,False
김선빈,2024,10008,60000.0,60000.0,54184.97,2루수,38,38,False,False
최원준,2024,12534,22000.0,40000.0,36867.036,우익수,90,60,False,False
한준수,2024,13113,5000.0,14000.0,12098.5,포수,264,176,False,False
서건창,2024,10855,5000.0,12000.0,10724.266,1루수,274,190,True,False
김태군,2024,10459,70000.0,70000.0,61474.744,포수,31,36,False,False
변우혁,2024,14124,6000.0,8500.0,8390.95,1루수,247,222,False,False
이창진,2024,11233,12000.0,14000.0,12670.1,좌익수,153,169,False,False
윤도현,2024,15058,3000.0,3200.0,4740.1,2루수,468,353,False,False
박정우,2024,12869,3800.0,6500.0,5885.3,중견수,320,299,False,False
이우성,2024,11099,13000.0,17000.0,17544.088,좌익수,148,123,False,False
홍종표,2024,14612,3500.0,6500.0,6067.1,2루수,342,289,False,False
박민,2024,14611,3500.0,3800.0,3841.79,유격수,338,407,False,False
고종욱,2024,10659,15000.0,15000.0,13297.6,좌익수,134,160,False,False
황대인,2024,11306,8000.0,7000.0,6624.8,1루수,201,271,False,False
오선우,2024,14181,3300.0,3400.0,3464.0,1루수,360,438,False,False
한승택,2024,11119,6500.0,6500.0,6013.9,포수,227,294,False,False
김두현,2024,16086,3000.0,3100.0,3743.72,유격수,456,413,False,False
김규성,2024,12540,5500.0,6500.0,6041.7,2루수,255,292,False,False
최정용,2024,11407,4300.0,4500.0,4319.84,2루수,292,385,False,False
김호령,2024,11298,9000.0,8000.0,7184.9,중견수,185,257,False,False
장성우,2024,10235,95000.0,95000.0,88327.318,포수,26,24,False,False
김민혁,2024,11339,24000.0,30000.0,32359.13,좌익수,82,72,False,False
강백호,2024,13168,29000.0,70000.0,43785.532,1루수,72,47,False,False
김상수,2024,10320,50000.0,50000.0,44984.768,유격수,42,43,False,False
문상철,2024,11333,11000.0,17000.0,17179.33,1루수,163,124,False,False
오윤석,2024,11397,14000.0,16000.0,17068.846,2루수,141,126,False,False
배정대,2024,11212,32000.0,34000.0,38775.788,중견수,64,56,False,False
심우준,2024,11334,29000.0,50000.0,39596.4,유격수,71,52,True,False
조대현,2024,13177,3100.0,4300.0,4535.88,포수,378,367,False,False
강현우,2024,14603,5000.0,5000.0,5487.3,포수,265,317,False,False
천성호,2024,14606,4500.0,7100.0,7069.55,2루수,285,261,False,False
김병준,2024,15097,3100.0,3600.0,3606.67,중견수,392,427,False,False
김준태,2024,10835,10000.0,7500.0,7692.2,포수,166,239,False,False
강민성,2024,14191,3600.0,3700.0,3757.36,3루수,332,411,False,False
장준원,2024,11214,5300.0,5100.0,5048.8,유격수,258,340,False,False
안현민,2024,15092,3000.0,3300.0,3311.26,좌익수,450,458,False,False
권동진,2024,14777,4600.0,4600.0,4528.62,유격수,281,368,False,False
홍현빈,2024,12941,4500.0,4500.0,4430.6,우익수,283,377,False,False
송민섭,2024,11342,6500.0,6000.0,5920.0,우익수,231,297,False,False
안치영,2024,13006,5000.0,4500.0,4645.8,우익수,271,361,False,False
윤준혁,2024,14605,3000.0,3500.0,3480.97,3루수,462,437,False,False
박민석,2024,14110,3100.0,3400.0,3799.16,2루수,397,409,False,False
김건형,2024,14779,3000.0,3300.0,3285.66,우익수,459,461,False,False
오재일,2024,10400,50000.0,15000.0,22756.404,1루수,44,94,True,False
이호연,2024,13151,8500.0,7000.0,6584.5,2루수,190,272,False,False
김지찬,2024,14618,16000.0,28000.0,27595.552,2루수,127,83,False,False
강민호,2024,10232,70000.0,70000.0,70425.322,포수,32,30,False,False
이재현,2024,15034,14000.0,21000.0,19946.03,유격수,140,109,False,False
김영웅,2024,15035,3800.0,15000.0,14290.746,3루수,322,148,False,False
이성규,2024,12562,6000.0,13000.0,12467.35,우익수,244,172,False,False
김헌곤,2024,10640,6000.0,10000.0,11123.65,좌익수,243,184,True,False
윤정빈,2024,13161,3700.0,7400.0,7482.5,우익수,324,247,False,False
박병호,2024,10470,70000.0,38000.0,45045.932,1루수,34,42,False,False
전병우,2024,11422,6000.0,7500.0,7246.9,3루수,246,255,False,False
이병헌,2024,14117,4000.0,6500.0,6146.0,포수,301,287,False,False
류지혁,2024,10894,20000.0,60000.0,18879.248,2루수,103,113,True,False
김민수,2024,11266,4600.0,4600.0,4537.74,포수,279,366,False,False
양도근,2024,15875,3000.0,3500.0,3689.94,2루수,469,420,False,False
김성윤,2024,12936,10000.0,7000.0,7312.8,우익수,173,251,False,False
김태훈,2024,11336,4100.0,4500.0,4391.92,우익수,299,380,False,False
김도환,2024,14115,5000.0,4700.0,4681.4,포수,266,357,False,False
공민규,2024,13164,4100.0,4300.0,4439.44,3루수,300,376,False,False
양우현,2024,14116,3700.0,4000.0,4141.2,2루수,326,394,False,False
이창용,2024,14866,3000.0,3300.0,3351.6,1루수,474,453,False,False
김재성,2024,11344,7000.0,5500.0,12554.7,포수,210,170,False,False
김동엽,2024,12548,8000.0,5000.0,5476.9,좌익수,199,318,False,False
김호진,2024,15868,3000.0,3250.0,3452.6,3루수,463,442,False,False
강한울,2024,11255,10000.0,7000.0,7286.7,3루수,176,252,False,False
김재혁,2024,15036,3000.0,3500.0,3490.73,중견수,444,436,False,False
안주형,2024,12988,5200.0,7000.0,7115.25,2루수,260,260,False,False
박성한,2024,12922,30000.0,37000.0,40573.598,유격수,68,51,False,False
정준재,2024,16042,3000.0,7500.0,7834.05,2루수,470,235,False,False
최지훈,2024,14587,25000.0,30000.0,33738.118,중견수,81,68,False,False
이지영,2024,10312,20000.0,15000.0,20862.532,포수,93,103,False,False
오태곤,2024,10249,40000.0,30000.0,34287.194,1루수,55,67,False,False
최준우,2024,13128,4500.0,3200.0,3702.37,2루수,286,417,False,False
최상민,2024,13195,3200.0,3200.0,4516.0,우익수,375,369,False,False
박지환,2024,16038,3000.0,6200.0,6444.05,2루수,471,278,False,False
김창평,2024,14146,3100.0,3100.0,3094.85,좌익수,393,474,False,False
최민창,2024,11351,3000.0,3000.0,3082.0,우익수,460,475,False,False
조형우,2024,14806,6300.0,4000.0,4648.3,포수,232,360,False,False
강진성,2024,11148,8500.0,5500.0,6999.7,1루수,192,262,False,False
한유섬,2024,10815,90000.0,90000.0,78526.174,우익수,28,27,False,False
정현승,2024,16043,3000.0,3000.0,3344.6,우익수,461,454,False,False
김찬형,2024,12622,5000.0,3200.0,4459.5,3루수,272,375,False,False
김민식,2024,10707,15000.0,25000.0,22283.4,포수,129,96,False,False
김성현,2024,10636,20000.0,15000.0,14949.0,2루수,104,143,False,False
하재훈,2024,14147,10000.0,9000.0,11297.09,좌익수,172,183,False,False
고명준,2024,14807,3000.0,8000.0,8300.816,1루수,475,224,False,False
안상현,2024,12613,4000.0,3200.0,3565.2,2루수,314,431,False,False
권희동,2024,11172,15000.0,22500.0,26257.216,좌익수,135,86,False,False
김주원,2024,14765,16000.0,20000.0,22825.65,유격수,126,93,False,False
김휘집,2024,14785,11000.0,17500.0,16508.1,3루수,162,128,False,False
서호철,2024,14220,12000.0,17500.0,18999.36,3루수,154,112,False,False
최정원,2024,14221,6600.0,7000.0,7271.8,중견수,225,253,False,False
김형준,2024,13081,5800.0,11000.0,11106.2,포수,248,185,False,False
천재환,2024,13261,5000.0,7600.0,7807.05,중견수,270,236,False,False
안중열,2024,11329,7100.0,6600.0,7733.8,포수,209,237,False,False
송승환,2024,14172,3500.0,3200.0,3410.96,우익수,339,447,False,False
오영수,2024,13082,7200.0,5100.0,5560.0,1루수,207,314,False,False
도태훈,2024,12560,8000.0,8000.0,8051.35,1루수,202,230,False,False
