선수,연도,기존pid,연봉,이후연봉,예측연봉,포지션,연봉순서,개선순서,2024FA,외국인
진승현,2024,15047,4300.0,4000.0,5458.8,투수,290,320,False,False
정우준,2024,14795,3100.0,3200.0,4155.4,투수,380,392,False,False
박준우,2024,16092,3000.0,3100.0,3411.9,투수,412,446,False,False
우강훈,2024,14816,3100.0,3600.0,6043.0,투수,381,291,False,False
김도규,2024,13148,8000.0,4000.0,6395.3,투수,196,279,False,False
홍민기,2024,14625,3100.0,3100.0,3656.6,투수,382,421,False,False
진해수,2024,10075,15000.0,7000.0,12077.1,투수,131,177,True,False
윤성빈,2024,12928,3100.0,3100.0,7253.2,투수,383,254,False,False
현도훈,2024,13271,3200.0,3300.0,3799.7,투수,366,408,False,False
송재영,2024,14794,3100.0,3200.0,10769.8,투수,384,189,False,False
나균안,2024,12930,17000.0,12000.0,17132.4,투수,113,125,False,False
양현종,2024,10058,125000.0,125000.0,109483.9,투수,17,21,False,False
정해영,2024,14608,20000.0,36000.0,26154.752,투수,96,87,False,False
윤영철,2024,15432,41000.0,12000.0,39131.164,투수,49,53,False,False
황동하,2024,15063,3500.0,10000.0,9659.17,투수,334,208,False,False
장현식,2024,11164,16000.0,20000.0,17781.36,투수,123,122,True,False
전상현,2024,12537,17000.0,30000.0,29133.97,투수,114,78,False,False
곽도규,2024,15435,9300.0,12000.0,14021.57,투수,179,151,False,False
김도현,2024,14128,3500.0,9000.0,7354.13,투수,335,250,False,False
이준영,2024,11303,14000.0,17000.0,11923.9,투수,137,178,False,False
최지민,2024,15057,10000.0,12000.0,11784.6,투수,168,179,False,False
김승현,2024,12637,4100.0,4600.0,5155.9,투수,295,334,False,False
유승철,2024,12914,3600.0,3800.0,3852.3,투수,328,405,False,False
이의리,2024,14788,17000.0,17000.0,14841.0,투수,115,144,False,False
김기훈,2024,14176,4000.0,5500.0,5400.08,투수,304,322,False,False
장재혁,2024,14657,3000.0,3100.0,3124.8,투수,413,472,False,False
박정우,2024,12869,3800.0,6500.0,4150.1,투수,319,393,False,False
김사윤,2024,11364,3400.0,4000.0,6492.46,투수,344,277,False,False
박준표,2024,11070,8000.0,7500.0,6043.4,투수,197,290,False,False
유지성,2024,14607,3100.0,3200.0,3628.3,투수,385,424,False,False
김민주,2024,16082,3000.0,3100.0,3381.8,투수,414,451,False,False
김민재,2024,16083,3000.0,3100.0,5647.1,투수,415,308,False,False
임기영,2024,10909,25000.0,30000.0,18008.1,투수,78,119,True,False
김건국,2024,12944,4000.0,4500.0,4460.4,투수,305,374,False,False
이형범,2024,11159,7000.0,6500.0,5928.8,투수,212,296,False,False
김현수,2024,14162,4500.0,4500.0,6177.2,투수,282,285,False,False
김대유,2024,10706,11000.0,12000.0,10263.2,투수,158,200,False,False
윤중현,2024,13122,6500.0,6000.0,7542.6,투수,228,241,False,False
엄상백,2024,11318,25000.0,90000.0,48800.9,투수,79,40,True,False
박영현,2024,15089,16000.0,24000.0,24671.336,투수,124,90,False,False
김민,2024,13167,5000.0,11000.0,13159.73,투수,267,162,False,False
고영표,2024,11308,200000.0,200000.0,74072.228,투수,6,29,False,False
우규민,2024,10523,22000.0,20000.0,28916.382,투수,88,79,True,False
김민수,2024,11317,16000.0,21000.0,15910.16,투수,125,130,False,False
육청명,2024,16028,3000.0,3500.0,6874.42,투수,416,263,False,False
조이현,2024,11284,6000.0,5700.0,6367.42,투수,238,281,False,False
박시영,2024,10737,9000.0,5000.0,8673.7,투수,181,217,False,False
소형준,2024,14600,22000.0,22000.0,32784.28,투수,89,70,False,False
손동현,2024,14108,12000.0,10000.0,10452.5,투수,151,195,False,False
이선우,2024,14111,4000.0,3800.0,4509.0,투수,306,372,False,False
원상현,2024,16027,3000.0,4000.0,6187.68,투수,417,284,False,False
이상동,2024,14109,6000.0,5900.0,6763.78,투수,239,267,False,False
박세진,2024,12572,3500.0,3700.0,5349.0,투수,336,328,False,False
성재헌,2024,14667,3000.0,3600.0,5274.64,투수,418,329,False,False
이채호,2024,13130,5300.0,5000.0,4721.5,투수,257,355,False,False
주권,2024,11323,20000.0,20000.0,15633.2,투수,97,133,False,False
강건,2024,15527,6500.0,3500.0,5382.1,투수,229,323,False,False
전용주,2024,14106,3200.0,3600.0,4081.1,투수,367,396,False,False
한차현,2024,14776,3100.0,3500.0,3639.0,투수,386,422,False,False
문용익,2024,12885,6300.0,5800.0,6369.6,투수,233,280,False,False
원태인,2024,14113,43000.0,63000.0,101211.066,투수,48,23,False,False
이승현,2024,14798,7000.0,12000.0,13808.91,투수,213,153,False,False
임창민,2024,10452,20000.0,20000.0,21598.08,투수,98,102,False,False
최지광,2024,12934,14000.0,17000.0,17018.29,투수,138,127,False,False
김재윤,2024,11489,40000.0,80000.0,37039.328,투수,52,59,False,False
김태훈,2024,10871,17000.0,24000.0,20577.672,투수,116,106,False,False
황동재,2024,14615,4100.0,6200.0,7855.49,투수,296,233,False,False
이승현,2024,10527,17000.0,24000.0,19590.9,투수,117,111,False,False
백정현,2024,10363,75000.0,75000.0,65440.5,투수,30,33,False,False
이상민,2024,11169,6500.0,8500.0,8056.65,투수,230,229,False,False
송은범,2024,10137,5000.0,6000.0,7150.2,투수,268,258,False,False
최하늘,2024,13152,4100.0,6000.0,5614.62,투수,297,311,False,False
김대우,2024,10685,10000.0,10000.0,9145.9,투수,169,214,False,False
육선엽,2024,15864,3000.0,3500.0,4336.9,투수,419,382,False,False
오승환,2024,10367,40000.0,80000.0,32427.964,투수,53,71,False,False
홍원표,2024,14614,3300.0,3550.0,6667.7,투수,353,270,False,False
최성훈,2024,10851,10000.0,7800.0,9690.6,투수,170,206,False,False
양현,2024,10730,9000.0,7000.0,8447.5,투수,182,219,False,False
이호성,2024,15496,23200.0,4000.0,15128.8,투수,83,140,False,False
최채흥,2024,13156,15000.0,13000.0,11375.5,투수,132,181,False,False
장필준,2024,11404,7000.0,4000.0,6176.8,투수,214,286,False,False
김대호,2024,15882,3000.0,3300.0,3133.1,투수,420,471,False,False
김윤수,2024,13162,7000.0,7000.0,5581.3,투수,215,312,False,False
이승민,2024,14616,4100.0,5000.0,5067.8,투수,298,338,False,False
이재익,2024,13244,8200.0,6200.0,7451.2,투수,194,249,False,False
김광현,2024,10126,100000.0,300000.0,110661.8,투수,23,20,False,False
노경은,2024,10203,35000.0,40000.0,42890.738,투수,58,49,True,False
오원석,2024,14581,14000.0,14000.0,16038.09,투수,139,129,False,False
조병현,2024,14805,3000.0,13500.0,13697.05,투수,421,156,False,False
문승원,2024,10783,18000.0,80000.0,18787.48,투수,109,115,False,False
송영진,2024,15462,19500.0,5500.0,23878.3,투수,106,91,False,False
한두솔,2024,13228,3200.0,8000.0,9407.8,투수,368,211,False,False
이로운,2024,15461,32400.0,7400.0,29317.03,투수,62,77,False,False
박종훈,2024,10131,110000.0,110000.0,67752.63,투수,22,32,False,False
박시후,2024,14687,3000.0,3100.0,4598.8,투수,422,363,False,False
박성빈,2024,16044,3000.0,3100.0,3981.3,투수,423,400,False,False
정동윤,2024,12571,3000.0,3000.0,3546.3,투수,424,433,False,False
김택형,2024,11373,20500.0,20500.0,14542.6,투수,92,147,False,False
장지훈,2024,14804,13000.0,13000.0,9748.7,투수,146,205,False,False
백승건,2024,14145,4600.0,3200.0,4562.1,투수,280,364,False,False
최현석,2024,16041,3000.0,3000.0,6582.1,투수,425,274,False,False
고효준,2024,10124,15300.0,8000.0,13475.6,투수,128,158,False,False
신헌민,2024,15024,3200.0,3300.0,4939.3,투수,369,345,False,False
김주온,2024,13057,3000.0,3000.0,3267.8,투수,426,464,False,False
서진용,2024,10784,45000.0,38000.0,35693.6,투수,47,62,True,False
