Rank,Name,Team,Sort▼,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,비율,비율,비율,비율,비율,비율,WAR▼,팀,pid
Rank,Name,Team,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR▼,,
30,김인환,24 LF,-0.99,51,-0.58,-0.41,143,143,131,11,31,2,0,1,36,7,0,0,10,2,0,32,5,0,0,0.237,0.301,0.275,0.576,0.066,48.1,-0.99,한화 이글스,12589
1,오스틴,24 1B,5.06,140,4.9,0.17,604,600,527,99,168,32,3,32,302,132,12,8,61,3,6,82,9,0,13,0.319,0.384,0.573,0.957,0.192,147.8,5.06,LG 트윈스,15532
2,홍창기,24 RF,5.06,139,4.48,0.59,637,635,524,96,176,18,3,5,215,73,10,11,96,12,3,93,8,1,4,0.336,0.447,0.41,0.857,0.185,142.3,5.06,LG 트윈스,12546
3,박동원,24 C,4.4,130,3.43,0.96,498,495,434,58,118,22,0,20,200,80,1,0,55,0,2,112,14,2,7,0.272,0.349,0.461,0.81,0.144,111.0,4.4,LG 트윈스,10387
4,문보경,24 3B,4.32,144,4.47,-0.15,602,597,519,80,156,35,3,22,263,101,7,6,65,2,3,112,14,3,13,0.301,0.372,0.507,0.879,0.169,130.4,4.32,LG 트윈스,14137
5,오지환,24 SS,3.0,108,2.67,0.33,428,426,370,67,94,24,2,10,152,59,17,4,51,4,0,106,8,2,1,0.254,0.35,0.411,0.761,0.136,104.5,3.0,LG 트윈스,10475
6,신민재,24 2B,2.64,128,3.11,-0.47,474,459,387,78,115,11,6,0,138,40,32,11,64,5,1,47,7,15,3,0.297,0.401,0.357,0.758,0.148,114.2,2.64,LG 트윈스,13056
7,문성주,24 LF,2.41,96,1.85,0.56,361,360,305,47,96,16,2,0,116,48,13,7,49,3,0,38,4,1,3,0.315,0.411,0.38,0.791,0.158,120.8,2.41,LG 트윈스,13112
8,박해민,24 CF,2.03,144,1.44,0.59,553,548,482,72,127,16,6,6,173,56,43,13,46,11,0,101,3,5,9,0.263,0.336,0.359,0.695,0.112,86.1,2.03,LG 트윈스,11190
9,구본혁,24 SS,1.29,133,0.73,0.56,389,385,339,48,87,14,2,2,111,43,8,4,38,4,0,51,7,4,4,0.257,0.335,0.327,0.662,0.101,77.6,1.29,LG 트윈스,14140
