선수,포지션,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,팀,pid,연도
박영현,투수,2.69,68,0,68,11,0,0,3,3,4,32,75.1,23,25,27.7,308,63,11,2,3,23,2,4,79,2,2,1,2.75,2.99,3.31,3.15,2.65,1.14,KT 위즈,15089,2021
배제성,투수,2.66,26,24,2,0,0,0,8,10,0,0,130.1,65,72,67.55,596,144,20,1,6,77,2,0,79,6,1,9,4.49,4.97,4.66,4.46,4.76,1.7,KT 위즈,11394,2021
손동현,투수,2.07,64,0,64,11,0,0,8,5,1,15,73.2,28,31,30.4,301,68,11,0,5,20,2,1,40,3,0,2,3.42,3.79,3.71,3.6,4.23,1.19,KT 위즈,14108,2021
이상동,투수,0.83,36,0,36,9,0,0,4,1,0,1,40.2,18,19,18.65,179,45,10,0,4,15,0,2,43,1,0,1,3.98,4.2,4.13,3.94,3.44,1.48,KT 위즈,14109,2021
슐서,투수,0.47,9,9,0,0,0,0,1,7,0,0,49.2,31,32,31.0,221,66,9,1,6,14,0,1,35,1,0,2,5.62,5.8,5.62,5.55,4.34,1.61,KT 위즈,15542,2021
주권,투수,0.41,42,3,39,8,0,0,1,2,0,5,47.0,23,23,28.05,205,49,7,1,4,19,2,2,17,2,0,0,4.4,4.4,5.37,5.19,5.28,1.45,KT 위즈,11323,2021
이선우,투수,0.35,22,4,18,8,0,0,0,2,0,0,37.1,18,20,21.75,169,47,6,0,5,9,4,0,24,2,0,0,4.34,4.82,5.24,5.0,4.92,1.5,KT 위즈,14111,2021
전용주,투수,0.34,15,0,15,4,0,0,0,1,0,1,10.1,5,5,3.15,43,6,4,0,0,6,1,0,9,0,0,4,4.35,4.35,2.74,2.74,3.77,1.16,KT 위즈,14106,2021
김영현,투수,0.3,31,0,31,7,0,0,0,0,1,1,33.0,20,22,20.3,150,30,7,0,4,20,1,1,35,1,0,2,5.45,6.0,5.54,5.18,4.61,1.52,KT 위즈,14869,2021
강건,투수,0.22,4,0,4,3,0,0,0,0,1,0,6.2,1,1,1.7,28,4,2,0,0,3,0,0,8,1,0,1,1.35,1.35,2.3,2.1,2.24,1.05,KT 위즈,15527,2021
박세진,투수,0.06,16,0,16,3,0,0,0,1,0,1,11.2,5,8,7.65,66,15,2,0,1,14,0,0,10,3,0,2,3.86,6.17,5.9,5.52,6.45,2.49,KT 위즈,12572,2021
하준호,투수,0.04,12,0,12,5,0,0,0,1,0,0,13.0,6,9,9.0,65,14,1,0,0,10,5,2,6,1,0,4,4.15,6.23,6.23,6.01,6.27,1.85,KT 위즈,10304,2021
김정운,투수,0.03,5,0,5,4,0,0,0,0,0,0,7.0,3,4,5.2,35,6,2,0,0,6,2,0,3,1,0,0,3.86,5.14,6.69,6.13,6.32,1.71,KT 위즈,15518,2021
조현우,투수,0.02,5,0,5,1,0,0,0,0,0,0,3.0,2,2,2.0,17,6,1,0,0,2,0,0,1,0,0,1,6.0,6.0,6.0,5.69,5.08,2.67,KT 위즈,11316,2021
이채호,투수,-0.05,25,0,25,5,0,0,0,1,0,1,24.2,19,19,18.5,110,26,6,0,6,9,3,0,8,1,0,1,6.93,6.93,6.75,6.47,7.44,1.42,KT 위즈,13130,2021
김민수,투수,-0.11,14,0,14,5,0,0,0,1,0,3,13.0,10,10,9.8,58,17,5,2,1,5,0,0,4,0,0,0,6.92,6.92,6.78,6.59,5.19,1.69,KT 위즈,11317,2021
심재민,투수,-0.14,4,0,4,1,0,0,0,0,0,0,2.0,5,5,3.4,16,8,1,0,0,2,0,0,1,0,0,0,22.5,22.5,15.3,14.03,5.7,5.0,KT 위즈,11311,2021
김민,투수,-0.17,16,4,12,5,0,0,1,2,0,0,29.0,22,26,24.3,145,40,6,0,3,16,4,0,22,3,0,4,6.83,8.07,7.54,7.27,5.32,1.93,KT 위즈,13167,2021
김태오,투수,-0.22,5,0,5,2,0,0,0,0,0,0,7.1,6,6,8.05,35,10,3,0,0,4,0,1,3,1,0,0,7.36,7.36,9.88,10.19,4.09,1.91,KT 위즈,12577,2021
소형준,투수,-0.23,3,3,0,0,0,0,0,0,0,0,11.0,14,14,12.95,59,22,4,0,1,3,3,0,4,2,0,2,11.45,11.45,10.6,9.75,5.71,2.27,KT 위즈,14600,2021
조이현,투수,-0.43,18,4,14,4,0,0,2,1,0,1,35.0,26,27,31.95,170,61,14,1,3,6,2,0,17,1,1,1,6.69,6.94,8.22,7.95,4.36,1.91,KT 위즈,11284,2021
뷰캐넌,투수,6.29,30,30,0,1,1,0,12,8,0,0,188.0,53,71,69.95,784,174,25,2,4,43,6,1,139,13,1,7,2.54,3.4,3.35,3.25,3.05,1.15,삼성 라이온즈,14617,2021
원태인,투수,4.43,26,26,0,0,0,0,7,7,0,0,150.0,54,61,59.95,634,157,26,1,15,34,6,2,102,4,2,6,3.24,3.66,3.6,3.58,4.17,1.27,삼성 라이온즈,14113,2021
백정현,투수,2.92,18,18,0,0,0,0,7,5,0,0,100.2,41,44,42.1,419,100,19,2,6,30,0,2,61,1,1,5,3.67,3.93,3.76,3.63,3.91,1.29,삼성 라이온즈,10363,2021
수아레즈,투수,2.55,19,19,0,0,0,0,4,7,0,0,108.0,47,54,51.05,479,129,19,1,3,32,2,0,88,10,0,6,3.92,4.5,4.25,4.09,3.12,1.49,삼성 라이온즈,15001,2021
오승환,투수,0.99,58,1,57,49,0,0,4,5,30,2,62.2,24,26,32.0,264,57,11,1,9,15,2,1,44,5,0,0,3.45,3.73,4.6,4.5,4.59,1.15,삼성 라이온즈,10367,2021
와이드너,투수,0.94,10,9,1,0,0,0,3,3,0,0,53.1,27,30,28.8,236,61,9,0,3,17,3,0,42,4,0,2,4.56,5.06,4.86,4.63,3.71,1.46,삼성 라이온즈,15536,2021
이승현,투수,0.69,60,0,60,8,0,0,4,4,0,14,60.0,24,29,32.45,264,68,12,1,5,15,0,1,42,5,0,2,3.6,4.35,4.87,4.78,3.81,1.38,삼성 라이온즈,10527,2021
이호성,투수,0.65,5,2,3,1,0,0,1,0,0,0,17.0,5,5,5.0,71,11,4,1,1,10,0,0,11,1,0,1,2.65,2.65,2.65,2.47,4.76,1.24,삼성 라이온즈,15496,2021
김대우,투수,0.39,44,5,39,5,0,0,0,2,0,4,64.0,32,37,39.9,277,66,9,1,7,22,3,1,49,3,0,1,4.5,5.2,5.61,5.47,4.4,1.38,삼성 라이온즈,10685,2021
이재익,투수,0.29,51,0,51,5,0,0,1,3,0,11,41.0,18,19,24.5,181,46,5,1,3,17,0,3,26,3,0,3,3.95,4.17,5.38,5.2,4.27,1.54,삼성 라이온즈,13244,2021
문용익,투수,0.28,14,0,14,7,0,0,1,0,0,0,13.0,6,6,5.5,59,8,1,0,0,12,2,0,12,0,0,5,4.15,4.15,3.81,3.62,4.88,1.54,삼성 라이온즈,12885,2021
우규민,투수,0.27,56,0,56,4,0,0,3,1,0,13,43.0,23,25,25.25,188,55,9,0,3,5,3,0,28,1,0,0,4.81,5.23,5.28,5.16,3.63,1.4,삼성 라이온즈,10523,2021
이재희,투수,0.15,2,1,1,0,0,0,0,0,0,0,8.0,3,3,3.0,33,4,1,0,1,5,0,0,5,0,0,1,3.38,3.38,3.38,3.52,5.71,1.13,삼성 라이온즈,14799,2021
홍원표,투수,0.13,3,0,3,0,0,0,0,0,0,0,3.2,1,1,0.5,15,2,0,0,0,2,0,0,1,0,0,0,2.45,2.45,1.23,1.22,4.86,1.09,삼성 라이온즈,14614,2021
이승현,투수,0.07,48,0,48,12,0,0,1,5,5,7,43.1,24,26,27.2,199,41,6,0,6,29,2,1,37,4,0,2,4.98,5.4,5.65,5.47,5.51,1.62,삼성 라이온즈,14798,2021
박권후,투수,0.01,4,0,4,2,0,0,0,0,0,0,2.2,1,2,2.0,13,4,0,0,1,1,0,0,0,0,1,0,3.38,6.75,6.75,6.31,9.47,1.88,삼성 라이온즈,15497,2021
최채흥,투수,-0.02,15,14,1,0,0,0,1,7,0,0,63.1,47,52,46.85,295,90,13,3,9,16,3,1,33,6,1,1,6.68,7.39,6.66,6.55,5.12,1.67,삼성 라이온즈,13156,2021
김서준,투수,-0.03,8,1,7,5,0,0,0,1,0,1,7.2,6,6,5.15,39,9,2,0,0,6,2,0,2,0,0,3,7.04,7.04,6.05,5.8,6.43,1.96,삼성 라이온즈,15039,2021
황동재,투수,-0.11,7,7,0,0,0,0,0,5,0,0,31.2,25,27,25.8,155,40,14,1,6,21,2,0,27,1,0,0,7.11,7.67,7.33,7.06,6.22,1.93,삼성 라이온즈,14615,2021
최충연,투수,-0.12,7,0,7,3,0,0,0,0,0,0,9.1,5,8,9.05,47,10,1,0,3,7,3,0,8,1,1,0,4.82,7.71,8.73,8.31,8.85,1.82,삼성 라이온즈,12530,2021
김시현,투수,-0.13,2,0,2,2,0,0,0,0,0,0,3.0,4,5,5.0,17,6,1,0,2,2,0,0,2,1,0,0,12.0,15.0,15.0,14.11,12.18,2.67,삼성 라이온즈,12932,2021
최지광,투수,-0.13,22,0,22,4,0,0,2,0,0,1,17.1,10,10,13.75,82,17,2,0,4,9,1,0,18,1,0,0,5.19,5.19,7.14,6.69,5.79,1.5,삼성 라이온즈,12934,2021
박세웅,투수,-0.15,2,0,2,0,0,0,0,0,0,0,0.2,2,2,2.35,6,1,0,0,1,3,0,0,1,0,0,0,27.0,27.0,31.73,29.85,31.9,6.0,삼성 라이온즈,12651,2021
허윤동,투수,-0.3,7,1,6,3,0,0,0,1,0,0,10.2,12,12,12.7,60,16,7,0,0,12,0,0,8,1,0,0,10.13,10.13,10.72,10.64,5.46,2.63,삼성 라이온즈,14613,2021
노건우,투수,-0.31,16,0,16,1,0,0,0,1,0,1,12.1,10,11,12.65,65,22,3,0,3,5,1,0,12,1,0,1,7.3,8.03,9.23,9.12,5.82,2.19,삼성 라이온즈,11144,2021
이상민,투수,-0.31,23,0,23,4,0,0,2,1,0,1,18.0,17,17,15.3,83,32,3,1,2,3,0,0,17,0,0,0,8.5,8.5,7.65,7.29,3.33,1.94,삼성 라이온즈,11169,2021
장필준,투수,-0.38,17,3,14,5,0,0,1,1,0,1,19.1,17,17,18.2,96,28,5,3,2,12,2,0,11,0,0,0,7.91,7.91,8.47,8.25,5.9,2.07,삼성 라이온즈,11404,2021
홍정우,투수,-0.4,36,1,35,5,0,0,2,3,0,3,36.0,30,31,27.7,166,36,3,1,5,21,3,2,22,4,0,2,7.5,7.75,6.93,6.69,5.95,1.58,삼성 라이온즈,13242,2021
양창섭,투수,-0.43,15,4,11,1,0,0,0,3,0,2,28.2,29,29,27.8,141,45,5,1,7,16,1,1,12,0,0,2,9.1,9.1,8.73,8.54,7.55,2.13,삼성 라이온즈,13157,2021
김태훈,투수,-0.6,63,0,63,16,0,0,5,7,3,8,55.2,45,48,42.2,268,65,17,1,7,37,3,3,36,2,0,1,7.28,7.76,6.82,6.58,5.9,1.83,삼성 라이온즈,10871,2021
최하늘,투수,-0.85,3,2,1,1,0,0,0,2,0,0,6.1,14,14,14.35,40,14,6,0,2,5,2,0,3,0,0,0,19.89,19.89,20.39,20.69,9.85,3.0,삼성 라이온즈,13152,2021
김광현,투수,4.19,30,30,0,0,0,0,9,8,0,0,168.1,66,75,72.75,713,163,30,0,11,70,2,0,119,9,0,5,3.53,4.01,3.89,3.89,4.19,1.38,SSG 랜더스,10126,2021
엘리아스,투수,3.36,22,21,1,1,0,0,8,6,0,0,131.1,54,58,56.8,548,140,22,1,12,33,6,1,93,5,0,0,3.7,3.97,3.89,3.78,4.09,1.32,SSG 랜더스,15644,2021
맥카티,투수,3.3,24,24,0,0,0,0,9,5,0,0,130.0,49,58,56.8,543,124,19,2,10,45,1,0,116,6,1,4,3.39,4.02,3.93,3.85,3.63,1.3,SSG 랜더스,15528,2021
서진용,투수,2.96,69,0,69,61,0,0,5,4,42,0,73.0,21,22,22.7,325,63,6,0,3,49,4,6,64,1,0,5,2.59,2.71,2.8,2.8,4.27,1.53,SSG 랜더스,10784,2021
노경은,투수,1.89,76,0,76,6,0,0,9,5,2,30,83.0,33,33,36.45,357,78,13,2,4,36,4,5,65,4,0,8,3.58,3.58,3.95,3.92,3.81,1.37,SSG 랜더스,10203,2021
오원석,투수,1.41,28,27,1,1,1,0,8,10,0,0,144.2,84,92,88.25,648,158,22,2,11,69,9,0,88,10,0,11,5.23,5.72,5.49,5.31,4.9,1.57,SSG 랜더스,14581,2021
문승원,투수,0.84,50,12,38,4,0,0,5,8,1,9,105.0,61,67,64.45,479,138,27,1,12,35,6,1,65,8,0,3,5.23,5.74,5.52,5.34,4.84,1.65,SSG 랜더스,10783,2021
고효준,투수,0.82,73,0,73,7,0,0,4,1,0,13,58.0,29,31,29.8,262,49,3,0,3,42,3,0,66,3,0,4,4.5,4.81,4.62,4.48,4.03,1.57,SSG 랜더스,10124,2021
이건욱,투수,0.72,27,1,26,10,0,0,1,0,0,0,38.2,9,13,16.7,169,31,7,0,0,25,2,2,31,2,0,2,2.09,3.03,3.89,3.76,4.01,1.45,SSG 랜더스,11242,2021
최민준,투수,0.35,53,0,53,6,0,0,5,3,1,7,60.0,28,29,34.7,262,75,10,2,7,19,1,1,37,2,0,2,4.2,4.35,5.21,5.1,4.68,1.57,SSG 랜더스,13126,2021
백승건,투수,0.34,25,2,23,3,0,0,2,2,0,3,38.0,21,24,21.75,170,41,5,0,7,17,0,0,29,2,0,0,4.97,5.68,5.15,5.01,5.52,1.53,SSG 랜더스,14145,2021
박종훈,투수,0.28,18,16,2,0,0,0,2,6,0,0,80.0,55,57,56.65,382,77,13,1,8,60,19,0,56,4,0,2,6.19,6.41,6.37,6.1,6.35,1.71,SSG 랜더스,10131,2021
박민호,투수,0.28,10,0,10,1,0,0,0,0,0,0,10.0,1,3,3.0,47,14,1,0,0,1,2,0,4,1,0,0,0.9,2.7,2.7,2.7,3.78,1.5,SSG 랜더스,11236,2021
서동민,투수,0.05,2,0,2,1,0,0,0,0,0,0,1.0,0,0,0.0,6,0,0,0,0,3,0,0,1,0,0,0,0.0,0.0,0.0,0.0,10.65,3.0,SSG 랜더스,13191,2021
조성훈,투수,0.02,2,2,0,0,0,0,0,1,0,0,7.0,5,5,5.0,34,10,1,0,0,4,2,0,4,0,0,0,6.43,6.43,6.43,6.12,5.08,2.0,SSG 랜더스,13125,2021
한두솔,투수,-0.01,1,0,1,1,0,0,0,0,0,0,1.0,1,1,1.0,6,1,0,1,0,1,1,0,2,0,0,0,9.0,9.0,9.0,8.57,5.05,2.0,SSG 랜더스,13228,2021
김주한,투수,-0.02,1,0,1,0,0,0,0,0,0,0,0.0,3,3,3.0,3,2,0,0,1,1,0,0,0,0,0,0,99.99,99.99,85.64,81.82,15003.8,99.99,SSG 랜더스,12531,2021
이기순,투수,-0.03,2,0,2,1,0,0,0,0,0,0,3.0,3,3,3.0,16,3,0,0,1,4,0,0,3,0,0,0,9.0,9.0,9.0,8.57,9.45,2.33,SSG 랜더스,15028,2021
신헌민,투수,-0.06,11,0,11,11,0,0,0,0,0,0,12.0,8,10,10.35,62,19,6,0,1,6,0,1,8,3,0,0,6.0,7.5,7.76,7.28,4.47,2.08,SSG 랜더스,15024,2021
서상준,투수,-0.06,2,0,2,1,0,0,0,0,0,0,2.0,0,3,3.0,13,1,0,0,0,5,0,0,3,1,0,1,0.0,13.5,13.5,12.38,7.85,3.0,SSG 랜더스,14152,2021
송영진,투수,-0.08,17,9,8,1,0,0,3,3,0,0,47.1,30,35,34.65,220,46,9,1,3,31,2,0,38,5,2,8,5.7,6.65,6.59,6.5,4.76,1.63,SSG 랜더스,15462,2021
이로운,투수,-0.08,50,0,50,14,0,0,6,1,0,5,57.2,36,39,41.05,268,67,13,1,7,29,1,2,52,4,0,3,5.62,6.09,6.41,6.16,4.65,1.66,SSG 랜더스,15461,2021
김주온,투수,-0.11,1,0,1,0,0,0,0,0,0,0,0.1,3,3,2.15,5,2,0,0,0,1,1,0,1,0,0,1,81.0,81.0,58.05,63.4,14.95,9.0,SSG 랜더스,13057,2021
임준섭,투수,-0.21,41,0,41,11,0,0,0,2,0,4,32.2,21,25,24.15,155,44,6,0,1,19,1,1,26,1,0,2,5.79,6.89,6.65,6.58,4.12,1.93,SSG 랜더스,10795,2021
정성곤,투수,-0.36,6,0,6,3,0,0,0,0,0,0,4.1,5,9,9.85,29,8,3,0,2,7,0,0,3,1,0,0,10.38,18.69,20.46,19.23,12.62,3.46,SSG 랜더스,11321,2021
페디,투수,8.47,30,30,0,0,0,0,20,6,0,0,180.1,40,46,44.95,708,137,16,0,9,35,4,0,209,13,0,5,2.0,2.3,2.24,2.25,2.22,0.95,NC 다이노스,15535,2021
류진욱,투수,2.72,70,0,70,9,0,0,1,4,0,22,67.0,16,19,18.95,268,41,2,2,1,32,1,1,62,5,0,5,2.15,2.55,2.55,2.5,3.24,1.09,NC 다이노스,11355,2021
신민혁,투수,2.29,29,24,5,2,0,0,5,5,0,0,122.0,54,63,63.0,519,122,27,2,14,25,6,0,97,11,0,3,3.98,4.65,4.65,4.6,4.01,1.2,NC 다이노스,13085,2021
태너,투수,2.05,11,11,0,0,0,0,5,2,0,0,64.2,21,26,24.65,265,58,8,0,6,13,1,0,47,3,0,0,2.92,3.62,3.43,3.45,3.81,1.1,NC 다이노스,15653,2021
구창모,투수,1.87,11,9,2,0,0,0,1,3,0,0,51.2,17,19,17.8,205,38,3,0,4,16,0,0,56,5,0,0,2.96,3.31,3.1,3.06,3.02,1.05,NC 다이노스,11353,2021
김영규,투수,1.42,63,0,63,5,0,0,2,4,0,24,61.2,21,22,26.3,247,45,6,5,2,23,1,1,48,0,2,5,3.06,3.21,3.84,3.93,3.5,1.1,NC 다이노스,13088,2021
이재학,투수,1.26,15,13,2,0,0,0,5,5,0,0,67.1,34,36,34.3,293,55,5,2,6,33,5,0,43,4,0,7,4.54,4.81,4.58,4.6,5.06,1.31,NC 다이노스,10220,2021
이용찬,투수,1.22,60,0,60,50,0,0,4,4,29,0,61.0,28,28,28.85,254,53,6,1,5,19,3,1,51,2,0,4,4.13,4.13,4.26,4.25,3.8,1.18,NC 다이노스,10217,2021
송명기,투수,1.1,35,17,18,4,0,0,4,9,0,0,104.1,56,64,61.6,474,106,15,2,12,47,11,0,65,8,0,6,4.83,5.52,5.31,5.33,5.38,1.47,NC 다이노스,14155,2021
최성영,투수,1.08,18,13,5,0,0,0,5,4,0,0,66.2,36,37,35.3,303,77,15,2,6,32,5,0,38,2,0,1,4.86,5.0,4.77,4.76,5.22,1.64,NC 다이노스,12565,2021
와이드너,투수,0.92,11,11,0,0,0,0,4,2,0,0,61.2,31,35,34.3,259,51,13,0,4,23,3,1,57,3,0,1,4.52,5.11,5.01,4.95,3.62,1.2,NC 다이노스,15536,2021
이용준,투수,0.71,24,12,12,3,0,0,3,4,0,0,67.0,32,39,39.65,304,60,11,0,5,44,2,0,50,7,0,1,4.3,5.24,5.33,5.3,5.0,1.55,NC 다이노스,14763,2021
김진호,투수,0.53,19,0,19,1,0,0,2,1,0,9,16.1,5,5,6.0,73,15,2,0,0,10,1,0,22,0,0,3,2.76,2.76,3.31,3.24,2.57,1.53,NC 다이노스,12897,2021
임정호,투수,0.44,65,0,65,7,0,0,4,4,0,15,50.0,26,30,27.6,216,51,9,1,3,17,4,0,49,6,1,4,4.68,5.4,4.97,5.05,3.42,1.36,NC 다이노스,11168,2021
하준영,투수,0.44,57,0,57,13,0,0,1,0,0,2,49.0,25,25,27.5,215,52,6,1,4,19,2,1,49,1,0,0,4.59,4.59,5.05,5.11,3.65,1.45,NC 다이노스,13115,2021
조민석,투수,0.35,35,0,35,8,0,0,1,0,0,4,31.0,14,15,17.05,137,33,9,0,2,14,3,0,28,2,0,1,4.06,4.35,4.95,4.89,4.06,1.52,NC 다이노스,15119,2021
김시훈,투수,0.15,61,0,61,13,0,0,4,3,3,12,52.2,26,32,31.85,245,57,10,1,3,34,1,0,49,3,0,3,4.44,5.47,5.44,5.49,4.26,1.73,NC 다이노스,13080,2021
김태현,투수,0.1,16,0,16,9,0,0,1,0,0,0,20.1,10,13,13.0,90,17,1,1,4,13,1,0,14,2,0,0,4.43,5.75,5.75,5.98,6.6,1.48,NC 다이노스,12898,2021
전사민,투수,0.1,9,0,9,4,0,0,0,2,1,0,17.0,9,10,10.15,81,17,1,0,1,14,2,1,6,0,0,1,4.76,5.29,5.37,5.39,6.58,1.82,NC 다이노스,14156,2021
심창민,투수,0.08,5,0,5,1,0,0,0,1,0,0,3.1,1,2,1.3,18,2,0,0,0,5,1,0,5,0,0,0,2.7,5.4,3.51,3.36,5.68,2.1,NC 다이노스,10720,2021
하준수,투수,0.04,1,0,1,1,0,0,0,0,0,0,1.0,0,0,0.0,5,0,0,0,0,2,0,0,1,0,0,0,0.0,0.0,0.0,0.0,7.55,2.0,NC 다이노스,14654,2021
이준호,투수,0.03,17,2,15,5,0,0,3,2,0,0,31.2,17,22,20.8,144,32,4,1,3,15,4,0,19,2,0,2,4.83,6.25,5.91,6.07,5.34,1.48,NC 다이노스,15455,2021
이우석,투수,0.03,1,0,1,0,0,0,0,0,0,0,0.2,0,0,0.0,2,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8.5,1.5,NC 다이노스,11360,2021
한재승,투수,0.0,11,0,11,5,0,0,0,1,0,0,9.2,5,5,6.55,44,9,1,0,2,5,0,0,10,2,0,1,4.66,4.66,6.1,6.14,5.33,1.45,NC 다이노스,14764,2021
임지민,투수,-0.04,2,0,2,0,0,0,0,0,0,0,1.1,2,2,2.0,10,2,0,0,0,4,0,0,3,0,0,2,13.5,13.5,13.5,12.54,7.52,4.5,NC 다이노스,15115,2021
채지선,투수,-0.05,2,0,2,0,0,0,0,0,0,0,2.2,3,3,3.0,16,4,1,1,0,4,0,0,2,0,0,1,10.13,10.13,10.13,10.07,6.62,3.0,NC 다이노스,11387,2021
정구범,투수,-0.09,4,2,2,0,0,0,0,1,0,0,12.2,11,11,11.0,64,16,3,0,3,12,0,0,6,0,0,0,7.82,7.82,7.82,7.77,8.42,2.21,NC 다이노스,14595,2021
배민서,투수,-0.27,6,0,6,4,0,0,0,0,0,0,6.2,5,8,9.55,34,10,5,2,0,2,1,0,4,1,0,2,6.75,10.8,12.89,12.52,3.74,1.8,NC 다이노스,14158,2021
알칸타라,투수,6.08,31,31,0,0,0,0,13,9,0,0,192.0,57,67,67.0,777,171,33,0,16,35,5,1,162,11,0,3,2.67,3.14,3.14,3.34,3.38,1.07,두산 베어스,13941,2021
곽빈,투수,4.42,23,23,0,0,0,0,12,7,0,0,127.1,41,44,40.75,526,96,18,1,7,58,5,0,106,3,1,4,2.9,3.11,2.88,3.1,3.96,1.21,두산 베어스,13061,2021
브랜든,투수,3.72,18,18,0,0,0,0,11,3,0,0,104.2,29,34,33.5,427,80,13,0,4,30,12,0,100,3,0,3,2.49,2.92,2.88,3.03,3.16,1.05,두산 베어스,15153,2021
최승용,투수,2.02,34,20,14,4,0,0,3,6,1,0,111.0,49,54,52.1,479,116,11,1,9,34,4,0,82,7,0,3,3.97,4.38,4.22,4.44,4.03,1.35,두산 베어스,14770,2021
김동주,투수,1.88,18,17,1,1,0,0,3,6,0,0,78.1,36,37,33.25,334,73,14,4,5,35,4,0,59,4,1,4,4.14,4.25,3.82,3.94,4.27,1.38,두산 베어스,14769,2021
최원준,투수,1.41,26,20,6,1,0,0,3,10,0,0,107.2,59,60,58.5,465,119,33,1,11,28,12,0,71,2,0,1,4.93,5.02,4.89,4.95,4.57,1.37,두산 베어스,12852,2021
김명신,투수,1.37,70,0,70,5,0,0,3,3,1,24,79.0,32,34,35.65,334,72,18,0,3,27,6,3,65,3,0,3,3.65,3.87,4.06,4.26,3.42,1.25,두산 베어스,12847,2021
홍건희,투수,1.23,64,0,64,40,0,0,1,5,22,5,61.2,21,28,26.3,277,67,10,3,4,24,0,3,62,3,0,8,3.06,4.09,3.84,4.07,3.21,1.48,두산 베어스,10696,2021
박치국,투수,0.73,62,0,62,9,0,0,5,3,2,11,52.2,21,22,25.45,236,54,9,2,3,21,5,1,48,2,0,2,3.59,3.76,4.35,4.51,3.49,1.42,두산 베어스,12850,2021
김강률,투수,0.49,32,0,32,4,0,0,1,0,1,7,25.2,12,14,11.05,115,23,3,0,2,12,2,0,21,2,0,2,4.21,4.91,3.87,4.11,4.42,1.36,두산 베어스,10690,2021
백승우,투수,0.17,6,0,6,2,0,0,0,0,0,0,4.0,0,0,0.5,18,3,0,0,0,3,1,0,1,0,0,0,0.0,0.0,1.13,1.23,6.32,1.5,두산 베어스,15514,2021
정철원,투수,0.16,67,0,67,24,0,0,7,6,13,11,72.2,32,36,40.6,315,66,6,0,8,32,2,2,55,6,1,6,3.96,4.46,5.03,5.25,4.63,1.35,두산 베어스,13071,2021
박정수,투수,0.16,25,0,25,11,0,0,1,0,1,0,36.2,17,22,22.7,165,37,12,0,1,18,6,1,28,1,0,2,4.17,5.4,5.57,5.67,4.21,1.5,두산 베어스,11300,2021
장원준,투수,0.14,11,10,1,0,0,0,3,5,0,0,41.0,24,27,26.0,183,53,8,2,4,11,2,0,24,2,0,2,5.27,5.93,5.71,6.04,4.53,1.56,두산 베어스,10299,2021
최지강,투수,0.13,25,0,25,4,0,0,2,1,0,2,22.0,13,13,12.5,102,16,4,0,0,20,1,0,14,2,0,0,5.32,5.32,5.11,5.34,5.22,1.64,두산 베어스,15127,2021
김민규,투수,0.08,6,1,5,1,0,0,0,0,0,0,8.1,4,5,4.3,37,6,2,1,0,4,2,0,5,0,0,2,4.32,5.4,4.64,4.93,4.58,1.2,두산 베어스,13072,2021
박신지,투수,0.02,15,1,14,7,0,0,0,0,0,0,26.0,16,16,16.7,129,39,13,0,1,11,3,0,15,0,0,2,5.54,5.54,5.78,5.99,4.53,1.92,두산 베어스,13070,2021
딜런,투수,-0.03,2,2,0,0,0,0,0,1,0,0,9.0,8,9,6.95,45,10,1,0,2,5,0,0,2,3,0,1,8.0,9.0,6.95,7.08,7.66,1.67,두산 베어스,15538,2021
김호준,투수,-0.11,3,0,3,3,0,0,0,0,0,0,3.0,4,4,4.0,16,3,0,0,1,4,0,0,2,0,0,1,12.0,12.0,12.0,13.11,10.28,2.33,두산 베어스,13268,2021
제환유,투수,-0.11,1,0,1,0,0,0,0,0,0,0,2.0,3,4,3.65,14,3,0,0,0,4,0,0,2,1,0,1,13.5,18.0,16.43,15.26,7.55,3.5,두산 베어스,14573,2021
이승진,투수,-0.11,1,0,1,0,0,0,0,0,0,0,0.2,0,4,2.45,6,1,0,0,0,1,1,0,1,1,0,0,0.0,54.0,33.08,36.12,9.4,3.0,두산 베어스,12678,2021
이병헌,투수,-0.12,36,0,36,4,0,0,0,0,0,5,27.0,14,16,17.9,126,25,7,0,2,22,1,0,28,1,0,3,4.67,5.33,5.97,6.29,4.78,1.74,두산 베어스,15099,2021
고봉재,투수,-0.13,10,0,10,5,0,0,0,0,0,0,11.1,8,8,9.55,53,12,2,1,0,7,1,0,7,1,0,0,6.35,6.35,7.58,7.96,4.49,1.68,두산 베어스,12605,2021
이원재,투수,-0.13,1,1,0,0,0,0,0,0,0,0,1.0,3,3,2.65,9,3,1,0,0,3,0,0,0,0,0,0,27.0,27.0,23.85,24.88,13.15,6.0,두산 베어스,15101,2021
김정우,투수,-0.21,7,0,7,5,0,0,0,0,0,0,6.2,7,7,8.05,38,11,2,0,1,7,0,0,6,0,0,0,9.45,9.45,10.87,11.74,6.64,2.7,두산 베어스,13124,2021
이영하,투수,-0.29,36,0,36,5,0,0,5,3,0,4,39.1,24,27,25.95,184,40,9,1,2,21,4,1,28,4,0,2,5.49,6.18,5.94,6.22,4.57,1.55,두산 베어스,12568,2021
