선수,포지션,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,팀,pid,연도
강재민,투수,-0.63,43,0,43,2,0,0,1,3,0,12,43.1,31,31,31.25,189,35,10,1,5,19,8,0,42,1,0,0,6.44,6.44,6.49,6.57,4.73,1.25,한화 이글스,14708,2021
박상언,투수,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,한화 이글스,12587,2021
플럿코,투수,4.97,21,21,0,0,0,0,11,3,0,0,123.1,33,37,37.0,510,115,21,3,5,31,3,1,101,6,0,2,2.41,2.7,2.7,2.74,3.14,1.18,LG 트윈스,15003,2021
켈리,투수,3.93,30,30,0,0,0,0,10,7,0,0,178.2,76,87,81.9,746,183,31,3,10,39,6,1,129,7,0,6,3.83,4.38,4.13,4.27,3.49,1.24,LG 트윈스,13934,2021
임찬규,투수,3.78,30,26,4,1,0,0,14,3,0,1,144.2,55,63,59.75,632,142,22,2,10,54,5,1,103,10,1,1,3.42,3.92,3.72,3.91,4.16,1.35,LG 트윈스,10652,2021
함덕주,투수,2.67,57,0,57,9,0,0,4,0,4,16,55.2,10,12,13.0,222,32,9,1,1,22,2,1,59,3,0,0,1.62,1.94,2.1,2.21,2.69,0.97,LG 트윈스,11094,2021
김진성,투수,2.41,80,0,80,14,0,0,5,1,4,21,70.1,17,17,22.95,270,41,5,1,8,26,0,0,69,1,0,0,2.18,2.18,2.94,3.11,3.9,0.95,LG 트윈스,11166,2021
백승현,투수,2.14,42,0,42,5,0,0,2,0,3,11,40.0,7,7,7.35,162,28,4,0,2,18,0,1,30,3,0,1,1.58,1.58,1.65,1.68,3.89,1.15,LG 트윈스,13009,2021
김윤식,투수,1.68,17,16,1,0,0,0,6,4,0,0,74.2,35,35,33.45,320,86,13,2,4,25,3,0,42,1,0,4,4.22,4.22,4.03,4.26,4.24,1.49,LG 트윈스,14588,2021
유영찬,투수,1.57,67,0,67,10,0,0,6,3,1,12,68.0,26,27,28.05,305,55,14,1,4,40,7,2,55,4,0,8,3.44,3.57,3.71,3.88,4.67,1.4,LG 트윈스,14669,2021
이정용,투수,1.13,37,13,24,9,0,0,7,2,3,1,86.2,40,45,46.4,382,100,20,1,5,19,2,0,50,9,0,3,4.15,4.67,4.82,4.88,3.84,1.37,LG 트윈스,14134,2021
이우찬,투수,1.0,38,0,38,6,0,0,1,3,0,5,38.1,15,15,13.1,157,35,4,0,1,18,2,0,30,2,1,2,3.52,3.52,3.08,3.28,3.82,1.38,LG 트윈스,10749,2021
최동환,투수,0.79,45,0,45,15,0,0,0,0,1,1,42.1,15,18,18.5,189,42,11,0,1,17,3,2,20,5,0,0,3.19,3.83,3.93,4.08,4.41,1.39,LG 트윈스,10535,2021
고우석,투수,0.79,44,0,44,35,0,0,3,8,15,0,44.0,18,19,21.05,190,38,6,0,2,22,4,1,59,1,0,5,3.68,3.89,4.31,4.38,2.8,1.36,LG 트윈스,12907,2021
이지강,투수,0.36,22,12,10,5,0,0,2,5,0,2,68.0,30,45,43.45,299,60,9,0,4,28,9,0,38,7,0,3,3.97,5.96,5.75,5.82,4.84,1.29,LG 트윈스,14143,2021
이상규,투수,0.24,8,0,8,4,0,0,0,0,0,0,7.2,2,2,2.0,34,7,0,0,0,5,0,0,6,1,0,1,2.35,2.35,2.35,2.56,3.91,1.57,LG 트윈스,13245,2021
이상영,투수,0.15,6,2,4,1,0,0,0,1,0,0,11.0,4,5,4.5,54,12,3,0,0,8,3,0,4,1,0,0,3.27,4.09,3.68,3.82,6.04,1.82,LG 트윈스,14135,2021
이민호,투수,0.09,5,5,0,0,0,0,0,2,0,0,19.2,11,13,13.0,91,22,4,0,1,10,0,0,7,4,0,0,5.03,5.95,5.95,6.09,5.14,1.63,LG 트윈스,14589,2021
진해수,투수,0.07,19,0,19,3,0,0,0,0,0,2,14.2,6,8,9.2,72,18,3,0,2,10,0,0,12,1,0,3,3.68,4.91,5.65,5.59,5.54,1.91,LG 트윈스,10075,2021
윤호솔,투수,0.07,4,0,4,1,0,0,0,0,0,0,3.2,1,1,1.5,17,3,1,0,0,3,0,0,4,0,0,0,2.45,2.45,3.68,3.93,3.66,1.64,LG 트윈스,11170,2021
송은범,투수,0.07,4,0,4,1,0,0,0,0,0,0,3.2,1,1,1.7,17,6,0,0,0,3,0,0,2,0,0,0,2.45,2.45,4.17,3.98,5.02,2.45,LG 트윈스,10137,2021
송승기,투수,0.04,1,0,1,1,0,0,0,0,0,0,1.0,0,0,0.0,5,1,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6.95,2.0,LG 트윈스,14846,2021
채지선,투수,0.03,1,0,1,1,0,0,0,0,0,0,0.2,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3.85,0.0,LG 트윈스,11387,2021
오석주,투수,0.0,9,0,9,4,0,0,0,0,0,0,10.0,7,7,7.0,44,12,2,0,2,3,0,0,11,0,0,2,6.3,6.3,6.3,6.71,4.41,1.5,LG 트윈스,12860,2021
박명근,투수,-0.01,57,1,56,12,0,0,4,3,5,9,51.1,29,31,31.7,236,49,9,1,4,28,6,2,40,6,0,1,5.08,5.44,5.56,5.68,4.82,1.5,LG 트윈스,15486,2021
성동현,투수,-0.02,1,0,1,1,0,0,0,0,0,0,1.0,1,1,1.0,6,2,0,0,0,1,0,0,1,0,0,0,9.0,9.0,9.0,9.83,4.45,3.0,LG 트윈스,13103,2021
김영준,투수,-0.02,1,0,1,0,0,0,1,0,0,0,0.1,1,1,0.65,3,1,0,0,0,1,0,0,0,0,0,0,27.0,27.0,17.55,16.31,13.15,6.0,LG 트윈스,13102,2021
강효종,투수,-0.03,7,7,0,0,0,0,1,2,0,0,21.2,15,18,16.3,103,25,3,0,1,12,2,0,14,2,1,0,6.23,7.48,6.77,6.86,4.79,1.71,LG 트윈스,14780,2021
배재준,투수,-0.07,1,0,1,0,0,0,0,0,0,0,1.0,2,2,2.0,6,2,0,1,0,1,0,0,0,0,0,1,18.0,18.0,18.0,19.66,6.95,3.0,LG 트윈스,12697,2021
김동규,투수,-0.09,1,0,1,0,0,0,0,0,0,0,0.1,1,2,2.0,6,0,0,0,0,3,1,0,0,1,0,0,27.0,54.0,54.0,53.7,41.05,9.0,LG 트윈스,15485,2021
최원태,투수,-0.12,9,9,0,0,0,0,3,3,0,0,44.1,33,35,34.65,210,59,6,1,5,17,2,2,40,2,0,1,6.7,7.11,7.03,7.04,4.12,1.71,LG 트윈스,11379,2021
손주영,투수,-0.16,3,2,1,0,0,0,1,0,0,0,8.2,5,7,7.85,46,12,0,0,0,6,0,0,5,3,1,0,5.19,7.27,8.15,8.79,4.55,2.08,LG 트윈스,12908,2021
김대현,투수,-0.16,5,0,5,2,0,0,0,0,0,0,3.1,4,5,4.65,22,8,2,0,1,2,1,0,3,1,0,1,10.8,13.5,12.56,12.83,7.96,3.0,LG 트윈스,12532,2021
최성훈,투수,-0.54,5,0,5,1,0,0,0,0,1,0,3.0,5,5,6.9,17,7,2,0,0,1,0,0,2,0,0,0,15.0,15.0,20.7,22.06,3.22,2.67,LG 트윈스,10851,2021
정우영,투수,-0.66,60,0,60,3,0,0,5,6,0,11,51.2,27,39,37.45,245,63,11,0,1,17,15,1,41,5,1,2,4.7,6.79,6.52,6.84,3.96,1.55,LG 트윈스,14136,2021
반즈,투수,5.49,30,30,0,0,0,0,11,10,0,0,170.1,62,68,65.4,734,171,34,1,6,56,15,1,147,7,0,7,3.28,3.59,3.46,3.41,3.4,1.33,롯데 자이언츠,15011,2021
박세웅,투수,4.21,27,27,0,0,0,0,9,7,0,0,154.0,59,70,67.25,657,145,24,0,8,59,4,1,129,9,0,10,3.45,4.09,3.93,3.82,3.62,1.32,롯데 자이언츠,11310,2021
나균안,투수,3.34,23,23,0,0,0,0,6,8,0,0,130.1,55,61,58.75,569,140,27,3,8,42,5,1,114,4,0,6,3.8,4.21,4.06,3.96,3.51,1.4,롯데 자이언츠,12930,2021
윌커슨,투수,2.92,13,13,0,0,0,0,7,2,0,0,79.2,20,28,27.5,327,67,15,2,3,20,2,0,81,5,1,3,2.26,3.16,3.11,3.04,2.61,1.09,롯데 자이언츠,12295,2021
김상수,투수,1.73,67,0,67,7,0,0,4,2,1,18,52.0,18,22,18.55,218,45,7,1,1,21,3,0,36,5,0,1,3.12,3.81,3.21,3.17,3.78,1.27,롯데 자이언츠,10427,2021
최준용,투수,1.66,47,0,47,4,0,0,2,3,0,14,47.2,13,15,15.35,210,50,6,0,2,18,1,1,40,2,0,1,2.45,2.83,2.9,2.83,3.42,1.43,롯데 자이언츠,14624,2021
스트레일리,투수,1.63,16,16,0,0,0,0,3,5,0,0,80.1,39,43,41.8,364,82,8,1,6,37,10,0,70,4,0,4,4.37,4.82,4.68,4.45,4.37,1.48,롯데 자이언츠,14627,2021
김원중,투수,1.49,63,0,63,47,0,0,5,6,30,0,63.2,21,24,29.5,265,51,5,3,2,25,5,3,82,1,0,3,2.97,3.39,4.17,4.01,2.37,1.19,롯데 자이언츠,10825,2021
심재민,투수,1.19,29,6,23,6,1,0,3,1,0,6,45.2,15,18,19.8,202,49,5,0,2,16,1,1,28,4,0,1,2.96,3.55,3.9,3.77,3.92,1.42,롯데 자이언츠,11311,2021
구승민,투수,0.98,67,0,67,8,0,0,2,6,3,22,63.2,28,32,32.85,289,65,8,0,4,29,5,0,66,2,0,2,3.96,4.52,4.64,4.53,3.66,1.48,롯데 자이언츠,11291,2021
