Rank,Name,Team,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,pid
3,손성빈,23 C,0.407,44,20,201.2,180,166,13,1,99.4,7.99,1.05,,0.03,,-0.01,1.54,-0.74,,2.09,6.7,1.9,3.99,0.213,147962
6,정보근,23 C,0.185,51,23,228.2,216,191,24,1,99.5,8.46,-0.52,,0.59,,,1.15,-2.42,,-0.47,-1.22,2.28,1.81,-0.048,131542
10,지시완,23 C,0.148,2,2,15.0,15,10,5,0,100.0,9.0,0.38,,0.04,,,0.4,0.71,,1.31,31.49,0.14,1.46,0.134,114132
23,국해성,23 LF,0.01,1,0,2.0,0,0,0,0,0.0,0.0,0.1,,0.0,,,,,,0.11,2.58,-0.01,0.1,0.011,101722
43,정대선,23 2B,-0.136,18,11,101.0,40,14,26,0,100.0,3.56,-1.36,,0.27,-0.68,,,,,-1.77,-13.4,0.43,-1.34,-0.18,154432
57,김민석,23 CF,-0.629,125,107,933.2,247,243,3,1,99.6,2.37,-7.19,-0.17,1.19,,,,,,-6.17,-6.89,0.0,-6.17,-0.629,152532
58,정훈,23 1B,-0.896,65,47,410.1,372,344,23,5,98.7,8.05,-5.25,,0.74,,-0.25,,,,-4.76,-8.58,-4.02,-8.78,-0.486,102532
59,김상수,23 P,,65,0,52.0,8,2,5,1,87.5,1.21,,,,,,,,,0.0,0.0,,,0.0,104272
59,최영환,23 P,,8,0,10.0,4,1,3,0,100.0,3.6,,,,,,,,,0.0,0.0,,,0.0,112762
59,김원중,23 P,,63,0,63.2,11,4,7,0,100.0,1.55,,,,,,,,,0.0,0.0,,,0.0,108252
3,김호령,23 CF,0.552,68,22,288.1,98,97,0,1,99.0,3.03,5.75,-0.22,-0.13,,,,,,5.41,10.25,0.0,5.41,0.552,112980
5,한준수,23 C,0.418,45,22,208.2,166,151,15,0,100.0,7.16,-0.2,,0.54,,-0.23,0.71,1.68,,1.99,5.97,2.11,4.1,0.203,131130
7,김태군,23 C,0.353,63,52,438.0,374,334,36,4,98.9,7.6,0.19,,-0.85,,0.01,1.16,-2.37,,-1.15,-1.45,4.61,3.46,-0.117,104590
8,신범수,23 C,0.28,35,26,238.0,201,191,10,0,100.0,7.6,0.68,,0.61,,0.39,-1.02,-0.37,,0.41,1.65,2.33,2.74,0.042,125410
10,한승택,23 C,0.141,48,32,273.1,243,223,18,2,99.2,7.94,-1.0,,0.21,,0.0,-0.83,0.8,,-1.06,-3.12,2.45,1.39,-0.108,111190
15,김선우,23 C,0.115,5,1,21.0,19,18,1,0,100.0,8.14,0.0,,0.05,,,0.19,1.03,,0.96,27.67,0.17,1.13,0.098,148220
17,주효상,23 C,0.082,18,11,90.0,95,88,7,0,100.0,9.5,0.3,,0.23,,0.19,-0.2,-0.76,,-0.02,-0.12,0.82,0.8,-0.002,125670
25,윤도현,23 3B,-0.037,1,0,5.0,2,1,0,1,50.0,1.8,0.12,,-0.48,,,,,,-0.36,-51.61,0.0,-0.36,-0.037,150580
