Name,Team,WAAwithPOS,G_x,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,pid,WAR,G_y,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,id,2023,2024,2024_예측
주효상,23 C,0.082,18,11,90.0,95,88,7,0,100.0,9.5,0.3,0.0,0.23,0.0,0.19,-0.2,-0.76,0.0,-0.02,-0.12,0.82,0.8,-0.002,125670,-0.53,19,-0.53,0.0,36,34,32,2,2,0,0,0,2,1,0,0,2,0,0,10,1,2,0,0.063,0.118,0.063,0.181,-0.082,-72.3,12567,4800.0,4400.0,4420.0
윤도현,23 3B,-0.037,1,0,5.0,2,1,0,1,50.0,1.8,0.12,0.0,-0.48,0.0,0.0,0.0,0.0,0.0,-0.36,-51.61,0.0,-0.36,-0.037,150580,-0.06,1,-0.03,-0.04,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-0.167,-149.7,15058,3000.0,3000.0,4251.0
오선우,23 1B,-0.156,29,4,82.2,93,89,3,1,98.9,10.02,-1.22,0.0,0.15,0.0,0.06,0.0,0.0,0.0,-1.0,-4.38,-0.52,-1.52,-0.102,141810,-0.23,33,-0.13,-0.1,31,31,28,2,5,0,0,2,11,5,0,0,3,0,0,15,0,0,0,0.179,0.258,0.393,0.651,0.084,73.2,14181,3000.0,3300.0,5008.0
황대인,23 1B,-0.157,54,50,389.1,391,355,33,3,99.2,8.97,2.69,0.0,-0.28,0.0,-0.33,0.0,0.0,0.0,2.08,4.99,-3.62,-1.54,0.212,113060,-0.27,60,-0.48,0.21,199,198,174,19,37,4,0,5,56,26,0,0,18,4,2,50,6,0,3,0.213,0.296,0.322,0.618,0.081,70.5,11306,13000.0,8000.0,8651.0
고종욱,23 LF,-0.259,45,35,248.1,59,54,3,2,96.6,2.07,-0.63,-0.52,-0.05,0.0,0.0,0.0,0.0,0.0,-1.2,-1.51,-1.34,-2.54,-0.122,106590,0.56,114,0.68,-0.12,286,286,270,35,80,17,0,3,106,39,2,2,14,0,0,58,3,0,2,0.296,0.329,0.393,0.722,0.115,99.6,10659,7000.0,15000.0,13361.0
장성우,23 C,1.178,116,104,886.0,768,719,43,6,99.2,7.74,0.72,0.0,-0.19,0.0,0.01,-0.06,1.28,0.0,1.37,1.51,10.18,11.55,0.14,102358,3.29,131,3.15,0.14,464,460,410,37,118,22,0,11,173,65,1,1,42,2,1,70,12,3,7,0.288,0.351,0.422,0.773,0.136,110.5,10235,50000.0,50000.0,37905.0
김상수,23 SS,0.613,129,123,1020.1,441,176,259,6,98.6,3.84,-3.58,0.0,0.92,-1.5,0.0,0.0,0.0,0.0,-4.17,-4.65,10.18,6.01,-0.425,103208,2.28,129,2.7,-0.43,512,504,443,58,120,19,1,3,150,56,5,6,55,3,0,68,9,8,3,0.271,0.353,0.339,0.692,0.116,95.3,10320,50000.0,30000.0,30826.0
김병준,23 CF,0.103,1,1,5.0,3,3,0,0,100.0,5.4,0.66,0.34,0.01,0.0,0.0,0.0,0.0,0.0,1.01,48.41,0.0,1.01,0.103,150978,0.02,3,-0.08,0.1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,-0.167,-131.7,15097,3000.0,3100.0,3164.0
박경수,23 2B,0.087,101,52,503.0,301,118,179,4,98.7,5.31,-2.08,0.0,0.86,0.03,0.0,0.0,0.0,0.0,-1.19,-1.6,2.04,0.85,-0.121,104698,0.2,107,0.32,-0.12,221,216,185,12,37,13,0,1,53,12,0,0,30,1,1,46,2,5,0,0.2,0.315,0.286,0.601,0.087,71.3,10469,20000.0,20000.0,18853.0
배정대,23 CF,0.011,97,93,800.0,253,246,6,1,99.6,2.84,-2.66,1.75,1.02,0.0,0.0,0.0,0.0,0.0,0.11,0.16,0.0,0.11,0.011,112128,1.67,97,1.66,0.01,361,356,311,48,86,16,0,2,108,38,13,3,38,3,1,76,2,4,5,0.277,0.356,0.347,0.703,0.118,96.8,11212,34000.0,32000.0,28855.0
문상인,23 C,-0.018,1,0,3.0,2,2,0,0,100.0,6.0,0.0,0.0,0.01,0.0,0.0,0.0,-0.3,0.0,-0.2,-29.5,0.02,-0.18,-0.021,132278,0.02,1,0.05,-0.02,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.498,387.9,13227,3300.0,3100.0,5513.0
김준태,23 C,-0.082,35,16,162.2,123,108,11,4,96.7,6.58,0.26,0.0,-1.56,0.0,-0.01,0.48,-2.36,0.0,-2.48,-5.18,1.68,-0.8,-0.253,108358,0.01,69,0.26,-0.25,136,135,115,10,24,4,0,3,37,23,1,0,19,1,0,32,3,1,0,0.209,0.326,0.322,0.648,0.102,85.1,10835,10000.0,10000.0,9182.0
이재현,23 SS,1.301,140,135,1156.1,583,222,341,20,96.6,4.38,1.82,0.0,0.74,-0.44,0.0,0.0,0.0,0.0,2.11,2.13,10.64,12.75,0.216,150343,2.65,143,2.43,0.22,538,522,458,61,114,19,2,12,173,60,5,4,52,6,0,89,9,16,6,0.249,0.33,0.378,0.708,0.115,95.9,15034,6000.0,14000.0,16963.0
강민호,23 C,0.646,101,94,786.2,631,579,49,3,99.5,7.18,-0.6,0.0,0.55,0.0,-0.56,-1.84,-0.71,0.0,-2.95,-3.4,9.29,6.34,-0.301,102323,3.3,125,3.6,-0.3,495,492,434,60,126,19,0,16,193,77,6,1,49,6,4,65,17,1,5,0.29,0.366,0.445,0.811,0.149,123.5,10232,60000.0,40000.0,40998.0
김도환,23 C,0.034,8,3,31.0,25,24,1,0,100.0,7.26,-0.09,0.0,0.08,0.0,0.0,-0.1,0.38,0.0,0.16,2.58,0.17,0.33,0.016,141153,-0.07,9,-0.08,0.02,8,8,7,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.143,0.25,0.143,0.393,0.014,11.8,14115,5000.0,5000.0,4723.0
이병헌,23 C,0.012,21,9,85.1,66,63,3,0,100.0,6.96,-0.09,0.0,0.22,0.0,0.0,0.56,-1.84,0.0,-0.61,-3.79,0.72,0.11,-0.062,141173,-0.3,23,-0.24,-0.06,33,32,28,3,4,0,0,0,4,2,0,0,3,0,0,11,0,1,1,0.143,0.219,0.143,0.362,-0.007,-5.9,14117,3400.0,4000.0,3930.0
김민수,23 C,-0.012,2,0,3.0,3,3,0,0,100.0,9.0,0.0,0.0,0.01,0.0,0.0,-0.19,0.06,0.0,-0.14,-10.18,0.02,-0.12,-0.014,112663,-0.04,2,-0.02,-0.01,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-0.167,-133.4,11266,5200.0,4600.0,4714.0
오재일,23 1B,-0.077,88,80,700.0,717,656,53,8,98.9,9.12,4.85,0.0,0.28,0.0,0.64,0.0,0.0,0.0,5.77,7.84,-6.52,-0.75,0.588,104003,0.3,106,-0.29,0.59,364,364,315,31,64,15,0,11,112,54,1,0,43,3,1,110,1,0,3,0.203,0.302,0.356,0.658,0.098,81.3,10400,50000.0,50000.0,38607.0
김지찬,23 2B,-0.16,91,85,696.1,410,170,224,16,96.1,5.09,-3.87,0.0,0.39,-1.53,0.0,0.0,0.0,0.0,-5.0,-7.28,3.43,-1.57,-0.51,146183,2.4,99,2.91,-0.51,355,348,291,59,85,4,2,1,96,18,13,1,48,9,0,36,1,7,0,0.292,0.408,0.33,0.738,0.144,119.3,14618,16000.0,16000.0,19396.0
김동엽,23 LF,-0.271,8,6,44.0,11,10,0,1,90.9,2.05,-1.48,-0.51,-0.42,0.0,0.0,0.0,0.0,0.0,-2.41,-5.02,-0.25,-2.66,-0.246,125483,-0.22,69,0.02,-0.25,182,182,165,20,42,7,0,5,64,18,1,1,13,2,0,29,8,0,2,0.255,0.313,0.388,0.701,0.108,88.4,12548,9000.0,8000.0,8214.0
박성한,23 SS,1.447,128,124,1090.1,605,218,368,19,96.9,4.84,5.62,0.0,-0.9,-1.1,0.0,0.0,0.0,0.0,3.62,4.08,10.56,14.18,0.37,129224,3.54,128,3.17,0.37,529,521,459,53,122,19,0,9,168,47,4,1,58,1,1,56,7,7,4,0.266,0.347,0.366,0.713,0.12,99.7,12922,27000.0,30000.0,28058.0
김민식,23 C,1.249,121,87,786.2,664,601,62,1,99.8,7.59,0.99,0.0,1.54,0.0,0.11,1.9,0.39,0.0,4.81,5.67,7.44,12.25,0.49,107074,1.33,122,0.84,0.49,318,300,266,28,58,9,1,5,84,34,0,0,31,2,1,57,6,17,2,0.218,0.302,0.316,0.618,0.085,70.5,10707,15000.0,15000.0,18802.0
조형우,23 C,0.254,55,38,312.2,293,258,30,5,98.3,8.29,0.19,0.0,-1.17,0.0,-0.01,0.62,-0.14,0.0,-0.47,-1.08,2.95,2.49,-0.047,148064,-0.37,62,-0.33,-0.05,133,129,119,9,22,4,1,2,34,12,0,0,8,1,0,25,2,4,1,0.185,0.24,0.286,0.526,0.044,36.4,14806,3200.0,6300.0,5738.0
이재원,23 C,0.059,27,15,134.0,118,105,12,1,99.2,7.86,0.3,0.0,-0.15,0.0,-0.01,-1.54,1.2,0.0,-0.55,-2.94,1.13,0.58,-0.056,100824,-0.77,27,-0.71,-0.06,48,47,44,3,4,1,0,0,5,2,0,0,2,0,0,8,4,1,1,0.091,0.128,0.114,0.242,-0.065,-53.7,10082,10000.0,5000.0,5315.0
전의산,23 1B,-0.322,45,37,296.0,292,268,20,4,98.6,8.76,-1.1,0.0,0.54,0.0,0.06,0.0,0.0,0.0,-0.5,-1.29,-2.66,-3.16,-0.051,146994,-0.3,56,-0.25,-0.05,153,153,134,11,27,6,0,4,45,21,0,2,15,3,0,40,1,0,1,0.201,0.294,0.336,0.63,0.089,74.0,14699,9000.0,8000.0,7756.0
추신수,23 RF,-0.324,25,24,187.1,43,42,1,0,100.0,2.07,-2.66,0.21,0.36,0.0,0.0,0.0,0.0,0.0,-2.09,-2.69,-1.08,-3.17,-0.213,148884,1.72,112,1.94,-0.21,462,462,382,65,97,17,1,12,152,41,6,4,65,13,1,79,8,0,2,0.254,0.379,0.398,0.777,0.149,124.2,14888,170000.0,3000.0,14546.0
김형준,23 C,0.35,24,19,180.0,169,160,7,2,98.8,8.35,0.12,0.0,-0.52,0.0,0.0,0.16,2.62,0.0,1.59,8.8,1.85,3.44,0.162,130815,0.73,26,0.57,0.16,82,81,72,10,17,2,0,6,37,13,0,0,8,1,0,24,3,1,0,0.236,0.321,0.514,0.835,0.15,127.5,13081,5000.0,5800.0,5819.0
안중열,23 C,0.036,74,50,411.2,399,373,21,5,98.7,8.61,-0.22,0.0,-1.41,0.0,-0.3,1.06,-3.93,0.0,-3.63,-6.78,3.98,0.36,-0.37,113295,-0.2,77,0.17,-0.37,177,174,154,15,30,6,0,4,48,17,0,0,16,2,0,45,6,3,2,0.195,0.276,0.312,0.588,0.071,60.5,11329,6000.0,7100.0,7255.0
박한결,23 LF,0.022,5,1,14.0,5,5,0,0,100.0,3.21,0.91,-0.64,0.02,0.0,0.0,0.0,0.0,0.0,0.3,3.57,-0.08,0.22,0.03,154515,0.27,12,0.24,0.03,18,18,15,3,5,1,0,1,9,5,0,0,3,0,0,7,0,0,0,0.333,0.444,0.6,1.044,0.233,200.3,15451,3000.0,18100.0,14350.0
박대온,23 C,-0.004,24,3,69.2,71,64,4,3,95.8,8.78,-0.09,0.0,-0.81,0.0,0.0,-0.04,0.33,0.0,-0.71,-4.1,0.67,-0.04,-0.073,112465,0.22,25,0.29,-0.07,33,33,28,6,8,3,0,0,11,3,0,0,3,1,0,8,0,0,1,0.286,0.364,0.393,0.757,0.137,115.5,11246,4000.0,4000.0,5120.0
윤형준,23 1B,-0.15,74,57,476.0,470,431,35,4,99.1,8.81,3.63,0.0,-0.62,0.0,-0.16,0.0,0.0,0.0,2.85,5.01,-4.32,-1.47,0.291,111355,0.07,82,-0.22,0.29,236,234,218,17,55,12,1,5,84,27,1,1,10,3,0,58,6,2,3,0.252,0.291,0.385,0.676,0.096,81.1,11135,4000.0,6500.0,8169.0
오영수,23 1B,-0.243,66,61,482.0,450,417,25,8,98.2,8.25,2.37,0.0,-0.12,0.0,-0.06,0.0,0.0,0.0,2.2,4.52,-4.58,-2.38,0.224,130825,-0.18,70,-0.4,0.22,238,232,208,21,49,9,1,4,72,24,3,3,17,5,1,55,5,5,3,0.236,0.305,0.346,0.651,0.093,78.8,13082,6000.0,7200.0,7804.0
양의지,23 C,1.361,97,94,773.0,686,635,48,3,99.6,7.95,0.14,0.0,1.5,0.0,-0.08,1.63,1.62,0.0,4.32,4.82,9.02,13.34,0.44,101651,5.99,129,5.55,0.44,510,502,439,56,134,23,0,17,208,68,8,0,57,11,8,56,20,0,3,0.305,0.396,0.474,0.87,0.172,151.8,10165,30000.0,50000.0,45516.0
장승현,23 C,0.298,75,37,390.1,343,312,29,2,99.4,7.86,-0.86,0.0,0.51,0.0,-0.01,-0.32,-0.21,0.0,-0.82,-1.55,3.74,2.93,-0.083,110971,-0.59,76,-0.51,-0.08,158,153,139,11,22,1,0,3,32,9,1,0,6,8,0,36,2,5,0,0.158,0.235,0.23,0.465,0.029,26.0,11097,6000.0,6000.0,6301.0
김민혁,23 1B,0.024,12,5,56.0,57,52,4,1,98.2,9.0,1.02,0.0,-0.39,0.0,0.06,0.0,0.0,0.0,0.69,4.73,-0.46,0.23,0.07,129701,-0.21,21,-0.28,0.07,36,36,29,2,4,1,0,0,5,3,0,0,4,1,0,9,3,0,2,0.138,0.25,0.172,0.422,0.023,20.7,12970,4500.0,3800.0,4056.0
안승한,23 C,-0.256,21,8,80.0,57,52,3,2,96.5,6.19,-0.15,0.0,-0.78,0.0,-0.01,-1.63,-0.73,0.0,-3.08,-20.17,0.58,-2.51,-0.314,113281,-0.4,22,-0.08,-0.31,27,27,24,1,5,0,0,0,5,1,1,0,2,1,0,10,0,0,0,0.208,0.296,0.208,0.504,0.053,46.9,11328,4500.0,5500.0,7775.0
양석환,23 1B,-0.519,111,111,920.2,859,785,64,10,98.8,8.3,4.03,0.0,0.18,0.0,-0.18,0.0,0.0,0.0,4.03,4.15,-9.12,-5.09,0.411,112131,2.83,140,2.42,0.41,582,579,524,73,147,28,0,21,238,89,4,0,41,6,3,133,9,0,11,0.281,0.333,0.454,0.787,0.135,119.4,11213,40000.0,30000.0,34754.0
이지영,23 C,0.691,78,69,539.0,503,467,32,4,99.2,8.33,-0.26,0.0,-0.59,0.0,0.02,0.92,1.6,0.0,1.2,2.14,5.57,6.77,0.123,103127,0.51,81,0.38,0.12,237,230,217,23,54,8,1,0,64,8,1,1,12,1,0,39,2,7,0,0.249,0.291,0.295,0.586,0.074,63.6,10312,50000.0,20000.0,21524.0
김동헌,23 C,0.457,100,48,522.0,424,377,43,4,99.1,7.24,-0.53,0.0,-0.14,0.0,-0.02,0.29,-0.96,0.0,-1.07,-1.5,5.54,4.48,-0.109,154737,0.61,102,0.71,-0.11,242,239,211,22,51,5,2,2,66,17,0,0,17,8,0,55,7,3,3,0.242,0.318,0.313,0.631,0.092,79.8,15473,3000.0,4000.0,5868.0
김시앙,23 C,0.252,32,24,198.1,147,134,13,0,100.0,6.67,-0.06,0.0,0.51,0.0,-0.01,-0.64,0.99,0.0,0.51,2.2,1.97,2.47,0.052,148517,-0.12,33,-0.17,0.05,82,82,76,6,17,1,0,0,18,7,0,0,3,3,0,18,4,0,0,0.224,0.28,0.237,0.517,0.049,42.0,14851,3100.0,3600.0,3847.0
이승원,23 SS,-0.069,4,2,11.0,6,2,3,1,83.3,4.09,-0.63,0.0,-0.47,0.36,0.0,0.0,0.0,0.0,-0.74,-26.66,0.06,-0.68,-0.076,154767,-0.2,4,-0.12,-0.08,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,-0.167,-147.9,15476,3000.0,10100.0,7959.0
김재현,23 C,-0.152,8,3,29.0,16,16,0,0,100.0,4.97,-0.09,0.0,0.07,0.0,0.0,-0.57,-1.64,0.0,-1.73,-31.2,0.24,-1.49,-0.177,108707,-0.45,8,-0.27,-0.18,10,9,9,0,1,0,0,0,1,0,0,0,0,0,0,3,1,1,0,0.111,0.111,0.111,0.222,-0.08,-71.3,10870,6500.0,5500.0,5545.0
김웅빈,23 1B,-0.241,13,9,73.2,76,68,6,2,97.4,9.04,-1.66,0.0,0.13,0.0,-0.16,0.0,0.0,0.0,-1.68,-8.35,-0.68,-2.36,-0.171,125037,-0.64,29,-0.47,-0.17,74,74,64,2,12,3,0,0,15,9,0,0,6,2,0,20,1,0,2,0.188,0.27,0.234,0.504,0.047,42.2,12503,6000.0,5000.0,5335.0
