Name_x,포지션,fid_G,fid_GS,fid_IP,PO,Ass,E,RF9,수비 관련 득점 기여도.8,수비 관련 득점 기여도.9,팀,pid,pit_G,pit_GS,GR,GF,CG,SHO,W,L,S,HD,pit_IP,ER,R_x,rRA,TBF,H_x,2B_x,3B_x,HR_x,BB_x,HP_x,IB_x,SO_x,ROE,BK,WP,ERA,FIP,WHIP,연봉(만원),WAR,WAR당 연봉
장민재,투수,26,0,29.0,1,1,0,0.62,0.0,0.0,한화 이글스,10610.0,26,0,26,9,0,0,1,1,0,0,29.0,10,10,12.75,138,46,7,0,2,7,1,0,17,0,0,5,3.1,4.41,1.83,15000,0.66,22587
임찬규,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,LG 트윈스,10652.0,25,24,1,0,0,0,10,6,0,1,134.0,57,58,56.1,577,144,29,1,12,42,5,1,136,0,0,1,3.83,3.79,1.39,20000,3.98,5029
김대우,투수,30,1,34.1,0,4,1,1.05,0.0,0.0,삼성 라이온즈,10685.0,32,1,31,13,0,0,0,0,0,5,34.1,21,24,23.2,157,42,9,0,4,9,3,2,23,3,0,1,5.5,4.81,1.49,10000,0.09,116914
김강률,투수,52,0,42.0,4,5,0,1.93,0.0,0.0,두산 베어스,10690.0,53,0,53,3,0,0,2,2,1,12,42.0,14,16,11.15,187,41,7,0,1,21,2,0,33,1,0,1,3.0,4.22,1.48,15000,1.64,9119
홍건희,투수,64,0,59.1,1,12,1,1.97,0.0,0.0,두산 베어스,10696.0,65,0,65,18,0,0,4,3,9,11,59.1,18,22,27.65,264,55,6,1,5,33,5,4,45,2,0,5,2.73,5.19,1.48,30000,1.24,24103
김대유,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,KIA 타이거즈,10706.0,37,0,37,5,0,0,0,0,0,8,25.0,23,23,26.45,122,35,5,0,4,12,2,0,26,0,0,1,8.28,5.24,1.88,11000,-0.35,-31834
양현,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,삼성 라이온즈,10730.0,18,0,18,4,0,0,0,1,0,2,13.0,11,11,10.35,64,21,2,0,4,5,1,0,10,0,0,0,7.62,7.37,2.0,9000,-0.03,-268540
박시영,투수,24,0,25.1,2,3,0,1.78,0.0,0.0,KT 위즈,10737.0,26,0,26,5,0,0,0,1,1,4,25.1,13,13,15.4,110,27,8,1,4,7,1,1,23,0,0,3,4.62,4.67,1.34,9000,0.29,30622
이우찬,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,LG 트윈스,10749.0,42,1,41,3,0,0,3,2,0,6,33.2,33,35,33.15,172,42,6,1,2,30,1,0,31,4,1,6,8.82,5.46,2.14,12500,-0.64,-19685
문승원,투수,61,0,60.0,2,9,0,1.65,0.0,0.0,SSG 랜더스,10783.0,62,0,62,37,0,0,6,1,20,6,60.0,30,33,35.75,265,67,7,0,10,24,1,3,53,3,0,2,4.5,5.16,1.52,18000,1.07,16888
