Name_x,포지션,fid_G,fid_GS,fid_IP,PO,Ass,E,RF9,수비 관련 득점 기여도.8,수비 관련 득점 기여도.9,팀,pid,pit_G,pit_GS,GR,GF,CG,SHO,W,L,S,HD,pit_IP,ER,R_x,rRA,TBF,H_x,2B_x,3B_x,HR_x,BB_x,HP_x,IB_x,SO_x,ROE,BK,WP,ERA,FIP,WHIP,연봉(만원),WAR,WAR당 연봉
박정우,투수,1,0,1.0,0,0,0,0.0,0.0,0.0,KIA 타이거즈,12869.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3800,0.42,8953
박상원,투수,64,0,66.2,2,3,1,0.68,0.0,0.0,한화 이글스,12871.0,65,0,65,9,0,0,3,3,2,16,66.2,34,38,38.25,278,57,18,0,2,22,7,0,65,3,0,8,4.59,3.47,1.19,19500,1.00,19491
문용익,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,KT 위즈,12885.0,12,0,12,4,0,0,0,0,0,0,17.0,23,27,28.55,99,23,4,0,2,22,2,0,17,3,0,2,12.18,7.48,2.65,6300,-0.34,-18391
김진호,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,NC 다이노스,12897.0,2,0,2,1,0,0,0,0,0,0,2.1,2,2,2.0,12,3,0,0,0,2,0,0,3,0,0,0,7.71,3.64,2.14,6000,0.00,11747269
김태현,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,NC 다이노스,12898.0,11,0,11,2,0,0,0,0,0,0,10.0,8,10,11.2,50,14,4,0,3,7,0,0,3,2,0,1,7.2,9.19,2.1,4000,-0.13,-31557
소이현,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,NC 다이노스,12900.0,4,0,4,3,0,0,0,0,0,0,3.1,5,7,5.95,19,6,3,0,0,1,1,0,1,1,0,0,13.5,5.31,2.1,3200,-0.06,-53577
손주영,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,LG 트윈스,12908.0,28,27,1,0,0,0,9,10,0,1,144.2,61,71,65.3,637,157,16,0,11,54,10,0,112,9,0,6,3.79,4.54,1.46,4300,3.68,1168
유승철,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,KIA 타이거즈,12914.0,5,0,5,1,0,0,0,0,0,0,5.0,3,3,1.8,23,3,1,0,0,7,0,0,4,0,0,2,5.4,6.54,2.0,3600,0.12,31245
김성민,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,키움 히어로즈,12918.0,46,0,46,4,0,0,3,4,0,14,45.2,22,24,25.15,188,45,4,0,5,17,1,0,34,0,1,3,4.34,4.86,1.36,9000,0.48,18900
윤성빈,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,롯데 자이언츠,12928.0,1,1,0,0,0,0,0,1,0,0,1.0,5,5,4.3,9,4,1,0,1,2,0,0,1,0,0,0,45.0,19.8,6.0,3100,-0.06,-49968
나균안,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,롯데 자이언츠,12930.0,26,14,12,4,0,0,4,7,0,0,73.0,69,73,73.5,380,114,19,0,15,47,5,0,74,2,0,10,8.51,6.32,2.21,17000,-0.30,-56322
최지광,투수,34,0,36.1,2,4,0,1.49,0.0,0.0,삼성 라이온즈,12934.0,35,0,35,1,0,0,3,2,0,7,36.1,9,9,12.25,154,22,6,1,1,21,4,2,38,0,1,2,2.23,3.96,1.18,14000,1.35,10404
김건국,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,KIA 타이거즈,12944.0,20,3,17,3,0,0,0,1,0,0,34.1,30,33,31.1,165,48,8,0,5,14,2,0,20,3,0,3,7.86,5.92,1.81,4000,-0.20,-19538
박승주,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,키움 히어로즈,12989.0,15,0,15,6,0,0,0,1,0,0,17.1,13,13,11.95,74,16,2,0,2,9,1,0,13,0,0,3,6.75,5.49,1.44,4500,0.02,281711
이민우,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,한화 이글스,13003.0,64,0,64,7,0,0,2,1,1,10,55.0,23,25,31.35,235,56,10,2,5,23,1,0,49,2,0,1,3.76,4.41,1.44,5600,0.90,6199
백승현,투수,33,0,26.2,0,5,1,1.69,0.0,0.0,LG 트윈스,13009.0,36,0,36,7,0,0,2,1,2,1,26.2,27,28,25.6,135,33,7,0,3,22,2,2,14,0,0,1,9.11,6.9,2.06,9200,-0.40,-22725
곽빈,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,두산 베어스,13061.0,30,30,0,0,0,0,15,9,0,0,167.2,79,83,76.7,716,142,29,1,11,76,6,0,154,5,1,11,4.24,4.13,1.3,21000,4.65,4518
박신지,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,두산 베어스,13070.0,6,1,5,1,0,0,0,1,0,0,8.2,2,3,4.05,41,8,2,0,0,8,1,0,3,1,0,0,2.08,6.55,1.85,3500,0.15,22678
정철원,투수,33,0,32.1,0,2,0,0.56,0.0,0.0,두산 베어스,13071.0,36,0,36,14,0,0,2,1,6,1,32.1,23,24,25.55,165,39,7,2,5,26,5,0,39,1,0,0,6.4,6.0,2.01,16500,-0.20,-82583
김민규,투수,12,4,25.0,0,0,0,0.0,0.0,0.0,두산 베어스,13072.0,13,4,9,4,0,0,0,1,0,0,25.0,12,14,12.15,117,23,7,2,4,19,4,0,19,1,0,3,4.32,7.06,1.68,5000,0.66,7629
김시훈,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,NC 다이노스,13080.0,39,18,21,0,0,0,3,4,0,5,107.1,54,60,57.45,477,110,25,1,7,59,3,0,74,7,1,1,4.53,5.04,1.57,11000,1.91,5771
신민혁,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,NC 다이노스,13085.0,25,24,1,1,0,0,8,9,0,0,121.0,58,67,61.3,524,140,24,3,20,16,7,0,74,8,1,2,4.31,5.23,1.29,18000,2.76,6531
김영규,투수,42,0,45.2,2,8,1,1.97,0.0,0.0,NC 다이노스,13088.0,42,0,42,4,0,0,4,2,1,14,45.2,16,19,17.2,183,40,4,0,3,14,1,0,48,2,0,1,3.15,3.37,1.18,22500,1.48,15219
김선기,투수,41,6,76.1,0,11,0,1.3,0.0,0.0,키움 히어로즈,13092.0,42,6,36,4,0,0,6,4,0,0,76.1,47,51,53.6,357,91,18,0,13,30,6,1,43,6,0,6,5.54,6.28,1.59,7000,0.10,67435
김영준,투수,14,0,15.1,1,2,0,1.76,0.0,0.0,LG 트윈스,13102.0,14,0,14,5,0,0,1,1,0,0,15.1,14,17,16.65,76,21,3,0,2,9,0,1,11,3,0,2,8.22,5.58,1.96,3600,-0.23,-15448
성동현,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,LG 트윈스,13103.0,2,0,2,1,0,0,0,0,0,0,2.0,0,0,0.0,8,0,0,0,0,3,0,0,1,0,0,0,0.0,7.6,1.5,3200,0.08,37930
윤중현,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,KIA 타이거즈,13122.0,11,0,11,4,0,0,0,0,0,0,10.1,16,17,19.25,62,22,2,1,4,9,3,1,4,1,0,0,13.94,11.14,3.0,6500,-0.35,-18821
김정우,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,두산 베어스,13124.0,1,0,1,0,0,0,0,0,0,0,0.1,3,3,2.5,4,3,2,0,0,0,0,0,0,0,0,0,81.0,4.2,9.0,3100,-0.01,-222415
최민준,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,SSG 랜더스,13126.0,32,0,32,3,0,0,1,0,0,0,39.1,34,36,41.2,202,61,9,1,9,24,3,1,40,2,0,1,7.78,6.43,2.16,14400,-0.35,-41178
이채호,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,KT 위즈,13130.0,9,0,9,1,0,0,0,0,0,0,6.2,7,7,7.0,37,13,0,1,2,3,1,0,5,0,0,1,9.45,7.75,2.4,5300,-0.11,-50284
김도규,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,롯데 자이언츠,13148.0,5,0,5,3,0,0,0,1,0,0,4.0,4,4,3.3,25,5,1,0,0,6,2,1,5,0,1,0,9.0,7.27,2.75,8000,-0.01,-706658
최하늘,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,삼성 라이온즈,13152.0,27,0,27,4,0,0,1,1,0,1,32.0,19,20,20.85,139,26,4,0,2,16,4,0,18,3,0,2,5.34,5.47,1.31,4100,0.05,77956
최채흥,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,삼성 라이온즈,13156.0,14,1,13,3,0,0,0,0,0,1,20.0,14,15,16.55,96,24,5,1,4,12,0,0,14,2,0,1,6.3,6.69,1.8,15000,-0.07,-217492
김윤수,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,삼성 라이온즈,13162.0,4,0,4,2,0,0,0,0,0,0,5.1,6,6,6.7,26,6,0,0,0,7,0,0,2,0,0,1,10.13,7.33,2.44,7000,-0.14,-50854
김민,투수,70,1,77.1,4,9,0,1.51,0.0,0.0,KT 위즈,13167.0,71,1,70,5,0,0,8,4,0,21,77.1,37,38,36.45,336,84,13,0,5,27,2,3,77,3,0,5,4.31,3.6,1.44,5000,1.84,2712
최이준,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,롯데 자이언츠,13169.0,23,0,23,11,0,0,3,0,0,0,24.2,20,22,27.85,126,40,6,1,3,16,1,1,17,1,0,1,7.3,6.06,2.27,3800,-0.36,-10553
박주현,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,NC 다이노스,13175.0,3,0,3,1,0,0,0,0,0,0,3.0,2,2,2.0,13,3,0,0,1,1,0,0,4,0,0,0,6.0,5.87,1.33,3000,0.03,109982
한두솔,투수,64,0,59.1,2,5,1,1.06,0.0,0.0,SSG 랜더스,13228.0,69,0,69,8,0,0,2,1,0,3,59.1,33,40,35.9,273,62,10,2,3,31,3,2,68,5,0,1,5.01,3.61,1.57,3200,0.84,3820
홍정우,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,삼성 라이온즈,13242.0,1,0,1,1,0,0,0,0,0,0,1.0,5,5,5.0,9,5,1,0,1,1,0,0,1,0,0,0,45.0,16.7,6.0,6000,-0.03,-173429
이재익,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,삼성 라이온즈,13244.0,9,0,9,1,0,0,1,0,0,0,9.2,19,19,17.75,58,29,3,0,2,4,0,0,6,0,0,0,17.69,6.39,3.41,8200,-0.32,-25416
이상규,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,한화 이글스,13245.0,21,3,18,4,0,0,1,4,0,0,32.0,20,20,18.95,149,39,7,1,5,15,1,1,27,0,0,1,5.63,5.4,1.69,4400,0.38,11481
김호준,투수,15,1,13.1,0,2,0,1.35,0.0,0.0,두산 베어스,13268.0,16,1,15,6,0,0,1,2,0,0,13.1,13,14,15.0,68,22,6,1,1,4,5,0,6,0,0,0,8.78,6.06,1.95,3100,-0.22,-14260
현도훈,투수,7,0,10.0,1,2,0,2.7,0.0,0.0,롯데 자이언츠,13271.0,8,0,8,5,0,0,0,1,0,0,10.0,10,11,12.05,50,15,3,1,2,6,0,0,8,2,0,1,9.0,6.44,2.1,3200,-0.13,-24338
권휘,투수,8,0,9.0,1,1,1,2.0,0.0,0.0,두산 베어스,13665.0,8,0,8,3,0,0,0,0,0,0,9.0,11,11,8.8,49,15,3,0,0,7,0,0,11,0,0,1,11.0,3.55,2.44,3000,-0.05,-55129
켈리,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,LG 트윈스,13934.0,19,19,0,2,2,1,5,8,0,0,113.2,57,65,65.0,495,131,18,1,13,25,6,0,69,4,0,9,4.51,4.89,1.37,80000,1.73,46128
요키시,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,NC 다이노스,13940.0,8,8,0,0,0,0,3,4,0,0,39.1,25,29,28.65,189,51,11,2,5,20,2,0,32,3,0,2,5.72,5.41,1.81,10000,0.08,131961
알칸타라,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,두산 베어스,13941.0,12,12,0,0,0,0,2,2,0,0,64.1,34,35,34.65,270,58,8,3,10,22,2,0,34,3,0,0,4.76,5.88,1.24,80000,1.24,64510
쿠에바스,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,KT 위즈,13942.0,31,31,0,0,0,0,7,12,0,0,173.1,79,86,86.0,737,158,36,3,17,59,7,4,154,11,1,11,4.1,4.25,1.25,100000,4.93,20280
전용주,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,KT 위즈,14106.0,4,0,4,0,0,0,0,0,0,0,1.2,2,3,3.15,11,2,0,0,0,3,1,0,4,0,0,0,10.8,5.64,3.0,3200,-0.09,-35628
손동현,투수,41,0,47.1,3,3,2,1.14,0.0,0.0,KT 위즈,14108.0,42,0,42,10,0,0,1,2,1,4,47.1,28,31,33.05,214,50,6,1,5,20,1,2,27,3,0,3,5.32,5.34,1.48,12000,0.13,88905
이상동,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,KT 위즈,14109.0,29,0,29,8,0,0,0,1,0,3,32.0,19,20,24.45,152,42,9,0,3,14,3,1,30,0,1,4,5.34,4.62,1.75,6000,-0.03,-179748
이선우,투수,6,1,10.0,2,0,0,1.8,0.0,0.0,KT 위즈,14111.0,6,1,5,3,0,0,0,0,0,0,10.0,6,6,5.35,45,10,0,0,0,4,2,0,4,0,0,0,5.4,5.06,1.4,4000,0.15,26897
원태인,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,삼성 라이온즈,14113.0,28,28,0,1,1,0,15,6,0,0,159.2,65,68,67.3,670,150,29,3,17,42,7,1,119,5,0,3,3.66,4.55,1.2,43000,4.90,8780
김도현,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,KIA 타이거즈,14128.0,35,10,25,6,0,0,4,6,0,3,75.0,41,45,45.85,345,87,11,1,9,31,9,0,59,2,0,4,4.92,5.31,1.57,3500,1.18,2957
윤정현,투수,2,0,3.0,0,0,0,0.0,0.0,0.0,키움 히어로즈,14131.0,2,0,2,2,0,0,0,0,0,0,3.0,3,3,3.0,15,4,0,0,0,2,0,0,1,0,0,0,9.0,5.43,2.0,4000,-0.01,-316216
조영건,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,키움 히어로즈,14132.0,25,3,22,3,0,0,2,1,0,1,39.1,35,39,35.55,197,51,10,1,7,24,1,0,31,3,0,3,8.01,6.01,1.91,4000,-0.52,-7628
이상영,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,LG 트윈스,14135.0,8,3,5,0,0,0,0,1,0,1,16.1,6,6,7.05,75,15,0,0,1,8,4,0,8,0,0,2,3.31,5.98,1.41,5000,0.50,9955
정우영,투수,27,0,22.2,0,7,0,2.78,0.0,0.0,LG 트윈스,14136.0,27,0,27,2,0,0,2,1,0,3,22.2,12,15,15.0,108,31,6,0,0,11,6,0,17,1,0,3,4.76,4.65,1.85,32000,-0.02,-2063305
임준형,투수,17,1,13.2,1,1,0,1.32,0.0,0.0,LG 트윈스,14142.0,18,1,17,3,0,0,0,0,0,0,13.2,10,10,7.95,62,16,4,0,2,4,3,0,13,0,0,0,6.59,5.15,1.46,4800,0.13,37733
이지강,투수,44,2,53.2,4,6,0,1.68,0.0,0.0,LG 트윈스,14143.0,46,2,44,6,0,0,2,3,1,1,53.2,27,35,38.75,250,61,9,0,5,26,2,0,39,5,0,5,4.53,5.11,1.62,6800,-0.09,-76140
백승건,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,SSG 랜더스,14145.0,10,0,10,7,0,0,0,0,0,0,9.1,8,9,11.05,51,13,2,0,2,9,0,0,5,2,0,1,7.71,8.4,2.36,4600,-0.06,-76710
송명기,투수,32,0,38.1,0,1,0,0.23,0.0,0.0,NC 다이노스,14155.0,33,0,33,5,0,0,2,1,0,4,38.1,25,27,28.7,173,40,7,1,4,17,3,1,31,2,0,7,5.87,4.96,1.49,13500,-0.16,-83813
전사민,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,NC 다이노스,14156.0,17,0,17,9,0,0,0,0,0,0,23.2,25,25,26.05,128,39,6,1,3,17,3,0,17,0,2,4,9.51,6.53,2.37,3400,-0.30,-11353
배민서,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,한화 이글스,14158.0,1,0,1,0,0,0,0,0,0,0,1.2,3,3,3.0,11,4,1,0,0,3,0,0,1,0,0,0,16.2,8.28,4.2,5100,-0.03,-178322
김현수,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,KIA 타이거즈,14162.0,5,0,5,4,0,0,0,0,0,0,5.0,10,10,10.15,28,7,4,0,0,5,1,0,4,0,0,2,18.0,5.92,2.4,4500,-0.12,-38109
박진,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,롯데 자이언츠,14163.0,38,3,35,11,0,0,2,4,1,0,49.1,24,28,27.65,214,60,9,1,4,11,2,0,35,0,0,4,4.38,4.21,1.44,3300,1.15,2860
전루건,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,NC 다이노스,14171.0,6,0,6,1,0,0,0,0,0,0,5.2,14,14,14.15,44,15,3,0,0,9,4,0,0,0,0,0,22.24,11.31,4.24,3200,-0.14,-22406
이교훈,투수,32,0,35.1,5,2,0,1.78,0.0,0.0,두산 베어스,14173.0,33,0,33,7,0,0,1,1,0,1,35.1,29,32,32.65,166,43,11,1,7,17,2,0,27,2,0,0,7.39,6.31,1.7,3300,-0.40,-8167
김기훈,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,KIA 타이거즈,14176.0,17,0,17,4,0,0,1,0,0,0,19.2,11,13,14.6,95,16,4,1,1,15,3,0,17,3,1,1,5.03,5.48,1.58,4000,0.05,75404
장지수,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,한화 이글스,14178.0,13,0,13,7,0,0,0,0,0,0,14.0,17,18,14.75,75,23,5,2,0,10,2,2,11,1,0,2,10.93,4.45,2.36,3200,-0.08,-39864
김인범,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,키움 히어로즈,14480.0,19,14,5,4,0,0,2,7,0,0,63.1,38,40,39.3,297,75,8,1,9,31,8,0,27,2,1,3,5.4,6.73,1.67,3300,0.68,4864
이종민,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,키움 히어로즈,14576.0,12,9,3,0,0,0,1,8,0,0,43.2,37,39,36.1,212,56,10,2,9,22,5,2,21,2,1,0,7.63,7.22,1.79,3200,-0.15,-21098
오원석,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,SSG 랜더스,14581.0,29,25,4,1,0,0,6,9,0,1,121.2,68,72,68.7,550,122,14,1,17,65,13,1,112,6,0,3,5.03,5.52,1.54,14000,3.03,4622
김윤식,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,LG 트윈스,14588.0,1,1,0,0,0,0,0,0,0,0,3.0,4,4,4.0,17,7,2,0,0,1,0,0,1,1,0,0,12.0,4.4,2.67,12000,-0.07,-163067
소형준,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,KT 위즈,14600.0,6,0,6,1,0,0,2,0,0,0,8.1,3,3,2.5,30,7,2,0,1,1,1,0,3,0,0,0,3.24,5.47,0.96,22000,0.31,70608
유지성,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,KIA 타이거즈,14607.0,3,0,3,2,0,0,0,0,0,0,2.1,2,4,2.8,14,5,0,0,1,0,1,0,3,1,0,0,7.71,7.41,2.14,3100,-0.02,-128033
정해영,투수,53,0,50.2,3,5,0,1.42,0.0,0.0,KIA 타이거즈,14608.0,53,0,53,44,0,0,2,3,31,1,50.2,14,14,16.9,210,47,5,1,8,16,1,2,50,1,0,0,2.49,4.59,1.24,20000,2.35,8510
홍원표,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,삼성 라이온즈,14614.0,4,0,4,4,0,0,0,0,0,0,6.1,3,3,4.2,28,4,1,0,1,6,0,0,5,0,0,0,4.26,7.04,1.58,3300,0.03,130454
황동재,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,삼성 라이온즈,14615.0,15,6,9,2,0,0,1,2,0,0,42.0,19,20,20.0,180,38,9,1,2,18,4,0,30,0,0,5,4.07,4.6,1.33,4100,0.92,4471
이승민,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,삼성 라이온즈,14616.0,25,8,17,6,0,0,1,4,0,0,47.1,45,48,45.25,237,71,8,1,14,26,3,0,23,5,0,1,8.56,8.4,2.05,4100,-0.46,-8960
남지민,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,한화 이글스,14619.0,2,0,2,1,0,0,0,0,0,0,4.0,0,0,1.2,17,2,1,0,0,2,1,0,3,0,0,1,0.0,4.65,1.0,4000,0.10,38156
한승주,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,한화 이글스,14621.0,18,0,18,6,0,0,0,2,0,0,22.0,28,31,30.15,120,45,6,1,2,10,3,0,14,2,0,1,11.45,5.52,2.5,4500,-0.48,-9304
최준용,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,롯데 자이언츠,14624.0,27,0,27,4,0,0,1,2,0,3,21.2,13,13,15.55,105,28,2,1,2,14,1,1,12,1,0,1,5.4,5.92,1.94,16300,0.13,121606
홍민기,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,롯데 자이언츠,14625.0,3,1,2,0,0,0,0,0,0,0,3.2,5,7,5.15,24,8,3,0,0,1,2,0,2,2,0,3,12.27,5.37,2.45,3100,-0.01,-245954
이종준,투수,26,0,26.0,1,2,0,1.04,0.0,0.0,LG 트윈스,14651.0,27,0,27,13,0,0,1,2,0,1,26.0,12,13,12.65,119,26,5,0,4,16,0,0,28,1,0,1,4.15,5.25,1.62,3000,0.35,8545
장재혁,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,KIA 타이거즈,14657.0,1,0,1,0,0,0,0,0,0,0,1.1,0,0,0.0,7,2,0,0,0,1,0,0,0,0,0,0,0.0,6.52,2.25,3000,0.06,50100
성재헌,투수,29,1,32.0,1,8,1,2.53,0.0,0.0,KT 위즈,14667.0,30,1,29,3,0,0,0,0,0,1,32.0,26,29,27.9,159,46,13,2,1,16,5,2,20,3,1,2,7.31,4.85,1.94,3000,-0.07,-45935
유영찬,투수,61,0,63.2,4,4,0,1.13,0.0,0.0,LG 트윈스,14669.0,62,0,62,50,0,0,7,5,26,1,63.2,21,24,35.5,286,61,15,0,2,30,3,3,77,3,2,5,2.97,3.06,1.43,8500,0.66,12856
김동혁,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,키움 히어로즈,14674.0,17,0,17,8,0,0,0,2,0,0,22.1,17,21,23.75,102,27,5,1,7,10,2,0,9,1,0,0,6.85,8.59,1.66,6000,-0.52,-11522
김동욱,투수,37,0,36.0,2,3,0,1.25,0.0,0.0,키움 히어로즈,14681.0,37,0,37,11,0,0,2,1,0,3,36.0,20,20,23.45,146,33,9,1,4,6,2,1,18,1,0,1,5.0,4.96,1.08,3000,0.11,26713
박시후,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,SSG 랜더스,14687.0,11,0,11,5,0,0,0,0,0,0,14.2,11,11,10.65,70,18,1,0,1,7,2,0,11,1,0,0,6.75,5.04,1.7,3000,0.11,28325
김승일,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,한화 이글스,14711.0,3,0,3,1,0,0,0,0,0,0,3.0,1,1,0.3,13,4,1,0,0,0,1,0,2,0,0,1,3.0,3.57,1.33,3000,0.13,23229
최종인,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,두산 베어스,14733.0,11,0,11,4,0,0,1,0,1,2,9.2,4,4,5.0,42,8,0,0,2,5,0,0,8,0,0,0,3.72,6.2,1.34,3000,0.18,17066
김재열,투수,68,0,68.2,3,5,2,1.05,0.0,0.0,NC 다이노스,14747.0,69,0,69,16,0,0,1,5,2,12,68.2,19,20,25.45,284,58,15,1,4,29,0,3,67,2,1,1,2.49,3.72,1.27,6000,1.98,3034
이용준,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,NC 다이노스,14763.0,9,9,0,0,0,0,2,3,0,0,33.2,25,28,25.4,157,42,6,2,5,14,1,0,26,3,0,1,6.68,5.42,1.66,6700,0.04,185028
한재승,투수,49,0,45.1,2,5,1,1.39,0.0,0.0,NC 다이노스,14764.0,51,0,51,12,0,0,1,2,0,6,45.1,20,21,24.2,201,37,7,1,2,27,3,0,44,2,0,6,3.97,4.35,1.41,3400,0.59,5789
김도윤,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,두산 베어스,14768.0,2,0,2,2,0,0,0,0,0,0,2.1,1,2,2.0,12,2,1,0,0,2,1,0,1,0,0,0,3.86,7.11,1.71,3100,0.00,-2232770
김동주,투수,14,9,50.0,2,3,0,0.9,0.0,0.0,두산 베어스,14769.0,14,9,5,3,1,0,1,3,0,0,50.0,38,46,42.45,244,67,12,3,6,21,4,0,35,3,1,7,6.84,5.43,1.76,5500,-0.31,-17809
최승용,투수,12,6,27.0,0,4,0,1.33,0.0,0.0,두산 베어스,14770.0,12,6,6,1,0,0,2,0,0,1,27.0,18,19,20.4,124,37,5,2,6,7,0,0,21,2,0,0,6.0,5.7,1.63,10200,0.11,91504
한차현,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,KT 위즈,14776.0,10,5,5,2,0,0,0,4,0,0,19.0,21,22,19.7,103,29,4,1,4,18,0,0,17,1,0,2,9.95,7.4,2.47,3100,-0.25,-12239
강효종,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,LG 트윈스,14780.0,1,1,0,0,0,0,0,0,0,0,1.1,3,3,3.0,9,2,0,0,1,3,0,0,2,0,0,0,20.25,16.35,3.75,3800,-0.06,-66747
김진수,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,LG 트윈스,14781.0,7,0,7,3,0,0,0,1,0,0,13.1,10,10,9.15,58,17,2,0,3,4,0,0,6,0,0,0,6.75,6.68,1.58,3200,0.02,204366
이의리,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,KIA 타이거즈,14788.0,4,4,0,0,0,0,1,0,0,0,13.1,8,10,10.0,69,17,3,0,3,14,0,0,14,1,0,0,5.4,7.51,2.33,17000,0.09,183155
김진욱,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,롯데 자이언츠,14792.0,19,18,1,0,0,0,4,3,0,0,84.2,50,54,49.85,388,89,21,3,13,44,3,0,87,6,0,5,5.31,5.18,1.57,6000,2.38,2524
송재영,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,롯데 자이언츠,14794.0,19,0,19,4,0,0,0,1,1,3,8.1,10,10,10.4,40,9,3,0,2,5,1,0,9,0,1,1,10.8,6.59,1.68,3100,-0.17,-18291
정우준,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,롯데 자이언츠,14795.0,8,0,8,5,0,0,0,0,0,0,8.1,4,4,6.6,40,10,2,0,2,7,0,0,5,0,0,0,4.32,8.16,2.04,3100,0.04,78951
이승현,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,삼성 라이온즈,14798.0,17,17,0,0,0,0,6,4,0,0,87.1,41,44,41.9,384,88,11,1,9,37,6,0,68,3,0,4,4.23,5.01,1.43,7000,2.22,3154
장지훈,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,SSG 랜더스,14804.0,18,0,18,7,0,0,0,0,0,0,21.1,16,16,18.4,101,29,6,0,3,10,1,0,10,1,0,0,6.75,6.3,1.83,13000,-0.07,-194203
조병현,투수,74,0,73.0,6,2,2,0.99,0.0,0.0,SSG 랜더스,14805.0,76,0,76,27,0,0,4,6,12,12,73.0,29,34,32.65,302,52,10,0,8,31,2,3,96,5,0,5,3.58,3.53,1.14,3000,2.50,1201
