선수,포지션,Sort▼,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,WAR,팀,기존pid,연봉(만원),연도,포지션구분,WAAwithPOS,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,pid,WAR▼,oWAR,dWAR,PA,ePA,AB,TB,RBI,SB,CS,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,연봉등급,신인여부,국적,선발투수
문동욱,투수,0.06,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.34,1.5,0.06,한화 이글스,11230,3600,2021,투수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
윤호솔,투수,0.05,55,0.0,55.0,13.0,0.0,0.0,3.0,0.0,0.0,8.0,48.2,25.0,29.0,32.9,214.0,41.0,13.0,2.0,7.0,30.0,3.0,1.0,42.0,5.0,0.0,3.0,4.62,5.36,6.08,6.27,5.36,1.46,0.05,한화 이글스,11170,3100,2021,투수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김종수,투수,0.03,49,0.0,49.0,11.0,0.0,0.0,1.0,1.0,0.0,6.0,46.2,25.0,29.0,32.3,208.0,34.0,10.0,0.0,7.0,32.0,3.0,0.0,38.0,4.0,0.0,2.0,4.82,5.59,6.23,6.21,5.84,1.41,0.03,한화 이글스,11117,6100,2021,투수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남지민,투수,0.02,3,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.1,6.0,6.0,5.15,41.0,9.0,2.0,0.0,1.0,7.0,3.0,0.0,3.0,0.0,0.0,0.0,7.36,7.36,6.32,6.52,8.59,2.18,0.02,한화 이글스,14619,3000,2021,투수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
황영국,투수,0.0,18,0.0,18.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,14.2,9.0,10.0,9.45,71.0,16.0,1.0,0.0,0.0,10.0,1.0,0.0,15.0,1.0,0.0,2.0,5.52,6.14,5.8,6.09,3.54,1.77,0.0,한화 이글스,11278,3300,2021,투수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
정인욱,투수,-0.01,8,1.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,5.0,6.0,6.7,44.0,6.0,1.0,0.0,2.0,10.0,0.0,0.0,6.0,2.0,0.0,0.0,4.82,5.79,6.46,6.56,8.03,1.71,-0.01,한화 이글스,10376,3000,2021,투수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
박주홍,투수,-0.02,2,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,4.0,4.0,3.65,18.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,3.0,0.0,0.0,1.0,12.0,12.0,10.95,10.03,10.57,3.67,-0.02,한화 이글스,13136,3300,2021,투수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신지후,투수,-0.02,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2.0,0.5,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,54.0,13.5,15.48,13.07,3.0,-0.02,한화 이글스,14620,3000,2021,투수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
윤산흠,투수,-0.03,5,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.85,19.0,7.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,6.0,6.0,8.55,8.42,6.23,3.0,-0.03,한화 이글스,14196,3000,2021,투수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김이환,투수,-0.05,14,5.0,9.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,26.0,22.0,22.0,19.3,132.0,32.0,5.0,0.0,2.0,22.0,4.0,0.0,13.0,1.0,0.0,1.0,7.62,7.62,6.68,6.78,6.53,2.08,-0.05,한화 이글스,14128,4100,2021,투수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오동욱,투수,-0.06,34,0.0,34.0,13.0,0.0,0.0,0.0,1.0,0.0,2.0,25.0,15.0,17.0,18.2,117.0,21.0,9.0,0.0,3.0,16.0,5.0,0.0,13.0,4.0,0.0,0.0,5.4,6.12,6.55,6.84,6.5,1.48,-0.06,한화 이글스,14713,3300,2021,투수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
장웅정,투수,-0.17,4,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,8.0,8.0,8.0,38.0,15.0,4.0,0.0,4.0,2.0,0.0,0.0,4.0,0.0,0.0,1.0,9.82,9.82,9.82,10.54,9.74,2.32,-0.17,한화 이글스,14714,3300,2021,투수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강경학,유격수,-0.18,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,4.0,4.0,4.0,8.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,54.0,54.0,54.0,56.68,17.72,7.5,-0.18,한화 이글스,10676,8700,2021,투수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서균,투수,-0.22,3,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,2.0,2.0,3.55,10.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,10.8,10.8,19.17,19.82,7.49,1.2,-0.22,한화 이글스,11271,3700,2021,투수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김기탁,투수,-0.22,19,0.0,19.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,12.1,8.0,10.0,10.5,58.0,14.0,4.0,1.0,0.0,7.0,1.0,0.0,12.0,1.0,0.0,0.0,5.84,7.3,7.66,7.78,3.35,1.7,-0.22,한화 이글스,12875,3300,2021,투수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이충호,투수,-0.24,17,0.0,17.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,16.1,14.0,17.0,15.1,85.0,20.0,2.0,2.0,1.0,13.0,3.0,0.0,11.0,2.0,0.0,0.0,7.71,9.37,8.32,8.19,5.85,2.02,-0.24,한화 이글스,11116,3000,2021,투수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
정우람,투수,-0.24,50,0.0,50.0,37.0,0.0,0.0,1.0,4.0,15.0,1.0,44.2,28.0,29.0,29.85,199.0,47.0,5.0,0.0,5.0,20.0,5.0,2.0,32.0,2.0,0.0,0.0,5.64,5.84,6.01,6.26,4.9,1.5,-0.24,한화 이글스,10156,80000,2021,투수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
장시환,투수,-0.36,19,16.0,3.0,2.0,1.0,0.0,0.0,11.0,0.0,1.0,69.0,54.0,62.0,57.0,342.0,87.0,12.0,1.0,4.0,48.0,6.0,2.0,47.0,6.0,0.0,7.0,7.04,8.09,7.43,7.67,5.18,1.96,-0.36,한화 이글스,10453,15400,2021,투수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이승관,투수,-0.82,8,2.0,6.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,5.2,17.0,20.0,17.05,44.0,11.0,3.0,1.0,1.0,16.0,0.0,0.0,5.0,0.0,0.0,1.0,27.0,31.76,27.08,28.38,12.41,4.76,-0.82,한화 이글스,13135,3000,2021,투수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
임준섭,투수,-0.86,13,0.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,13.0,18.0,17.8,64.0,19.0,5.0,0.0,1.0,8.0,4.0,0.0,11.0,3.0,1.0,1.0,10.97,15.19,15.02,16.6,5.79,2.53,-0.86,한화 이글스,10795,5800,2021,투수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신정락,투수,-1.24,20,0.0,20.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,20.0,19.0,24.0,26.45,102.0,25.0,6.0,1.0,3.0,15.0,3.0,2.0,14.0,2.0,0.0,0.0,8.55,10.8,11.9,12.12,6.28,2.0,-1.24,한화 이글스,10516,8000,2021,투수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
켈리,투수,5.89,30,30.0,0.0,0.0,0.0,0.0,13.0,8.0,0.0,0.0,177.0,62.0,64.0,63.15,744.0,160.0,25.0,0.0,12.0,60.0,11.0,3.0,142.0,7.0,1.0,7.0,3.15,3.25,3.21,3.38,3.76,1.24,5.89,LG 트윈스,13934,70000,2021,투수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
수아레즈,투수,4.72,23,22.0,1.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,115.1,28.0,33.0,33.0,473.0,91.0,16.0,2.0,4.0,41.0,4.0,0.0,126.0,6.0,0.0,2.0,2.18,2.58,2.58,2.75,2.66,1.14,4.72,LG 트윈스,14753,40000,2021,투수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
정우영,투수,2.72,70,0.0,70.0,6.0,0.0,0.0,7.0,3.0,2.0,27.0,65.0,16.0,16.0,19.6,263.0,43.0,9.0,0.0,0.0,26.0,8.0,1.0,41.0,3.0,0.0,2.0,2.22,2.22,2.71,2.83,3.76,1.06,2.72,LG 트윈스,14136,18000,2021,투수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고우석,투수,2.63,63,0.0,63.0,61.0,0.0,0.0,1.0,5.0,30.0,0.0,58.0,14.0,15.0,16.9,240.0,47.0,10.0,1.0,3.0,23.0,3.0,5.0,68.0,1.0,0.0,1.0,2.17,2.33,2.62,2.75,2.63,1.21,2.63,LG 트윈스,12907,18000,2021,투수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이민호,투수,2.37,25,22.0,3.0,0.0,0.0,0.0,8.0,9.0,0.0,0.0,115.0,55.0,58.0,54.75,477.0,89.0,17.0,0.0,13.0,45.0,14.0,1.0,100.0,3.0,0.0,6.0,4.3,4.54,4.28,4.52,4.53,1.17,2.37,LG 트윈스,14589,7000,2021,투수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김대유,투수,2.01,64,0.0,64.0,3.0,0.0,0.0,4.0,1.0,0.0,24.0,50.2,12.0,13.0,15.1,209.0,32.0,1.0,0.0,2.0,15.0,9.0,0.0,56.0,2.0,0.0,2.0,2.13,2.31,2.68,2.83,2.94,0.93,2.01,LG 트윈스,10706,4000,2021,투수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
임찬규,투수,1.88,17,17.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,90.2,39.0,45.0,42.05,387.0,76.0,9.0,3.0,7.0,41.0,3.0,1.0,67.0,4.0,0.0,5.0,3.87,4.47,4.17,4.5,4.31,1.29,1.88,LG 트윈스,10652,22000,2021,투수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이정용,투수,1.72,66,0.0,66.0,5.0,0.0,0.0,3.0,3.0,0.0,15.0,69.2,23.0,25.0,28.2,284.0,55.0,13.0,2.0,4.0,23.0,1.0,1.0,74.0,3.0,0.0,0.0,2.97,3.23,3.64,3.8,2.82,1.12,1.72,LG 트윈스,14134,5000,2021,투수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
진해수,투수,0.98,50,0.0,50.0,9.0,0.0,0.0,1.0,0.0,0.0,5.0,44.1,12.0,17.0,16.85,188.0,41.0,4.0,0.0,2.0,18.0,3.0,1.0,39.0,2.0,0.0,1.0,2.44,3.45,3.42,3.78,3.5,1.33,0.98,LG 트윈스,10075,25000,2021,투수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
정찬헌,투수,0.9,12,12.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,58.0,26.0,29.0,29.0,249.0,69.0,12.0,2.0,5.0,12.0,2.0,0.0,31.0,1.0,0.0,2.0,4.03,4.5,4.5,4.98,4.2,1.4,0.9,LG 트윈스,10533,20000,2021,투수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
임준형,투수,0.81,6,4.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,8.0,8.0,6.95,94.0,24.0,5.0,0.0,0.0,4.0,3.0,0.0,21.0,0.0,0.0,1.0,3.13,3.13,2.72,3.12,2.43,1.22,0.81,LG 트윈스,14142,3000,2021,투수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
송은범,투수,0.81,35,0.0,35.0,2.0,0.0,0.0,2.0,2.0,0.0,4.0,37.1,17.0,18.0,16.1,155.0,34.0,7.0,0.0,1.0,13.0,2.0,1.0,19.0,1.0,0.0,4.0,4.1,4.34,3.88,4.02,4.06,1.26,0.81,LG 트윈스,10137,27000,2021,투수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
백승현,투수,0.68,16,0.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,16.2,4.0,4.0,4.05,66.0,13.0,2.0,0.0,0.0,4.0,2.0,0.0,10.0,0.0,0.0,0.0,2.16,2.16,2.19,2.31,3.38,1.02,0.68,LG 트윈스,13009,4000,2021,투수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이상영,투수,0.63,21,9.0,12.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,50.0,24.0,28.0,27.5,228.0,48.0,8.0,0.0,7.0,32.0,8.0,0.0,30.0,3.0,0.0,3.0,4.32,5.04,4.95,5.21,6.41,1.6,0.63,LG 트윈스,14135,3100,2021,투수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
