Rank,Name,Team,Sort▼,G,GS,IP,TC,PO,Ass,E,F%,RF9,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼
6,박정수,24 P,,28,1,29.2,3,0,2,1,66.7,0.61,,,,,,,,,0.0,0.0,,,0.0,
6,이영하,24 P,,56,1,65.1,12,4,6,2,83.3,1.38,,,,,,,,,0.0,0.0,,,0.0,
6,오석주,24 P,,16,0,17.0,2,0,2,0,100.0,1.06,,,,,,,,,0.0,,,,0.0,
6,김선기,24 P,,41,6,76.1,11,0,11,0,100.0,1.3,,,,,,,,,0.0,0.0,,,0.0,
6,이선우,24 P,,6,1,10.0,2,2,0,0,100.0,1.8,,,,,,,,,0.0,0.0,,,0.0,
6,이종준,24 P,,26,0,26.0,3,1,2,0,100.0,1.04,,,,,,,,,0.0,0.0,,,0.0,
6,조병현,24 P,,74,0,73.0,10,6,2,2,80.0,0.99,,,,,,,,,0.0,0.0,,,0.0,
6,김서현,24 P,,37,0,38.1,5,0,5,0,100.0,1.17,,,,,,,,,0.0,0.0,,,0.0,
6,박범준,24 P,,5,0,5.1,0,0,0,0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,
6,김강률,24 P,,52,0,42.0,9,4,5,0,100.0,1.93,,,,,,,,,0.0,0.0,,,0.0,
6,원종현,24 P,,4,0,3.2,0,0,0,0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,
6,김사윤,24 P,,23,2,37.0,7,0,6,1,85.7,1.46,,,,,,,,,0.0,0.0,,,0.0,
6,김강현,24 P,,24,0,25.1,8,3,5,0,100.0,2.84,,,,,,,,,0.0,0.0,,,0.0,
6,최지광,24 P,,34,0,36.1,6,2,4,0,100.0,1.49,,,,,,,,,0.0,0.0,,,0.0,
