Name,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,WAR,pid,연도,수상횟수,연봉,샐러리캡,이후연봉
임찬규,17,17,0,0,0,0,1,8,0,0,90.2,39,45,42.05,387,76,9,3,7,41,3,1,67,4,0,5,3.87,4.47,4.17,4.5,4.31,1.29,1.88,10652,2021,0.0,22000.0,949698,20000.0
이정용,66,0,66,5,0,0,3,3,0,15,69.2,23,25,28.2,284,55,13,2,4,23,1,1,74,3,0,0,2.97,3.23,3.64,3.8,2.82,1.12,1.72,14134,2021,0.0,5000.0,949698,14000.0
진해수,50,0,50,9,0,0,1,0,0,5,44.1,12,17,16.85,188,41,4,0,2,18,3,1,39,2,0,1,2.44,3.45,3.42,3.78,3.5,1.33,0.98,10075,2021,0.0,25000.0,949698,30000.0
정찬헌,12,12,0,0,0,0,6,2,0,0,58.0,26,29,29.0,249,69,12,2,5,12,2,0,31,1,0,2,4.03,4.5,4.5,4.98,4.2,1.4,0.9,10533,2021,0.0,20000.0,949698,28000.0
임준형,6,4,2,1,0,0,1,0,0,0,23.0,8,8,6.95,94,24,5,0,0,4,3,0,21,0,0,1,3.13,3.13,2.72,3.12,2.43,1.22,0.81,14142,2021,0.0,3000.0,949698,4000.0
송은범,35,0,35,2,0,0,2,2,0,4,37.1,17,18,16.1,155,34,7,0,1,13,2,1,19,1,0,4,4.1,4.34,3.88,4.02,4.06,1.26,0.81,10137,2021,0.0,27000.0,949698,15000.0
백승현,16,0,16,3,0,0,0,0,0,1,16.2,4,4,4.05,66,13,2,0,0,4,2,0,10,0,0,0,2.16,2.16,2.19,2.31,3.38,1.02,0.68,13009,2021,0.0,4000.0,949698,5000.0
김윤식,35,3,32,0,0,0,7,4,0,1,66.2,33,37,37.55,301,65,9,2,3,36,6,2,56,3,2,0,4.46,5.0,5.07,5.35,4.11,1.52,0.61,14588,2021,0.0,5000.0,949698,7000.0
최성훈,46,0,46,11,0,0,1,1,0,3,40.2,11,14,19.8,179,40,7,1,2,19,1,1,33,4,0,0,2.43,3.1,4.38,4.71,3.85,1.45,0.57,10851,2021,0.0,7200.0,949698,10500.0
배재준,15,6,9,4,0,0,2,2,0,0,32.2,15,17,19.05,151,42,10,0,1,13,3,0,23,4,0,1,4.13,4.68,5.25,5.31,3.89,1.68,0.38,12697,2021,0.0,3000.0,949698,5000.0
차우찬,5,5,0,0,0,0,2,1,0,0,22.1,13,14,12.45,99,16,3,0,2,13,3,0,12,2,0,0,5.24,5.64,5.02,5.1,5.71,1.3,0.33,10381,2021,0.0,30000.0,949698,30000.0
함덕주,16,3,13,3,0,0,1,2,0,1,21.0,10,11,10.0,98,20,2,1,2,13,3,1,18,2,0,2,4.29,4.71,4.29,4.75,5.12,1.57,0.32,11094,2021,0.0,16500.0,949698,12000.0
채지선,14,0,14,7,0,0,0,0,0,0,17.1,6,8,9.2,87,15,5,0,0,20,0,0,18,2,2,2,3.12,4.15,4.78,5.06,4.75,2.02,0.2,11387,2021,0.0,3500.0,949698,4000.0
김지용,3,0,3,2,0,0,0,0,0,0,4.0,0,0,0.0,16,2,2,0,0,1,1,0,5,0,0,0,0.0,0.0,0.0,0.0,2.19,0.75,0.17,10747,2021,0.0,11000.0,949698,6000.0
류원석,6,0,6,1,0,0,0,0,0,0,6.0,4,4,2.45,28,1,1,0,0,9,1,0,8,1,0,0,6.0,6.0,3.68,3.86,5.6,1.67,0.12,13251,2021,0.0,3300.0,949698,4000.0
고효준,3,0,3,0,0,0,0,0,0,0,2.1,1,1,1.5,10,3,0,1,0,0,0,0,1,0,0,0,3.86,3.86,5.79,6.63,2.7,1.29,-0.01,10124,2021,0.0,5000.0,949698,4000.0
최동환,8,0,8,1,0,0,0,0,0,0,5.2,6,6,3.95,28,6,1,0,0,4,2,0,2,0,0,0,9.53,9.53,6.27,6.94,6.17,1.76,-0.03,10535,2021,0.0,12000.0,949698,6000.0
김태형,2,0,2,0,0,0,0,0,0,0,1.0,3,3,1.45,6,0,0,0,0,2,1,0,1,0,0,0,27.0,27.0,13.05,12.36,10.57,2.0,-0.04,12863,2021,0.0,3100.0,949698,3200.0
오석주,9,0,9,5,0,0,0,0,0,0,8.1,6,6,6.5,38,9,1,0,0,6,0,0,7,0,0,0,6.48,6.48,7.02,7.55,3.9,1.8,-0.04,12860,2021,0.0,3100.0,949698,3500.0
이상규,7,0,7,4,0,0,0,0,0,0,6.0,6,6,5.65,29,8,2,0,1,2,1,0,4,1,0,0,9.0,9.0,8.48,8.73,5.63,1.67,-0.06,13245,2021,0.0,4000.0,949698,3700.0
이찬혁,1,0,1,1,0,0,0,0,0,0,1.0,2,2,2.0,6,1,1,0,0,2,0,0,2,0,0,1,18.0,18.0,18.0,19.06,4.97,3.0,-0.07,12909,2021,0.0,3100.0,949698,3100.0
이우찬,15,5,10,2,0,0,0,1,0,0,34.0,21,25,23.8,161,36,3,1,3,25,1,0,27,3,0,0,5.56,6.62,6.3,7.08,5.2,1.79,-0.16,10749,2021,0.0,5000.0,949698,5000.0
