G_x,GS,IP,WAAwithPOS,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,pid,연도,기존pid_x,WAR,G_y,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,수상횟수,현재 연봉,이후 연봉,예측연봉
5,0,7.0,-0.027,6.0,6.0,0.0,0.0,100.0,7.71,-0.09,0.0,0.03,0.0,0.0,0.0,-0.39,0.0,-0.34,-9.82,0.05,-0.29,-0.031,161022,2024,16102,-0.08,5,-0.05,-0.03,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-0.19,-127.9,0.0,3000.0,3100.0,3631.5126711398057
32,5,95.0,-0.037,86.0,75.0,10.0,1.0,98.8,8.05,-0.15,0.0,-0.16,0.0,0.05,0.18,-1.35,0.0,-1.03,-4.5,0.62,-0.41,-0.094,156242,2024,15624,-0.45,33,-0.35,-0.1,27,27,26,2,3,1,0,0,4,0,0,0,0,1,0,8,1,0,0,0.115,0.148,0.154,0.302,-0.052,-37.8,0.0,3300.0,3500.0,4205.029573144759
113,111,937.1,-1.582,891.0,813.0,67.0,11.0,98.8,8.45,-6.9,0.0,-0.89,0.0,-0.1,0.0,0.0,0.0,-7.89,-9.39,-9.42,-17.31,-0.721,147972,2024,14797,2.22,121,2.83,-0.61,489,486,407,59,127,35,4,7,191,66,1,0,69,4,1,83,4,2,7,0.312,0.411,0.469,0.88,0.182,129.7,0.0,4000.0,12000.0,13693.394993066346
1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.64,0.0,0.0,0.001,160932,2024,16093,0.0,2,0.0,0.0,3,2,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0.5,0.5,0.5,1.0,0.229,173.1,0.0,3000.0,3100.0,7421.487415000078
132,129,1120.1,1.374,564.0,213.0,328.0,23.0,95.9,4.35,4.92,0.0,-0.6,-0.75,0.0,0.0,0.0,0.0,3.57,3.83,11.48,15.05,0.326,112610,2024,11261,2.78,134,2.58,0.2,577,570,515,86,158,24,1,5,199,61,20,13,48,1,1,44,9,7,6,0.307,0.363,0.386,0.749,0.129,95.7,0.0,30000.0,45000.0,36610.1349848509
101,82,640.2,0.858,611.0,567.0,38.0,6.0,99.0,8.5,0.81,0.0,-0.7,0.0,0.11,-1.1,5.58,0.0,3.03,4.15,6.36,9.39,0.277,104590,2024,10459,1.13,105,0.81,0.32,270,259,235,24,62,7,0,7,90,34,0,0,12,11,0,24,14,11,1,0.264,0.328,0.383,0.711,0.115,85.3,0.0,70000.0,70000.0,52221.38862698415
103,60,600.1,0.447,584.0,541.0,39.0,4.0,99.3,8.7,-0.57,0.0,0.16,0.0,0.21,0.75,-3.09,0.0,-1.61,-2.02,6.5,4.89,-0.147,131130,2024,13113,1.54,115,1.66,-0.12,316,316,287,39,88,22,0,7,131,41,0,0,21,2,1,48,7,0,6,0.307,0.351,0.456,0.807,0.141,105.2,0.0,5000.0,14000.0,11595.022874735912
61,9,177.0,0.215,64.0,62.0,0.0,2.0,96.9,3.15,3.13,-0.14,-0.64,0.0,0.0,0.0,0.0,0.0,2.36,5.3,0.0,2.36,0.215,112980,2024,11298,-0.23,64,-0.44,0.21,67,67,59,12,8,2,0,1,13,4,3,2,8,0,0,25,1,0,0,0.136,0.239,0.22,0.459,0.021,16.0,0.0,9000.0,8000.0,7896.763117187601
2,2,10.0,-0.053,10.0,9.0,1.0,0.0,100.0,9.0,-0.51,0.0,0.05,0.0,0.0,0.0,0.0,0.0,-0.46,-22.06,-0.12,-0.58,-0.042,113060,2024,11306,-0.05,3,-0.01,-0.04,7,7,7,1,2,1,0,0,3,3,0,0,0,0,0,1,0,0,0,0.286,0.286,0.429,0.715,0.1,74.4,0.0,8000.0,7000.0,6375.3044567194975
8,3,25.0,-0.096,4.0,4.0,0.0,0.0,100.0,1.44,-0.8,-0.16,0.03,0.0,0.0,0.0,0.0,0.0,-0.93,-4.78,-0.12,-1.05,-0.085,106590,2024,10659,-0.02,28,0.06,-0.09,36,36,32,3,8,2,0,1,13,4,0,0,4,0,0,6,2,0,0,0.25,0.333,0.406,0.739,0.122,92.0,0.0,15000.0,15000.0,11720.287655684433
