G_x,GS,IP,WAAwithPOS,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,pid,연도,기존pid_x,WAR,G_y,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,수상횟수,현재 연봉,이후 연봉,예측연봉
5,2,21.0,0.006,13.0,5.0,8.0,0.0,100.0,5.57,0.14,0.0,0.13,-0.29,0.0,0.0,0.0,0.0,-0.02,-0.4,0.09,0.07,-0.002,160681,2024,16068,-0.03,9,-0.02,-0.01,11,11,10,2,4,0,0,0,4,0,3,0,1,0,0,2,0,0,0,0.4,0.455,0.4,0.855,0.181,140.6,0.0,3000.0,3300.0,4953.759023817645
8,0,9.0,0.0,3.0,1.0,1.0,1.0,66.7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136651,2024,13665,-0.03,1,-0.03,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-0.19,-140.8,0.0,3000.0,3700.0,3598.8047753887886
4,1,10.0,-0.008,10.0,10.0,0.0,0.0,100.0,9.0,0.0,0.0,0.04,0.0,0.0,0.0,-0.28,0.0,-0.16,-4.65,0.07,-0.09,-0.015,155151,2024,15515,-0.14,5,-0.12,-0.01,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,-0.19,-144.6,0.0,7000.0,3100.0,6198.425616534372
131,130,1118.0,-0.711,1038.0,943.0,85.0,10.0,99.0,8.28,2.55,0.0,0.51,0.0,0.21,0.0,0.0,0.0,3.27,3.32,-11.06,-7.79,0.299,112131,2024,11213,2.17,142,1.79,0.37,593,592,533,83,131,25,1,34,260,107,5,3,49,7,1,128,15,1,3,0.246,0.316,0.488,0.804,0.136,104.5,0.0,30000.0,30000.0,38755.37343245644
1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28,0.0,0.01,0.0,0.0,0.0,0.0,0.0,-0.27,-19.42,0.0,0.0,-0.025,147371,2024,14737,-0.01,2,0.01,-0.02,2,2,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0.0,0.5,0.0,0.5,0.173,130.2,0.0,3100.0,3100.0,6375.64466271509
1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,129701,2024,12970,0.19,5,0.19,0.0,8,8,5,1,1,0,0,1,4,2,0,0,3,0,0,3,0,0,0,0.2,0.5,0.8,1.3,0.303,237.7,0.0,3800.0,3420.0,7406.109903889678
109,85,758.1,0.787,682.0,627.0,48.0,7.0,99.0,8.01,-1.18,0.0,-0.78,0.0,-0.12,2.21,0.98,0.0,0.81,1.06,7.8,8.61,0.074,108707,2024,10870,-0.07,110,-0.18,0.1,326,316,288,27,70,11,0,0,81,26,1,1,14,10,0,63,8,10,4,0.243,0.297,0.281,0.578,0.067,52.1,0.0,5500.0,10000.0,8991.442217530373
66,49,431.2,0.296,295.0,267.0,24.0,4.0,98.6,6.07,-0.32,0.0,-0.45,0.0,-0.37,-1.12,0.91,0.0,-1.63,-2.83,4.87,3.24,-0.149,154727,2024,15472,0.22,83,0.37,-0.16,283,283,261,27,67,15,0,9,109,38,0,0,18,0,0,82,7,0,4,0.257,0.3,0.418,0.718,0.103,79.2,0.0,25200.0,5200.0,31517.343953253232
29,26,218.2,-0.007,60.0,59.0,0.0,1.0,98.3,2.43,0.87,-0.05,0.16,0.0,0.0,0.0,0.0,0.0,0.98,4.03,-1.06,-0.08,0.09,125167,2024,12516,0.36,35,0.28,0.08,126,125,102,19,22,3,0,4,37,19,1,0,22,1,1,27,1,1,0,0.216,0.36,0.363,0.723,0.128,100.7,0.0,68000.0,60000.0,52841.89752947052
1,0,3.0,-0.012,0.0,0.0,0.0,0.0,0.0,0.0,-0.16,0.0,0.02,0.0,0.0,0.0,0.0,0.0,-0.14,-10.1,0.01,-0.13,-0.013,161307,2024,16130,-0.05,2,-0.03,-0.01,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.19,-151.2,0.0,3000.0,3000.0,3544.0142329977866
12,4,37.0,-0.047,27.0,24.0,2.0,1.0,96.3,6.32,0.0,0.0,-0.37,0.0,0.0,-0.12,-0.38,0.0,-0.76,-9.08,0.24,-0.52,-0.069,154797,2024,15479,-0.02,12,0.05,-0.07,11,11,9,1,2,1,0,0,3,2,0,0,1,1,0,2,0,0,0,0.222,0.364,0.333,0.697,0.137,110.5,0.0,8000.0,3000.0,6396.334430654435
2,2,14.0,-0.123,11.0,10.0,0.0,1.0,90.9,6.43,0.0,0.0,-0.45,0.0,0.0,-0.73,-0.47,0.0,-1.51,-109.07,0.17,-1.35,-0.138,154737,2024,15473,-0.1,2,0.04,-0.14,7,7,5,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0.2,0.429,0.2,0.629,0.153,115.9,0.0,4000.0,3800.0,5454.509145435664
12,12,87.0,-0.254,91.0,85.0,4.0,2.0,97.8,9.21,-1.45,0.0,-0.57,0.0,0.0,0.0,0.0,0.0,-2.02,-7.46,-0.76,-2.78,-0.185,101807,2024,10180,-0.53,39,-0.33,-0.2,109,109,91,5,20,4,0,0,24,8,0,0,14,2,0,18,2,0,2,0.22,0.33,0.264,0.594,0.085,66.4,0.0,40000.0,30000.0,27207.300349393554
35,28,221.0,-0.344,98.0,44.0,50.0,4.0,95.9,3.83,-3.25,0.0,-0.05,-2.19,0.0,0.0,0.0,0.0,-5.49,-21.96,1.72,-3.77,-0.501,161247,2024,16124,-1.04,36,-0.55,-0.49,89,88,84,7,16,1,0,1,20,5,0,0,2,2,0,33,0,1,0,0.19,0.227,0.238,0.465,0.013,9.9,0.0,3000.0,3200.0,4725.403090487475
122,116,1027.2,-0.499,972.0,906.0,60.0,6.0,99.4,8.46,2.39,0.0,2.07,0.0,0.29,0.0,0.0,0.0,4.75,5.26,-10.22,-5.47,0.434,101827,2024,10182,-0.03,130,-0.32,0.3,544,544,482,49,124,23,1,13,188,84,0,1,47,6,2,92,12,0,9,0.257,0.325,0.39,0.715,0.111,86.1,0.0,65000.0,30000.0,56735.0983665501
29,15,138.0,-0.041,91.0,73.0,17.0,1.0,0.989,5.87,0.65,-0.29,0.22,-0.17,0.0,0.0,0.0,0.0,-0.25,-1.241,-0.194,-0.444,-0.023,147836,2024,14783,-0.18,31,-0.13,-0.05,71,69,63,11,14,2,0,2,22,12,0,1,4,0,0,20,0,2,2,0.222,0.261,0.349,0.61,0.059,45.5,0.0,5500.0,6000.0,5209.020037466291
110,62,567.0,0.394,221.0,97.0,121.0,3.0,0.986,3.46,2.06,-0.63,1.74,0.36,0.0,0.0,0.0,0.0,4.02,5.263,0.293,4.313,0.367,128941,2024,12894,1.01,103,0.67,0.33,262,255,231,39,64,11,0,3,84,23,16,6,22,1,0,51,9,7,1,0.277,0.341,0.364,0.705,0.115,87.9,0.0,8500.0,10500.0,8920.675596612838
78,37,416.0,0.964,201.0,82.0,115.0,4.0,0.98,4.262,6.27,-0.01,1.3,0.81,0.0,0.0,0.0,0.0,8.38,15.471,2.173,10.553,0.766,112447,2024,11244,-0.04,81,-0.77,0.73,202,197,189,26,42,6,3,0,54,10,0,0,7,0,1,27,1,5,1,0.222,0.249,0.286,0.535,0.035,27.5,0.0,11000.0,9000.0,12890.818856373739
127,58,634.0,-0.16,501.0,458.0,39.0,4.0,0.992,7.055,-1.09,1.1,0.71,0.0,0.0,0.0,0.0,0.0,1.04,1.179,-2.788,-1.748,0.095,102494,2024,10249,1.29,117,1.19,0.09,288,281,247,43,68,16,0,9,111,36,27,4,31,1,2,73,4,6,3,0.275,0.355,0.449,0.804,0.143,102.4,0.0,40000.0,30000.0,35529.99983122239
13,9,80.0,0.067,28.0,28.0,0.0,0.0,1.0,3.15,0.55,0.33,0.12,0.0,0.0,0.0,0.0,0.0,0.99,10.966,-0.259,0.731,0.09,136769,2024,13676,0.4,19,0.31,0.09,51,51,48,10,13,3,0,4,28,9,0,0,3,0,0,17,0,0,0,0.271,0.314,0.583,0.897,0.16,119.1,0.0,3300.0,3800.0,4560.134719503635
20,4,57.0,-0.14,35.0,21.0,12.0,2.0,0.943,5.211,-2.07,0.0,-0.62,1.1,0.0,0.0,0.0,0.0,-1.52,-10.944,-0.012,-1.532,-0.139,129316,2024,12931,-0.33,19,-0.22,-0.11,22,22,20,1,3,0,0,0,3,0,0,0,1,1,0,4,1,0,0,0.15,0.227,0.15,0.377,-0.004,-3.4,0.0,6000.0,6000.0,5700.984130563203
27,3,59.0,-0.513,26.0,6.0,17.0,3.0,0.885,3.508,-4.28,0.0,-1.08,-0.28,0.0,0.0,0.0,0.0,-5.66,-30.187,0.042,-5.618,-0.517,111981,2024,11198,-0.33,24,0.11,-0.44,20,20,15,5,3,1,0,0,4,0,1,0,5,0,0,7,2,0,0,0.2,0.4,0.267,0.667,0.135,102.1,0.0,8500.0,6800.0,6987.39267147218
98,16,302.0,-0.329,148.0,51.0,92.0,5.0,0.966,4.262,-4.95,0.0,-0.42,1.23,0.0,0.0,0.0,0.0,-4.05,-5.951,0.45,-3.6,-0.37,146120,2024,14612,0.16,100,0.48,-0.32,115,112,105,27,31,4,3,0,41,11,5,2,6,1,0,31,0,3,0,0.295,0.339,0.39,0.729,0.12,89.0,0.0,3500.0,6500.0,5701.038048391685
104,31,398.0,0.314,299.0,207.0,89.0,3.0,0.99,6.693,4.44,0.0,0.71,-0.95,0.0,0.0,0.0,0.0,4.27,5.912,-0.833,3.437,0.39,125605,2024,12560,0.06,100,-0.24,0.3,181,177,145,20,31,4,0,0,35,15,1,0,24,6,0,29,5,4,2,0.214,0.345,0.241,0.586,0.092,69.3,0.0,8000.0,8000.0,8058.068834213984
120,112,892.0,-0.121,505.0,209.0,286.0,10.0,0.98,4.994,-4.86,0.0,0.38,-1.27,0.0,0.0,0.0,0.0,-5.75,-6.9,4.428,-1.322,-0.525,100080,2024,10008,2.38,116,2.98,-0.6,466,458,423,48,139,23,0,9,189,57,5,1,30,5,0,39,13,7,0,0.329,0.38,0.447,0.827,0.156,117.4,1.0,60000.0,60000.0,58620.38725457874
26,2,56.0,-0.231,36.0,22.0,11.0,3.0,0.917,5.304,-0.44,0.0,-1.11,-0.99,0.0,0.0,0.0,0.0,-2.54,-14.068,0.014,-2.526,-0.232,125400,2024,12540,-0.19,27,0.05,-0.25,15,14,12,5,3,1,0,0,4,2,1,0,2,0,0,4,0,1,0,0.25,0.357,0.333,0.69,0.119,88.3,0.0,5500.0,6500.0,5720.422122004895
15,5,54.0,-0.4,23.0,7.0,12.0,4.0,0.826,3.167,-2.29,0.0,-1.63,-0.46,0.0,0.0,0.0,0.0,-4.38,-42.048,0.003,-4.377,-0.4,148192,2024,14819,-0.43,17,-0.11,-0.32,25,25,24,7,4,1,0,1,8,2,0,0,1,0,0,9,1,0,0,0.167,0.2,0.333,0.533,0.025,17.0,0.0,3100.0,3200.0,4951.425785296953
31,9,104.0,0.039,47.0,42.0,4.0,1.0,0.979,3.981,1.03,-0.37,-0.19,0.0,0.0,0.0,0.0,0.0,0.52,2.415,-0.09,0.43,0.048,150363,2024,15036,-0.49,35,-0.53,0.04,54,54,49,6,9,2,1,0,13,6,2,2,3,0,0,19,2,0,2,0.184,0.222,0.265,0.487,0.017,11.6,0.0,3000.0,3500.0,4047.135703515733
24,7,80.0,0.101,18.0,6.0,12.0,0.0,1.0,2.025,0.04,0.0,0.59,0.32,0.0,0.0,0.0,0.0,1.03,6.18,0.07,1.1,0.094,158683,2024,15868,-0.4,26,-0.47,0.07,32,32,29,4,2,0,0,0,2,3,0,0,1,1,0,11,1,0,1,0.069,0.125,0.069,0.194,-0.088,-60.7,0.0,3000.0,3250.0,4244.847052462703
33,6,103.0,0.391,33.0,28.0,5.0,0.0,1.0,2.883,1.97,2.21,0.3,0.0,0.0,0.0,0.0,0.0,4.49,19.593,-0.206,4.284,0.41,141692,2024,14169,0.12,39,-0.29,0.41,35,34,31,5,5,0,0,0,5,1,0,0,1,2,0,8,1,1,0,0.161,0.235,0.161,0.396,0.004,2.9,0.0,5200.0,4800.0,5157.054910079111
127,77,690.0,-0.013,319.0,301.0,12.0,6.0,0.981,4.083,2.81,-1.07,-0.77,0.0,0.0,0.0,0.0,0.0,0.97,1.1,-1.111,-0.141,0.089,125623,2024,12562,1.11,122,1.02,0.08,355,351,302,56,73,10,1,22,151,57,9,2,31,15,0,109,5,4,3,0.242,0.339,0.5,0.839,0.149,106.1,0.0,6000.0,13000.0,9670.801485443146
21,3,70.0,0.027,27.0,6.0,20.0,1.0,0.963,3.343,0.36,0.0,-0.04,-0.04,0.0,0.0,0.0,0.0,0.27,1.851,0.03,0.3,0.025,112553,2024,11255,-0.47,18,-0.47,0.01,25,22,21,1,2,0,0,0,2,1,0,0,0,0,0,6,1,3,1,0.095,0.091,0.095,0.186,-0.114,-81.5,0.0,10000.0,7000.0,11358.63929394595
54,40,347.0,-0.142,305.0,265.0,37.0,3.0,0.99,7.833,0.31,0.0,0.34,-0.45,0.0,0.0,0.0,0.0,0.23,0.613,-1.781,-1.551,0.021,102532,2024,10253,0.76,109,0.76,0.0,325,324,285,31,76,20,0,9,123,47,1,1,35,0,0,63,3,1,4,0.267,0.343,0.432,0.775,0.133,94.9,0.0,46666.0,20000.0,53837.61550316351
74,9,187.0,0.32,57.0,52.0,2.0,3.0,0.947,2.599,5.09,-0.4,-1.14,0.0,0.0,0.0,0.0,0.0,3.56,6.928,-0.054,3.506,0.325,128690,2024,12869,0.42,66,0.05,0.37,69,69,65,17,20,3,1,0,25,11,0,1,4,0,0,14,3,0,0,0.308,0.348,0.385,0.733,0.121,89.2,0.0,3800.0,6500.0,5059.886972946672
129,114,970.0,0.421,534.0,243.0,278.0,13.0,0.976,4.834,2.37,0.3,-1.2,-0.43,0.0,0.0,0.0,0.0,1.05,1.172,3.562,4.612,0.096,141602,2024,14160,3.08,120,2.96,0.12,532,531,481,79,148,27,6,14,229,87,5,4,41,1,0,78,10,1,8,0.308,0.358,0.476,0.834,0.152,107.9,0.0,8000.0,18500.0,15676.009981684985
28,21,166.0,-0.11,68.0,20.0,46.0,2.0,0.971,3.578,-2.92,0.0,0.42,0.27,0.0,0.0,0.0,0.0,-2.22,-11.417,1.018,-1.202,-0.203,145777,2024,14577,-0.19,28,0.03,-0.21,71,70,59,6,10,3,0,1,16,3,0,0,6,5,0,26,0,1,0,0.169,0.3,0.271,0.571,0.081,61.7,0.0,3300.0,3500.0,4235.840990946952
24,15,118.0,0.146,40.0,39.0,1.0,0.0,1.0,3.051,1.86,-0.15,0.19,0.0,0.0,0.0,0.0,0.0,1.9,11.4,-0.3,1.6,0.174,145807,2024,14580,-0.27,25,-0.44,0.17,59,59,49,5,5,2,0,0,7,1,2,0,10,0,0,17,1,0,0,0.102,0.254,0.143,0.397,0.016,12.6,0.0,3600.0,3700.0,3800.539288380919
89,63,554.0,-0.574,184.0,55.0,117.0,12.0,0.935,2.794,-3.92,0.0,-2.12,-0.33,0.0,0.0,0.0,0.0,-6.41,-10.371,0.124,-6.286,-0.586,161287,2024,16128,-0.42,94,0.01,-0.43,290,286,254,21,65,12,2,0,81,35,0,0,28,1,0,71,5,4,3,0.256,0.329,0.319,0.648,0.094,73.5,0.0,3000.0,4500.0,6240.309899750978
60,48,425.0,-0.039,119.0,118.0,0.0,1.0,0.992,2.499,-0.25,-0.1,0.32,0.0,0.0,0.0,0.0,0.0,-0.03,-0.072,-0.393,-0.423,-0.003,100357,2024,10035,1.42,60,1.43,-0.01,227,224,183,27,56,5,2,1,68,12,2,2,31,9,0,33,4,3,1,0.306,0.429,0.372,0.801,0.172,136.7,0.0,20000.0,20000.0,21812.82989360483
24,14,126.0,-0.115,36.0,33.0,2.0,1.0,0.972,2.5,-2.11,1.15,-0.23,0.0,0.0,0.0,0.0,0.0,-1.18,-7.08,-0.079,-1.259,-0.108,161367,2024,16136,-0.22,51,-0.16,-0.07,125,124,112,12,28,5,0,2,39,11,2,0,10,0,0,36,2,1,2,0.25,0.306,0.348,0.654,0.087,67.3,0.0,3000.0,4000.0,4326.963037724334
107,91,776.0,0.154,217.0,210.0,4.0,3.0,0.986,2.482,2.41,0.07,0.51,0.0,0.0,0.0,0.0,0.0,2.99,4.024,-1.301,1.689,0.273,145917,2024,14591,1.96,115,1.72,0.25,537,536,473,82,126,19,3,13,190,60,6,0,49,14,1,119,4,0,1,0.266,0.352,0.402,0.754,0.133,103.6,0.0,6600.0,11000.0,13101.692789155284
148,120,1072.0,0.389,431.0,232.0,189.0,10.0,0.977,3.535,2.77,0.0,1.94,-0.27,0.0,0.0,0.0,0.0,4.48,4.359,-0.217,4.263,0.409,113767,2024,11376,6.13,142,5.83,0.29,602,601,527,88,179,29,4,19,273,104,21,0,64,3,2,82,5,0,8,0.34,0.409,0.518,0.927,0.191,148.9,0.0,13000.0,30000.0,33959.19272649573
154,93,883.0,0.647,400.0,145.0,245.0,10.0,0.975,3.975,3.13,0.0,1.56,0.97,0.0,0.0,0.0,0.0,5.6,5.236,1.487,7.087,0.512,141406,2024,14140,1.29,133,0.73,0.56,389,385,339,48,87,14,2,2,111,43,8,4,38,4,0,51,7,4,4,0.257,0.335,0.327,0.662,0.101,77.6,0.0,7000.0,13500.0,13811.188961038963
70,51,458.0,-0.02,217.0,79.0,135.0,3.0,0.986,4.205,-2.99,0.0,1.36,0.14,0.0,0.0,0.0,0.0,-1.48,-3.045,1.265,-0.215,-0.135,154229,2024,15422,0.5,103,0.63,-0.14,289,287,260,29,72,16,2,5,107,47,3,5,24,2,1,53,9,1,2,0.277,0.34,0.412,0.752,0.126,93.2,0.0,23000.0,8800.0,23865.417899247157
33,22,190.0,-0.084,43.0,42.0,0.0,1.0,0.977,1.989,-0.37,-0.4,-0.05,0.0,0.0,0.0,0.0,0.0,-0.81,-3.535,-0.114,-0.924,-0.074,112267,2024,11226,-0.16,42,-0.13,-0.03,92,92,87,14,21,3,0,3,33,10,1,0,4,0,0,32,1,0,1,0.241,0.272,0.379,0.651,0.075,57.9,0.0,7000.0,6000.0,6169.918251745647
51,32,275.0,-0.285,140.0,51.0,82.0,7.0,0.95,4.353,-3.42,0.0,-1.19,-0.32,0.0,0.0,0.0,0.0,-4.86,-13.722,1.745,-3.115,-0.444,109139,2024,10913,0.25,64,0.7,-0.45,151,149,137,16,40,9,1,1,54,11,1,2,10,2,0,33,1,2,0,0.292,0.349,0.394,0.743,0.127,94.7,0.0,7000.0,9000.0,7465.692606246024
50,8,132.0,-0.006,30.0,28.0,0.0,2.0,0.933,1.909,1.43,-0.68,-0.74,0.0,0.0,0.0,0.0,0.0,0.02,0.058,-0.08,-0.06,0.002,150846,2024,15084,0.17,57,0.17,0.0,41,41,37,18,10,2,0,1,15,5,6,4,1,3,0,7,0,0,0,0.27,0.341,0.405,0.746,0.134,102.6,0.0,3000.0,4000.0,4570.0844067767675
85,33,360.0,0.105,124.0,120.0,0.0,4.0,0.968,3.0,2.23,0.37,-1.33,0.0,0.0,0.0,0.0,0.0,1.25,2.118,-0.098,1.152,0.114,151327,2024,15132,0.05,80,-0.05,0.11,148,144,129,23,33,5,1,0,40,6,3,0,13,2,0,17,4,4,0,0.256,0.333,0.31,0.643,0.097,73.8,0.0,4000.0,4500.0,5176.868096778179
33,9,130.0,0.38,35.0,35.0,0.0,0.0,1.0,2.423,4.13,0.07,0.19,0.0,0.0,0.0,0.0,0.0,4.38,19.113,-0.224,4.156,0.4,113476,2024,11347,-0.02,37,-0.42,0.4,56,54,49,8,9,1,0,0,10,3,2,0,4,0,0,13,2,2,1,0.184,0.241,0.204,0.445,0.01,7.8,0.0,5500.0,5200.0,5121.291587748647
11,0,25.0,0.092,5.0,5.0,0.0,0.0,1.0,1.8,0.87,0.09,0.06,0.0,0.0,0.0,0.0,0.0,1.02,13.353,-0.008,1.012,0.093,160136,2024,16013,0.06,17,-0.03,0.09,16,16,15,8,3,1,0,0,4,2,0,0,0,1,0,4,0,0,0,0.2,0.25,0.267,0.517,0.042,31.9,0.0,3000.0,3200.0,3642.5885741758025
124,102,863.0,-1.214,392.0,344.0,39.0,9.0,0.977,3.994,-8.7,-0.66,-1.22,-0.07,0.0,0.0,0.0,0.0,-10.6,-12.31,-2.69,-13.29,-0.968,125859,2024,12585,0.61,126,1.43,-0.82,472,466,413,59,120,24,0,12,180,61,5,2,45,4,0,89,9,6,4,0.291,0.363,0.436,0.799,0.145,106.5,0.0,7800.0,14600.0,16452.572454212455
88,68,584.0,0.402,152.0,146.0,5.0,1.0,0.993,2.327,4.97,0.82,0.42,0.0,0.0,0.0,0.0,0.0,6.22,10.178,-1.822,4.398,0.568,131126,2024,13112,2.41,96,1.85,0.56,361,360,305,47,96,16,2,0,116,48,13,7,49,3,0,38,4,1,3,0.315,0.411,0.38,0.791,0.158,120.8,0.0,20000.0,18000.0,26264.922048596236
129,113,915.0,-0.058,251.0,238.0,11.0,2.0,0.992,2.449,3.48,-0.36,0.16,0.0,0.0,0.0,0.0,0.0,3.28,3.661,-3.917,-0.637,0.3,111725,2024,11172,3.77,123,3.48,0.29,511,509,416,66,125,22,1,13,188,77,4,0,77,10,1,63,10,2,6,0.3,0.417,0.452,0.869,0.182,137.9,0.0,15000.0,22500.0,32337.561037587497
14,5,62.0,-0.049,9.0,8.0,1.0,0.0,1.0,1.306,-0.02,-0.53,0.09,0.0,0.0,0.0,0.0,0.0,-0.45,-4.629,-0.083,-0.533,-0.041,160721,2024,16072,0.3,25,0.34,-0.04,34,34,27,10,9,2,0,0,11,1,1,1,7,0,0,8,0,0,0,0.333,0.471,0.407,0.878,0.202,156.9,0.0,3000.0,3500.0,5928.841473561538
39,14,169.0,-0.317,44.0,39.0,5.0,0.0,1.0,2.343,-4.66,1.01,0.42,0.0,0.0,0.0,0.0,0.0,-3.22,-11.889,-0.25,-3.47,-0.294,132505,2024,13250,-0.52,40,-0.22,-0.3,76,76,73,10,18,4,1,0,24,3,2,1,2,1,0,22,2,0,0,0.247,0.276,0.329,0.605,0.067,50.3,0.0,3900.0,3700.0,4574.8960065129995
39,9,113.0,-0.236,48.0,20.0,27.0,1.0,0.979,3.743,-3.25,0.0,0.42,-0.15,0.0,0.0,0.0,0.0,-2.99,-11.04,0.406,-2.584,-0.273,147165,2024,14716,-0.07,40,0.24,-0.31,50,50,44,8,14,1,0,0,15,3,0,0,2,4,0,9,2,0,0,0.318,0.4,0.341,0.741,0.148,109.8,0.0,3800.0,3800.0,4455.193843268793
7,0,12.0,0.031,5.0,5.0,0.0,0.0,1.0,3.75,0.31,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.36,7.406,-0.023,0.337,0.033,126061,2024,12606,0.07,15,0.03,0.03,15,15,14,0,4,2,0,0,6,1,1,0,1,0,0,7,0,0,0,0.286,0.333,0.429,0.762,0.129,100.8,0.0,3300.0,3300.0,4015.1804840732807
59,18,221.0,-0.042,55.0,54.0,0.0,1.0,0.982,2.199,-0.23,0.13,-0.01,0.0,0.0,0.0,0.0,0.0,-0.11,-0.268,-0.35,-0.46,-0.01,141701,2024,14170,-0.69,61,-0.7,0.01,89,87,75,10,10,1,0,1,14,7,1,1,8,2,0,26,1,2,2,0.133,0.23,0.187,0.417,0.007,5.6,0.0,3700.0,4200.0,4237.433242949661
60,30,296.0,0.11,141.0,108.0,30.0,3.0,0.979,4.196,0.67,0.04,-0.47,0.77,0.0,0.0,0.0,0.0,1.02,2.448,0.186,1.206,0.093,142215,2024,14221,0.62,65,0.55,0.06,155,154,131,33,37,5,0,1,45,14,7,3,17,4,0,34,1,1,2,0.282,0.377,0.344,0.721,0.131,99.0,0.0,6600.0,7000.0,7746.732945346127
68,27,295.0,0.202,163.0,64.0,97.0,2.0,0.988,4.912,0.45,0.0,0.82,0.38,0.0,0.0,0.0,0.0,1.64,3.473,0.576,2.216,0.15,108102,2024,10810,-0.31,72,-0.41,0.1,143,143,132,17,33,3,1,0,38,12,0,1,10,1,0,32,3,0,0,0.25,0.308,0.288,0.596,0.073,51.3,0.0,3100.0,5000.0,4677.182066133987
135,93,885.0,0.445,252.0,247.0,4.0,1.0,0.996,2.553,5.46,-0.29,1.14,0.0,0.0,0.0,0.0,0.0,6.32,6.741,-1.445,4.875,0.577,125241,2024,12524,0.97,130,0.4,0.57,382,368,328,60,87,5,2,0,96,30,64,8,33,3,1,53,2,14,4,0.265,0.334,0.293,0.627,0.085,65.5,0.0,9500.0,20000.0,14491.223329593788
18,1,41.0,-0.116,10.0,10.0,0.0,0.0,1.0,2.195,-0.64,-0.71,0.1,0.0,0.0,0.0,0.0,0.0,-1.26,-10.08,-0.009,-1.269,-0.115,151399,2024,15139,-0.21,43,-0.09,-0.12,15,15,13,13,2,0,0,0,2,0,5,2,2,0,0,5,0,0,0,0.154,0.267,0.154,0.421,0.019,13.9,0.0,3100.0,3500.0,3702.238387979333
75,28,336.0,0.025,82.0,80.0,1.0,1.0,0.988,2.17,0.9,-0.68,0.17,0.0,0.0,0.0,0.0,0.0,0.39,0.749,-0.117,0.273,0.036,131389,2024,13138,-0.21,87,-0.24,0.03,154,152,133,26,31,4,1,0,37,13,8,2,16,2,0,32,3,2,1,0.233,0.322,0.278,0.6,0.082,61.5,0.0,3600.0,5000.0,4520.93489394774
96,51,494.0,-0.303,104.0,100.0,2.0,2.0,0.981,1.858,-3.51,0.89,0.1,0.0,0.0,0.0,0.0,0.0,-2.52,-3.78,-0.8,-3.32,-0.23,132615,2024,13261,0.37,89,0.56,-0.2,236,233,215,31,61,9,1,5,87,33,8,2,13,4,0,52,7,3,1,0.284,0.335,0.405,0.74,0.121,91.5,0.0,5000.0,7600.0,7212.298937652409
20,6,81.0,0.246,16.0,16.0,0.0,0.0,1.0,1.778,1.95,0.7,0.17,0.0,0.0,0.0,0.0,0.0,2.82,20.304,-0.128,2.692,0.258,141269,2024,14126,0.01,23,-0.23,0.24,39,39,36,6,8,1,0,0,9,4,0,1,3,0,0,11,4,0,0,0.222,0.282,0.25,0.532,0.047,34.4,0.0,3300.0,3500.0,3764.26790308937
89,75,638.0,0.412,286.0,150.0,126.0,10.0,0.965,3.893,3.57,0.0,-0.49,1.04,0.0,0.0,0.0,0.0,4.22,6.828,0.288,4.508,0.386,147855,2024,14785,1.99,89,1.52,0.47,366,364,314,54,86,15,0,11,134,48,4,3,37,7,0,70,7,2,6,0.274,0.357,0.427,0.784,0.141,106.3,0.0,11000.0,17500.0,15997.451746256493
78,57,476.0,0.423,248.0,89.0,156.0,3.0,0.988,4.632,3.38,0.0,1.46,-0.84,0.0,0.0,0.0,0.0,3.33,6.148,1.303,4.633,0.304,160424,2024,16042,1.8,88,1.52,0.28,240,237,215,40,66,8,5,1,87,23,16,5,19,3,0,49,3,3,0,0.307,0.371,0.405,0.776,0.143,103.2,0.0,3000.0,7500.0,6783.177791806346
5,2,24.0,-0.02,10.0,6.0,4.0,0.0,1.0,3.75,-0.39,0.0,0.17,0.0,0.0,0.0,0.0,0.0,-0.24,-6.912,0.016,-0.224,-0.022,126224,2024,12622,-0.26,5,-0.23,-0.03,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0.0,-0.19,-139.6,0.0,5000.0,3200.0,4578.669036206892
