Rank,Name,Team,Sort▼,G,GS,IP,TC,PO,Ass,E,F%,RF9,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
Rank,Name,Team,WAR,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,최상민,24 LF,,4,0,5.0,1,1,0,0,100.0,1.80,0.56,0.02,0.01,,,,,,0.58,1.95,,,0.053,
0,신윤후,24 LF,,3,0,8.0,1,0,1,0,100.0,1.13,-0.53,0.78,0.01,,,,,,0.26,0.97,-0.02,0.24,0.024,0.022
0,신윤후,24 CF,,3,0,6.0,3,3,0,0,100.0,4.50,0.42,-0.03,0.01,,,,,,0.40,1.49,0.00,0.40,0.037,0.037
0,신윤후,24 RF,,25,6,84.0,26,22,4,0,100.0,2.79,2.53,1.46,0.25,,,,,,4.25,15.68,-0.27,3.98,0.388,0.363
0,이인한,24 LF,,2,0,2.0,0,0,0,0,0.0,0.00,,,0.00,,,,,,0.00,0.07,,,0.000,
0,이인한,24 CF,,1,0,2.0,0,0,0,0,0.0,0.00,,,0.00,,,,,,0.00,0.12,,,0.000,
0,송승환,24 RF,,2,1,9.0,5,5,0,0,100.0,5.00,1.51,0.01,0.03,,,,,,1.55,74.33,-0.03,1.52,0.141,0.139
0,양찬열,24 RF,,7,2,28.0,4,4,0,0,100.0,1.29,0.98,-0.03,0.08,,,,,,1.03,13.53,-0.10,0.93,0.094,0.085
0,양찬열,24 LF,,3,0,6.0,0,0,0,0,0.0,0.00,-0.24,,0.01,,,,,,-0.23,-3.03,-0.01,-0.24,-0.021,-0.022
0,손아섭,24 RF,,20,17,130.2,37,37,0,0,100.0,2.55,3.51,-0.15,0.39,,,,,,3.76,6.44,-0.71,3.05,0.343,0.278
0,손아섭,24 LF,,9,9,65.0,13,13,0,0,100.0,1.80,-0.45,0.05,0.07,,,,,,-0.32,-0.56,-0.38,-0.70,-0.030,-0.064
0,홍성호,24 LF,,1,0,2.0,0,0,0,0,0.0,0.00,-0.01,,0.00,,,,,,0.00,-0.03,-0.01,-0.01,0.000,-0.001
0,홍성호,24 RF,,3,0,5.0,0,0,0,0,0.0,0.00,0.32,,0.02,,,,,,0.34,3.23,-0.01,0.33,0.031,0.030
0,김현종,24 RF,,1,0,3.0,0,0,0,0,0.0,0.00,-0.01,0.12,0.01,,,,,,0.12,1.02,-0.01,0.11,0.011,0.010
0,김현종,24 LF,,4,0,5.0,0,0,0,0,0.0,0.00,,,0.01,,,,,,0.01,0.05,-0.02,-0.01,0.001,-0.001
0,김현종,24 CF,,6,0,17.0,5,5,0,0,100.0,2.65,0.88,-0.03,0.04,,,,,,0.89,7.51,0.00,0.89,0.081,0.081
0,정은원,24 LF,,10,9,70.0,20,20,0,0,100.0,2.57,1.18,-0.02,0.08,,,,,,1.24,6.60,-0.31,0.93,0.113,0.085
0,정은원,24 CF,,6,6,46.0,13,12,0,1,92.3,2.35,0.94,-0.43,-0.41,,,,,,0.10,0.55,0.00,0.10,0.009,0.009
0,박수종,24 LF,,21,10,93.1,33,33,0,0,100.0,3.18,1.15,0.65,0.11,,,,,,1.90,3.43,-0.39,1.51,0.174,0.138
0,박수종,24 CF,,56,23,253.1,88,84,0,4,95.5,2.98,2.65,-0.37,-1.48,,,,,,0.79,1.42,0.00,0.79,0.072,0.072
0,박수종,24 RF,,8,0,14.0,3,3,0,0,100.0,1.93,-1.57,0.09,0.04,,,,,,-1.44,-2.59,-0.02,-1.46,-0.132,-0.134
0,김강민,24 CF,,31,15,153.1,40,40,0,0,100.0,2.35,1.45,0.38,0.32,,,,,,2.14,7.52,0.00,2.14,0.196,0.196
0,유로결,24 CF,,2,2,18.0,2,2,0,0,100.0,1.00,0.08,-0.10,0.04,,,,,,0.02,0.12,0.00,0.02,0.002,0.002
0,유로결,24 RF,,11,1,33.1,7,7,0,0,100.0,1.89,1.79,0.54,0.10,,,,,,2.43,15.19,-0.15,2.28,0.222,0.208
0,유로결,24 LF,,7,3,30.0,7,7,0,0,100.0,2.10,0.08,0.26,0.03,,,,,,0.37,2.34,-0.13,0.24,0.034,0.022
0,추재현,24 LF,,2,0,3.0,0,0,0,0,0.0,0.00,0.00,,0.00,,,,,,0.00,0.05,,,0.000,
0,안익훈,24 RF,,4,1,14.0,5,5,0,0,100.0,3.21,0.72,0.18,0.04,,,,,,0.94,3.67,-0.05,0.89,0.086,0.082
0,안익훈,24 LF,,24,6,92.0,20,20,0,0,100.0,1.96,1.51,-0.17,0.10,,,,,,1.44,5.60,-0.30,1.14,0.132,0.104
0,안익훈,24 CF,,5,2,24.0,10,10,0,0,100.0,3.75,1.90,0.06,0.05,,,,,,2.00,7.79,0.00,2.00,0.183,0.183
0,고종욱,24 LF,,8,3,25.0,4,4,0,0,100.0,1.44,-0.80,-0.16,0.03,,,,,,-0.93,-4.78,-0.12,-1.05,-0.085,-0.096
