Rank,Name,Team,Sort▼,G,GS,IP,TC,PO,Ass,E,F%,RF9,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼
2,배찬승,25 P,,41,0,34.1,7,3,4,0,100.0,1.83,,,,,,,,,0.0,0.0,,,0.0,
2,우규민,25 P,,39,0,32.1,8,2,6,0,100.0,2.23,,,,,,,,,0.0,,,,0.0,
2,김종수,25 P,,39,0,35.0,5,2,3,0,100.0,1.29,,,,,,,,,0.0,0.0,,,0.0,
2,박치국,25 P,,49,0,42.0,12,2,9,1,91.7,2.36,,,,,,,,,0.0,0.0,,,0.0,
2,김호준,25 P,,17,0,10.2,6,4,1,1,83.3,4.22,,,,,,,,,0.0,0.0,,,0.0,
2,김승일,25 P,,4,0,2.2,0,0,0,0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,
2,박영현,25 P,,44,0,45.1,5,2,2,1,80.0,0.79,,,,,,,,,0.0,0.0,,,0.0,
2,손주환,25 P,,33,0,35.2,3,3,0,0,100.0,0.76,,,,,,,,,0.0,0.0,,,0.0,
2,정우주,25 P,,29,0,25.1,0,0,0,0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,
2,김대유,25 P,,10,0,5.1,0,0,0,0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,
2,배재환,25 P,,35,0,32.2,6,4,2,0,100.0,1.65,,,,,,,,,0.0,0.0,,,0.0,
2,정철원,25 P,,48,0,46.0,7,0,7,0,100.0,1.37,,,,,,,,,0.0,0.0,,,0.0,
2,박주성,25 P,,12,3,39.0,10,3,7,0,100.0,2.31,,,,,,,,,0.0,0.0,,,0.0,
