Rank,Name,Team,Sort▼,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,비율,비율,비율,비율,비율,비율,WAR▼,팀,pid
Rank,Name,Team,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR▼,,
31,정민규,22 1B,-0.4,9,-0.28,-0.12,24,24,23,3,3,0,0,0,3,0,0,0,0,1,0,11,0,0,0,0.13,0.167,0.13,0.297,-0.035,-32.2,-0.4,한화 이글스,14813
32,이원석,22 CF,-0.44,20,-0.33,-0.11,39,38,35,4,4,0,0,1,7,1,0,0,3,0,0,18,1,1,0,0.114,0.184,0.2,0.384,-0.004,-3.7,-0.44,한화 이글스,13138
33,원혁재,22 LF,-0.44,11,-0.23,-0.21,23,23,21,2,2,1,0,0,3,0,0,0,2,0,0,12,0,0,0,0.095,0.174,0.143,0.317,-0.023,-20.8,-0.44,한화 이글스,12872
34,이도윤,22 SS,-0.61,80,-0.66,0.05,126,122,113,9,18,7,0,1,28,8,3,2,8,0,0,30,1,4,1,0.159,0.213,0.248,0.461,0.022,18.7,-0.61,한화 이글스,11414
35,유로결,22 LF,-0.93,30,-0.8,-0.13,68,65,60,5,8,0,0,0,8,4,0,0,4,1,0,9,1,3,0,0.133,0.2,0.133,0.333,-0.017,-14.6,-0.93,한화 이글스,14126
1,오지환,22 SS,6.31,142,5.75,0.56,569,565,494,75,133,16,4,25,232,87,20,7,62,7,2,107,11,3,3,0.269,0.357,0.47,0.827,0.155,139.8,6.31,LG 트윈스,10475
2,김현수,22 LF,4.18,141,4.53,-0.35,604,598,524,78,150,25,2,23,248,106,2,1,71,5,7,62,5,0,3,0.286,0.375,0.473,0.848,0.162,146.5,4.18,LG 트윈스,10187
3,박해민,22 CF,4.17,144,2.99,1.17,636,629,570,97,165,20,8,3,210,49,24,6,44,9,0,85,4,7,6,0.289,0.347,0.368,0.715,0.118,107.0,4.17,LG 트윈스,11190
4,문보경,22 3B,4.13,126,3.66,0.47,466,460,406,52,128,22,3,9,183,56,7,0,47,1,1,56,11,5,7,0.315,0.382,0.451,0.833,0.157,141.9,4.13,LG 트윈스,14137
5,홍창기,22 RF,3.53,118,2.78,0.75,525,520,437,76,125,19,4,1,155,51,13,4,59,19,0,75,11,5,5,0.286,0.39,0.355,0.745,0.141,128.2,3.53,LG 트윈스,12546
6,문성주,22 DH,3.07,106,2.37,0.7,390,380,327,55,99,15,3,6,138,41,9,6,51,3,2,36,13,8,1,0.303,0.401,0.422,0.823,0.161,145.6,3.07,LG 트윈스,13112
7,유강남,22 C,2.78,139,2.49,0.29,469,463,416,54,106,16,0,8,146,47,0,0,34,11,1,98,9,6,2,0.255,0.326,0.351,0.677,0.106,95.7,2.78,LG 트윈스,10753
8,채은성,22 1B,2.12,126,2.13,0.0,526,524,467,48,138,26,2,12,204,83,6,7,27,21,3,88,16,0,11,0.296,0.354,0.437,0.791,0.142,128.1,2.12,LG 트윈스,11215
9,이재원,22 DH,1.22,85,1.42,-0.21,253,253,223,31,50,8,2,13,101,43,3,1,18,12,2,77,3,0,0,0.224,0.316,0.453,0.769,0.137,121.6,1.22,LG 트윈스,13104
10,송찬의,22 2B,0.41,33,0.29,0.12,78,78,72,8,17,4,0,3,30,10,2,1,2,3,0,24,0,0,1,0.236,0.282,0.417,0.699,0.105,96.7,0.41,LG 트윈스,13109
11,이형종,22 DH,0.26,26,0.07,0.19,63,62,53,3,14,3,0,0,17,7,0,0,5,1,0,10,0,1,3,0.264,0.323,0.321,0.644,0.091,83.7,0.26,LG 트윈스,12516
12,가르시아,22 2B,0.25,39,0.57,-0.32,156,156,136,21,28,6,1,4,48,19,4,1,19,1,0,40,4,0,0,0.206,0.308,0.353,0.661,0.102,91.4,0.25,LG 트윈스,15150
13,허도환,22 C,0.05,64,0.24,-0.19,92,89,85,7,21,5,0,1,29,6,0,0,2,2,0,26,2,3,0,0.247,0.281,0.341,0.622,0.079,70.7,0.05,LG 트윈스,10684
14,손호영,22 2B,0.05,36,0.36,-0.31,82,81,74,13,19,0,2,3,32,14,0,3,6,0,0,14,2,1,1,0.257,0.309,0.432,0.741,0.119,108.0,0.05,LG 트윈스,14590
