구단,성명,위치,연령(세),신장(cm),체중(kg),계약금($),연봉($),입단연도,국적
SSG,"커크 맥카티
(Kirk McCarty)",투수,29,173,83,0 ," 600,000 ",2023,미국
,"에니 로메로
(Enny Romero)",투수,33,190,105,0 ," 800,000 ",2023,"도미니카
공화국"
,"기예르모 에레디아
(Guillermo Heredia)",외야수,33,178,88,0 ," 900,000 ",2023,쿠바
키움,"에릭 요키시
(Eric Jokisch)",투수,35,188,93,0 ," 1,200,000 ",2019,미국
,"아리엘 후라도
(Ariel Jurado)",투수,28,188,109,0 ," 850,000 ",2023,파나마
,"에디슨 러셀
(Addison Russell)",내야수,30,183,90,0 ," 550,000 ",2020,미국
LG,"아담 플럿코
(Adam Plutko)",투수,33,190,95," 300,000 "," 800,000 ",2022,미국
,"케이시 켈리
(Casey Kelly)",투수,35,191,98," 450,000 "," 1,050,000 ",2019,미국
,"오스틴 딘
(Austin Dean)",외야수,31,183,97," 100,000 "," 400,000 ",2023,미국
KT,"웨스 벤자민
(Wes Benjamin)",투수,31,188,95," 100,000 "," 1,000,000 ",2022,미국
,"보 슐서
(Beau Sulser)",투수,30,188,88," 60,000 "," 650,000 ",2023,미국
,"앤서니 알포드
(Anthony Alford)",외야수,30,185,95," 100,000 "," 1,000,000 ",2022,미국
KIA,"아도니스 메디나
 (Adonis Medina)",투수,28,185,84," 36,000 "," 300,000 ",2023,"도미니카
공화국"
,"숀 앤더슨
(Shaun Anderson)",투수,30,193,102," 100,000 "," 600,000 ",2023,미국
,"소크라테스 브리토
(Socrates Brito)",외야수,32,188,93," 300,000 "," 500,000 ",2022,"도미니카
공화국"
NC,"에릭 페디
(Erick Fedde)",투수,31,193,92," 200,000 "," 800,000 ",2023,미국
,"테일러 와이드너
(Taylor Widener)",투수,30,183,92," 145,000 "," 598,000 ",2023,미국 
,"제이슨 마틴
(Jason Martin)",외야수,29,175,83," 180,000 "," 720,000 ",2023,미국
삼성,"데이비드 뷰캐넌
(David Buchanan)",투수,35,190,90," 100,000 "," 1,100,000 ",2020,미국
,"앨버트 수아레즈
(Albert Suarez)",투수,35,190,120," 100,000 "," 900,000 ",2022,베네수엘라
,"호세 피렐라
(Jose Pirela)",외야수,35,183,99," 100,000 "," 1,200,000 ",2021,베네수엘라 
롯데,"댄 스트레일리
(Dan Straily)",투수,36,189,100,0 ," 1,000,000 ",2020,미국
,"찰리 반즈
(Charlie Barnes)",투수,29,189,91," 350,000 "," 850,000 ",2022,미국
,"잭 렉스
(Zach Reks)",외야수,31,188,86," 200,000 "," 1,000,000 ",2022,미국
두산,"딜런 파일
(Dylan File)",투수,28,185,92," 100,000 "," 450,000 ",2023,미국
,"라울 알칸타라
(Raul Alcantara)",투수,32,193,100," 300,000 "," 500,000 ",2019,"도미니카
공화국"
,"호세 로하스
(Jose Rojas)",외야수,31,183,90," 50,000 "," 850,000 ",2023,미국
한화,"버치 스미스
(Burch Smith)",투수,34,193,102," 100,000 "," 700,000 ",2023,미국
,"펠릭스 페냐
(Felix Pena)",투수,34,188,99," 100,000 "," 550,000 ",2022,"도미니카
공화국"
,"브라이언 오그레디
(Brian O'Grady)",외야수,32,188,97,0 ," 700,000 ",2023,미국
,,,,,,,,,
