선수,WAR,G_x,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,pid,연도,기존pid,G_y,GS,IP,WAAwithPOS,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,수상횟수,1루수,2루수,3루수,우익수,유격수,좌익수,중견수,포수,샐러리캡,연봉,이후연봉,예측연봉
노시환,2.41,136,2.5,-0.08,601,597,526,88,143,20,2,24,239,89,6,0,60,11,9,129,10,0,4,0.272,0.356,0.454,0.81,0.145,106.5,141259,2024,14125,126.0,125.0,1098.1,-0.024,302.0,97.0,196.0,9.0,97.0,2.4,-3.43,0.0,3.03,0.56,-0.43,0.0,0.0,0.0,-0.27,-0.28,0.0,-0.27,-0.024,0.0,0,0,1,0,0,0,0,0,1071046,35000.0,33000.0,35163.986
최재훈,1.82,116,1.69,0.13,348,340,280,34,72,10,0,4,94,37,0,0,33,21,0,58,10,8,6,0.257,0.371,0.336,0.707,0.131,96.6,101709,2024,10170,115.0,95.0,791.2,0.902,811.0,746.0,60.0,5.0,99.4,9.16,0.35,0.0,0.35,0.0,0.19,1.24,-0.79,0.0,1.57,1.95,8.3,9.88,0.144,0.0,0,0,0,0,0,0,0,1,1071046,92000.0,82000.0,78469.422
황영묵,1.39,123,1.38,0.01,389,386,349,52,105,8,4,3,130,35,4,7,31,5,0,56,6,3,1,0.301,0.365,0.372,0.737,0.129,95.1,161109,2024,16110,131.0,83.0,786.0,0.212,449.0,191.0,246.0,12.0,0.973,5.004,2.76,0.0,-0.52,-2.37,0.0,0.0,0.0,0.0,-0.12,-0.132,2.441,2.321,-0.011,0.0,0,1,0,0,0,0,0,0,1071046,3000.0,8300.0,9952.2
안치홍,1.33,128,1.65,-0.31,533,531,473,64,142,21,0,13,202,66,3,2,49,6,1,70,10,1,4,0.3,0.37,0.427,0.797,0.146,107.9,100149,2024,10014,73.0,70.0,558.0,-0.366,436.0,307.0,123.0,6.0,0.986,6.935,-3.42,0.0,0.04,0.16,0.0,0.0,0.0,0.0,-3.16,-6.233,-0.845,-4.005,-0.289,0.0,1,0,0,0,0,0,0,0,1071046,50000.0,50000.0,44875.032
최인호,1.18,82,0.86,0.32,244,240,210,37,60,13,2,2,83,22,3,0,25,3,0,31,3,4,2,0.286,0.367,0.395,0.762,0.139,102.2,147079,2024,14707,66.0,50.0,436.0,0.131,108.0,102.0,4.0,2.0,0.981,2.188,4.58,-0.76,-0.44,0.0,0.0,0.0,0.0,0.0,3.38,7.375,-1.947,1.433,0.309,0.0,0,0,0,0,0,1,0,0,1071046,4800.0,6800.0,7243.4
채은성,1.14,124,1.32,-0.18,498,498,436,61,118,24,0,20,202,83,1,1,49,8,1,83,12,0,5,0.271,0.351,0.463,0.814,0.147,108.9,112159,2024,11215,98.0,95.0,782.0,-0.699,618.0,588.0,23.0,7.0,0.989,7.032,-1.8,-1.06,0.01,0.0,0.0,0.0,0.0,0.0,-2.86,-4.202,-4.788,-7.648,-0.261,0.0,1,0,0,0,0,0,0,0,1071046,160000.0,120000.0,78475.622
김태연,0.61,126,1.43,-0.82,472,466,413,59,120,24,0,12,180,61,5,2,45,4,0,89,9,6,4,0.291,0.363,0.436,0.799,0.145,106.5,125859,2024,12585,124.0,102.0,863.0,-1.214,392.0,344.0,39.0,9.0,0.977,3.994,-8.7,-0.66,-1.22,-0.07,0.0,0.0,0.0,0.0,-10.6,-12.31,-2.69,-13.29,-0.968,0.0,0,0,1,0,0,0,0,0,1071046,7800.0,14600.0,15585.766
이도윤,0.59,134,0.74,-0.14,374,368,336,49,93,10,3,1,112,46,6,4,26,3,0,56,5,6,3,0.277,0.332,0.333,0.665,0.098,72.4,114149,2024,11414,135.0,97.0,879.0,0.491,405.0,163.0,227.0,15.0,0.963,3.993,-1.5,0.0,-0.0,1.27,0.0,0.0,0.0,0.0,-0.22,-0.235,5.593,5.373,-0.02,0.0,0,0,0,0,1,0,0,0,1071046,7500.0,11000.0,12474.64
장진혁,0.58,99,0.57,0.0,327,322,289,56,76,16,0,9,119,44,14,6,29,3,0,72,6,5,1,0.263,0.335,0.412,0.747,0.125,91.6,125839,2024,12583,107.0,76.0,696.0,0.021,179.0,177.0,1.0,1.0,0.994,2.302,-1.68,1.1,0.92,0.0,0.0,0.0,0.0,0.0,0.33,0.444,-0.101,0.229,0.03,0.0,0,0,0,0,0,0,1,0,1071046,5800.0,11500.0,11338.95
문현빈,0.5,103,0.63,-0.14,289,287,260,29,72,16,2,5,107,47,3,5,24,2,1,53,9,1,2,0.277,0.34,0.412,0.752,0.126,93.2,154229,2024,15422,70.0,51.0,458.0,-0.02,217.0,79.0,135.0,3.0,0.986,4.205,-2.99,0.0,1.36,0.14,0.0,0.0,0.0,0.0,-1.48,-3.045,1.265,-0.215,-0.135,0.0,0,0,0,0,0,0,1,0,1071046,23000.0,8800.0,15402.694
박상언,0.47,27,0.48,-0.02,52,52,42,4,12,3,0,0,15,4,1,0,9,1,0,12,0,0,0,0.286,0.423,0.357,0.78,0.166,119.8,125879,2024,12587,26.0,9.0,113.0,0.09,97.0,91.0,5.0,1.0,99.0,7.65,-0.15,0.0,-0.09,0.0,0.0,-1.29,1.99,0.0,-0.14,-0.76,1.13,0.99,-0.013,0.0,0,0,0,0,0,0,0,1,1071046,4200.0,4200.0,4408.96
권광민,0.4,19,0.31,0.09,51,51,48,10,13,3,0,4,28,9,0,0,3,0,0,17,0,0,0,0.271,0.314,0.583,0.897,0.16,119.1,136769,2024,13676,13.0,9.0,80.0,0.067,28.0,28.0,0.0,0.0,1.0,3.15,0.55,0.33,0.12,0.0,0.0,0.0,0.0,0.0,0.99,10.966,-0.259,0.731,0.09,0.0,0,0,0,0,0,1,0,0,1071046,3300.0,3800.0,3910.67
하주석,0.25,64,0.7,-0.45,151,149,137,16,40,9,1,1,54,11,1,2,10,2,0,33,1,2,0,0.292,0.349,0.394,0.743,0.127,94.7,109139,2024,10913,51.0,32.0,275.0,-0.285,140.0,51.0,82.0,7.0,0.95,4.353,-3.42,0.0,-1.19,-0.32,0.0,0.0,0.0,0.0,-4.86,-13.722,1.745,-3.115,-0.444,0.0,0,0,0,0,1,0,0,0,1071046,7000.0,9000.0,7906.8
