Rank,Name,Team,Sort▼,G,GS,IP,TC,PO,Ass,E,F%,RF9,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼,팀,pid
Rank,Name,Team,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼,,
22,박주홍,24 LF,0.041,17,13,99.0,26,25,1,0,100.0,2.36,0.9,-0.16,0.11,,,,,,0.85,4.91,-0.4,0.45,0.078,0.041,키움 히어로즈,14580
23,김태진,24 2B,0.036,10,1,28.0,19,7,11,1,94.7,5.79,0.38,,-0.33,0.24,,,,,0.29,0.51,0.1,0.39,0.026,0.036,키움 히어로즈,11244
24,김시앙,24 C,0.034,6,2,19.1,20,20,0,0,100.0,9.31,-0.09,,0.07,,,,0.32,,0.2,4.86,0.17,0.37,0.019,0.034,키움 히어로즈,14851
25,박주홍,24 1B,0.027,3,1,10.0,11,11,0,0,100.0,9.9,0.33,,0.05,,,,,,0.38,2.17,-0.08,0.3,0.034,0.027,키움 히어로즈,14580
26,김휘집,24 3B,0.027,9,6,53.0,11,2,9,0,100.0,1.87,-0.32,,0.36,0.24,,,,,0.29,0.3,0.0,0.29,0.027,0.027,키움 히어로즈,14785
27,이주형,24 RF,0.015,58,50,431.1,113,108,3,2,98.2,2.32,1.81,0.46,0.3,,,,,,2.57,3.21,-2.4,0.17,0.234,0.015,키움 히어로즈,14591
28,이형종,24 RF,-0.007,29,26,218.2,60,59,0,1,98.3,2.43,0.87,-0.05,0.16,,,,,,0.98,4.03,-1.06,-0.08,0.09,-0.007,키움 히어로즈,12516
29,김주형,24 2B,-0.009,5,0,11.0,6,3,2,1,83.3,4.09,0.28,,-0.44,,,,,,-0.15,-0.99,0.05,-0.1,-0.014,-0.009,키움 히어로즈,14214
30,김병휘,24 SS,-0.009,22,19,146.2,58,17,39,2,96.6,3.44,-2.29,,0.3,0.61,,,,,-1.38,-7.12,1.28,-0.1,-0.126,-0.009,키움 히어로즈,14577
31,송지후,24 2B,-0.012,1,0,3.0,0,0,0,0,0.0,0.0,-0.16,,0.02,,,,,,-0.14,-10.1,0.01,-0.13,-0.013,-0.012,키움 히어로즈,16130
32,원성준,24 RF,-0.017,7,4,41.0,8,7,1,0,100.0,1.76,-0.99,0.87,0.12,,,,,,0.0,0.0,-0.19,-0.19,0.0,-0.017,키움 히어로즈,16136
33,주성원,24 LF,-0.034,4,2,21.2,5,5,0,0,100.0,2.08,-0.39,0.1,0.02,,,,,,-0.27,-1.42,-0.11,-0.38,-0.024,-0.034,키움 히어로즈,14133
34,예진원,24 LF,-0.041,6,1,19.0,7,7,0,0,100.0,3.32,-0.15,-0.26,0.02,,,,,,-0.39,-2.52,-0.06,-0.45,-0.035,-0.041,키움 히어로즈,13093
35,김태진,24 RF,-0.041,2,0,6.0,0,0,0,0,0.0,0.0,-0.33,-0.11,0.02,,,,,,-0.42,-0.74,-0.03,-0.45,-0.038,-0.041,키움 히어로즈,11244
36,박성빈,24 C,-0.047,12,4,37.0,27,24,2,1,96.3,6.32,0.0,,-0.37,,,-0.12,-0.38,,-0.76,-9.08,0.24,-0.52,-0.069,-0.047,키움 히어로즈,15479
37,임병욱,24 LF,-0.065,1,1,9.0,1,1,0,0,100.0,1.0,-0.68,,0.01,,,,,,-0.67,-2.29,-0.04,-0.71,-0.061,-0.065,키움 히어로즈,11226
38,고영우,24 SS,-0.069,14,7,67.0,26,5,20,1,96.2,3.36,-1.55,,0.09,0.04,,,,,-1.41,-2.16,0.66,-0.75,-0.129,-0.069,키움 히어로즈,16128
39,도슨,24 LF,-0.072,63,57,495.0,134,132,0,2,98.5,2.4,2.31,-0.02,-0.44,,,,,,1.84,2.79,-2.63,-0.79,0.168,-0.072,키움 히어로즈,15652
40,이용규,24 LF,-0.087,21,18,159.2,44,44,0,0,100.0,2.48,-0.36,0.07,0.18,,,,,,-0.11,-0.26,-0.85,-0.96,-0.01,-0.087,키움 히어로즈,10035
41,박준형,24 C,-0.094,4,2,12.1,7,7,0,0,100.0,5.11,0.0,,0.04,,,-0.24,-1.36,,-1.15,-41.35,0.12,-1.03,-0.105,-0.094,키움 히어로즈,14211
42,도슨,24 CF,-0.11,25,22,185.2,58,58,0,0,100.0,2.81,-1.11,-0.48,0.39,,,,,,-1.2,-1.82,0.0,-1.2,-0.11,-0.11,키움 히어로즈,15652
43,김병휘,24 2B,-0.112,5,2,18.0,9,3,6,0,100.0,4.5,-1.06,,0.11,-0.34,,,,,-1.29,-6.64,0.07,-1.22,-0.118,-0.112,키움 히어로즈,14577
44,임지열,24 LF,-0.112,8,5,39.0,9,9,0,0,100.0,2.08,-1.45,0.34,0.04,,,,,,-1.06,-6.96,-0.16,-1.22,-0.097,-0.112,키움 히어로즈,11225
45,이용규,24 CF,-0.118,26,20,171.1,49,49,0,0,100.0,2.57,-1.65,0.0,0.36,,,,,,-1.29,-3.1,0.0,-1.29,-0.118,-0.118,키움 히어로즈,10035
46,김동헌,24 C,-0.123,2,2,14.0,11,10,0,1,90.9,6.43,0.0,,-0.45,,,-0.73,-0.47,,-1.51,-109.07,0.17,-1.35,-0.138,-0.123,키움 히어로즈,15473
47,박수종,24 RF,-0.134,8,0,14.0,3,3,0,0,100.0,1.93,-1.57,0.09,0.04,,,,,,-1.44,-2.59,-0.02,-1.46,-0.132,-0.134,키움 히어로즈,15132
48,이주형,24 LF,-0.135,1,1,4.0,0,0,0,0,0.0,0.0,-1.42,-0.05,0.0,,,,,,-1.46,-1.82,-0.02,-1.48,-0.133,-0.135,키움 히어로즈,14591
49,임병욱,24 CF,-0.172,20,13,107.0,26,25,0,1,96.2,2.1,-1.3,-0.31,-0.28,,,,,,-1.88,-6.46,0.0,-1.88,-0.172,-0.172,키움 히어로즈,11226
50,예진원,24 RF,-0.176,5,1,16.2,9,9,0,0,100.0,4.86,-1.52,-0.39,0.05,,,,,,-1.85,-12.14,-0.07,-1.92,-0.169,-0.176,키움 히어로즈,13093
51,장재영,24 CF,-0.178,17,16,126.1,25,24,1,0,100.0,1.78,-1.73,-0.48,0.26,,,,,,-1.95,-7.39,0.0,-1.95,-0.178,-0.178,키움 히어로즈,14784
52,예진원,24 CF,-0.188,11,1,23.0,6,6,0,0,100.0,2.35,-1.28,-0.82,0.05,,,,,,-2.05,-13.45,0.0,-2.05,-0.188,-0.188,키움 히어로즈,13093
53,임지열,24 RF,-0.207,9,9,66.0,10,10,0,0,100.0,1.36,-1.85,-0.3,0.2,,,,,,-1.94,-12.73,-0.32,-2.26,-0.178,-0.207,키움 히어로즈,11225
54,이승원,24 SS,-0.24,18,13,96.0,48,20,25,3,93.8,4.22,-1.84,,-0.65,-0.87,,,,,-3.36,-24.22,0.74,-2.62,-0.307,-0.24,키움 히어로즈,15476
55,이원석,24 1B,-0.254,12,12,87.0,91,85,4,2,97.8,9.21,-1.45,,-0.57,,,,,,-2.02,-7.46,-0.76,-2.78,-0.185,-0.254,키움 히어로즈,10180
56,원성준,24 CF,-0.285,10,9,65.0,20,19,0,1,95.0,2.63,-2.18,-0.57,-0.37,,,,,,-3.11,-8.79,0.0,-3.11,-0.285,-0.285,키움 히어로즈,16136
57,송성문,24 1B,-0.296,32,15,148.0,138,130,7,1,99.3,8.33,-2.05,,0.23,,0.06,,,,-1.76,-1.78,-1.48,-3.24,-0.161,-0.296,키움 히어로즈,11376
58,이재상,24 SS,-0.344,35,28,221.0,98,44,50,4,95.9,3.83,-3.25,,-0.05,-2.19,,,,,-5.49,-21.96,1.72,-3.77,-0.501,-0.344,키움 히어로즈,16124
59,최주환,24 1B,-0.499,122,116,1027.2,972,906,60,6,99.4,8.46,2.39,,2.07,,0.29,,,,4.75,5.26,-10.22,-5.47,0.434,-0.499,키움 히어로즈,10182
60,고영우,24 3B,-0.524,65,52,442.2,128,37,81,10,92.2,2.4,-3.34,,-1.98,-0.37,-0.05,,,,-5.74,-8.79,0.0,-5.74,-0.524,-0.524,키움 히어로즈,16128
61,김윤하,24 P,,18,12,79.0,12,2,9,1,91.7,1.25,,,,,,,,,0.0,0.0,,,0.0,,키움 히어로즈,16123
61,김선기,24 P,,41,6,76.1,11,0,11,0,100.0,1.3,,,,,,,,,0.0,0.0,,,0.0,,키움 히어로즈,13092
61,이승원,24 2B,,1,0,1.0,0,0,0,0,0.0,0.0,0.0,,0.01,,,,,,0.01,0.04,,,0.0,,키움 히어로즈,15476
61,문성현,24 P,,39,0,38.1,3,2,1,0,100.0,0.7,,,,,,,,,0.0,0.0,,,0.0,,키움 히어로즈,10437
61,김주형,24 3B,,1,0,1.0,0,0,0,0,0.0,0.0,,,0.01,,,,,,0.01,0.04,,,0.001,,키움 히어로즈,14214
61,오석주,24 P,,16,0,17.0,2,0,2,0,100.0,1.06,,,,,,,,,0.0,,,,0.0,,키움 히어로즈,12860
61,윤정현,24 P,,2,0,3.0,0,0,0,0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,,키움 히어로즈,14131
61,김병휘,24 3B,,1,0,2.0,1,0,1,0,100.0,4.5,0.43,,0.01,,,,,,0.45,2.29,,,0.041,,키움 히어로즈,14577
61,김동욱,24 P,,37,0,36.0,5,2,3,0,100.0,1.25,,,,,,,,,0.0,0.0,,,0.0,,키움 히어로즈,14681
61,김태진,24 3B,,1,0,1.0,0,0,0,0,0.0,0.0,,,0.01,,,,,,0.01,0.01,,,0.001,,키움 히어로즈,11244
61,양지율,24 P,,20,0,18.2,0,0,0,0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,,키움 히어로즈,12854
61,박범준,24 P,,5,0,5.1,0,0,0,0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,,키움 히어로즈,16133
61,신준우,24 SS,,1,0,1.0,0,0,0,0,0.0,0.0,0.0,,0.01,,,,,,0.01,1.15,,,0.001,,키움 히어로즈,14695
61,김연주,24 P,,33,0,31.1,6,2,4,0,100.0,1.72,,,,,,,,,0.0,0.0,,,0.0,,키움 히어로즈,16127
61,원종현,24 P,,4,0,3.2,0,0,0,0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,,키움 히어로즈,11161
61,김재웅,24 P,,26,0,23.2,5,0,5,0,100.0,1.9,,,,,,,,,0.0,0.0,,,0.0,,키움 히어로즈,12858
61,주승우,24 P,,55,0,51.2,13,3,10,0,100.0,2.26,,,,,,,,,0.0,0.0,,,0.0,,키움 히어로즈,15067
