,Unnamed: 0,선수,팀,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,pid,연도,기존pid,포지션,연봉(만원),팀연봉순위,전체연봉순위,계약금(만원)분할,연봉 총수령액(만원)
26,26,장규현,한화 이글스,-0.05,7,-0.05,0.0,12,12,12,0,3,1,0,0,4,1,0,0,0,0,0,4,1,0,0,0.25,0.25,0.333,0.583,0.051,45.5,148119,2021,14811,포수,10000.0,17.0,218.0,0.0,10000.0
27,27,정진호,한화 이글스,-0.18,48,-0.5,0.32,167,162,145,9,33,9,0,0,42,15,4,1,15,1,1,22,5,4,2,0.228,0.301,0.29,0.591,0.07,58.0,106459,2021,10645,좌익수,12000.0,14.0,185.0,0.0,12000.0
28,28,김현민,한화 이글스,-0.21,5,-0.29,0.08,12,12,12,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0.083,0.083,0.083,0.166,-0.111,-95.1,142099,2021,14209,2루수,3100.0,61.0,573.0,0.0,3100.0
29,29,정민규,한화 이글스,-0.23,6,-0.21,-0.02,17,17,16,1,2,1,0,0,3,0,0,0,1,0,0,6,1,0,0,0.125,0.176,0.188,0.364,-0.024,-19.0,148139,2021,14813,1루수,18000.0,8.0,132.0,0.0,18000.0
30,30,김지수,한화 이글스,-0.24,11,-0.34,0.11,25,25,24,0,2,1,0,0,3,0,0,0,1,0,0,14,0,0,0,0.083,0.12,0.125,0.245,-0.064,-53.0,126629,2021,12662,우익수,3100.0,61.0,573.0,0.0,3100.0
31,31,이성열,한화 이글스,-0.26,46,-0.34,0.08,140,140,119,15,25,8,0,2,39,20,1,0,18,1,0,36,2,0,2,0.21,0.314,0.328,0.642,0.091,76.5,101689,2021,10168,1루수,40000.0,6.0,71.0,0.0,40000.0
32,32,송호정,한화 이글스,-0.32,10,-0.15,-0.17,11,11,10,1,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0.0,0.091,0.0,0.091,-0.116,-97.2,148129,2021,14812,유격수,13000.0,13.0,174.0,0.0,13000.0
33,33,이해창,한화 이글스,-0.38,20,-0.42,0.04,60,57,54,4,9,3,0,0,12,4,0,1,1,1,0,13,0,3,1,0.167,0.193,0.222,0.415,-0.009,-7.5,103919,2021,10391,포수,6000.0,30.0,348.0,0.0,6000.0
34,34,조한민,한화 이글스,-0.4,52,-0.14,-0.25,145,144,127,15,25,6,2,5,50,18,3,2,13,2,0,57,4,1,2,0.197,0.278,0.394,0.672,0.09,75.6,142109,2021,14210,우익수,3400.0,45.0,509.0,0.0,3400.0
35,35,강상원,한화 이글스,-0.42,35,-0.18,-0.24,49,47,37,7,4,0,0,0,4,2,3,0,9,1,0,11,0,2,0,0.108,0.298,0.108,0.406,0.037,30.5,125649,2021,12564,좌익수,3000.0,66.0,618.0,0.0,3000.0
