,Unnamed: 0,선수,팀,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,pid,연도,기존pid,포지션,연봉(만원),팀연봉순위,전체연봉순위,계약금(만원)분할,연봉 총수령액(만원)
280,280,박석민,NC 다이노스,1.21,59,1.18,0.03,205,201,171,27,44,8,0,10,82,41,0,0,27,2,1,43,8,3,2,0.257,0.361,0.48,0.841,0.159,126.1,103225,2021,10322,3루수,70000.0,5.0,44.0,0.0,70000.0
281,281,최정원,NC 다이노스,1.15,72,0.78,0.37,238,234,212,40,60,4,2,0,68,8,10,7,18,4,0,40,0,4,0,0.283,0.35,0.321,0.671,0.106,84.2,142215,2021,14221,중견수,3300.0,48.0,521.0,0.0,3300.0
282,282,김태군,NC 다이노스,1.02,102,0.69,0.33,276,267,232,23,51,7,0,7,79,24,0,1,21,11,0,30,4,9,3,0.22,0.311,0.341,0.652,0.094,74.6,104595,2021,10459,포수,20000.0,14.0,119.0,0.0,20000.0
283,283,이명기,NC 다이노스,0.96,56,1.44,-0.48,232,229,191,30,56,12,0,2,74,14,6,3,37,1,0,27,2,3,0,0.293,0.41,0.387,0.797,0.16,127.4,101195,2021,10119,좌익수,27000.0,10.0,98.0,0.0,27000.0
284,284,김주원,NC 다이노스,0.9,69,0.7,0.2,189,187,166,20,40,7,1,5,64,16,6,2,17,2,0,57,5,2,2,0.241,0.316,0.386,0.702,0.107,84.7,147655,2021,14765,유격수,18000.0,17.0,132.0,0.0,18000.0
285,285,박준영,NC 다이노스,0.28,111,0.37,-0.09,315,312,273,37,57,7,2,8,92,31,4,3,27,10,0,92,9,3,2,0.209,0.301,0.337,0.638,0.088,70.9,125225,2021,12522,3루수,3200.0,49.0,544.0,0.0,3200.0
286,286,김찬형,NC 다이노스,0.23,17,0.31,-0.07,26,25,22,2,8,1,0,0,9,1,0,0,2,1,0,5,0,1,0,0.364,0.44,0.409,0.849,0.178,136.5,126225,2021,12622,2루수,5800.0,38.0,385.0,0.0,5800.0
287,287,이재율,NC 다이노스,0.08,23,-0.14,0.22,17,17,15,5,3,2,0,0,5,1,1,1,0,2,0,3,1,0,0,0.2,0.294,0.333,0.627,0.084,64.1,125255,2021,12525,좌익수,3100.0,51.0,573.0,0.0,3100.0
288,288,김준완,NC 다이노스,0.06,13,-0.05,0.1,14,14,12,3,2,0,1,0,4,1,0,0,2,0,0,0,0,0,0,0.167,0.286,0.333,0.619,0.08,68.7,111825,2021,11182,중견수,6000.0,39.0,348.0,0.0,6000.0
289,289,정현,NC 다이노스,0.05,56,0.19,-0.14,120,114,96,9,22,3,1,0,27,7,0,1,14,4,0,20,6,6,0,0.229,0.351,0.281,0.632,0.101,79.5,111115,2021,11111,2루수,3000.0,55.0,618.0,0.0,3000.0
290,290,오태양,NC 다이노스,0.04,1,-0.03,0.07,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.179,-137.5,147665,2021,14766,2루수,9000.0,31.0,249.0,0.0,9000.0
291,291,김건태,NC 다이노스,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,104325,2021,10432,,8000.0,33.0,271.0,0.0,8000.0
292,292,임정호,NC 다이노스,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,111685,2021,11168,,13000.0,20.0,174.0,0.0,13000.0
293,293,신민혁,NC 다이노스,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,130855,2021,13085,,4000.0,46.0,455.0,0.0,4000.0
294,294,류진욱,NC 다이노스,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,113555,2021,11355,,3000.0,55.0,618.0,0.0,3000.0
295,295,손정욱,NC 다이노스,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,111425,2021,11142,,4400.0,44.0,442.0,0.0,4400.0
296,296,김진성,NC 다이노스,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,111665,2021,11166,,20000.0,14.0,119.0,0.0,20000.0
297,297,노시훈,NC 다이노스,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,146495,2021,14649,,3000.0,55.0,618.0,0.0,3000.0
298,298,배민서,NC 다이노스,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,141585,2021,14158,,3100.0,51.0,573.0,0.0,3100.0
299,299,이용찬,NC 다이노스,0.0,6,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,102175,2021,10217,,10000.0,11.0,100.0,16666.0,26666.0
300,300,김태현,NC 다이노스,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,128985,2021,12898,,3000.0,55.0,618.0,0.0,3000.0
301,301,최금강,NC 다이노스,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,111745,2021,11174,,10000.0,28.0,218.0,0.0,10000.0
302,302,김영규,NC 다이노스,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,130885,2021,13088,,8300.0,32.0,270.0,0.0,8300.0
303,303,안인산,NC 다이노스,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,145985,2021,14598,,3000.0,55.0,618.0,0.0,3000.0
304,304,원종현,NC 다이노스,0.0,4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,111615,2021,11161,,30000.0,8.0,85.0,0.0,30000.0
305,305,임창민,NC 다이노스,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,104525,2021,10452,,14000.0,19.0,167.0,0.0,14000.0
306,306,홍성민,NC 다이노스,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,108145,2021,10814,,11000.0,25.0,197.0,0.0,11000.0
307,307,이우석,NC 다이노스,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,113605,2021,11360,,3000.0,55.0,618.0,0.0,3000.0
308,308,오장한,NC 다이노스,-0.02,1,-0.03,0.01,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-0.179,-137.5,147675,2021,14767,우익수,11000.0,25.0,197.0,0.0,11000.0
309,309,박시원,NC 다이노스,-0.02,1,-0.02,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.179,-137.5,145975,2021,14597,중견수,3000.0,55.0,618.0,0.0,3000.0
310,310,정범모,NC 다이노스,-0.03,19,0.03,-0.06,23,22,19,2,4,1,0,1,8,5,0,0,2,1,0,4,2,1,0,0.211,0.318,0.421,0.739,0.122,98.8,107725,2021,10772,포수,5000.0,42.0,401.0,0.0,5000.0
311,311,최우재,NC 다이노스,-0.03,2,-0.05,0.02,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.179,-137.5,126215,2021,12621,좌익수,3000.0,55.0,618.0,0.0,3000.0
312,312,최승민,NC 다이노스,-0.03,48,-0.23,0.2,34,32,31,8,7,1,0,0,8,1,4,3,1,0,0,7,0,2,0,0.226,0.25,0.258,0.508,0.031,24.3,141875,2021,14187,중견수,3000.0,55.0,618.0,0.0,3000.0
313,313,모창민,NC 다이노스,-0.08,3,-0.14,0.05,6,6,5,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0.0,0.167,0.0,0.167,-0.064,-49.5,100935,2021,10093,1루수,30000.0,8.0,85.0,0.0,30000.0
314,314,김민수,NC 다이노스,-0.11,7,-0.18,0.07,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,-0.179,-146.9,129035,2021,12903,3루수,3000.0,55.0,618.0,0.0,3000.0
315,315,지석훈,NC 다이노스,-0.13,28,-0.1,-0.04,43,43,34,6,5,1,0,0,6,2,0,0,6,2,0,12,0,0,1,0.147,0.302,0.176,0.478,0.052,42.1,106835,2021,10683,2루수,10000.0,28.0,218.0,0.0,10000.0
316,316,전민수,NC 다이노스,-0.14,71,0.16,-0.3,109,108,98,12,25,3,0,3,37,16,0,0,11,0,1,23,2,0,0,0.255,0.33,0.378,0.708,0.114,90.1,104175,2021,10417,좌익수,5000.0,42.0,401.0,0.0,5000.0
317,317,윤형준,NC 다이노스,-0.25,51,0.06,-0.31,81,78,74,10,22,0,0,5,37,10,0,1,3,0,0,17,2,3,1,0.297,0.321,0.5,0.821,0.14,112.9,111355,2021,11135,1루수,3000.0,55.0,618.0,0.0,3000.0
318,318,최보성,NC 다이노스,-0.25,10,-0.14,-0.11,14,13,12,0,3,0,0,0,3,1,0,1,0,1,0,5,0,1,0,0.25,0.308,0.25,0.558,0.063,49.4,130875,2021,13087,3루수,3000.0,55.0,618.0,0.0,3000.0
319,319,김기환,NC 다이노스,-0.3,62,-0.42,0.12,149,148,140,19,29,7,2,3,49,13,15,4,8,0,0,45,1,1,0,0.207,0.25,0.35,0.6,0.061,49.2,114005,2021,11400,중견수,3000.0,55.0,618.0,0.0,3000.0
320,320,도태훈,NC 다이노스,-0.35,77,-0.19,-0.16,76,76,66,10,12,1,0,1,16,9,1,0,6,4,0,14,3,0,0,0.182,0.289,0.242,0.531,0.058,45.3,125605,2021,12560,1루수,3200.0,49.0,544.0,0.0,3200.0
321,321,강진성,NC 다이노스,-0.54,124,-0.01,-0.53,462,456,406,49,101,20,0,7,142,38,9,3,36,14,2,68,12,4,2,0.249,0.33,0.35,0.68,0.105,83.9,111485,2021,11148,1루수,12000.0,22.0,185.0,0.0,12000.0
322,322,이원재,NC 다이노스,-0.61,31,-0.46,-0.16,69,68,65,3,15,2,0,0,17,7,1,0,1,1,0,11,1,1,1,0.231,0.25,0.262,0.512,0.031,24.6,129995,2021,12999,1루수,6600.0,38.0,339.0,0.0,6600.0
323,323,박대온,NC 다이노스,-0.62,42,-0.37,-0.25,95,91,85,4,18,1,0,0,19,5,0,0,4,0,0,21,0,4,2,0.212,0.242,0.224,0.466,0.016,12.9,112465,2021,11246,포수,3000.0,55.0,618.0,0.0,3000.0
324,324,정진기,NC 다이노스,-0.69,86,-0.31,-0.38,199,197,186,27,43,8,0,6,69,21,6,3,10,1,0,37,2,2,0,0.231,0.274,0.371,0.645,0.08,63.3,107175,2021,10717,좌익수,3500.0,47.0,491.0,0.0,3500.0
325,325,박건우,두산 베어스,4.19,126,4.37,-0.18,525,523,458,82,149,31,2,6,202,63,13,0,50,11,2,72,16,0,6,0.325,0.4,0.441,0.841,0.165,143.3,101891,2021,10189,우익수,48000.0,8.0,65.0,0.0,48000.0
326,326,김재환,두산 베어스,4.18,137,4.83,-0.65,566,564,475,86,130,23,2,27,238,102,2,3,81,5,3,127,9,0,5,0.274,0.382,0.501,0.883,0.175,151.7,106431,2021,10643,좌익수,76000.0,7.0,41.0,0.0,76000.0
327,327,페르난데스,두산 베어스,3.2,141,3.49,-0.28,617,614,540,73,170,24,0,15,239,81,0,2,65,6,3,35,25,0,6,0.315,0.391,0.443,0.834,0.161,140.0,139271,2021,13927,1루수,104000.0,2.0,20.0,0.0,104000.0
328,328,김인태,두산 베어스,2.67,133,1.77,0.9,418,413,344,51,89,15,1,8,130,46,0,2,62,3,0,67,10,5,4,0.259,0.373,0.378,0.751,0.137,118.3,110981,2021,11098,우익수,6500.0,33.0,340.0,0.0,6500.0
329,329,박계범,두산 베어스,2.48,118,2.39,0.08,385,378,322,44,86,12,1,5,115,46,4,3,44,9,0,68,8,7,3,0.267,0.368,0.357,0.725,0.128,111.5,111981,2021,11198,유격수,7000.0,29.0,305.0,0.0,7000.0
330,330,양석환,두산 베어스,2.32,133,2.75,-0.43,546,545,488,66,133,22,0,28,239,96,2,3,42,9,2,136,10,0,7,0.273,0.337,0.49,0.827,0.147,127.3,112131,2021,11213,1루수,21000.0,13.0,116.0,0.0,21000.0
331,331,강승호,두산 베어스,1.66,113,0.91,0.75,340,331,301,47,72,16,2,7,113,37,8,2,22,6,1,78,8,8,3,0.239,0.301,0.375,0.676,0.096,82.6,110871,2021,11087,2루수,5000.0,38.0,401.0,0.0,5000.0
332,332,정수빈,두산 베어스,1.18,104,1.1,0.08,351,347,313,50,81,19,4,3,117,37,12,7,29,3,1,50,7,4,2,0.259,0.326,0.374,0.7,0.108,93.7,101951,2021,10195,중견수,60000.0,6.0,33.0,26666.0,86666.0
333,333,조수행,두산 베어스,1.03,115,0.92,0.11,104,103,84,34,24,2,1,1,31,8,21,4,16,3,0,26,1,1,0,0.286,0.417,0.369,0.786,0.16,140.2,125241,2021,12524,좌익수,7500.0,28.0,295.0,0.0,7500.0
334,334,장승현,두산 베어스,0.83,92,0.8,0.03,211,205,177,18,41,10,0,2,57,27,0,0,19,8,0,50,2,6,1,0.232,0.332,0.322,0.654,0.1,86.4,110971,2021,11097,포수,3800.0,43.0,472.0,0.0,3800.0
335,335,안재석,두산 베어스,0.76,96,0.63,0.13,224,224,200,28,51,8,2,2,69,14,1,0,16,4,0,53,4,0,4,0.255,0.317,0.345,0.662,0.094,81.0,147711,2021,14771,유격수,23000.0,12.0,109.0,0.0,23000.0
336,336,최용제,두산 베어스,0.32,79,0.5,-0.18,119,118,104,7,29,3,0,0,32,15,0,0,11,2,0,21,0,1,1,0.279,0.356,0.308,0.664,0.106,91.6,126491,2021,12649,포수,3800.0,43.0,472.0,0.0,3800.0
337,337,박세혁,두산 베어스,0.29,96,0.14,0.15,270,267,237,25,52,12,0,0,64,30,4,2,22,5,0,43,6,3,3,0.219,0.296,0.27,0.566,0.064,55.7,108911,2021,10891,포수,26000.0,11.0,101.0,0.0,26000.0
338,338,김재호,두산 베어스,0.28,89,0.17,0.1,251,245,211,23,44,8,0,1,55,24,1,1,29,2,0,34,7,6,3,0.209,0.306,0.261,0.567,0.069,60.2,101741,2021,10174,유격수,60000.0,5.0,32.0,30000.0,90000.0
339,339,박지훈,두산 베어스,0.25,34,0.07,0.18,14,14,12,6,4,1,0,0,5,2,3,1,1,1,0,3,0,0,0,0.333,0.429,0.417,0.846,0.176,156.6,147361,2021,14736,1루수,3100.0,55.0,573.0,0.0,3100.0
340,340,권민석,두산 베어스,0.13,33,-0.01,0.14,15,15,14,8,3,2,0,0,5,1,0,0,1,0,0,7,0,0,0,0.214,0.267,0.357,0.624,0.072,62.8,130791,2021,13079,1루수,3500.0,46.0,491.0,0.0,3500.0
341,341,허경민,두산 베어스,0.09,136,1.1,-1.0,518,515,468,61,130,24,1,5,171,59,5,7,36,8,1,35,21,3,3,0.278,0.338,0.365,0.703,0.111,96.1,101841,2021,10184,3루수,100000.0,1.0,4.0,62500.0,162500.0
342,342,백동훈,두산 베어스,0.08,5,-0.08,0.16,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,-0.179,-145.7,110841,2021,11084,중견수,3600.0,45.0,486.0,0.0,3600.0
343,343,안권수,두산 베어스,0.04,87,-0.12,0.16,47,45,42,17,10,0,1,0,12,4,3,0,3,0,0,3,0,2,0,0.238,0.289,0.286,0.575,0.062,54.9,145711,2021,14571,우익수,3500.0,46.0,491.0,0.0,3500.0
344,344,서예일,두산 베어스,0.02,5,-0.03,0.04,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.179,-166.5,125231,2021,12523,2루수,3500.0,46.0,491.0,0.0,3500.0
345,345,박소준,두산 베어스,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,114911,2021,11491,,3500.0,46.0,491.0,0.0,3500.0
346,346,권휘,두산 베어스,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,136651,2021,13665,,3200.0,53.0,544.0,0.0,3200.0
347,347,박치국,두산 베어스,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,128501,2021,12850,,16000.0,15.0,152.0,0.0,16000.0
348,348,이영하,두산 베어스,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,125681,2021,12568,,19000.0,14.0,130.0,0.0,19000.0
349,349,문대원,두산 베어스,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,128481,2021,12848,,3100.0,55.0,573.0,0.0,3100.0
350,350,이교훈,두산 베어스,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,141731,2021,14173,,3100.0,55.0,573.0,0.0,3100.0
351,351,윤명준,두산 베어스,0.0,4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,108851,2021,10885,,15600.0,17.0,161.0,0.0,15600.0
352,352,김명신,두산 베어스,0.0,3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,128471,2021,12847,,4500.0,40.0,429.0,0.0,4500.0
353,353,김민규,두산 베어스,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,130721,2021,13072,,5500.0,37.0,390.0,0.0,5500.0
354,354,남호,두산 베어스,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,141391,2021,14139,,3300.0,51.0,521.0,0.0,3300.0
355,355,홍건희,두산 베어스,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,106961,2021,10696,,11000.0,19.0,197.0,0.0,11000.0
356,356,이승진,두산 베어스,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,126781,2021,12678,,10000.0,22.0,218.0,0.0,10000.0
357,357,김강률,두산 베어스,0.0,8,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,106901,2021,10690,,11000.0,19.0,197.0,0.0,11000.0
358,358,최원준,두산 베어스,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,128521,2021,12852,,16000.0,15.0,152.0,0.0,16000.0
359,359,박성재,두산 베어스,-0.02,1,-0.02,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-0.179,-137.0,148381,2021,14838,,6000.0,34.0,348.0,0.0,6000.0
360,360,김민혁,두산 베어스,-0.08,6,-0.07,0.0,8,8,6,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0.0,0.25,0.0,0.25,-0.007,-5.6,129701,2021,12970,1루수,3400.0,50.0,509.0,0.0,3400.0
361,361,전민재,두산 베어스,-0.08,9,-0.04,-0.04,5,5,4,1,1,0,0,0,1,1,0,0,0,0,0,2,0,0,1,0.25,0.2,0.25,0.45,-0.016,-13.5,130731,2021,13073,유격수,3000.0,64.0,618.0,0.0,3000.0
362,362,황경태,두산 베어스,-0.1,1,-0.02,-0.08,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-0.179,-166.5,126041,2021,12604,2루수,3100.0,55.0,573.0,0.0,3100.0
363,363,국해성,두산 베어스,-0.1,4,-0.13,0.03,8,8,8,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.125,0.125,0.125,0.25,-0.077,-69.6,101721,2021,10172,우익수,5000.0,38.0,401.0,0.0,5000.0
364,364,오명진,두산 베어스,-0.26,2,-0.08,-0.18,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-0.179,-133.0,147371,2021,14737,2루수,3100.0,55.0,573.0,0.0,3100.0
365,365,신성현,두산 베어스,-0.31,11,-0.1,-0.21,15,15,11,3,2,0,0,0,2,0,0,0,3,1,0,6,0,0,0,0.182,0.4,0.182,0.582,0.114,96.1,114921,2021,11492,1루수,4300.0,42.0,444.0,0.0,4300.0
366,366,오재원,두산 베어스,-0.44,45,-0.56,0.11,79,79,72,6,12,3,0,0,15,5,2,0,6,0,0,18,3,0,1,0.167,0.228,0.208,0.436,0.009,8.0,101781,2021,10178,2루수,30000.0,9.0,85.0,0.0,30000.0
367,367,이정후,키움 히어로즈,6.29,123,6.36,-0.07,544,543,464,78,167,42,6,7,242,84,10,3,62,9,1,37,8,0,9,0.36,0.438,0.522,0.96,0.205,171.8,129067,2021,12906,중견수,55000.0,7.0,51.0,0.0,55000.0
368,368,김혜성,키움 히어로즈,3.99,144,4.45,-0.46,635,633,559,99,170,20,3,3,205,66,46,4,65,1,3,97,8,0,10,0.304,0.372,0.367,0.739,0.129,107.6,129057,2021,12905,2루수,17000.0,17.0,143.0,0.0,17000.0
369,369,이용규,키움 히어로즈,3.31,133,2.99,0.32,547,539,459,88,136,16,8,1,171,43,17,2,71,5,2,46,5,6,6,0.296,0.392,0.373,0.765,0.143,119.5,100357,2021,10035,좌익수,10000.0,22.0,218.0,0.0,10000.0
370,370,박동원,키움 히어로즈,3.14,131,2.89,0.26,481,476,413,61,103,21,0,22,190,83,2,0,53,7,0,114,12,5,3,0.249,0.342,0.46,0.802,0.143,119.5,103877,2021,10387,포수,23000.0,14.0,109.0,0.0,23000.0
371,371,서건창,키움 히어로즈,2.12,76,1.87,0.25,333,330,278,45,72,12,1,4,98,28,6,4,45,6,2,44,9,1,3,0.259,0.37,0.353,0.723,0.129,108.4,108557,2021,10855,2루수,22500.0,14.0,114.0,0.0,22500.0
372,372,김웅빈,키움 히어로즈,1.72,97,1.41,0.31,279,277,232,24,56,13,1,6,89,35,1,1,34,9,2,73,2,2,2,0.241,0.357,0.384,0.741,0.132,109.8,125037,2021,12503,3루수,5600.0,38.0,389.0,0.0,5600.0
373,373,송우현,키움 히어로즈,1.64,69,1.41,0.23,282,281,250,34,74,17,2,3,104,42,1,1,28,2,1,49,4,1,1,0.296,0.37,0.416,0.786,0.143,121.0,113777,2021,11377,우익수,3000.0,54.0,618.0,0.0,3000.0
374,374,송성문,키움 히어로즈,1.31,66,0.89,0.42,274,272,245,30,61,10,1,6,91,33,0,0,25,1,0,42,2,2,1,0.249,0.32,0.371,0.691,0.105,87.8,113767,2021,11376,3루수,6000.0,34.0,348.0,0.0,6000.0
375,375,박병호,키움 히어로즈,0.92,118,0.89,0.03,477,475,409,48,93,23,0,20,176,76,0,1,47,14,3,141,9,0,7,0.227,0.323,0.43,0.753,0.125,104.7,104707,2021,10470,1루수,150000.0,1.0,7.0,0.0,150000.0
376,376,이지영,키움 히어로즈,0.57,108,0.47,0.1,258,254,233,29,64,5,1,0,71,31,3,1,19,1,2,17,10,2,3,0.275,0.328,0.305,0.633,0.088,73.7,103127,2021,10312,포수,30000.0,11.0,85.0,0.0,30000.0
377,377,전병우,키움 히어로즈,0.35,115,0.32,0.03,261,257,214,35,40,8,0,6,66,31,3,1,33,9,0,83,0,4,1,0.187,0.319,0.308,0.627,0.093,78.8,114227,2021,11422,1루수,6000.0,34.0,348.0,0.0,6000.0
378,378,김은성,키움 히어로즈,0.1,6,-0.03,0.12,18,18,18,1,5,3,0,0,8,2,0,0,0,0,0,6,0,0,0,0.278,0.278,0.444,0.722,0.1,82.3,126837,2021,12683,좌익수,3000.0,54.0,618.0,0.0,3000.0
379,379,김주형,키움 히어로즈,0.09,36,0.44,-0.35,70,67,50,5,9,3,0,0,12,5,1,0,4,13,0,15,0,3,0,0.18,0.388,0.24,0.628,0.121,100.4,142147,2021,14214,유격수,3700.0,48.0,478.0,0.0,3700.0
380,380,이명기,키움 히어로즈,0.07,3,0.0,0.07,8,8,6,0,1,0,0,0,1,1,0,0,2,0,0,3,0,0,0,0.167,0.375,0.167,0.542,0.095,73.2,142127,2021,14212,1루수,3000.0,54.0,618.0,0.0,3000.0
381,381,박정음,키움 히어로즈,0.06,70,-0.26,0.31,18,18,14,19,0,0,0,0,0,1,4,2,2,1,0,3,1,0,1,0.0,0.167,0.0,0.167,-0.064,-52.7,108667,2021,10866,좌익수,4300.0,44.0,444.0,0.0,4300.0
382,382,김병휘,키움 히어로즈,0.04,13,0.0,0.04,11,11,10,5,2,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0.2,0.273,0.2,0.473,0.032,26.2,145777,2021,14577,유격수,3000.0,54.0,618.0,0.0,3000.0
383,383,변상권,키움 히어로즈,0.0,72,-0.5,0.51,171,171,159,19,38,5,4,0,51,20,0,0,9,0,0,40,2,0,3,0.239,0.275,0.321,0.596,0.062,51.9,132237,2021,13223,좌익수,3500.0,49.0,491.0,0.0,3500.0
384,384,박관진,키움 히어로즈,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,146937,2021,14693,,3000.0,54.0,618.0,0.0,3000.0
385,385,김태훈,키움 히어로즈,0.0,5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,108717,2021,10871,,10000.0,22.0,218.0,0.0,10000.0
386,386,박승주,키움 히어로즈,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,129897,2021,12989,,3000.0,54.0,618.0,0.0,3000.0
387,387,조영건,키움 히어로즈,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,141327,2021,14132,,3800.0,47.0,472.0,0.0,3800.0
388,388,오주원,키움 히어로즈,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,104457,2021,10445,,20000.0,15.0,119.0,0.0,20000.0
389,389,김성민,키움 히어로즈,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,129187,2021,12918,,6000.0,34.0,348.0,0.0,6000.0
390,390,장재영,키움 히어로즈,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,147847,2021,14784,우익수,93000.0,3.0,30.0,0.0,93000.0
391,391,윤정현,키움 히어로즈,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,141317,2021,14131,,3500.0,49.0,491.0,0.0,3500.0
392,392,문성현,키움 히어로즈,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,104377,2021,10437,,4500.0,41.0,429.0,0.0,4500.0
393,393,김정인,키움 히어로즈,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,115317,2021,11531,,3200.0,52.0,544.0,0.0,3200.0
