Rank,Name,Team,Sort▼,G,GS,IP,TC,PO,Ass,E,F%,RF9,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼,팀,pid
Rank,Name,Team,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼,,
1,최재훈,22 C,1.479,106,101,853.2,725,644,78,3,99.6,7.61,0.17,,1.15,,-0.41,1.74,2.67,,4.51,5.7,9.84,14.35,0.465,1.479,한화 이글스,10170
2,박정현,22 SS,0.499,35,27,246.1,124,38,81,5,96.0,4.35,1.75,,-0.08,0.92,,,,,2.6,4.62,2.24,4.84,0.268,0.499,한화 이글스,14704
3,이도윤,22 SS,0.29,19,12,114.0,56,18,37,1,98.2,4.34,2.04,,0.19,-0.46,,,,,1.77,3.19,1.04,2.81,0.183,0.29,한화 이글스,11414
4,하주석,22 SS,0.282,110,104,899.0,430,135,276,19,95.6,4.11,-4.85,,-0.45,-0.31,,,,,-5.6,-6.45,8.34,2.74,-0.577,0.282,한화 이글스,10913
5,김태연,22 3B,0.281,61,58,473.1,164,52,101,11,93.3,2.91,2.67,,-0.07,0.49,-0.35,,,,2.73,3.3,0.0,2.73,0.281,0.281,한화 이글스,12585
6,터크먼,22 LF,0.23,6,4,34.0,14,13,1,0,100.0,3.71,1.36,1.01,0.05,,,,,,2.42,2.42,-0.19,2.23,0.25,0.23,한화 이글스,15012
7,박정현,22 2B,0.225,12,5,54.0,33,12,20,1,97.0,5.33,1.93,,0.06,,,,,,1.99,3.54,0.19,2.18,0.205,0.225,한화 이글스,14704
8,장진혁,22 LF,0.199,3,2,17.0,9,8,1,0,100.0,4.76,1.03,0.95,0.03,,,,,,2.0,7.04,-0.07,1.93,0.207,0.199,한화 이글스,12583
9,박정현,22 1B,0.172,24,14,132.0,120,108,12,0,100.0,8.18,2.48,,0.1,,0.15,,,,2.72,4.84,-1.06,1.66,0.281,0.172,한화 이글스,14704
10,장운호,22 LF,0.161,26,14,138.0,37,36,0,1,97.3,2.35,2.37,0.02,-0.28,,,,,,2.12,5.34,-0.55,1.57,0.218,0.161,한화 이글스,11122
11,노수광,22 LF,0.159,93,76,648.2,177,168,5,4,97.7,2.4,5.71,-0.29,-0.96,,,,,,4.47,5.5,-2.93,1.54,0.461,0.159,한화 이글스,11268
12,유로결,22 LF,0.154,14,11,96.0,19,18,1,0,100.0,1.78,0.83,0.89,0.14,,,,,,1.86,8.93,-0.37,1.49,0.192,0.154,한화 이글스,14126
13,김태연,22 2B,0.124,21,16,137.2,92,39,51,2,97.8,5.88,0.86,,-0.32,-0.03,,,,,0.51,0.61,0.7,1.21,0.052,0.124,한화 이글스,12585
14,박정현,22 3B,0.082,12,7,66.0,29,13,14,2,93.1,3.68,0.06,,0.06,0.56,0.12,,,,0.8,1.42,0.0,0.8,0.082,0.082,한화 이글스,14704
15,김태연,22 1B,0.061,2,1,12.0,11,10,1,0,100.0,8.25,0.69,,0.01,,,,,,0.7,0.84,-0.1,0.6,0.072,0.061,한화 이글스,12585
16,변우혁,22 3B,0.049,7,4,37.0,10,3,6,1,90.0,2.19,0.33,,0.03,,0.12,,,,0.48,3.28,0.0,0.48,0.049,0.049,한화 이글스,14124
17,이성곤,22 1B,0.048,28,20,175.1,174,161,11,2,98.9,8.83,1.94,,0.13,,0.0,,,,2.07,7.25,-1.6,0.47,0.213,0.048,한화 이글스,11206
18,권광민,22 RF,0.045,11,6,53.2,15,15,0,0,100.0,2.52,0.43,0.13,0.09,,,,,,0.66,2.96,-0.22,0.44,0.068,0.045,한화 이글스,13676
19,장운호,22 RF,0.044,29,21,195.0,38,37,0,1,97.4,1.71,1.23,0.14,-0.14,,,,,,1.23,3.1,-0.8,0.43,0.126,0.044,한화 이글스,11122
20,이도윤,22 3B,0.03,30,6,97.1,29,8,19,2,93.1,2.5,0.87,,0.08,-0.87,0.21,,,,0.29,0.52,0.0,0.29,0.03,0.03,한화 이글스,11414
