Rank,Name,Team,Sort▼,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,비율,비율,비율,비율,비율,비율,WAR▼
Rank,Name,Team,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR▼
33,김태연,24 RF,0.61,126,1.43,-0.82,472,466,413,59,120,24,0,12,180,61,5,2,45,4,0,89,9,6,4,0.291,0.363,0.436,0.799,0.145,106.5,0.61
34,장진혁,24 CF,0.58,99,0.57,0.00,327,322,289,56,76,16,0,9,119,44,14,6,29,3,0,72,6,5,1,0.263,0.335,0.412,0.747,0.125,91.6,0.58
35,이창진,24 LF,0.54,103,0.80,-0.26,247,242,191,36,50,10,0,1,63,18,4,3,45,2,0,36,6,5,4,0.262,0.401,0.330,0.731,0.144,107.0,0.54
36,박정우,24 CF,0.42,66,0.05,0.37,69,69,65,17,20,3,1,0,25,11,0,1,4,0,0,14,3,0,0,0.308,0.348,0.385,0.733,0.121,89.2,0.42
37,권광민,24 LF,0.40,19,0.31,0.09,51,51,48,10,13,3,0,4,28,9,0,0,3,0,0,17,0,0,0,0.271,0.314,0.583,0.897,0.160,119.1,0.40
38,천재환,24 RF,0.37,89,0.56,-0.20,236,233,215,31,61,9,1,5,87,33,8,2,13,4,0,52,7,3,1,0.284,0.335,0.405,0.740,0.121,91.5,0.37
39,이형종,24 RF,0.36,35,0.28,0.08,126,125,102,19,22,3,0,4,37,19,1,0,22,1,1,27,1,1,0,0.216,0.360,0.363,0.723,0.128,100.7,0.36
40,전다민,24 LF,0.30,25,0.34,-0.04,34,34,27,10,9,2,0,0,11,1,1,1,7,0,0,8,0,0,0,0.333,0.471,0.407,0.878,0.202,156.9,0.30
41,정준영,24 RF,0.17,43,-0.17,0.34,74,71,62,9,14,2,0,0,16,3,0,0,8,1,0,16,1,3,0,0.226,0.324,0.258,0.582,0.079,57.8,0.17
42,최원영,24 LF,0.17,57,0.17,0.00,41,41,37,18,10,2,0,1,15,5,6,4,1,3,0,7,0,0,0,0.270,0.341,0.405,0.746,0.134,102.6,0.17
43,김동혁,24 CF,0.16,39,0.15,0.01,17,17,15,8,3,0,1,0,5,1,3,1,2,0,0,5,0,0,0,0.200,0.294,0.333,0.627,0.086,60.6,0.16
44,김병준,24 CF,0.16,35,0.15,0.01,16,16,14,9,5,0,0,0,5,1,0,0,2,0,0,2,0,0,0,0.357,0.438,0.357,0.795,0.162,121.4,0.16
45,류승민,24 RF,0.13,5,0.04,0.09,3,3,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0.000,0.667,0.000,0.667,0.294,226.9,0.13
46,최상민,24 RF,0.12,43,-0.01,0.13,13,13,12,9,2,2,0,0,4,1,2,1,0,1,0,5,0,0,0,0.167,0.231,0.333,0.564,0.058,42.6,0.12
47,신윤후,24 RF,0.12,39,-0.29,0.41,35,34,31,5,5,0,0,0,5,1,0,0,1,2,0,8,1,1,0,0.161,0.235,0.161,0.396,0.004,2.9,0.12
48,이인한,24 CF,0.10,5,0.10,0.00,5,5,4,0,2,0,0,0,2,2,0,0,0,1,0,1,0,0,0,0.500,0.600,0.500,1.100,0.313,217.3,0.10
49,송승환,24 RF,0.09,3,-0.05,0.14,5,5,5,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.200,0.200,0.200,0.400,-0.022,-16.6,0.09
50,양찬열,24 RF,0.09,11,0.02,0.07,12,12,8,2,1,0,0,0,1,1,0,0,4,0,0,1,0,0,0,0.125,0.417,0.125,0.542,0.122,96.2,0.09
51,김현종,24 CF,0.06,17,-0.03,0.09,16,16,15,8,3,1,0,0,4,2,0,0,0,1,0,4,0,0,0,0.200,0.250,0.267,0.517,0.042,31.9,0.06
52,정은원,24 LF,0.06,27,-0.04,0.09,78,77,64,10,11,3,1,1,19,6,2,0,13,0,0,16,0,1,0,0.172,0.312,0.297,0.609,0.088,64.6,0.06
53,박수종,24 CF,0.05,80,-0.05,0.11,148,144,129,23,33,5,1,0,40,6,3,0,13,2,0,17,4,4,0,0.256,0.333,0.310,0.643,0.097,73.8,0.05
54,김강민,24 CF,0.02,41,-0.17,0.19,87,87,76,5,17,0,0,1,20,7,0,0,8,3,0,21,1,0,0,0.224,0.322,0.263,0.585,0.080,58.8,0.02
55,유로결,24 RF,0.01,23,-0.23,0.24,39,39,36,6,8,1,0,0,9,4,0,1,3,0,0,11,4,0,0,0.222,0.282,0.250,0.532,0.047,34.4,0.01
56,안익훈,24 LF,-0.02,37,-0.42,0.40,56,54,49,8,9,1,0,0,10,3,2,0,4,0,0,13,2,2,1,0.184,0.241,0.204,0.445,0.010,7.8,-0.02
57,고종욱,24 LF,-0.02,28,0.06,-0.09,36,36,32,3,8,2,0,1,13,4,0,0,4,0,0,6,2,0,0,0.250,0.333,0.406,0.739,0.122,92.0,-0.02
58,김성윤,24 CF,-0.03,32,-0.07,0.04,89,86,74,15,18,4,0,0,22,6,3,1,9,1,0,16,1,3,2,0.243,0.326,0.297,0.623,0.088,65.0,-0.03
59,김태훈,24 RF,-0.05,12,-0.14,0.09,21,21,20,2,4,1,0,0,5,1,0,0,0,1,0,3,1,0,0,0.200,0.238,0.250,0.488,0.027,18.5,-0.05
60,카디네스,24 RF,-0.06,7,0.11,-0.18,25,25,24,2,8,2,0,2,16,5,0,1,1,0,0,6,1,0,0,0.333,0.360,0.667,1.027,0.210,145.5,-0.06
61,오선우,24 RF,-0.07,3,-0.03,-0.04,7,7,7,0,2,0,0,0,2,1,0,0,0,0,0,3,0,0,0,0.286,0.286,0.286,0.572,0.049,36.1,-0.07
62,최민창,24 RF,-0.07,7,-0.06,0.00,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,-0.190,-133.8,-0.07
63,안현민,24 LF,-0.07,16,0.01,-0.08,29,29,25,5,5,0,1,1,10,2,0,0,2,1,0,10,0,0,1,0.200,0.276,0.400,0.676,0.091,67.3,-0.07
64,최승민,24 LF,-0.09,57,-0.29,0.20,16,15,13,20,1,0,0,0,1,1,11,7,2,0,0,3,0,1,0,0.077,0.200,0.077,0.277,-0.037,-28.6,-0.09
65,박영빈,24 LF,-0.09,19,0.13,-0.23,7,7,6,3,3,2,0,0,5,1,2,1,1,0,0,3,0,0,0,0.500,0.571,0.833,1.404,0.374,278.2,-0.09
66,장두성,24 CF,-0.12,71,-0.14,0.01,37,37,32,23,5,0,0,0,5,1,14,3,3,2,0,9,2,0,0,0.156,0.270,0.156,0.426,0.028,19.8,-0.12
67,주성원,24 RF,-0.13,27,-0.23,0.09,62,61,55,7,11,1,0,1,15,5,0,0,6,0,0,18,2,1,0,0.200,0.279,0.273,0.552,0.054,42.4,-0.13
68,김범준,24 LF,-0.15,5,-0.15,0.00,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0.000,0.000,0.000,0.000,-0.190,-142.8,-0.15
69,이진영,24 CF,-0.15,42,-0.30,0.15,103,103,93,20,19,6,0,1,28,13,0,1,8,2,0,27,3,0,0,0.204,0.282,0.301,0.583,0.067,50.9,-0.15
70,임병욱,24 CF,-0.16,42,-0.13,-0.03,92,92,87,14,21,3,0,3,33,10,1,0,4,0,0,32,1,0,1,0.241,0.272,0.379,0.651,0.075,57.9,-0.16
71,홍현빈,24 RF,-0.18,28,0.04,-0.22,22,21,18,5,4,0,1,0,6,2,0,0,3,0,0,7,0,1,0,0.222,0.333,0.333,0.666,0.108,78.0,-0.18
72,송민섭,24 RF,-0.18,36,0.08,-0.26,20,19,14,8,3,0,0,0,3,1,0,1,3,2,0,6,0,1,0,0.214,0.421,0.214,0.635,0.145,105.2,-0.18
73,함창건,24 LF,-0.19,15,-0.20,0.01,17,16,14,3,2,0,0,0,2,0,0,0,2,0,0,3,1,1,0,0.143,0.250,0.143,0.393,0.006,4.4,-0.19
74,변상권,24 LF,-0.20,77,-0.58,0.38,232,232,219,16,55,3,1,5,75,21,0,0,11,1,0,51,4,0,1,0.251,0.289,0.342,0.631,0.075,57.6,-0.20
75,이상혁,24 CF,-0.21,43,-0.09,-0.12,15,15,13,13,2,0,0,0,2,0,5,2,2,0,0,5,0,0,0,0.154,0.267,0.154,0.421,0.019,13.9,-0.21
76,이원석,24 CF,-0.21,87,-0.24,0.03,154,152,133,26,31,4,1,0,37,13,8,2,16,2,0,32,3,2,1,0.233,0.322,0.278,0.600,0.082,61.5,-0.21
77,안치영,24 CF,-0.22,31,-0.26,0.05,48,46,44,12,11,0,0,0,11,3,0,1,2,0,0,12,0,2,0,0.250,0.283,0.250,0.533,0.042,30.8,-0.22
78,김호령,24 CF,-0.23,64,-0.44,0.21,67,67,59,12,8,2,0,1,13,4,3,2,8,0,0,25,1,0,0,0.136,0.239,0.220,0.459,0.021,16.0,-0.23
79,한유섬,24 RF,-0.23,132,0.43,-0.67,523,519,464,64,109,29,0,24,210,87,0,1,46,9,3,142,2,1,3,0.235,0.314,0.453,0.767,0.125,89.3,-0.23
80,임종찬,24 CF,-0.24,24,-0.20,-0.03,64,64,57,10,9,3,2,0,16,7,0,1,6,1,0,19,2,0,0,0.158,0.250,0.281,0.531,0.048,35.5,-0.24
81,정현승,24 RF,-0.25,23,-0.17,-0.08,31,31,29,1,7,0,0,1,10,4,1,0,2,0,0,6,0,0,0,0.241,0.290,0.345,0.635,0.076,53.9,-0.25
82,박주홍,24 LF,-0.27,25,-0.44,0.17,59,59,49,5,5,2,0,0,7,1,2,0,10,0,0,17,1,0,0,0.102,0.254,0.143,0.397,0.016,12.6,-0.27
83,박한결,24 LF,-0.28,28,-0.07,-0.21,71,71,65,8,12,1,0,7,34,14,0,0,6,0,0,29,1,0,0,0.185,0.254,0.523,0.777,0.110,84.6,-0.28
84,장재영,24 RF,-0.33,38,-0.25,-0.07,139,139,119,14,20,3,0,4,35,13,0,0,17,3,0,64,2,0,0,0.168,0.288,0.294,0.582,0.072,55.7,-0.33
85,김건형,24 RF,-0.38,13,-0.35,-0.03,25,25,24,2,3,1,0,0,4,1,0,0,1,0,0,8,0,0,0,0.125,0.160,0.167,0.327,-0.046,-34.1,-0.38
86,김인태,24 LF,-0.39,10,-0.24,-0.15,26,26,23,3,4,0,0,1,7,2,0,0,2,0,0,7,1,0,1,0.174,0.231,0.304,0.535,0.031,22.0,-0.39
87,김민석,24 LF,-0.41,41,-0.42,0.01,83,82,76,14,16,3,1,0,21,6,3,1,2,4,0,20,4,1,0,0.211,0.268,0.276,0.544,0.054,38.9,-0.41
88,박시원,24 CF,-0.46,55,-0.26,-0.20,158,156,141,17,33,5,1,2,46,17,3,0,14,0,0,46,2,2,1,0.234,0.301,0.326,0.627,0.080,60.9,-0.46
89,김성욱,24 CF,-0.49,129,-0.10,-0.38,412,409,358,55,73,8,2,17,136,60,10,4,31,15,0,79,7,3,5,0.204,0.291,0.380,0.671,0.095,71.4,-0.49
90,예진원,24 CF,-0.50,22,-0.10,-0.39,21,21,19,2,4,1,0,0,5,0,0,0,2,0,0,8,1,0,0,0.211,0.286,0.263,0.549,0.056,42.8,-0.50
91,한석현,24 RF,-0.52,40,-0.22,-0.30,76,76,73,10,18,4,1,0,24,3,2,1,2,1,0,22,2,0,0,0.247,0.276,0.329,0.605,0.067,50.3,-0.52
92,조용호,24 RF,-0.52,60,-0.53,0.01,165,162,149,17,37,5,0,0,42,13,5,1,13,0,0,25,5,3,0,0.248,0.309,0.282,0.591,0.071,51.9,-0.52
93,김현준,24 RF,-0.58,79,-0.83,0.25,205,201,183,23,41,10,1,0,53,11,2,0,11,4,0,49,4,4,3,0.224,0.279,0.290,0.569,0.059,41.4,-0.58
94,김대한,24 RF,-0.69,61,-0.70,0.01,89,87,75,10,10,1,0,1,14,7,1,1,8,2,0,26,1,2,2,0.133,0.230,0.187,0.417,0.007,5.6,-0.69
95,김태근,24 LF,-0.70,43,-0.50,-0.20,27,26,23,7,2,0,0,0,2,1,0,1,0,3,0,10,0,1,0,0.087,0.192,0.087,0.279,-0.028,-21.7,-0.70
96,하재훈,24 RF,-0.74,107,0.11,-0.85,317,315,290,40,72,19,0,10,121,36,15,2,18,2,0,90,5,2,5,0.248,0.292,0.417,0.709,0.102,73.9,-0.74
97,임지열,24 RF,-0.87,22,-0.59,-0.28,57,57,49,4,5,0,0,1,8,5,0,0,7,0,0,16,2,0,1,0.102,0.211,0.163,0.374,-0.011,-8.3,-0.87
98,김인환,24 LF,-0.99,51,-0.58,-0.41,143,143,131,11,31,2,0,1,36,7,0,0,10,2,0,32,5,0,0,0.237,0.301,0.275,0.576,0.066,48.1,-0.99
