선수,팀,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,pid,연도,기존pid
강재민,한화 이글스,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,147089,2021,14708
김기탁,한화 이글스,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,128759,2021,12875
신정락,한화 이글스,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,105169,2021,10516
강경학,한화 이글스,-0.01,12,-0.12,0.1,26,26,22,1,3,0,0,0,3,0,1,0,4,0,0,10,0,0,0,0.136,0.269,0.136,0.405,0.021,16.7,106769,2021,10676
박상언,한화 이글스,-0.03,1,-0.03,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.179,-133.0,125879,2021,12587
장규현,한화 이글스,-0.05,7,-0.05,0.0,12,12,12,0,3,1,0,0,4,1,0,0,0,0,0,4,1,0,0,0.25,0.25,0.333,0.583,0.051,45.5,148119,2021,14811
정진호,한화 이글스,-0.18,48,-0.5,0.32,167,162,145,9,33,9,0,0,42,15,4,1,15,1,1,22,5,4,2,0.228,0.301,0.29,0.591,0.07,58.0,106459,2021,10645
김현민,한화 이글스,-0.21,5,-0.29,0.08,12,12,12,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0.083,0.083,0.083,0.166,-0.111,-95.1,142099,2021,14209
정민규,한화 이글스,-0.23,6,-0.21,-0.02,17,17,16,1,2,1,0,0,3,0,0,0,1,0,0,6,1,0,0,0.125,0.176,0.188,0.364,-0.024,-19.0,148139,2021,14813
김지수,한화 이글스,-0.24,11,-0.34,0.11,25,25,24,0,2,1,0,0,3,0,0,0,1,0,0,14,0,0,0,0.083,0.12,0.125,0.245,-0.064,-53.0,126629,2021,12662
이성열,한화 이글스,-0.26,46,-0.34,0.08,140,140,119,15,25,8,0,2,39,20,1,0,18,1,0,36,2,0,2,0.21,0.314,0.328,0.642,0.091,76.5,101689,2021,10168
송호정,한화 이글스,-0.32,10,-0.15,-0.17,11,11,10,1,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0.0,0.091,0.0,0.091,-0.116,-97.2,148129,2021,14812
이해창,한화 이글스,-0.38,20,-0.42,0.04,60,57,54,4,9,3,0,0,12,4,0,1,1,1,0,13,0,3,1,0.167,0.193,0.222,0.415,-0.009,-7.5,103919,2021,10391
조한민,한화 이글스,-0.4,52,-0.14,-0.25,145,144,127,15,25,6,2,5,50,18,3,2,13,2,0,57,4,1,2,0.197,0.278,0.394,0.672,0.09,75.6,142109,2021,14210
강상원,한화 이글스,-0.42,35,-0.18,-0.24,49,47,37,7,4,0,0,0,4,2,3,0,9,1,0,11,0,2,0,0.108,0.298,0.108,0.406,0.037,30.5,125649,2021,12564
박정현,한화 이글스,-0.42,33,-0.52,0.1,120,117,107,10,21,4,0,0,25,9,1,0,9,0,0,32,1,3,1,0.196,0.256,0.234,0.49,0.031,25.7,147049,2021,14704
장지승,한화 이글스,-0.44,24,-0.37,-0.07,72,70,61,7,11,1,0,1,15,5,2,0,7,1,0,24,4,2,1,0.18,0.271,0.246,0.517,0.047,39.4,148809,2021,14880
백용환,한화 이글스,-0.44,36,-0.19,-0.25,95,93,81,10,12,1,0,4,25,4,0,0,9,3,0,24,4,2,0,0.148,0.258,0.309,0.567,0.061,51.0,100039,2021,10003
허관회,한화 이글스,-0.5,28,-0.25,-0.25,79,79,63,4,12,0,0,0,12,2,0,0,13,1,0,22,1,0,2,0.19,0.329,0.19,0.519,0.067,56.0,142049,2021,14204
이동훈,한화 이글스,-0.56,33,-0.43,-0.13,62,58,53,8,10,1,0,0,11,2,2,2,3,2,0,12,2,4,0,0.189,0.259,0.208,0.467,0.027,23.3,125269,2021,12526
노태형,한화 이글스,-0.56,18,-0.47,-0.08,49,49,43,6,5,1,0,0,6,1,0,0,6,0,0,15,0,0,0,0.116,0.224,0.14,0.364,-0.005,-4.4,112699,2021,11269
이도윤,한화 이글스,-0.57,56,-0.51,-0.06,68,67,63,5,11,0,0,0,11,2,1,2,4,0,0,18,1,1,0,0.175,0.224,0.175,0.399,-0.004,-3.2,114149,2021,11414
유로결,한화 이글스,-0.88,34,-0.82,-0.07,112,110,98,11,14,5,0,1,22,7,2,1,8,2,0,39,2,2,2,0.143,0.218,0.224,0.442,0.011,8.9,141269,2021,14126
이원석,한화 이글스,-0.99,43,-0.76,-0.23,130,126,114,12,20,1,1,1,26,9,4,2,8,2,0,43,1,4,2,0.175,0.238,0.228,0.466,0.021,17.0,131389,2021,13138
임종찬,한화 이글스,-1.32,42,-1.1,-0.22,146,144,131,9,20,5,0,1,28,8,0,1,12,1,0,49,2,2,0,0.153,0.229,0.214,0.443,0.014,11.8,147069,2021,14706
홍창기,LG 트윈스,6.92,144,7.02,-0.1,651,647,524,103,172,26,2,4,214,52,23,8,109,16,4,95,6,0,2,0.328,0.456,0.408,0.864,0.19,164.4,125466,2021,12546
김현수,LG 트윈스,3.34,140,3.53,-0.19,595,592,506,70,144,23,1,17,220,96,3,0,77,3,5,42,7,0,9,0.285,0.376,0.435,0.811,0.153,132.2,101876,2021,10187
오지환,LG 트윈스,3.18,134,2.48,0.7,532,528,464,62,118,19,2,8,165,57,12,6,54,5,0,82,11,4,5,0.254,0.335,0.356,0.691,0.109,94.6,104756,2021,10475
채은성,LG 트윈스,2.33,110,2.54,-0.21,448,446,387,59,107,20,0,16,175,82,4,2,38,16,2,80,9,0,7,0.276,0.359,0.452,0.811,0.148,128.9,112156,2021,11215
유강남,LG 트윈스,2.17,130,2.17,0.0,441,437,397,39,100,16,0,11,149,60,2,0,25,14,1,75,11,3,2,0.252,0.317,0.375,0.692,0.105,90.9,107536,2021,10753
김민성,LG 트윈스,1.41,121,0.78,0.63,426,415,360,35,80,22,0,8,126,39,3,3,42,8,2,73,7,11,5,0.222,0.313,0.35,0.663,0.097,83.9,102386,2021,10238
문보경,LG 트윈스,1.28,107,0.84,0.44,329,326,278,37,64,11,1,8,101,39,3,1,46,0,1,64,5,3,2,0.23,0.337,0.363,0.7,0.115,99.6,141376,2021,14137
서건창,LG 트윈스,0.99,68,0.77,0.22,267,263,235,33,58,12,1,2,78,24,6,0,24,3,0,34,5,4,1,0.247,0.323,0.332,0.655,0.096,83.5,108556,2021,10855
이재원,LG 트윈스,0.71,62,0.33,0.38,171,171,154,22,38,6,0,5,59,17,5,1,14,2,0,48,2,0,1,0.247,0.316,0.383,0.699,0.106,92.4,131046,2021,13104
라모스,LG 트윈스,0.6,51,0.6,0.0,205,205,185,14,45,7,1,8,78,25,0,0,18,2,0,43,2,0,0,0.243,0.317,0.422,0.739,0.119,103.5,145926,2021,14592
정주현,LG 트윈스,0.6,73,0.58,0.01,214,205,181,26,43,7,1,3,61,10,3,3,24,0,0,32,4,9,0,0.238,0.327,0.337,0.664,0.101,87.3,104806,2021,10480
이형종,LG 트윈스,0.51,90,0.96,-0.45,281,280,239,32,52,11,0,10,93,34,3,1,34,7,1,65,10,1,0,0.218,0.332,0.389,0.721,0.121,104.4,125166,2021,12516
김용의,LG 트윈스,0.35,102,0.12,0.23,41,37,27,19,4,2,0,0,6,2,6,0,9,0,0,5,1,4,1,0.148,0.351,0.222,0.573,0.093,79.9,104666,2021,10466
문성주,LG 트윈스,0.12,31,-0.15,0.28,89,89,79,11,18,1,0,1,22,10,1,1,7,2,0,15,1,0,1,0.228,0.303,0.278,0.581,0.07,59.7,131126,2021,13112
한석현,LG 트윈스,0.06,16,0.16,-0.09,26,26,21,5,6,2,1,0,10,1,2,0,3,1,0,7,1,0,1,0.286,0.385,0.476,0.861,0.163,144.8,132506,2021,13250
이영빈,LG 트윈스,0.02,72,0.17,-0.15,169,167,148,21,36,9,0,2,51,16,6,3,15,3,0,51,1,2,1,0.243,0.323,0.345,0.668,0.1,85.4,147836,2021,14783
최민창,LG 트윈스,0.0,3,-0.05,0.05,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.179,-166.5,113516,2021,11351
김대유,LG 트윈스,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,107066,2021,10706
진해수,LG 트윈스,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,100756,2021,10075
이정용,LG 트윈스,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,141346,2021,14134
최성훈,LG 트윈스,0.0,5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,108516,2021,10851
류원석,LG 트윈스,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,132516,2021,13251
이찬혁,LG 트윈스,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,129096,2021,12909
채지선,LG 트윈스,0.0,4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,113876,2021,11387
이우찬,LG 트윈스,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,107496,2021,10749
고우석,LG 트윈스,0.0,5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,129076,2021,12907
이상규,LG 트윈스,0.0,3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,132456,2021,13245
김지용,LG 트윈스,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,107476,2021,10747
김진수,LG 트윈스,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,147816,2021,14781
이상영,LG 트윈스,0.0,3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,141356,2021,14135
신민재,LG 트윈스,-0.03,32,-0.05,0.02,27,27,23,8,3,0,0,0,3,2,2,1,4,0,0,6,0,0,0,0.13,0.259,0.13,0.389,0.014,12.0,130566,2021,13056
장준원,LG 트윈스,-0.05,5,-0.08,0.03,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.179,-157.2,112146,2021,11214
이주형,LG 트윈스,-0.07,14,-0.16,0.09,19,18,16,3,2,0,0,0,2,0,2,1,1,1,0,7,0,1,0,0.125,0.222,0.125,0.347,-0.011,-9.7,145916,2021,14591
이상호,LG 트윈스,-0.1,45,0.0,-0.1,68,66,65,5,20,2,0,0,22,12,2,1,1,0,0,10,2,2,0,0.308,0.318,0.338,0.656,0.088,77.2,111476,2021,11147
구본혁,LG 트윈스,-0.11,123,-0.32,0.21,45,44,38,10,5,2,0,0,7,3,0,0,3,1,0,7,0,1,2,0.132,0.205,0.184,0.389,-0.009,-7.6,141406,2021,14140
이성우,LG 트윈스,-0.12,36,-0.19,0.07,39,34,33,0,7,0,0,0,7,2,0,0,1,0,0,8,1,5,0,0.212,0.235,0.212,0.447,0.009,8.2,100046,2021,10004
김주성,LG 트윈스,-0.15,3,0.12,-0.27,7,7,6,1,1,0,0,1,4,1,0,0,1,0,0,3,0,0,0,0.167,0.286,0.667,0.953,0.175,159.5,125456,2021,12545
김호은,LG 트윈스,-0.2,7,-0.24,0.04,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0.0,-0.179,-151.4,125546,2021,12554
김재성,LG 트윈스,-0.26,58,-0.32,0.06,73,72,65,6,9,2,1,1,16,3,1,0,5,1,0,13,2,1,1,0.138,0.208,0.246,0.454,0.011,9.9,113446,2021,11344
손호영,LG 트윈스,-0.29,8,-0.09,-0.2,12,12,10,2,1,0,0,0,1,0,0,0,1,1,0,2,0,0,0,0.1,0.25,0.1,0.35,0.005,4.1,145906,2021,14590
안익훈,LG 트윈스,-0.38,48,-0.11,-0.27,16,16,14,4,2,1,0,0,3,1,0,0,0,2,0,2,1,0,0,0.143,0.25,0.214,0.464,0.03,25.6,113476,2021,11347
이천웅,LG 트윈스,-0.41,68,-0.34,-0.07,211,210,181,20,36,7,0,2,49,16,3,2,25,3,0,23,11,1,1,0.199,0.305,0.271,0.576,0.073,62.6,109356,2021,10935
보어,LG 트윈스,-0.58,32,-0.49,-0.09,117,117,100,7,17,2,0,3,28,17,0,0,11,3,0,30,2,0,3,0.17,0.265,0.28,0.545,0.053,46.5,149886,2021,14988
전준우,롯데 자이언츠,3.89,144,4.4,-0.51,619,618,552,88,192,46,0,7,259,92,6,3,53,5,0,71,10,1,8,0.348,0.405,0.469,0.874,0.173,134.6,102662,2021,10266
마차도,롯데 자이언츠,3.53,134,2.77,0.76,539,535,466,83,130,21,1,5,168,58,8,5,58,4,1,65,9,4,7,0.279,0.359,0.361,0.72,0.121,94.6,146292,2021,14629
한동희,롯데 자이언츠,3.0,129,2.8,0.2,496,494,424,54,113,24,0,17,188,69,0,1,61,6,1,95,21,1,4,0.267,0.364,0.443,0.807,0.151,118.4,131452,2021,13145
안치홍,롯데 자이언츠,2.92,119,3.52,-0.61,490,484,421,58,129,30,2,10,193,82,3,6,52,3,2,58,10,5,9,0.306,0.379,0.458,0.837,0.156,122.3,100142,2021,10014
정훈,롯데 자이언츠,2.66,135,2.62,0.04,561,553,486,70,142,27,1,14,213,79,8,1,68,3,8,89,6,1,3,0.292,0.38,0.438,0.818,0.157,122.2,102532,2021,10253
손아섭,롯데 자이언츠,2.57,139,2.91,-0.34,610,605,542,88,173,29,2,3,215,58,11,6,61,3,3,67,15,3,1,0.319,0.39,0.397,0.787,0.147,114.7,102612,2021,10261
안중열,롯데 자이언츠,1.12,58,0.78,0.34,157,154,125,19,29,5,0,3,43,16,0,0,27,1,0,25,1,3,1,0.232,0.37,0.344,0.714,0.116,90.4,113292,2021,11329
지시완,롯데 자이언츠,0.88,73,0.91,-0.03,187,185,166,23,40,9,0,7,70,26,0,0,14,5,0,54,6,2,0,0.241,0.319,0.422,0.741,0.121,95.0,114132,2021,11413
추재현,롯데 자이언츠,0.77,95,0.61,0.16,300,295,262,37,66,15,0,5,96,26,4,3,26,7,0,57,3,5,0,0.252,0.336,0.366,0.702,0.113,87.9,130942,2021,13094
이대호,롯데 자이언츠,0.69,114,0.94,-0.25,465,463,420,39,120,11,0,19,188,81,0,0,34,5,3,50,12,0,6,0.286,0.342,0.448,0.79,0.138,106.9,102512,2021,10251
김준태,롯데 자이언츠,0.44,47,0.54,-0.1,131,131,111,17,23,5,0,4,40,15,0,0,17,1,0,35,2,0,2,0.207,0.313,0.36,0.673,0.101,77.5,108352,2021,10835
김민수,롯데 자이언츠,0.38,82,0.33,0.05,224,221,199,19,48,11,1,3,70,25,0,0,18,3,0,62,4,3,1,0.241,0.312,0.352,0.664,0.095,74.6,129312,2021,12931
김재유,롯데 자이언츠,0.14,87,0.55,-0.41,192,188,174,27,50,8,0,1,61,18,7,0,10,4,0,36,1,4,0,0.287,0.34,0.351,0.691,0.108,84.4,114832,2021,11483
이호연,롯데 자이언츠,0.12,7,-0.09,0.21,11,11,9,0,2,0,0,0,2,1,0,0,1,0,0,1,1,0,1,0.222,0.273,0.222,0.495,0.032,24.8,131512,2021,13151
손성빈,롯데 자이언츠,0.12,20,0.17,-0.05,22,22,19,4,6,0,0,0,6,0,0,0,3,0,0,6,0,0,0,0.316,0.409,0.316,0.725,0.137,103.0,147962,2021,14796
김주현,롯데 자이언츠,0.05,8,-0.1,0.14,17,17,16,1,4,0,0,0,4,0,0,0,1,0,0,6,0,0,0,0.25,0.294,0.25,0.544,0.054,44.1,125702,2021,12570
이병규,롯데 자이언츠,0.01,29,0.12,-0.11,43,43,34,4,8,0,0,0,8,4,0,0,8,1,0,14,2,0,0,0.235,0.395,0.235,0.63,0.117,88.7,104772,2021,10477
강윤구,롯데 자이언츠,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,104232,2021,10423
이인복,롯데 자이언츠,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,112322,2021,11232
나균안,롯데 자이언츠,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,129302,2021,12930
김유영,롯데 자이언츠,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,112292,2021,11229
한승혁,롯데 자이언츠,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,125902,2021,12590
김원중,롯데 자이언츠,0.0,3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,108252,2021,10825
박세웅,롯데 자이언츠,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,113102,2021,11310
송재영,롯데 자이언츠,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,147942,2021,14794
오현택,롯데 자이언츠,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,102102,2021,10210
최종은,롯데 자이언츠,0.0,1,-0.02,0.02,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-0.179,-166.5,148202,2021,14820
나원탁,롯데 자이언츠,-0.02,1,-0.02,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-0.179,-137.5,129352,2021,12935
정보근,롯데 자이언츠,-0.14,11,-0.02,-0.12,20,20,18,0,5,0,0,0,5,0,0,1,2,0,0,2,1,0,0,0.278,0.35,0.278,0.628,0.094,78.1,131542,2021,13154
오윤석,롯데 자이언츠,-0.16,33,0.07,-0.22,76,76,69,9,16,7,0,2,29,5,2,0,7,0,1,21,2,0,0,0.232,0.303,0.42,0.723,0.112,85.4,113972,2021,11397
이주찬,롯데 자이언츠,-0.16,3,-0.19,0.03,8,7,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0.0,0.0,0.0,0.0,-0.179,-130.6,148192,2021,14819
강로한,롯데 자이언츠,-0.2,21,-0.19,-0.02,35,35,33,7,4,0,0,2,10,4,0,0,2,0,0,18,0,0,0,0.121,0.171,0.303,0.474,0.01,7.3,113892,2021,11389
장두성,롯데 자이언츠,-0.27,43,0.13,-0.39,41,41,36,12,8,2,1,0,12,4,4,2,5,0,0,12,0,0,0,0.222,0.317,0.333,0.65,0.095,72.1,131552,2021,13155
신용수,롯데 자이언츠,-0.34,71,0.3,-0.64,136,134,119,23,31,5,2,1,43,6,3,1,11,3,0,20,2,2,1,0.261,0.336,0.361,0.697,0.11,87.3,141692,2021,14169
강태율,롯데 자이언츠,-0.35,19,-0.25,-0.1,31,31,26,1,2,1,0,1,6,5,0,1,4,0,0,10,1,0,1,0.077,0.194,0.231,0.425,0.004,3.2,113882,2021,11388
나승엽,롯데 자이언츠,-0.36,60,-0.39,0.03,128,128,113,16,23,2,0,2,31,10,1,0,14,0,0,33,1,0,1,0.204,0.289,0.274,0.563,0.063,50.0,147972,2021,14797
배성근,롯데 자이언츠,-0.49,78,0.18,-0.66,109,107,93,21,19,4,0,1,26,9,1,0,14,0,0,36,1,2,0,0.204,0.308,0.28,0.588,0.077,59.1,132792,2021,13279
최민재,롯데 자이언츠,-0.56,21,-0.4,-0.16,27,27,25,2,2,1,0,0,3,2,2,0,2,0,0,8,1,0,0,0.08,0.148,0.12,0.268,-0.056,-45.0,130042,2021,13004
민병헌,롯데 자이언츠,-0.6,14,-0.23,-0.37,49,48,42,5,8,3,0,0,11,2,0,1,6,0,0,11,2,1,0,0.19,0.292,0.262,0.554,0.061,47.2,101882,2021,10188
김선빈,KIA 타이거즈,2.94,130,3.41,-0.47,564,561,501,55,154,32,0,5,201,67,0,0,56,1,2,39,19,1,5,0.307,0.375,0.401,0.776,0.141,115.0,100080,2021,10008
최원준,KIA 타이거즈,2.94,143,2.84,0.11,668,664,589,82,174,21,6,4,219,44,40,13,61,11,0,68,7,4,3,0.295,0.37,0.372,0.742,0.131,107.0,125340,2021,12534
류지혁,KIA 타이거즈,1.69,92,1.16,0.53,327,324,273,37,76,8,0,2,90,34,0,0,42,7,1,46,7,2,3,0.278,0.385,0.33,0.715,0.13,106.4,108940,2021,10894
박찬호,KIA 타이거즈,1.54,131,1.4,0.14,483,475,418,51,103,15,5,1,131,59,9,4,54,0,0,73,11,8,3,0.246,0.331,0.313,0.644,0.095,77.2,112610,2021,11261
최형우,KIA 타이거즈,1.13,104,1.07,0.06,446,439,373,52,87,15,1,12,140,55,0,0,67,4,10,67,9,0,2,0.233,0.354,0.375,0.729,0.129,105.8,103440,2021,10344
한승택,KIA 타이거즈,1.05,82,0.74,0.3,239,234,203,17,44,7,0,3,60,16,0,0,28,3,0,61,6,5,0,0.217,0.321,0.296,0.617,0.088,72.1,111190,2021,11119
김민식,KIA 타이거즈,0.82,100,1.04,-0.22,301,298,250,30,55,8,0,3,72,26,0,0,41,4,1,49,2,3,3,0.22,0.336,0.288,0.624,0.094,76.5,107070,2021,10707
김호령,KIA 타이거즈,0.64,62,0.31,0.33,154,152,130,16,27,2,0,4,41,15,4,1,16,6,0,44,2,2,0,0.208,0.322,0.315,0.637,0.096,78.4,112980,2021,11298
이창진,KIA 타이거즈,0.35,105,-0.24,0.59,293,289,249,35,52,8,1,3,71,33,5,0,36,1,0,54,10,4,3,0.209,0.308,0.285,0.593,0.077,62.9,112330,2021,11233
이진영,KIA 타이거즈,0.28,17,0.21,0.07,47,47,40,8,8,2,1,2,18,5,1,0,3,4,0,22,0,0,0,0.2,0.319,0.45,0.769,0.131,106.5,125390,2021,12539
최정민,KIA 타이거즈,0.27,39,0.15,0.12,19,19,15,5,5,0,0,0,5,1,2,3,3,1,0,7,1,0,0,0.333,0.474,0.333,0.807,0.181,147.9,108080,2021,10808
터커,KIA 타이거즈,0.24,127,0.5,-0.25,539,539,468,42,111,24,1,9,164,59,0,0,61,8,1,66,12,0,2,0.237,0.334,0.35,0.684,0.109,89.0,142240,2021,14224
김태진,KIA 타이거즈,0.12,99,0.28,-0.16,414,408,381,43,105,12,5,1,130,36,8,5,23,0,1,64,7,6,4,0.276,0.314,0.341,0.655,0.089,72.2,112440,2021,11244
박정우,KIA 타이거즈,0.06,32,-0.06,0.12,61,60,48,3,9,1,0,0,10,4,0,2,10,2,0,8,2,1,0,0.188,0.35,0.208,0.558,0.087,69.6,128690,2021,12869
이정훈,KIA 타이거즈,0.06,41,0.13,-0.07,151,151,129,14,32,6,0,2,44,14,0,0,19,3,0,33,3,0,0,0.248,0.358,0.341,0.699,0.12,96.8,129160,2021,12916
강경학,KIA 타이거즈,0.01,13,-0.02,0.03,13,13,11,2,2,0,0,0,2,1,0,0,1,1,0,3,0,0,0,0.182,0.308,0.182,0.49,0.053,44.2,106760,2021,10676
이준영,KIA 타이거즈,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,113030,2021,11303
