Rank,Name,Team,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,pid
12,이태양,23 P,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,106099
12,박준영,23 P,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,150149
19,이원석,23 CF,-0.01,81,-0.18,0.17,138,138,116,20,22,1,1,0,25,8,13,3,21,1,0,33,3,0,0,0.19,0.319,0.216,0.535,0.071,60.5,131389
20,유상빈,23 DH,-0.01,3,-0.03,0.02,8,8,6,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0.0,0.25,0.0,0.25,0.005,4.2,151419
21,오선진,23 SS,-0.04,90,0.25,-0.29,199,196,165,17,38,6,0,0,44,14,2,0,24,5,0,34,7,3,2,0.23,0.342,0.267,0.609,0.095,80.7,105579
22,노수광,23 LF,-0.08,30,-0.08,0.0,94,92,77,6,17,5,0,0,22,4,2,1,13,0,0,27,3,2,2,0.221,0.326,0.286,0.612,0.091,76.7,112689
23,장운호,23 RF,-0.1,4,0.03,-0.13,11,11,9,1,2,0,0,0,2,1,0,0,2,0,0,2,0,0,0,0.222,0.364,0.222,0.586,0.096,82.5,111229
24,장지승,23 LF,-0.11,3,-0.08,-0.04,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.167,-145.6,148809
25,김인환,23 1B,-0.18,112,-0.36,0.18,365,365,325,34,73,16,0,7,110,42,1,0,35,2,2,91,4,0,3,0.225,0.301,0.338,0.639,0.089,75.4,125899
26,이상혁,23 CF,-0.18,7,-0.08,-0.1,2,2,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-0.167,-130.0,151399
27,이성곤,23 DH,-0.25,8,-0.21,-0.04,16,15,14,2,2,0,0,0,2,0,0,0,1,0,0,3,0,1,0,0.143,0.2,0.143,0.343,-0.019,-15.7,112069
28,김건,23 DH,-0.33,7,-0.16,-0.17,12,12,12,1,2,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0.167,0.167,0.167,0.334,-0.037,-31.4,142099
29,허관회,23 C,-0.34,10,-0.19,-0.15,7,7,7,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,-0.167,-139.5,142049
30,박상언,23 C,-0.35,86,-0.34,-0.01,161,158,145,13,29,5,1,1,39,13,1,2,10,1,0,38,6,3,2,0.2,0.253,0.269,0.522,0.045,37.9,125879
31,이명기,23 DH,-0.37,14,-0.39,0.02,42,42,40,2,7,1,0,0,8,5,1,0,2,0,0,9,0,0,0,0.175,0.214,0.2,0.414,0.003,2.7,101199
32,하주석,23 SS,-0.53,25,-0.31,-0.22,38,38,35,4,4,1,0,0,5,2,0,0,2,1,0,10,0,0,0,0.114,0.184,0.143,0.327,-0.022,-18.3,109139
33,박정현,23 SS,-0.54,53,-0.35,-0.18,113,110,105,12,19,6,0,2,31,4,0,0,3,2,0,36,2,3,0,0.181,0.218,0.295,0.513,0.036,30.3,147049
34,윌리엄스,23 LF,-0.63,68,-0.15,-0.48,273,273,258,29,63,14,0,9,104,45,1,1,8,4,0,63,6,0,3,0.244,0.275,0.403,0.678,0.093,78.5,156479
35,유로결,23 RF,-0.63,27,-0.65,0.02,53,52,48,5,7,1,0,0,8,5,1,0,1,1,0,10,3,1,2,0.146,0.173,0.167,0.34,-0.029,-24.3,141269
36,장진혁,23 CF,-0.65,68,-0.49,-0.16,178,178,162,24,36,5,1,0,43,12,5,4,15,0,0,41,3,0,1,0.222,0.287,0.265,0.552,0.061,52.6,125839
37,권광민,23 LF,-0.84,66,-0.45,-0.38,81,80,73,11,11,1,1,2,20,9,2,0,6,1,0,24,2,1,0,0.151,0.225,0.274,0.499,0.036,30.9,136769
38,오그레디,23 LF,-0.98,22,-0.93,-0.05,86,86,80,3,10,3,0,0,13,8,1,0,5,0,0,40,0,0,1,0.125,0.174,0.163,0.337,-0.025,-20.8,155419
1,홍창기,23 RF,6.67,141,5.74,0.93,643,638,524,109,174,35,2,1,216,65,23,23,88,22,3,83,6,3,6,0.332,0.444,0.412,0.856,0.183,161.3,125466
