Rank,Name,Team,Sort▼,G,GS,IP,TC,PO,Ass,E,F%,RF9,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼,포지션
Rank,Name,Team,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼,
46,김동헌,24 C,-0.123,2,2,14.0,11,10,0,1,90.9,6.43,0.0,,-0.45,,,-0.73,-0.47,,-1.51,-109.07,0.17,-1.35,-0.138,-0.123,포수
47,김성우,24 C,-0.13,4,2,16.0,8,7,1,0,100.0,4.5,-0.09,,0.06,,0.05,-0.3,-1.75,,-1.52,-54.61,0.1,-1.42,-0.139,-0.13,포수
48,한승택,24 C,-0.145,19,2,47.0,52,43,7,2,96.2,9.57,0.34,,-0.83,,,0.34,-2.5,,-1.9,-13.65,0.31,-1.58,-0.173,-0.145,포수
49,허도환,24 C,-0.195,58,27,250.0,229,219,8,2,99.1,8.17,-0.24,,-0.1,,,-1.17,-4.38,,-4.58,-11.18,2.45,-2.13,-0.418,-0.195,포수
50,이정훈,24 C,,1,0,1.0,1,1,0,0,100.0,9.0,0.0,,0.0,,,,-0.49,,-0.34,-0.76,,,-0.031,,포수
50,전준호,24 C,,3,0,5.0,5,4,1,0,100.0,9.0,0.33,,0.02,,,,-0.27,,0.16,7.49,,,0.014,,포수
1,김휘집,24 1B,0.226,13,11,94.0,97,86,11,0,100.0,9.29,2.93,,0.46,,0.06,,,,3.46,3.56,-0.98,2.48,0.316,0.226,1루수
2,디아즈,24 1B,0.206,18,18,151.0,136,121,14,1,99.3,8.05,3.48,,0.24,,0.06,,,,3.78,18.77,-1.52,2.26,0.345,0.206,1루수
3,문상철,24 1B,0.148,88,78,638.2,619,563,50,6,99.0,8.64,8.27,,0.15,,-0.32,,,,8.1,9.34,-6.48,1.62,0.74,0.148,1루수
4,권광민,24 1B,0.124,2,0,7.0,9,9,0,0,100.0,11.57,1.39,,0.03,,,,,,1.42,10.78,-0.06,1.36,0.13,0.124,1루수
5,오영수,24 1B,0.093,10,6,49.2,53,49,4,0,100.0,9.6,1.21,,0.25,,,,,,1.46,10.51,-0.44,1.02,0.133,0.093,1루수
6,이창용,24 1B,0.072,6,4,37.0,32,29,2,1,96.9,7.54,1.45,,-0.32,,,,,,1.13,18.12,-0.34,0.79,0.103,0.072,1루수
7,윤정빈,24 1B,0.07,7,1,31.0,22,21,1,0,100.0,6.39,0.87,,0.15,,,,,,1.02,2.13,-0.26,0.76,0.093,0.07,1루수
8,강승호,24 1B,0.063,32,13,143.2,145,126,18,1,99.3,9.02,1.74,,0.21,,0.06,,,,2.01,2.06,-1.32,0.69,0.183,0.063,1루수
9,전병우,24 1B,0.059,3,3,18.0,14,13,0,1,92.9,6.5,1.18,,-0.41,,,,,,0.77,1.9,-0.12,0.65,0.07,0.059,1루수
10,김재혁,24 1B,0.059,4,4,31.0,25,21,4,0,100.0,7.26,0.81,,0.15,,0.06,,,,1.02,4.21,-0.38,0.64,0.094,0.059,1루수
11,강진성,24 1B,0.057,2,1,9.0,7,6,1,0,100.0,7.0,0.66,,0.04,,,,,,0.7,6.31,-0.08,0.62,0.064,0.057,1루수
12,김수윤,24 1B,0.043,5,1,22.0,23,22,1,0,100.0,9.41,0.5,,0.11,,,,,,0.61,9.7,-0.14,0.47,0.055,0.043,1루수
13,강민성,24 1B,0.037,1,0,2.0,2,2,0,0,100.0,9.0,0.42,,0.01,,,,,,0.43,61.21,-0.02,0.41,0.039,0.037,1루수
14,박주홍,24 1B,0.027,3,1,10.0,11,11,0,0,100.0,9.9,0.33,,0.05,,,,,,0.38,2.17,-0.08,0.3,0.034,0.027,1루수
15,공민규,24 1B,0.026,2,0,5.0,7,5,2,0,100.0,12.6,0.27,,0.02,,,,,,0.3,3.59,-0.02,0.28,0.027,0.026,1루수
16,김규성,24 1B,0.021,9,0,13.0,17,15,1,1,94.1,11.08,0.73,,-0.44,,,,,,0.29,1.55,-0.06,0.23,0.026,0.021,1루수
17,오윤석,24 1B,0.015,5,0,7.0,5,5,0,0,100.0,6.43,0.17,,0.03,,,,,,0.21,0.41,-0.04,0.17,0.019,0.015,1루수
18,도태훈,24 1B,0.009,57,17,215.2,192,171,20,1,99.5,7.97,1.25,,0.56,,0.06,,,,1.87,2.7,-1.78,0.09,0.171,0.009,1루수
19,이주찬,24 1B,-0.001,1,0,2.0,3,3,0,0,100.0,13.5,,,0.01,,,,,,0.01,0.08,-0.02,-0.01,0.001,-0.001,1루수
20,이호연,24 1B,-0.001,1,0,2.0,4,4,0,0,100.0,18.0,0.0,,0.01,,,,,,0.01,0.05,-0.02,-0.01,0.001,-0.001,1루수
21,하주석,24 1B,-0.001,1,0,1.0,1,1,0,0,100.0,9.0,,,0.0,,,,,,0.0,0.01,-0.02,-0.02,0.0,-0.001,1루수
22,홍성호,24 1B,-0.002,3,0,5.0,5,5,0,0,100.0,9.0,0.0,,0.02,,,,,,0.02,0.2,-0.04,-0.02,0.002,-0.002,1루수
23,노진혁,24 1B,-0.006,12,3,36.0,40,36,3,1,97.5,9.75,0.53,,-0.32,,,,,,0.21,0.41,-0.28,-0.07,0.019,-0.006,1루수
24,오태곤,24 1B,-0.032,89,42,478.2,464,427,35,2,99.6,8.69,1.91,,1.36,,0.29,,,,3.57,4.39,-3.92,-0.35,0.326,-0.032,1루수
25,한재환,24 1B,-0.033,3,0,4.0,3,3,0,0,100.0,6.75,-0.01,,0.02,,-0.35,,,,-0.34,-6.92,-0.02,-0.36,-0.031,-0.033,1루수
26,김현수,24 1B,-0.037,7,0,11.0,8,8,0,0,100.0,6.55,-0.34,,0.05,,,,,,-0.28,-0.3,-0.12,-0.4,-0.026,-0.037,1루수
27,황대인,24 1B,-0.053,2,2,10.0,10,9,1,0,100.0,9.0,-0.51,,0.05,,,,,,-0.46,-22.06,-0.12,-0.58,-0.042,-0.053,1루수
28,맥키넌,24 1B,-0.055,50,49,423.1,373,335,34,4,98.9,7.84,3.88,,0.09,,-0.29,,,,3.68,7.35,-4.28,-0.6,0.336,-0.055,1루수
29,고승민,24 1B,-0.06,6,0,13.0,12,11,1,0,100.0,8.31,-0.6,,0.06,,,,,,-0.54,-0.65,-0.12,-0.66,-0.049,-0.06,1루수
30,최항,24 1B,-0.064,10,1,21.1,14,14,0,0,100.0,5.91,-0.64,,0.11,,,,,,-0.54,-1.08,-0.16,-0.7,-0.049,-0.064,1루수
31,문보경,24 1B,-0.074,52,12,180.0,165,146,16,3,98.2,8.1,1.12,,-0.62,,0.19,,,,0.7,0.7,-1.5,-0.8,0.064,-0.074,1루수
32,김성진,24 1B,-0.079,8,2,14.2,9,9,0,0,100.0,5.52,-0.84,,0.07,,,,,,-0.77,-7.89,-0.1,-0.87,-0.07,-0.079,1루수
33,류지혁,24 1B,-0.08,13,3,44.2,36,34,2,0,100.0,7.25,-0.76,,0.22,,,,,,-0.54,-0.77,-0.34,-0.88,-0.049,-0.08,1루수
34,김재성,24 1B,-0.094,1,1,5.0,4,3,0,1,75.0,5.4,-0.47,,-0.48,,,,,,-0.94,-13.59,-0.08,-1.02,-0.086,-0.094,1루수
35,이성규,24 1B,-0.109,39,21,201.1,185,173,10,2,98.9,8.18,0.68,,-0.01,,,,,,0.67,0.79,-1.86,-1.19,0.061,-0.109,1루수
36,김민수,24 1B,-0.116,6,2,15.0,13,12,0,1,92.3,7.2,-0.72,,-0.43,,,,,,-1.15,-8.72,-0.12,-1.27,-0.105,-0.116,1루수
37,김범석,24 1B,-0.119,26,16,131.1,129,117,9,3,97.7,8.63,0.54,,-0.86,,0.23,,,,-0.08,-0.17,-1.22,-1.3,-0.008,-0.119,1루수
38,전민재,24 1B,-0.12,3,1,10.0,10,9,0,1,90.0,8.1,-0.8,,-0.45,,,,,,-1.25,-1.8,-0.06,-1.31,-0.114,-0.12,1루수
39,박병호,24 1B,-0.123,31,29,476.0,459,412,43,4,99.1,8.6,2.55,,0.35,,0.31,,,,3.21,3.85,-4.56,-1.35,0.293,-0.123,1루수
40,제러드,24 1B,-0.125,2,0,5.0,5,4,0,1,80.0,7.2,-1.36,,0.02,,,,,,-1.33,-5.05,-0.04,-1.37,-0.122,-0.125,1루수
41,정훈,24 1B,-0.142,37,29,271.0,281,259,20,2,99.3,9.27,0.42,,0.34,,0.29,,,,1.04,1.38,-2.6,-1.56,0.095,-0.142,1루수
42,김인환,24 1B,-0.188,14,7,66.0,55,50,3,2,96.4,7.23,-0.81,,-0.68,,0.06,,,,-1.43,-4.05,-0.62,-2.05,-0.131,-0.188,1루수
43,이원석,24 1B,-0.254,12,12,87.0,91,85,4,2,97.8,9.21,-1.45,,-0.57,,,,,,-2.02,-7.46,-0.76,-2.78,-0.185,-0.254,1루수
44,송성문,24 1B,-0.296,32,15,148.0,138,130,7,1,99.3,8.33,-2.05,,0.23,,0.06,,,,-1.76,-1.78,-1.48,-3.24,-0.161,-0.296,1루수
45,이영빈,24 1B,-0.307,12,7,62.0,62,56,5,1,98.4,8.85,-1.94,,-0.2,,-0.66,,,,-2.8,-13.0,-0.56,-3.36,-0.256,-0.307,1루수
46,고명준,24 1B,-0.313,92,87,667.0,631,584,42,5,99.2,8.45,2.23,,0.79,,0.06,,,,3.08,4.18,-6.5,-3.42,0.281,-0.313,1루수
47,전의산,24 1B,-0.369,22,14,114.0,102,91,9,2,98.0,7.89,-2.4,,-0.44,,-0.26,,,,-3.1,-13.14,-0.94,-4.04,-0.283,-0.369,1루수
