Rank,Name,Team,Sort▼,G,GS,IP,TC,PO,Ass,E,F%,RF9,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼,포지션
Rank,Name,Team,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼,
28,서예일,24 SS,0.027,4,0,6.0,2,0,2,0,100.0,3.0,0.23,,0.05,,,,,,0.28,1.69,0.02,0.3,0.026,0.027,유격수
29,한경빈,24 SS,0.015,1,0,2.0,2,1,1,0,100.0,9.0,-0.13,,0.02,0.25,,,,,0.14,20.42,0.02,0.16,0.013,0.015,유격수
30,구본혁,24 SS,0.001,54,43,368.0,161,59,97,5,96.9,3.82,-3.12,,0.75,-0.97,,,,,-3.33,-3.61,3.34,0.01,-0.304,0.001,유격수
31,홍종표,24 SS,-0.003,17,9,81.0,39,13,24,2,94.9,4.11,-1.24,,-0.29,0.69,,,,,-0.83,-1.2,0.8,-0.03,-0.076,-0.003,유격수
32,윤준혁,24 SS,-0.009,2,0,3.0,3,1,1,1,66.7,6.0,0.36,,-0.48,,,,,,-0.12,-1.31,0.02,-0.1,-0.011,-0.009,유격수
33,문현빈,24 SS,-0.009,1,0,2.0,2,2,0,0,100.0,9.0,-0.14,,0.02,,,,,,-0.12,-0.17,0.02,-0.1,-0.011,-0.009,유격수
34,김병휘,24 SS,-0.009,22,19,146.2,58,17,39,2,96.6,3.44,-2.29,,0.3,0.61,,,,,-1.38,-7.12,1.28,-0.1,-0.126,-0.009,유격수
35,김도영,24 SS,-0.026,1,0,2.0,0,0,0,0,0.0,0.0,-0.32,,0.02,,,,,,-0.31,-0.31,0.02,-0.29,-0.028,-0.026,유격수
36,하주석,24 SS,-0.035,42,26,221.2,120,43,74,3,97.5,4.75,-3.03,,0.46,0.07,,,,,-2.5,-5.62,2.12,-0.38,-0.228,-0.035,유격수
37,김민수,24 SS,-0.04,4,0,12.0,14,7,6,1,92.9,9.75,-1.36,,-0.4,1.2,,,,,-0.56,-4.23,0.12,-0.44,-0.051,-0.04,유격수
38,김호진,24 SS,-0.05,9,2,26.0,2,2,0,0,100.0,0.69,-0.95,,0.23,,,,,,-0.72,-4.01,0.18,-0.54,-0.066,-0.05,유격수
39,김규성,24 SS,-0.052,9,0,20.2,11,4,6,1,90.9,4.35,0.64,,-0.32,-0.99,,,,,-0.67,-3.57,0.1,-0.57,-0.061,-0.052,유격수
40,김재호,24 SS,-0.063,52,38,326.0,148,65,76,7,95.3,3.89,-3.93,,-0.62,0.89,,,,,-3.66,-9.26,2.98,-0.68,-0.335,-0.063,유격수
41,황영묵,24 SS,-0.068,46,29,265.0,123,48,71,4,96.7,4.04,-1.52,,0.34,-2.03,,,,,-3.2,-3.75,2.46,-0.74,-0.292,-0.068,유격수
42,고영우,24 SS,-0.069,14,7,67.0,26,5,20,1,96.2,3.36,-1.55,,0.09,0.04,,,,,-1.41,-2.16,0.66,-0.75,-0.129,-0.069,유격수
43,김주성,24 SS,-0.073,5,2,14.0,4,2,1,1,75.0,1.93,-0.23,,-0.38,-0.28,,,,,-0.89,-10.73,0.1,-0.79,-0.082,-0.073,유격수
44,김세훈,24 SS,-0.074,5,0,8.1,3,3,0,0,100.0,3.24,-0.7,,0.07,-0.24,,,,,-0.87,-17.82,0.06,-0.81,-0.079,-0.074,유격수
45,안상현,24 SS,-0.074,3,1,8.0,8,4,3,1,87.5,7.88,-0.44,,-0.43,,,,,,-0.87,-3.39,0.06,-0.81,-0.08,-0.074,유격수
46,안주형,24 SS,-0.09,14,8,56.2,35,17,18,0,100.0,5.56,-1.46,,0.5,-0.51,,,,,-1.47,-2.58,0.48,-0.99,-0.134,-0.09,유격수
47,최경모,24 SS,-0.113,9,2,20.0,3,0,2,1,66.7,0.9,-0.55,,-0.32,-0.48,,,,,-1.35,-3.9,0.12,-1.23,-0.124,-0.113,유격수
48,박민석,24 SS,-0.162,5,0,8.1,5,1,2,2,60.0,3.24,-1.08,,-0.93,0.19,,,,,-1.83,-13.17,0.06,-1.77,-0.167,-0.162,유격수
49,이학주,24 SS,-0.166,40,25,238.1,107,38,67,2,98.1,3.97,-3.82,,1.11,-1.16,,,,,-3.88,-12.99,2.06,-1.82,-0.354,-0.166,유격수
50,김한별,24 SS,-0.178,21,7,80.0,31,9,21,1,96.8,3.38,-2.71,,0.21,-0.15,,,,,-2.65,-9.53,0.7,-1.95,-0.242,-0.178,유격수
51,박계범,24 SS,-0.194,3,2,19.0,13,1,10,2,84.6,5.21,-1.21,,-0.84,-0.23,,,,,-2.28,-13.69,0.16,-2.12,-0.208,-0.194,유격수
52,손호영,24 SS,-0.217,6,4,39.0,18,8,9,1,94.4,3.92,-2.23,,-0.16,-0.38,,,,,-2.76,-3.9,0.38,-2.38,-0.252,-0.217,유격수
53,이승원,24 SS,-0.24,18,13,96.0,48,20,25,3,93.8,4.22,-1.84,,-0.65,-0.87,,,,,-3.36,-24.22,0.74,-2.62,-0.307,-0.24,유격수
54,김두현,24 SS,-0.245,2,1,10.0,5,0,3,2,60.0,2.7,-1.88,,-0.92,0.05,,,,,-2.74,-131.41,0.06,-2.68,-0.25,-0.245,유격수
55,노진혁,24 SS,-0.268,29,18,150.2,66,23,38,5,92.4,3.64,-2.37,,-1.17,-0.91,,,,,-4.45,-8.79,1.52,-2.93,-0.407,-0.268,유격수
56,김성현,24 SS,-0.275,21,12,118.0,54,19,32,3,94.4,3.89,-3.27,,-0.46,-0.27,,,,,-4.01,-8.12,1.0,-3.01,-0.366,-0.275,유격수
57,이재상,24 SS,-0.344,35,28,221.0,98,44,50,4,95.9,3.83,-3.25,,-0.05,-2.19,,,,,-5.49,-21.96,1.72,-3.77,-0.501,-0.344,유격수
58,김재상,24 SS,,1,0,1.0,2,0,2,0,100.0,18.0,-0.26,,0.01,-0.2,,,,,-0.46,-1.87,,,-0.042,,유격수
58,강성우,24 SS,,1,0,1.0,0,0,0,0,0.0,0.0,,,0.01,,,,,,0.01,0.64,,,0.001,,유격수
58,김선빈,24 SS,,2,0,3.0,3,1,2,0,100.0,9.0,-0.15,,0.03,,,,,,-0.13,-0.16,,,-0.012,,유격수
58,신준우,24 SS,,1,0,1.0,0,0,0,0,0.0,0.0,0.0,,0.01,,,,,,0.01,1.15,,,0.001,,유격수
58,황재균,24 SS,,4,0,5.0,3,1,2,0,100.0,5.4,-0.49,,0.04,0.05,,,,,-0.4,-0.42,,,-0.036,,유격수
58,강한울,24 SS,,3,0,3.0,1,1,0,0,100.0,3.0,-0.03,,0.03,-0.25,,,,,-0.25,-2.02,,,-0.023,,유격수
58,도태훈,24 SS,,1,0,1.0,0,0,0,0,0.0,0.0,-0.04,,0.01,,,,,,-0.03,-0.05,,,-0.003,,유격수
