Rank,Name,Team,Sort▼,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,WAR▼,팀,pid
23,김재영,23 P,-0.19,6,0,6,3,0,0,0,0,0,0,8.0,9,9,8.3,40,13,2,1,2,2,2,0,5,0,0,0,10.13,10.13,9.34,9.41,6.81,1.88,-0.19,한화 이글스,12547
24,이충호,23 P,-0.21,11,0,11,2,0,0,0,0,0,0,8.2,9,9,8.65,41,12,0,0,2,5,1,0,7,0,0,0,9.35,9.35,8.98,9.5,6.72,1.96,-0.21,한화 이글스,11116
25,박윤철,23 P,-0.25,3,0,3,1,0,0,0,0,0,0,3.1,8,8,8.0,20,5,2,0,2,5,0,0,1,0,0,1,21.6,21.6,21.6,19.87,14.89,3.0,-0.25,한화 이글스,14129
26,남지민,23 P,-0.26,16,7,9,5,0,0,1,7,0,0,37.2,27,31,30.15,186,54,12,0,0,13,6,1,23,5,0,3,6.45,7.41,7.2,7.03,3.8,1.78,-0.26,한화 이글스,14619
27,김서현,23 P,-0.26,20,1,19,1,0,0,0,0,1,0,22.1,18,20,17.95,114,22,4,2,1,23,7,1,26,1,1,3,7.25,8.06,7.23,7.22,5.64,2.01,-0.26,한화 이글스,15421
28,김민우,23 P,-0.28,12,12,0,0,0,0,1,6,0,0,51.2,40,43,42.5,243,65,16,2,6,28,2,0,43,2,0,5,6.97,7.49,7.4,7.34,4.95,1.8,-0.28,한화 이글스,11410
29,한승혁,23 P,-0.3,21,7,14,4,0,0,0,3,0,1,36.1,26,27,28.9,176,48,9,0,3,21,3,0,28,2,0,4,6.44,6.69,7.16,7.12,4.95,1.9,-0.3,한화 이글스,10812
30,강재민,23 P,-0.63,43,0,43,2,0,0,1,3,0,12,43.1,31,31,31.25,189,35,10,1,5,19,8,0,42,1,0,0,6.44,6.44,6.49,6.57,4.73,1.25,-0.63,한화 이글스,14708
31,박상언,23 C,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,한화 이글스,12587
1,플럿코,23 P,4.97,21,21,0,0,0,0,11,3,0,0,123.1,33,37,37.0,510,115,21,3,5,31,3,1,101,6,0,2,2.41,2.7,2.7,2.74,3.14,1.18,4.97,LG 트윈스,15003
2,켈리,23 P,3.93,30,30,0,0,0,0,10,7,0,0,178.2,76,87,81.9,746,183,31,3,10,39,6,1,129,7,0,6,3.83,4.38,4.13,4.27,3.49,1.24,3.93,LG 트윈스,13934
3,임찬규,23 P,3.78,30,26,4,1,0,0,14,3,0,1,144.2,55,63,59.75,632,142,22,2,10,54,5,1,103,10,1,1,3.42,3.92,3.72,3.91,4.16,1.35,3.78,LG 트윈스,10652
4,함덕주,23 P,2.67,57,0,57,9,0,0,4,0,4,16,55.2,10,12,13.0,222,32,9,1,1,22,2,1,59,3,0,0,1.62,1.94,2.1,2.21,2.69,0.97,2.67,LG 트윈스,11094
5,김진성,23 P,2.41,80,0,80,14,0,0,5,1,4,21,70.1,17,17,22.95,270,41,5,1,8,26,0,0,69,1,0,0,2.18,2.18,2.94,3.11,3.9,0.95,2.41,LG 트윈스,11166
6,백승현,23 P,2.14,42,0,42,5,0,0,2,0,3,11,40.0,7,7,7.35,162,28,4,0,2,18,0,1,30,3,0,1,1.58,1.58,1.65,1.68,3.89,1.15,2.14,LG 트윈스,13009
7,김윤식,23 P,1.68,17,16,1,0,0,0,6,4,0,0,74.2,35,35,33.45,320,86,13,2,4,25,3,0,42,1,0,4,4.22,4.22,4.03,4.26,4.24,1.49,1.68,LG 트윈스,14588
8,유영찬,23 P,1.57,67,0,67,10,0,0,6,3,1,12,68.0,26,27,28.05,305,55,14,1,4,40,7,2,55,4,0,8,3.44,3.57,3.71,3.88,4.67,1.4,1.57,LG 트윈스,14669
9,이정용,23 P,1.13,37,13,24,9,0,0,7,2,3,1,86.2,40,45,46.4,382,100,20,1,5,19,2,0,50,9,0,3,4.15,4.67,4.82,4.88,3.84,1.37,1.13,LG 트윈스,14134
10,이우찬,23 P,1.0,38,0,38,6,0,0,1,3,0,5,38.1,15,15,13.1,157,35,4,0,1,18,2,0,30,2,1,2,3.52,3.52,3.08,3.28,3.82,1.38,1.0,LG 트윈스,10749
11,최동환,23 P,0.79,45,0,45,15,0,0,0,0,1,1,42.1,15,18,18.5,189,42,11,0,1,17,3,2,20,5,0,0,3.19,3.83,3.93,4.08,4.41,1.39,0.79,LG 트윈스,10535
12,고우석,23 P,0.79,44,0,44,35,0,0,3,8,15,0,44.0,18,19,21.05,190,38,6,0,2,22,4,1,59,1,0,5,3.68,3.89,4.31,4.38,2.8,1.36,0.79,LG 트윈스,12907
13,이지강,23 P,0.36,22,12,10,5,0,0,2,5,0,2,68.0,30,45,43.45,299,60,9,0,4,28,9,0,38,7,0,3,3.97,5.96,5.75,5.82,4.84,1.29,0.36,LG 트윈스,14143
14,이상규,23 P,0.24,8,0,8,4,0,0,0,0,0,0,7.2,2,2,2.0,34,7,0,0,0,5,0,0,6,1,0,1,2.35,2.35,2.35,2.56,3.91,1.57,0.24,LG 트윈스,13245
15,이상영,23 P,0.15,6,2,4,1,0,0,0,1,0,0,11.0,4,5,4.5,54,12,3,0,0,8,3,0,4,1,0,0,3.27,4.09,3.68,3.82,6.04,1.82,0.15,LG 트윈스,14135
16,이민호,23 P,0.09,5,5,0,0,0,0,0,2,0,0,19.2,11,13,13.0,91,22,4,0,1,10,0,0,7,4,0,0,5.03,5.95,5.95,6.09,5.14,1.63,0.09,LG 트윈스,14589
17,진해수,23 P,0.07,19,0,19,3,0,0,0,0,0,2,14.2,6,8,9.2,72,18,3,0,2,10,0,0,12,1,0,3,3.68,4.91,5.65,5.59,5.54,1.91,0.07,LG 트윈스,10075
18,윤호솔,23 P,0.07,4,0,4,1,0,0,0,0,0,0,3.2,1,1,1.5,17,3,1,0,0,3,0,0,4,0,0,0,2.45,2.45,3.68,3.93,3.66,1.64,0.07,LG 트윈스,11170
19,송은범,23 P,0.07,4,0,4,1,0,0,0,0,0,0,3.2,1,1,1.7,17,6,0,0,0,3,0,0,2,0,0,0,2.45,2.45,4.17,3.98,5.02,2.45,0.07,LG 트윈스,10137
20,송승기,23 P,0.04,1,0,1,1,0,0,0,0,0,0,1.0,0,0,0.0,5,1,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6.95,2.0,0.04,LG 트윈스,14846
21,채지선,23 P,0.03,1,0,1,1,0,0,0,0,0,0,0.2,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3.85,0.0,0.03,LG 트윈스,11387
22,오석주,23 P,0.0,9,0,9,4,0,0,0,0,0,0,10.0,7,7,7.0,44,12,2,0,2,3,0,0,11,0,0,2,6.3,6.3,6.3,6.71,4.41,1.5,0.0,LG 트윈스,12860
23,박명근,23 P,-0.01,57,1,56,12,0,0,4,3,5,9,51.1,29,31,31.7,236,49,9,1,4,28,6,2,40,6,0,1,5.08,5.44,5.56,5.68,4.82,1.5,-0.01,LG 트윈스,15486
24,성동현,23 P,-0.02,1,0,1,1,0,0,0,0,0,0,1.0,1,1,1.0,6,2,0,0,0,1,0,0,1,0,0,0,9.0,9.0,9.0,9.83,4.45,3.0,-0.02,LG 트윈스,13103
25,김영준,23 P,-0.02,1,0,1,0,0,0,1,0,0,0,0.1,1,1,0.65,3,1,0,0,0,1,0,0,0,0,0,0,27.0,27.0,17.55,16.31,13.15,6.0,-0.02,LG 트윈스,13102
26,강효종,23 P,-0.03,7,7,0,0,0,0,1,2,0,0,21.2,15,18,16.3,103,25,3,0,1,12,2,0,14,2,1,0,6.23,7.48,6.77,6.86,4.79,1.71,-0.03,LG 트윈스,14780
27,배재준,23 P,-0.07,1,0,1,0,0,0,0,0,0,0,1.0,2,2,2.0,6,2,0,1,0,1,0,0,0,0,0,1,18.0,18.0,18.0,19.66,6.95,3.0,-0.07,LG 트윈스,12697
28,김동규,23 P,-0.09,1,0,1,0,0,0,0,0,0,0,0.1,1,2,2.0,6,0,0,0,0,3,1,0,0,1,0,0,27.0,54.0,54.0,53.7,41.05,9.0,-0.09,LG 트윈스,15485
29,최원태,23 P,-0.12,9,9,0,0,0,0,3,3,0,0,44.1,33,35,34.65,210,59,6,1,5,17,2,2,40,2,0,1,6.7,7.11,7.03,7.04,4.12,1.71,-0.12,LG 트윈스,11379
30,손주영,23 P,-0.16,3,2,1,0,0,0,1,0,0,0,8.2,5,7,7.85,46,12,0,0,0,6,0,0,5,3,1,0,5.19,7.27,8.15,8.79,4.55,2.08,-0.16,LG 트윈스,12908
31,김대현,23 P,-0.16,5,0,5,2,0,0,0,0,0,0,3.1,4,5,4.65,22,8,2,0,1,2,1,0,3,1,0,1,10.8,13.5,12.56,12.83,7.96,3.0,-0.16,LG 트윈스,12532
32,최성훈,23 P,-0.54,5,0,5,1,0,0,0,0,1,0,3.0,5,5,6.9,17,7,2,0,0,1,0,0,2,0,0,0,15.0,15.0,20.7,22.06,3.22,2.67,-0.54,LG 트윈스,10851
33,정우영,23 P,-0.66,60,0,60,3,0,0,5,6,0,11,51.2,27,39,37.45,245,63,11,0,1,17,15,1,41,5,1,2,4.7,6.79,6.52,6.84,3.96,1.55,-0.66,LG 트윈스,14136
1,반즈,23 P,5.49,30,30,0,0,0,0,11,10,0,0,170.1,62,68,65.4,734,171,34,1,6,56,15,1,147,7,0,7,3.28,3.59,3.46,3.41,3.4,1.33,5.49,롯데 자이언츠,15011
2,박세웅,23 P,4.21,27,27,0,0,0,0,9,7,0,0,154.0,59,70,67.25,657,145,24,0,8,59,4,1,129,9,0,10,3.45,4.09,3.93,3.82,3.62,1.32,4.21,롯데 자이언츠,11310
3,나균안,23 P,3.34,23,23,0,0,0,0,6,8,0,0,130.1,55,61,58.75,569,140,27,3,8,42,5,1,114,4,0,6,3.8,4.21,4.06,3.96,3.51,1.4,3.34,롯데 자이언츠,12930
4,윌커슨,23 P,2.92,13,13,0,0,0,0,7,2,0,0,79.2,20,28,27.5,327,67,15,2,3,20,2,0,81,5,1,3,2.26,3.16,3.11,3.04,2.61,1.09,2.92,롯데 자이언츠,12295
5,김상수,23 P,1.73,67,0,67,7,0,0,4,2,1,18,52.0,18,22,18.55,218,45,7,1,1,21,3,0,36,5,0,1,3.12,3.81,3.21,3.17,3.78,1.27,1.73,롯데 자이언츠,10427
6,최준용,23 P,1.66,47,0,47,4,0,0,2,3,0,14,47.2,13,15,15.35,210,50,6,0,2,18,1,1,40,2,0,1,2.45,2.83,2.9,2.83,3.42,1.43,1.66,롯데 자이언츠,14624
7,스트레일리,23 P,1.63,16,16,0,0,0,0,3,5,0,0,80.1,39,43,41.8,364,82,8,1,6,37,10,0,70,4,0,4,4.37,4.82,4.68,4.45,4.37,1.48,1.63,롯데 자이언츠,14627
8,김원중,23 P,1.49,63,0,63,47,0,0,5,6,30,0,63.2,21,24,29.5,265,51,5,3,2,25,5,3,82,1,0,3,2.97,3.39,4.17,4.01,2.37,1.19,1.49,롯데 자이언츠,10825
9,심재민,23 P,1.19,29,6,23,6,1,0,3,1,0,6,45.2,15,18,19.8,202,49,5,0,2,16,1,1,28,4,0,1,2.96,3.55,3.9,3.77,3.92,1.42,1.19,롯데 자이언츠,11311
10,구승민,23 P,0.98,67,0,67,8,0,0,2,6,3,22,63.2,28,32,32.85,289,65,8,0,4,29,5,0,66,2,0,2,3.96,4.52,4.64,4.53,3.66,1.48,0.98,롯데 자이언츠,11291
11,한현희,23 P,0.79,38,18,20,3,0,0,6,12,0,3,104.0,63,69,65.6,476,123,20,4,11,44,11,1,74,3,0,6,5.45,5.97,5.68,5.53,4.97,1.61,0.79,롯데 자이언츠,10863
12,김도규,23 P,0.31,36,0,36,14,0,0,0,3,1,1,29.2,15,16,17.2,132,29,5,0,1,13,1,0,26,3,0,6,4.55,4.85,5.22,4.96,3.52,1.42,0.31,롯데 자이언츠,13148
13,석상호,23 P,0.24,5,0,5,2,0,0,0,0,0,0,5.1,0,0,0.0,22,4,1,0,0,2,0,0,6,1,0,1,0.0,0.0,0.0,0.0,2.2,1.13,0.24,롯데 자이언츠,15445
14,정성종,23 P,0.21,12,3,9,2,0,0,0,1,0,1,22.0,13,14,13.5,98,21,5,0,1,15,1,1,10,0,0,1,5.32,5.73,5.52,5.16,5.37,1.64,0.21,롯데 자이언츠,13147
15,이진하,23 P,0.2,9,0,9,1,0,0,0,0,0,0,8.0,3,3,2.5,31,4,3,0,0,3,1,0,2,1,0,1,3.38,3.38,2.81,2.88,4.77,0.88,0.2,롯데 자이언츠,15441
16,김창훈,23 P,0.09,3,0,3,1,0,0,0,0,0,0,4.1,1,1,1.7,17,5,0,1,0,1,0,0,1,0,0,0,2.08,2.08,3.53,3.32,3.99,1.38,0.09,롯데 자이언츠,14793
17,이민석,23 P,0.08,1,0,1,0,0,0,0,0,0,0,1.1,0,0,0.0,5,0,0,0,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,4.3,0.75,0.08,롯데 자이언츠,15045
18,김강현,23 P,0.08,2,0,2,1,0,0,0,0,0,0,3.0,1,1,1.0,13,1,0,0,0,2,1,0,0,0,0,0,3.0,3.0,3.0,2.79,6.95,1.0,0.08,롯데 자이언츠,12699
19,박영완,23 P,0.04,1,0,1,1,0,0,0,0,0,0,1.0,0,0,0.0,3,0,0,0,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,4.45,1.0,0.04,롯데 자이언츠,14164
20,최이준,23 P,0.04,28,0,28,9,0,0,1,0,0,1,29.0,22,22,20.15,143,37,11,3,1,21,0,1,20,0,0,4,6.83,6.83,6.25,6.1,4.78,2.0,0.04,롯데 자이언츠,13169
21,김태욱,23 P,0.04,1,0,1,1,0,0,0,0,0,0,1.0,0,0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3.85,0.0,0.04,롯데 자이언츠,12923
22,진승현,23 P,-0.01,24,0,24,8,0,0,2,2,0,1,27.2,18,20,18.45,129,34,3,0,2,16,0,3,25,2,0,1,5.86,6.51,6.0,5.93,4.13,1.81,-0.01,롯데 자이언츠,15047
23,우강훈,23 P,-0.01,3,1,2,2,0,0,0,0,0,0,6.0,4,5,3.45,29,6,1,0,0,4,1,0,5,1,0,0,6.0,7.5,5.18,5.46,4.35,1.67,-0.01,롯데 자이언츠,14816
24,박진,23 P,-0.07,4,0,4,1,0,0,0,0,0,0,5.0,5,5,5.2,29,7,2,0,1,7,0,0,2,0,1,1,9.0,9.0,9.36,8.86,9.57,2.8,-0.07,롯데 자이언츠,14163
25,장세진,23 P,-0.09,2,0,2,0,0,0,0,0,0,0,1.1,2,2,2.5,8,2,0,0,1,2,0,0,1,0,0,0,13.5,13.5,16.88,15.88,15.55,3.0,-0.09,롯데 자이언츠,15448
26,나원탁,23 P,-0.13,1,0,1,0,0,0,0,0,0,0,0.2,3,3,3.0,6,3,0,0,1,1,0,0,1,0,0,0,40.5,40.5,40.5,40.28,22.6,6.0,-0.13,롯데 자이언츠,12935
27,신정락,23 P,-0.14,34,0,34,9,0,0,4,0,0,1,29.0,15,15,20.7,128,32,6,0,4,11,3,3,28,1,0,0,4.66,4.66,6.42,6.15,4.47,1.48,-0.14,롯데 자이언츠,10516
28,김진욱,23 P,-0.16,49,0,49,2,0,0,2,1,0,8,36.1,26,27,25.7,177,37,6,1,4,29,2,0,35,1,0,3,6.44,6.69,6.37,6.25,5.4,1.82,-0.16,롯데 자이언츠,14792
29,이인복,23 P,-0.4,10,7,3,0,0,0,1,4,0,0,33.1,24,32,30.65,168,54,7,3,3,10,5,1,15,6,0,4,6.48,8.64,8.28,8.09,5.1,1.92,-0.4,롯데 자이언츠,11232
30,이태연,23 P,-0.41,15,0,15,2,0,0,0,0,0,1,5.2,10,10,10.35,37,12,3,0,1,9,0,0,4,0,0,0,15.88,15.88,16.44,15.9,9.11,3.71,-0.41,롯데 자이언츠,15444
31,최영환,23 P,-0.59,8,0,8,4,0,0,0,1,0,0,10.0,11,14,13.65,54,15,8,0,0,7,1,0,7,3,0,0,9.9,12.6,12.29,11.58,4.58,2.2,-0.59,롯데 자이언츠,11276
32,문경찬,23 P,-0.68,2,0,2,1,0,0,0,1,0,0,2.0,6,6,6.0,12,6,0,0,3,0,0,0,2,0,0,0,27.0,27.0,27.0,27.29,19.2,3.0,-0.68,롯데 자이언츠,11299
33,윤명준,23 P,-1.1,21,0,21,8,0,0,0,1,0,5,19.1,14,14,21.95,98,31,3,1,4,10,4,2,11,0,0,5,6.52,6.52,10.22,9.94,7.13,2.12,-1.1,롯데 자이언츠,10885
1,양현종,23 P,4.15,29,29,0,0,0,0,9,11,0,0,171.0,68,78,76.45,729,181,33,1,13,48,1,1,133,9,0,5,3.58,4.11,4.02,4.13,3.7,1.34,4.15,KIA 타이거즈,10058
2,이의리,23 P,3.29,28,28,0,0,0,0,11,7,0,0,131.2,58,64,57.45,598,103,18,0,4,93,8,1,156,12,0,10,3.96,4.37,3.93,4.05,3.63,1.49,3.29,KIA 타이거즈,14788
3,윤영철,23 P,2.85,25,24,1,0,0,0,8,7,0,0,122.2,55,59,56.05,528,124,27,3,10,48,1,1,74,5,1,4,4.04,4.33,4.11,4.21,4.55,1.4,2.85,KIA 타이거즈,15432
4,임기영,23 P,2.35,64,0,64,9,0,0,4,4,3,16,82.0,27,29,30.95,324,56,8,3,6,19,6,1,57,2,0,1,2.96,3.18,3.4,3.48,3.93,0.91,2.35,KIA 타이거즈,10909
5,파노니,23 P,2.04,16,15,1,0,0,0,6,3,0,0,82.1,39,41,36.9,351,86,14,1,6,23,2,0,66,4,0,0,4.26,4.48,4.03,4.06,3.65,1.32,2.04,KIA 타이거즈,15147
6,전상현,23 P,1.89,64,0,64,8,0,0,8,3,1,13,58.2,14,20,21.25,250,50,8,0,1,26,1,4,50,4,0,3,2.15,3.07,3.26,3.28,3.3,1.3,1.89,KIA 타이거즈,12537
7,앤더슨,23 P,1.57,14,14,0,0,0,0,4,7,0,0,79.0,33,42,39.05,336,76,12,3,6,26,2,0,64,8,0,10,3.76,4.78,4.45,4.53,3.83,1.29,1.57,KIA 타이거즈,15533
8,정해영,23 P,1.48,52,0,52,40,0,0,3,4,23,1,49.1,16,18,19.55,218,53,9,1,3,20,1,3,30,2,0,0,2.92,3.28,3.57,3.59,4.25,1.48,1.48,KIA 타이거즈,14608
9,이준영,23 P,0.97,64,0,64,4,0,0,1,0,0,10,33.2,12,12,12.65,149,26,3,1,0,23,2,2,30,3,0,1,3.21,3.21,3.38,3.46,3.74,1.46,0.97,KIA 타이거즈,11303
10,최지민,23 P,0.91,58,0,58,15,0,0,6,3,3,12,59.1,14,17,29.4,244,45,4,2,4,26,4,1,44,5,0,5,2.12,2.58,4.46,4.56,4.31,1.2,0.91,KIA 타이거즈,15057
11,장현식,23 P,0.63,56,0,56,17,0,0,2,2,3,5,51.0,23,26,26.45,226,58,8,0,6,26,1,1,44,1,0,1,4.06,4.59,4.67,4.81,4.67,1.65,0.63,KIA 타이거즈,11164
12,윤중현,23 P,0.49,31,0,31,10,0,0,2,1,0,0,28.0,12,13,13.2,115,29,3,0,2,10,1,1,8,2,0,0,3.86,4.18,4.24,4.38,5.09,1.39,0.49,KIA 타이거즈,13122
13,산체스,23 P,0.27,12,11,1,1,1,0,4,4,0,0,63.2,42,46,43.6,285,79,19,1,7,15,4,1,59,3,1,1,5.94,6.5,6.16,6.1,3.77,1.48,0.27,KIA 타이거즈,15648
14,김승현,23 P,0.19,10,0,10,5,0,0,0,0,0,0,12.2,6,6,6.0,57,11,2,0,1,10,1,0,7,1,0,1,4.26,4.26,4.26,4.41,6.1,1.66,0.19,KIA 타이거즈,12637
15,메디나,23 P,0.18,12,12,0,0,0,0,2,6,0,0,58.0,39,42,39.25,269,64,16,1,6,29,9,0,36,2,1,5,6.05,6.52,6.09,6.33,5.56,1.6,0.18,KIA 타이거즈,15534
16,박준표,23 P,0.14,33,0,33,3,0,0,1,0,0,3,28.0,14,16,17.35,118,28,3,1,3,9,0,1,13,2,0,1,4.5,5.14,5.58,5.58,4.96,1.32,0.14,KIA 타이거즈,11070
17,김대유,23 P,0.1,41,0,41,4,0,0,0,2,0,4,24.2,14,15,15.0,110,26,1,1,2,8,6,1,20,1,0,0,5.11,5.47,5.47,5.62,4.42,1.38,0.1,KIA 타이거즈,10706
18,유승철,23 P,0.04,1,0,1,1,0,0,0,0,0,0,1.0,0,0,0.0,4,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6.95,1.0,0.04,KIA 타이거즈,12914
19,김건국,23 P,0.0,6,5,1,1,0,0,0,1,0,0,16.0,12,12,11.15,70,18,6,1,0,4,1,0,9,0,0,0,6.75,6.75,6.27,6.69,3.41,1.38,0.0,KIA 타이거즈,12944
20,황동하,23 P,-0.06,13,6,7,1,0,0,0,3,0,0,31.1,23,25,22.95,149,35,6,3,5,21,1,0,19,2,0,1,6.61,7.18,6.59,6.82,6.41,1.79,-0.06,KIA 타이거즈,15063
21,곽도규,23 P,-0.18,14,0,14,2,0,0,0,0,0,0,11.2,11,11,11.0,61,14,2,0,0,10,2,0,14,0,0,1,8.49,8.49,8.49,8.64,4.04,2.06,-0.18,KIA 타이거즈,15435
22,김유신,23 P,-0.21,27,0,27,9,0,0,0,1,0,2,30.1,19,19,22.6,141,34,8,0,2,19,3,0,12,1,0,0,5.64,5.64,6.71,6.7,5.89,1.75,-0.21,KIA 타이거즈,13114
23,김기훈,23 P,-0.26,29,0,29,12,0,0,2,0,0,0,31.1,16,22,23.55,156,28,6,1,0,37,2,1,26,3,1,5,4.6,6.32,6.76,6.99,5.53,2.07,-0.26,KIA 타이거즈,14176
24,김재열,23 P,-0.76,9,0,9,2,0,0,0,0,0,0,11.2,17,17,18.2,70,20,4,1,2,13,0,0,9,3,0,0,13.11,13.11,14.04,13.82,7.42,2.83,-0.76,KIA 타이거즈,14747
1,고영표,23 P,6.77,28,27,1,1,0,0,12,7,0,0,174.2,54,57,57.35,706,181,27,5,7,19,9,1,114,6,0,6,2.78,2.94,2.96,2.91,3.19,1.15,6.77,KT 위즈,11308
2,쿠에바스,23 P,5.19,18,18,0,0,0,0,12,0,0,0,114.1,33,33,31.65,460,95,10,2,4,24,2,1,100,2,0,5,2.6,2.6,2.49,2.39,2.78,1.04,5.19,KT 위즈,13942
