Rank,Name,Team,Sort▼,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,WAR▼,팀,pid
Rank,Name,Team,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,WAR▼,,
1,류현진,24 P,4.44,28,28,0,0,0,0,10,8,0,0,158.1,68,78,76.95,679,182,22,1,12,33,3,0,135,10,0,1,3.87,4.43,4.37,4.41,3.67,1.36,4.44,한화 이글스,10590
2,주현상,24 P,3.13,65,0,65,51,0,0,8,4,23,2,71.1,21,22,24.75,267,52,8,2,9,8,1,0,64,0,0,1,2.65,2.78,3.12,3.09,3.85,0.84,3.13,한화 이글스,11415
3,와이스,24 P,2.92,16,16,0,0,0,0,5,5,0,0,91.2,38,43,41.95,384,77,13,5,8,29,3,0,98,7,0,6,3.73,4.22,4.12,4.06,3.65,1.16,2.92,한화 이글스,16153
4,문동주,24 P,1.77,21,21,0,0,0,0,7,7,0,0,111.1,64,71,69.6,502,148,25,3,14,38,4,1,96,4,1,8,5.17,5.74,5.63,5.61,4.71,1.67,1.77,한화 이글스,15013
5,바리아,24 P,1.69,20,19,1,0,0,0,6,7,0,0,92.2,53,58,56.6,405,114,20,1,10,18,0,0,83,7,0,6,5.15,5.63,5.5,5.39,3.85,1.42,1.69,한화 이글스,16150
6,산체스,24 P,1.48,11,11,0,0,0,0,2,3,0,0,53.1,25,28,25.8,245,60,9,1,2,21,10,1,56,4,1,2,4.22,4.73,4.35,4.43,3.82,1.52,1.48,한화 이글스,15643
7,황준서,24 P,1.24,36,11,25,6,0,0,2,8,0,1,72.0,43,44,44.05,341,80,16,0,9,51,5,0,70,1,1,3,5.38,5.5,5.51,5.42,5.67,1.82,1.24,한화 이글스,16107
8,박상원,24 P,1.11,65,0,65,9,0,0,3,3,2,16,66.2,34,38,38.25,278,57,18,0,2,22,7,0,65,3,0,8,4.59,5.13,5.16,5.12,3.47,1.19,1.11,한화 이글스,12871
9,이민우,24 P,0.99,64,0,64,7,0,0,2,1,1,10,55.0,23,25,31.35,235,56,10,2,5,23,1,0,49,2,0,1,3.76,4.09,5.13,4.97,4.41,1.44,0.99,한화 이글스,13003
