선수,연도,기존pid,연봉,이후연봉,예측연봉,포지션,연봉순서,개선순서,2024FA,외국인
강현우,2024,14603,5000.0,5000.0,5487.3,포수,299,334,False,False
천성호,2024,14606,4500.0,7100.0,7069.55,2루수,239,278,False,False
김병준,2024,15097,3100.0,3600.0,3606.67,중견수,379,444,False,False
김준태,2024,10835,10000.0,7500.0,7692.2,포수,234,256,False,False
강민성,2024,14191,3600.0,3700.0,3757.36,3루수,368,428,False,False
장준원,2024,11214,5300.0,5100.0,5048.8,유격수,297,357,False,False
안현민,2024,15092,3000.0,3300.0,3311.26,좌익수,419,475,False,False
권동진,2024,14777,4600.0,4600.0,4528.62,유격수,315,385,False,False
홍현빈,2024,12941,4500.0,4500.0,4430.6,우익수,321,394,False,False
송민섭,2024,11342,6500.0,6000.0,5920.0,우익수,269,314,False,False
안치영,2024,13006,5000.0,4500.0,4645.8,우익수,322,378,False,False
윤준혁,2024,14605,3000.0,3500.0,3480.97,3루수,387,454,False,False
박민석,2024,14110,3100.0,3400.0,3799.16,2루수,407,426,False,False
김건형,2024,14779,3000.0,3300.0,3285.66,우익수,415,478,False,False
오재일,2024,10400,50000.0,15000.0,22756.404,1루수,148,110,True,False
이호연,2024,13151,8500.0,7000.0,6584.5,2루수,250,289,False,False
김지찬,2024,14618,16000.0,28000.0,27595.552,2루수,94,99,False,False
강민호,2024,10232,70000.0,70000.0,70425.322,포수,51,42,False,False
이재현,2024,15034,14000.0,21000.0,19946.03,유격수,105,125,False,False
김영웅,2024,15035,3800.0,15000.0,14290.746,3루수,149,164,False,False
이성규,2024,12562,6000.0,13000.0,12467.35,우익수,163,189,False,False
김헌곤,2024,10640,6000.0,10000.0,11123.65,좌익수,201,201,True,False
윤정빈,2024,13161,3700.0,7400.0,7482.5,우익수,236,264,False,False
박병호,2024,10470,70000.0,38000.0,45045.932,1루수,73,58,False,False
디아즈,2024,16162,5000.0,70000.0,46579.4,1루수,52,56,False,True
전병우,2024,11422,6000.0,7500.0,7246.9,3루수,235,272,False,False
이병헌,2024,14117,4000.0,6500.0,6146.0,포수,262,304,False,False
류지혁,2024,10894,20000.0,60000.0,18879.248,2루수,56,129,True,False
