Rank,Name,Team,Sort▼,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,WAR▼,팀,pid
Rank,Name,Team,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,WAR▼,,
17,김영준,22 P,0.51,2,2,0,0,0,0,0,0,0,0,9.2,2,2,2.0,43,8,2,0,1,4,3,0,7,1,0,1,1.86,1.86,1.86,1.73,5.45,1.24,0.51,LG 트윈스,13102
18,함덕주,22 P,0.44,13,0,13,2,0,0,0,0,0,0,12.2,3,3,2.65,58,9,2,0,0,11,1,0,13,1,0,0,2.13,2.13,1.88,2.06,4.16,1.58,0.44,LG 트윈스,11094
19,채지선,22 P,0.19,3,0,3,1,0,0,0,0,0,1,3.0,0,0,0.0,10,1,0,0,0,0,1,0,2,1,0,0,0.0,0.0,0.0,0.0,3.15,0.33,0.19,LG 트윈스,11387
20,이지강,22 P,0.17,4,1,3,2,0,0,0,0,0,0,11.0,6,6,6.0,56,12,2,0,0,13,0,0,6,0,0,1,4.91,4.91,4.91,5.43,6.08,2.27,0.17,LG 트윈스,14143
21,조원태,22 P,0.17,2,0,2,1,0,0,0,0,0,0,4.0,0,0,0.0,14,1,0,0,0,2,1,0,0,0,0,0,0.0,0.0,0.0,0.0,6.11,0.75,0.17,LG 트윈스,15078
22,강효종,22 P,0.15,1,1,0,0,0,0,1,0,0,0,5.0,2,2,2.0,22,5,0,0,0,4,0,0,4,0,0,0,3.6,3.6,3.6,3.51,4.26,1.8,0.15,LG 트윈스,14780
23,손주영,22 P,0.1,3,3,0,0,0,0,0,1,0,0,12.2,7,7,7.0,58,10,3,1,0,8,3,0,8,1,0,0,4.97,4.97,4.97,5.53,4.9,1.42,0.1,LG 트윈스,12908
24,오석주,22 P,0.06,4,0,4,2,0,0,0,0,0,0,3.2,1,1,1.7,15,4,0,1,1,0,0,0,2,0,0,0,2.45,2.45,4.17,4.35,5.67,1.09,0.06,LG 트윈스,12860
25,김주완,22 P,0.05,1,0,1,1,0,0,0,0,0,0,1.0,0,0,0.0,5,1,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6.88,2.0,0.05,LG 트윈스,15079
26,송승기,22 P,0.01,7,0,7,2,0,0,0,1,0,0,8.1,5,5,5.0,40,9,2,0,1,6,0,0,10,0,0,1,5.4,5.4,5.4,5.79,4.44,1.8,0.01,LG 트윈스,14846
27,임준형,22 P,-0.02,10,5,5,1,0,0,1,3,0,1,30.0,20,22,20.8,140,36,4,0,2,14,3,0,26,2,0,1,6.0,6.6,6.24,6.58,4.17,1.67,-0.02,LG 트윈스,14142
28,허준혁,22 P,-0.16,6,0,6,3,0,0,0,0,0,0,4.2,5,6,6.0,27,11,1,1,3,2,0,0,4,1,0,0,9.64,11.57,11.57,12.69,10.62,2.79,-0.16,LG 트윈스,15083
29,백승현,22 P,-0.59,12,0,12,3,0,0,0,1,0,1,10.0,12,13,11.95,52,15,2,1,2,9,0,2,3,0,0,0,10.8,11.7,10.76,11.54,7.89,2.4,-0.59,LG 트윈스,13009
1,반즈,22 P,5.1,31,31,0,0,0,0,12,12,0,0,186.1,75,87,80.15,788,176,27,5,8,47,18,1,160,10,0,7,3.62,4.2,3.87,3.75,3.21,1.2,5.1,롯데 자이언츠,15011
2,박세웅,22 P,3.31,28,28,0,0,0,0,10,11,0,0,157.1,68,80,77.45,679,179,32,4,8,32,8,1,146,12,0,8,3.89,4.58,4.43,4.31,2.84,1.34,3.31,롯데 자이언츠,11310
3,이인복,22 P,3.02,26,23,3,0,0,0,9,9,0,1,126.2,59,63,60.25,547,153,22,1,6,30,4,0,71,6,0,4,4.19,4.48,4.28,4.06,3.78,1.44,3.02,롯데 자이언츠,11232
4,나균안,22 P,2.49,39,13,26,1,0,0,3,8,0,2,117.2,52,55,56.55,506,125,36,3,5,37,3,1,123,2,0,6,3.98,4.21,4.33,4.16,2.73,1.38,2.49,롯데 자이언츠,12930
