Rank,Name,Team,Sort▼,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,WAR▼,팀,pid
Rank,Name,Team,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,WAR▼,,
5,스트레일리,22 P,2.15,11,11,0,0,0,0,4,2,0,0,62.1,16,24,22.45,260,54,8,0,5,22,6,0,55,4,0,2,2.31,3.47,3.24,3.18,3.93,1.22,2.15,롯데 자이언츠,14627
6,구승민,22 P,1.8,73,0,73,9,0,0,2,4,0,26,62.0,20,20,23.95,263,46,8,1,3,35,1,4,77,0,0,7,2.9,2.9,3.48,3.43,2.91,1.31,1.8,롯데 자이언츠,11291
7,최준용,22 P,1.12,68,0,68,30,0,0,3,4,14,6,71.0,32,35,36.85,303,63,13,0,10,20,6,3,80,5,0,4,4.06,4.44,4.67,4.44,3.69,1.17,1.12,롯데 자이언츠,14624
8,서준원,22 P,1.11,33,4,29,6,0,0,3,3,0,2,60.0,32,32,30.05,265,65,10,1,3,23,5,0,45,4,0,2,4.8,4.8,4.51,4.26,3.95,1.47,1.11,롯데 자이언츠,14159
9,스파크맨,22 P,0.92,19,19,0,0,0,0,2,4,0,0,84.2,50,55,51.5,386,97,14,1,6,43,4,1,89,8,0,5,5.31,5.85,5.47,5.28,3.68,1.65,0.92,롯데 자이언츠,15010
10,김도규,22 P,0.85,55,0,55,11,0,0,4,4,3,8,51.0,21,26,24.8,218,48,8,1,2,19,4,2,45,2,0,3,3.71,4.59,4.38,4.34,3.38,1.31,0.85,롯데 자이언츠,13148
11,김원중,22 P,0.62,43,0,43,27,0,0,2,3,17,2,43.0,19,21,22.35,187,40,10,1,4,16,0,3,60,4,0,3,3.98,4.4,4.68,4.53,2.41,1.3,0.62,롯데 자이언츠,10825
12,김진욱,22 P,0.11,14,12,2,1,0,0,2,5,0,0,46.2,33,36,33.25,227,43,8,1,3,35,8,1,52,1,0,4,6.36,6.94,6.41,6.26,4.55,1.67,0.11,롯데 자이언츠,14792
13,김창훈,22 P,0.02,1,0,1,0,0,0,0,0,0,0,1.2,1,1,1.0,8,3,1,0,0,0,0,0,2,0,0,0,5.4,5.4,5.4,5.02,0.78,1.8,0.02,롯데 자이언츠,14793
14,이대호,22 DH,0.01,1,0,1,0,0,0,0,0,0,1,0.1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3.78,0.0,0.01,롯데 자이언츠,10251
