Name_x,포지션,fid_G,fid_GS,fid_IP,PO,Ass,E,RF9,수비 관련 득점 기여도.8,수비 관련 득점 기여도.9,pid,연봉(만원),WAR,WAR당 연봉,bat_G,PA,ePA,AB,R_y,H_y,2B_y,3B_y,HR_y,RBI,SB,CS,BB_y,HP_y,IB_y,SO_y,GDP,SH,SF,팀
박정현,1루수,8,1,16.0,13,0,0,7.31,-0.55,-1.49,14704,4200,-0.33,-12799,53,113,110,105,12,19,6,0,2,4,0,0,3,2,0,36,2,3,0,한화 이글스
이상혁,중견수,2,0,6.0,2,0,0,3.0,-0.96,-19.72,15139,3000,-0.16,-18204,7,2,2,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,한화 이글스
유로결,중견수,5,3,21.0,5,0,0,2.14,-1.03,-5.47,14126,3300,-0.45,-7413,27,53,52,48,5,7,1,0,0,5,1,0,1,1,0,10,3,1,2,한화 이글스
장운호,우익수,3,2,22.0,5,0,0,2.05,-1.07,-38.54,11122,5000,-0.08,-63382,4,11,11,9,1,2,0,0,0,1,0,0,2,0,0,2,0,0,0,한화 이글스
허관회,포수,8,0,14.2,14,0,1,8.59,-1.43,-20.63,14204,3300,-0.27,-12371,10,7,7,7,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,한화 이글스
하주석,유격수,23,4,84.0,11,23,2,3.64,-2.15,-12.36,10913,10000,-0.58,-17260,25,38,38,35,4,4,1,0,0,2,0,0,2,1,0,10,0,0,0,한화 이글스
김건,1루수,1,1,9.0,2,1,1,3.0,-1.73,-35.66,14209,3100,-0.35,-8914,7,12,12,12,1,2,0,0,0,0,0,0,0,0,0,8,0,0,0,한화 이글스
오그레디,우익수,4,2,19.0,3,0,1,1.42,-1.89,-12.34,15541,70000,-0.87,-80365,22,86,86,80,3,10,3,0,0,8,1,0,5,0,0,40,0,0,1,한화 이글스
노수광,좌익수,23,15,142.0,27,0,0,1.71,-1.32,-6.33,11268,10900,-0.12,-88193,30,94,92,77,6,17,5,0,0,4,2,1,13,0,0,27,3,2,2,한화 이글스
이진영,중견수,31,27,195.1,54,2,0,2.58,-2.25,-2.67,12539,3900,3.6,1083,121,422,418,358,57,89,22,0,10,50,5,0,53,2,0,127,4,4,5,한화 이글스
장진혁,중견수,29,17,155.2,36,0,0,2.08,-2.55,-5.39,12583,6000,-0.44,-13624,68,178,178,162,24,36,5,1,0,12,5,4,15,0,0,41,3,0,1,한화 이글스
김인환,1루수,58,48,420.1,357,30,5,8.29,1.42,1.83,12589,6400,0.23,27855,112,365,365,325,34,73,16,0,7,42,1,0,35,2,2,91,4,0,3,한화 이글스
오선진,유격수,40,25,219.2,32,52,2,3.44,-4.79,-7.66,10557,10000,0.02,472498,90,199,196,165,17,38,6,0,0,14,2,0,24,5,0,34,7,3,2,한화 이글스
문현빈,중견수,70,64,519.0,129,2,2,2.27,-3.3,-3.47,15422,3000,1.87,1606,137,481,470,428,47,114,22,2,5,49,5,1,33,6,2,84,7,9,5,한화 이글스
권광민,중견수,17,4,59.0,16,0,2,2.44,-4.31,-9.41,13676,3100,-1.03,-2999,66,81,80,73,11,11,1,1,2,9,2,0,6,1,0,24,2,1,0,한화 이글스
윌리엄스,좌익수,37,36,303.0,70,2,1,2.14,-6.52,-13.8,15647,25000,-0.81,-30701,68,273,273,258,29,63,14,0,9,45,1,1,8,4,0,63,6,0,3,한화 이글스
채은성,1루수,76,68,603.1,540,30,4,8.5,-2.83,-2.98,11215,180000,2.36,76221,137,596,593,521,71,137,17,0,23,84,0,0,52,20,8,102,16,0,3,한화 이글스
박상원,투수,55,0,61.2,3,14,1,2.48,0.0,0.0,12871,13300,-0.18,-75459,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,한화 이글스
김건,2루수,1,0,1.0,1,0,0,9.0,0.1,2.07,14209,3100,-0.35,-8914,7,12,12,12,1,2,0,0,0,0,0,0,0,0,0,8,0,0,0,한화 이글스
장지승,좌익수,1,0,2.0,0,0,0,0.0,-0.38,-18.19,14880,3200,-0.06,-53377,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,한화 이글스
정우람,투수,52,0,40.1,0,1,0,0.22,0.0,,10156,50000,0.26,193563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,한화 이글스
윤대경,투수,47,0,47.2,1,6,0,1.32,0.0,0.0,11110,9000,1.08,8310,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,한화 이글스
이태양,투수,50,12,100.1,6,13,0,1.7,0.0,0.0,10609,66000,1.44,45702,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,한화 이글스
김건,3루수,1,0,1.0,0,0,0,0.0,-0.01,-0.25,14209,3100,-0.35,-8914,7,12,12,12,1,2,0,0,0,0,0,0,0,0,0,8,0,0,0,한화 이글스
박준영,투수,4,0,4.1,0,1,0,2.08,0.0,0.0,15014,3100,-0.08,-37897,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,한화 이글스
김서현,투수,20,1,22.1,0,4,0,1.61,0.0,0.0,15421,3000,-0.24,-12563,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,한화 이글스
강재민,투수,43,0,43.1,0,5,0,1.04,0.0,,14708,15000,-0.64,-23513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,한화 이글스
오지환,유격수,125,115,1010.2,176,275,14,4.02,3.4,3.88,10475,60000,5.14,11668,126,502,498,422,65,113,24,3,8,62,16,7,64,8,0,82,4,4,4,LG 트윈스
박동원,포수,128,112,982.0,751,72,8,7.54,1.07,1.18,10387,30000,2.92,10290,130,481,471,409,54,102,17,1,20,75,0,1,49,7,3,90,7,8,8,LG 트윈스
박해민,중견수,142,136,1187.2,338,2,3,2.58,9.02,9.02,11190,60000,4.8,12494,144,558,534,485,80,138,14,2,6,59,26,12,45,3,0,74,7,24,1,LG 트윈스
김민성,2루수,45,37,280.0,68,78,1,4.69,3.81,4.9,10238,18000,1.92,9358,112,316,307,273,34,68,11,0,8,41,2,1,25,7,0,58,7,9,2,LG 트윈스
신민재,2루수,89,76,689.1,162,231,9,5.13,1.78,2.1,13056,4800,1.43,3365,122,331,314,282,47,78,5,2,0,28,37,17,29,1,0,34,5,17,2,LG 트윈스
김민성,3루수,27,14,135.0,14,27,1,2.73,4.03,5.18,10238,18000,1.92,9358,112,316,307,273,34,68,11,0,8,41,2,1,25,7,0,58,7,9,2,LG 트윈스
홍창기,좌익수,27,27,228.0,64,0,0,2.53,4.28,4.37,12546,30000,7.91,3793,141,643,638,524,109,174,35,2,1,65,23,23,88,22,3,83,6,3,6,LG 트윈스
허도환,포수,45,21,212.0,168,8,0,7.47,0.06,0.18,10684,10000,-0.58,-17113,47,81,74,64,8,9,3,0,2,10,0,0,3,6,0,20,3,7,1,LG 트윈스
손호영,2루수,7,2,29.0,5,10,0,4.66,1.26,6.71,14590,4700,-0.53,-8895,27,45,45,44,8,9,0,0,1,6,2,1,1,0,0,12,5,0,0,LG 트윈스
홍창기,우익수,104,97,841.2,198,7,2,2.19,5.78,5.9,12546,30000,7.91,3793,141,643,638,524,109,174,35,2,1,65,23,23,88,22,3,83,6,3,6,LG 트윈스
문성주,좌익수,85,64,602.2,162,1,1,2.43,4.05,4.28,13112,9500,4.76,1995,136,534,528,449,77,132,21,4,2,57,24,14,67,8,0,34,10,6,4,LG 트윈스
신민재,중견수,7,0,10.0,3,0,0,2.7,0.84,0.99,13056,4800,1.43,3365,122,331,314,282,47,78,5,2,0,28,37,17,29,1,0,34,5,17,2,LG 트윈스
문성주,우익수,56,43,386.2,97,4,2,2.35,2.81,2.98,13112,9500,4.76,1995,136,534,528,449,77,132,21,4,2,57,24,14,67,8,0,34,10,6,4,LG 트윈스
최승민,우익수,1,0,1.0,1,0,0,9.0,0.71,2.7,14187,3300,-0.12,-27513,38,15,15,14,10,1,0,0,0,1,8,3,1,0,0,4,1,0,0,LG 트윈스
김현수,1루수,10,10,68.1,53,11,2,8.43,1.46,1.58,10187,100000,2.19,45737,133,556,555,488,53,143,22,2,6,88,2,1,58,1,4,53,10,1,8,LG 트윈스
안익훈,좌익수,5,1,19.2,5,0,0,2.29,0.53,6.9,11347,5100,0.12,41979,11,23,23,22,1,7,1,0,0,2,0,0,0,1,0,2,0,0,0,LG 트윈스
최승민,중견수,12,1,35.0,13,0,0,3.34,0.42,1.59,14187,3300,-0.12,-27513,38,15,15,14,10,1,0,0,0,1,8,3,1,0,0,4,1,0,0,LG 트윈스
안익훈,중견수,1,1,6.0,1,0,0,1.5,0.41,5.4,11347,5100,0.12,41979,11,23,23,22,1,7,1,0,0,2,0,0,0,1,0,2,0,0,0,LG 트윈스
신민재,좌익수,10,0,19.2,4,0,0,1.83,0.13,0.16,13056,4800,1.43,3365,122,331,314,282,47,78,5,2,0,28,37,17,29,1,0,34,5,17,2,LG 트윈스
전준호,포수,2,0,3.0,4,0,0,12.0,0.02,1.51,12864,3200,-0.04,-71907,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,LG 트윈스
신민재,3루수,1,0,2.0,0,0,0,0.0,-0.01,-0.01,13056,4800,1.43,3365,122,331,314,282,47,78,5,2,0,28,37,17,29,1,0,34,5,17,2,LG 트윈스
이재원,우익수,2,1,4.2,0,0,0,0.0,0.01,0.02,13104,8500,0.15,57852,57,129,128,112,15,24,5,0,4,18,4,2,12,2,2,40,1,0,3,LG 트윈스
이재원,1루수,4,2,20.0,14,2,1,7.2,0.05,0.13,13104,8500,0.15,57852,57,129,128,112,15,24,5,0,4,18,4,2,12,2,2,40,1,0,3,LG 트윈스
송찬의,1루수,5,3,20.0,16,1,0,7.65,-0.11,-0.8,13109,4000,-0.32,-12647,19,22,22,18,2,1,1,0,0,1,1,0,4,0,0,6,0,0,0,LG 트윈스
김민성,유격수,21,18,145.0,34,40,4,4.59,-1.64,-2.11,10238,18000,1.92,9358,112,316,307,273,34,68,11,0,8,41,2,1,25,7,0,58,7,9,2,LG 트윈스
이천웅,좌익수,2,0,2.0,0,0,0,0.0,-0.28,-10.19,10935,8000,0.14,57237,4,3,3,3,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,LG 트윈스
신민재,우익수,6,0,11.0,2,0,0,1.64,-0.44,-0.51,13056,4800,1.43,3365,122,331,314,282,47,78,5,2,0,28,37,17,29,1,0,34,5,17,2,LG 트윈스
이주형,우익수,3,0,9.0,2,0,0,2.0,-0.56,-1.16,14591,3300,2.55,1292,18,16,16,15,2,4,2,0,0,2,0,0,0,1,0,5,0,0,0,LG 트윈스
이주형,우익수,3,0,9.0,2,0,0,2.0,-0.56,-1.16,14591,3300,2.55,1292,51,227,223,200,30,66,11,4,6,34,3,1,19,4,2,48,4,2,2,키움 히어로즈
손호영,유격수,13,7,66.2,19,18,4,5.0,-1.18,-6.29,14590,4700,-0.53,-8895,27,45,45,44,8,9,0,0,1,6,2,1,1,0,0,12,5,0,0,LG 트윈스
송대현,유격수,3,0,6.0,1,1,1,3.0,-0.84,-30.37,15492,3000,-0.13,-23886,4,3,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,LG 트윈스
송찬의,2루수,1,0,1.0,0,0,1,0.0,-0.83,-6.3,13109,4000,-0.32,-12647,19,22,22,18,2,1,1,0,0,1,1,0,4,0,0,6,0,0,0,LG 트윈스
손호영,3루수,2,1,5.0,1,2,1,5.4,-0.84,-4.48,14590,4700,-0.53,-8895,27,45,45,44,8,9,0,0,1,6,2,1,1,0,0,12,5,0,0,LG 트윈스
안익훈,우익수,8,2,30.1,7,0,0,2.08,-0.8,-10.52,11347,5100,0.12,41979,11,23,23,22,1,7,1,0,0,2,0,0,0,1,0,2,0,0,0,LG 트윈스
홍창기,중견수,12,6,53.2,14,0,0,2.35,-0.95,-0.97,12546,30000,7.91,3793,141,643,638,524,109,174,35,2,1,65,23,23,88,22,3,83,6,3,6,LG 트윈스
최승민,좌익수,8,0,16.1,2,0,0,1.1,-0.99,-3.76,14187,3300,-0.12,-27513,38,15,15,14,10,1,0,0,0,1,8,3,1,0,0,4,1,0,0,LG 트윈스
