Rank,Name,Team,Sort▼,G,GS,IP,TC,PO,Ass,E,F%,RF9,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼,포지션
Rank,Name,Team,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼,
8,박민우,25 1B,0.119,4,1,14.0,17,17,0,0,100.0,10.93,1.24,,0.03,,,,,,1.26,2.25,-0.1,1.16,0.129,0.119,1루수
9,박병호,25 1B,0.109,12,11,75.0,60,49,10,1,98.3,7.08,1.55,,0.14,,0.1,,,,1.79,4.23,-0.72,1.07,0.182,0.109,1루수
10,이영빈,25 1B,0.106,12,2,34.0,43,41,2,0,100.0,11.38,1.18,,0.06,,,,,,1.24,4.59,-0.2,1.04,0.127,0.106,1루수
11,김규성,25 1B,0.105,3,2,17.0,19,17,2,0,100.0,10.06,1.05,,0.03,,0.1,,,,1.17,2.03,-0.14,1.03,0.119,0.105,1루수
12,황재균,25 1B,0.082,32,26,222.0,229,210,19,0,100.0,9.28,2.4,,0.41,,0.1,,,,2.91,6.87,-2.1,0.81,0.296,0.082,1루수
13,이호연,25 1B,0.07,11,8,75.0,67,62,5,0,100.0,8.04,1.25,,0.14,,,,,,1.39,10.53,-0.7,0.69,0.141,0.07,1루수
14,박승욱,25 1B,0.069,5,0,10.2,9,8,1,0,100.0,7.59,0.76,,0.02,,,,,,0.77,3.38,-0.1,0.67,0.079,0.069,1루수
15,도태훈,25 1B,0.068,18,5,77.0,71,64,7,0,100.0,8.3,1.45,,0.14,,-0.37,,,,1.22,4.52,-0.56,0.66,0.125,0.068,1루수
16,황대인,25 1B,0.052,16,15,113.0,113,107,4,2,98.2,8.84,1.31,,0.21,,0.1,,,,1.61,12.9,-1.1,0.51,0.164,0.052,1루수
17,류지혁,25 1B,0.051,11,3,40.0,44,42,2,0,100.0,9.9,0.76,,0.07,,,,,,0.84,1.42,-0.34,0.5,0.085,0.051,1루수
18,이도윤,25 1B,0.048,4,0,5.0,7,7,0,0,100.0,12.6,0.48,,0.01,,,,,,0.49,1.02,-0.02,0.47,0.05,0.048,1루수
19,박지훈,25 1B,0.035,8,0,12.0,6,6,0,0,100.0,4.5,0.34,,0.02,,,,,,0.37,2.11,-0.02,0.35,0.037,0.035,1루수
20,김민혁,25 1B,0.024,8,5,35.0,33,32,1,0,100.0,8.49,0.48,,0.06,,,,,,0.54,7.77,-0.3,0.24,0.055,0.024,1루수
21,윤준혁,25 1B,0.023,9,1,23.0,21,19,2,0,100.0,8.22,0.33,,0.04,,,,,,0.37,2.66,-0.14,0.23,0.038,0.023,1루수
22,김민수,25 1B,0.021,7,2,27.0,26,23,3,0,100.0,8.67,0.36,,0.05,,,,,,0.41,4.54,-0.2,0.21,0.042,0.021,1루수
23,추재현,25 1B,0.021,2,1,6.1,10,9,1,0,100.0,14.21,0.25,,0.01,,,,,,0.26,1.4,-0.06,0.2,0.027,0.021,1루수
24,윤정빈,25 1B,0.015,1,0,3.0,1,0,1,0,100.0,3.0,0.18,,0.01,,,,,,0.19,1.19,-0.04,0.15,0.019,0.015,1루수
25,오선진,25 1B,0.005,6,1,16.0,16,15,1,0,100.0,9.0,0.06,,0.03,,0.1,,,,0.19,0.43,-0.14,0.05,0.019,0.005,1루수
26,손용준,25 1B,0.005,1,1,4.0,6,6,0,0,100.0,13.5,0.08,,0.01,,,,,,0.09,3.17,-0.04,0.05,0.009,0.005,1루수
27,김태훈,25 1B,-0.002,1,0,1.0,2,2,0,0,100.0,18.0,,,0.0,,,,,,0.0,0.01,-0.02,-0.02,0.0,-0.002,1루수
28,최준우,25 1B,-0.003,1,0,4.0,3,3,0,0,100.0,6.75,0.0,,0.01,,,,,,0.01,0.01,-0.04,-0.03,0.001,-0.003,1루수
29,권광민,25 1B,-0.005,3,0,6.1,8,8,0,0,100.0,11.37,-0.02,,0.01,,,,,,-0.01,-0.32,-0.04,-0.05,-0.001,-0.005,1루수
30,김태연,25 1B,-0.007,35,16,183.1,177,157,18,2,98.9,8.59,1.94,,-0.17,,-0.2,,,,1.57,3.05,-1.64,-0.07,0.16,-0.007,1루수
31,박주홍,25 1B,-0.012,3,0,5.0,2,2,0,0,100.0,3.6,-0.09,,0.01,,,,,,-0.08,-0.2,-0.04,-0.12,-0.008,-0.012,1루수
32,문정빈,25 1B,-0.027,6,2,18.0,20,18,2,0,100.0,10.0,-0.18,,0.03,,,,,,-0.15,-1.01,-0.12,-0.27,-0.015,-0.027,1루수
33,서건창,25 1B,-0.033,2,2,13.0,13,13,0,0,100.0,9.0,-0.21,,0.02,,,,,,-0.19,-2.69,-0.14,-0.33,-0.019,-0.033,1루수
34,양현종,25 1B,-0.04,2,2,14.0,11,11,0,0,100.0,7.07,-0.31,,0.03,,,,,,-0.29,-4.62,-0.1,-0.39,-0.029,-0.04,1루수
35,박계범,25 1B,-0.044,2,1,8.0,6,6,0,0,100.0,6.75,-0.41,,0.01,,,,,,-0.4,-1.14,-0.04,-0.44,-0.04,-0.044,1루수
36,이성규,25 1B,-0.055,3,1,7.0,5,5,0,0,100.0,6.43,-0.51,,0.01,,,,,,-0.5,-1.75,-0.04,-0.54,-0.051,-0.055,1루수
37,송승환,25 1B,-0.055,1,1,2.0,2,2,0,0,100.0,9.0,-0.52,,0.0,,,,,,-0.52,-5.76,-0.02,-0.54,-0.053,-0.055,1루수
38,디아즈,25 1B,-0.062,76,74,645.0,657,597,57,3,99.5,9.13,4.5,,1.18,,0.27,,,,5.95,9.52,-6.56,-0.61,0.606,-0.062,1루수
39,맥브룸,25 1B,-0.062,6,5,45.0,48,43,5,0,100.0,9.6,-0.54,,0.08,,0.24,,,,-0.21,-1.4,-0.4,-0.61,-0.022,-0.062,1루수
40,문상철,25 1B,-0.066,54,43,351.0,360,332,28,0,100.0,9.23,1.71,,0.64,,0.1,,,,2.46,5.36,-3.1,-0.64,0.25,-0.066,1루수
41,오윤석,25 1B,-0.066,25,13,124.1,119,111,8,0,100.0,8.61,0.61,,0.23,,-0.39,,,,0.45,1.19,-1.1,-0.65,0.046,-0.066,1루수
42,변우혁,25 1B,-0.069,14,4,52.0,44,39,5,0,100.0,7.62,0.54,,0.1,,-0.85,,,,-0.21,-0.77,-0.46,-0.67,-0.022,-0.069,1루수
43,강민성,25 1B,-0.078,3,0,8.0,3,3,0,0,100.0,3.38,-0.72,,0.01,,,,,,-0.7,-5.07,-0.06,-0.76,-0.072,-0.078,1루수
44,강진성,25 1B,-0.081,4,2,19.0,18,17,1,0,100.0,8.53,-0.67,,0.03,,,,,,-0.64,-15.36,-0.16,-0.8,-0.065,-0.081,1루수
45,김현수,25 1B,-0.082,12,9,83.0,84,73,9,2,97.6,8.89,0.32,,-0.36,,0.1,,,,0.06,0.09,-0.86,-0.8,0.006,-0.082,1루수
46,김인환,25 1B,-0.088,2,1,9.0,11,10,0,1,90.9,10.0,-0.3,,-0.49,,,,,,-0.79,-28.34,-0.08,-0.87,-0.08,-0.088,1루수
47,김민성,25 1B,-0.103,8,1,17.0,22,22,0,0,100.0,11.65,-0.93,,0.03,,,,,,-0.89,-2.08,-0.12,-1.01,-0.091,-0.103,1루수
48,송찬의,25 1B,-0.107,4,2,16.0,19,17,1,1,94.7,10.13,-0.92,,0.03,,,,,,-0.89,-1.98,-0.16,-1.05,-0.091,-0.107,1루수
49,김웅빈,25 1B,-0.113,3,2,19.0,15,15,0,0,100.0,7.11,-0.95,,0.03,,,,,,-0.91,-18.78,-0.2,-1.11,-0.093,-0.113,1루수
50,김휘집,25 1B,-0.118,16,6,69.0,62,57,5,0,100.0,8.09,-0.79,,0.13,,,,,,-0.66,-1.11,-0.5,-1.16,-0.067,-0.118,1루수
51,오영수,25 1B,-0.133,10,6,50.0,43,39,3,1,97.7,7.56,-0.96,,0.09,,,,,,-0.87,-3.21,-0.44,-1.31,-0.088,-0.133,1루수
52,전병우,25 1B,-0.137,7,0,12.0,13,11,1,1,92.3,9.0,-0.86,,-0.49,,0.1,,,,-1.25,-4.17,-0.1,-1.35,-0.127,-0.137,1루수
53,오태곤,25 1B,-0.143,28,7,94.1,93,88,5,0,100.0,8.87,-1.34,,0.17,,0.44,,,,-0.73,-1.38,-0.68,-1.41,-0.074,-0.143,1루수
54,이정훈,25 1B,-0.144,1,1,8.0,9,8,0,1,88.9,9.0,-1.35,,0.01,,,,,,-1.34,-6.41,-0.08,-1.42,-0.136,-0.144,1루수
55,고명준,25 1B,-0.147,80,78,657.1,629,570,57,2,99.7,8.58,3.48,,1.2,,0.36,,,,5.04,8.44,-6.48,-1.44,0.513,-0.147,1루수
56,김동준,25 1B,-0.172,1,0,3.0,4,3,0,1,75.0,9.0,-1.17,,-0.5,,,,,,-1.67,-9.24,-0.02,-1.69,-0.17,-0.172,1루수
57,이창용,25 1B,-0.174,3,1,10.0,13,12,0,1,92.3,10.8,-1.65,,0.02,,,,,,-1.63,-29.32,-0.08,-1.71,-0.166,-0.174,1루수
58,카디네스,25 1B,-0.191,6,6,54.0,49,42,5,2,95.9,7.83,-1.0,,-0.41,,,,,,-1.41,-3.77,-0.46,-1.87,-0.144,-0.191,1루수
59,양석환,25 1B,-0.213,59,58,491.2,484,442,38,4,99.2,8.79,3.22,,-0.12,,-0.27,,,,2.83,6.8,-4.92,-2.09,0.288,-0.213,1루수
60,오스틴,25 1B,-0.289,61,60,501.1,501,455,42,4,99.2,8.92,2.2,,-0.1,,0.28,,,,2.38,4.57,-5.22,-2.84,0.243,-0.289,1루수
61,문보경,25 1B,-0.322,17,8,80.0,87,80,5,2,97.7,9.56,-1.67,,-0.87,,0.1,,,,-2.44,-3.9,-0.72,-3.16,-0.248,-0.322,1루수
62,위즈덤,25 1B,-0.339,52,33,321.2,333,316,17,0,100.0,9.32,-0.95,,0.59,,0.11,,,,-0.25,-0.52,-3.08,-3.33,-0.026,-0.339,1루수
63,서호철,25 1B,-0.454,32,21,192.0,175,170,5,0,100.0,8.2,-2.82,,0.35,,-0.2,,,,-2.67,-6.64,-1.78,-4.45,-0.272,-0.454,1루수
64,김민석,25 1B,-0.504,21,17,129.1,144,135,7,2,98.6,9.88,-3.12,,-0.78,,0.1,,,,-3.81,-10.34,-1.14,-4.95,-0.387,-0.504,1루수
65,데이비슨,25 1B,-0.691,45,45,332.0,313,287,24,2,99.4,8.43,-2.85,,0.61,,-0.9,,,,-3.15,-7.19,-3.64,-6.79,-0.32,-0.691,1루수
66,오선우,25 1B,-0.707,42,34,280.2,293,275,13,5,98.3,9.24,-2.2,,-2.02,,0.1,,,,-4.12,-8.36,-2.82,-6.94,-0.42,-0.707,1루수
67,채은성,25 1B,-1.035,75,74,607.2,588,567,17,4,99.3,8.65,-3.58,,-0.41,,-0.27,,,,-4.26,-6.98,-5.9,-10.16,-0.434,-1.035,1루수
68,나승엽,25 1B,-1.09,68,66,546.2,535,494,35,6,98.9,8.71,-4.96,,-0.02,,-0.19,,,,-5.17,-10.19,-5.54,-10.71,-0.526,-1.09,1루수
69,최주환,25 1B,-1.247,75,74,629.0,570,528,37,5,99.1,8.08,-5.81,,-0.37,,0.36,,,,-5.82,-9.64,-6.42,-12.24,-0.593,-1.247,1루수
70,최항,25 1B,,3,0,4.0,5,2,2,1,80.0,9.0,0.31,,-0.5,,0.1,,,,-0.09,-2.73,,,-0.01,,1루수
70,이원석,25 1B,,1,0,2.0,4,4,0,0,100.0,18.0,,,0.0,,,,,,0.0,0.18,,,0.0,,1루수
70,이주형,25 1B,,2,0,2.0,1,1,0,0,100.0,4.5,-0.11,,0.0,,,,,,-0.11,-1.7,,,-0.011,,1루수
70,오명진,25 1B,,1,0,0.2,0,0,0,0,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,,,0.0,,1루수
70,케이브,25 1B,,1,0,1.0,1,1,0,0,100.0,9.0,,,0.0,,,,,,0.0,0.0,,,0.0,,1루수
1,박민우,25 2B,0.957,72,69,542.2,338,141,188,9,97.3,5.46,5.85,,0.02,0.57,,,,,6.44,11.44,2.96,9.4,0.655,0.957,2루수
2,오명진,25 2B,0.462,45,39,336.2,206,92,111,3,98.5,5.43,1.23,,0.96,0.78,,,,,2.97,6.28,1.57,4.54,0.302,0.462,2루수
3,강승호,25 2B,0.411,25,24,199.1,120,63,56,1,99.2,5.37,3.41,,0.57,-0.85,,,,,3.12,5.91,0.92,4.04,0.318,0.411,2루수
4,천성호,25 2B,0.411,1,0,154.1,101,36,63,2,98.0,5.77,2.78,,-0.07,0.61,,,,,3.31,10.15,0.72,4.03,0.337,0.411,2루수
5,김상수,25 2B,0.349,53,49,402.1,233,84,147,2,99.1,5.17,0.29,,0.63,0.53,,,,,1.45,3.17,1.98,3.43,0.148,0.349,2루수
6,홍종표,25 2B,0.318,32,8,115.2,68,28,40,0,100.0,5.29,2.18,,0.33,0.16,,,,,2.67,8.72,0.46,3.13,0.271,0.318,2루수
7,한태양,25 2B,0.245,30,20,178.1,96,43,52,1,99.0,4.79,1.32,,0.51,-0.23,,,,,1.6,3.83,0.81,2.41,0.162,0.245,2루수
8,류지혁,25 2B,0.234,74,63,542.2,285,122,162,1,99.6,4.71,-1.67,,1.54,-0.16,,,,,-0.28,-0.48,2.58,2.3,-0.029,0.234,2루수
9,여동건,25 2B,0.222,6,4,38.0,30,11,18,1,96.7,6.87,1.66,,0.11,0.28,,,,,2.05,26.81,0.13,2.18,0.209,0.222,2루수
10,송성문,25 2B,0.202,24,23,187.0,118,54,63,1,99.2,5.63,0.73,,0.53,-0.28,,,,,0.98,1.51,1.01,1.99,0.099,0.202,2루수
11,송지후,25 2B,0.192,23,20,170.1,102,43,58,1,99.0,5.34,1.4,,0.48,-0.66,,,,,1.23,7.36,0.66,1.89,0.125,0.192,2루수
12,양도근,25 2B,0.185,31,13,128.1,81,37,43,1,98.8,5.61,1.08,,-0.14,0.35,,,,,1.28,2.46,0.54,1.82,0.13,0.185,2루수
13,손호영,25 2B,0.18,5,5,40.0,27,12,15,0,100.0,6.08,1.45,,0.11,,,,,,1.57,4.25,0.2,1.77,0.159,0.18,2루수
14,김규성,25 2B,0.157,45,18,200.2,107,45,60,2,98.1,4.71,0.26,,0.57,-0.03,,,,,0.8,1.38,0.74,1.54,0.081,0.157,2루수
15,전태현,25 2B,0.149,34,24,213.0,115,44,68,3,97.4,4.73,1.24,,-0.92,0.24,,,,,0.56,1.36,0.91,1.47,0.057,0.149,2루수
16,이유찬,25 2B,0.146,6,4,40.0,26,12,14,0,100.0,5.85,0.82,,0.11,0.35,,,,,1.29,4.52,0.15,1.44,0.131,0.146,2루수
17,박민,25 2B,0.144,17,13,95.0,59,17,40,2,96.6,5.4,1.46,,-0.24,-0.19,,,,,1.03,5.5,0.38,1.41,0.105,0.144,2루수
18,서건창,25 2B,0.116,7,4,34.0,23,11,12,0,100.0,6.09,0.95,,0.1,-0.06,,,,,0.98,14.18,0.15,1.13,0.1,0.116,2루수
19,최정용,25 2B,0.114,3,2,17.0,10,4,6,0,100.0,5.29,0.73,,0.05,0.28,,,,,1.07,38.39,0.05,1.12,0.109,0.114,2루수
20,전병우,25 2B,0.106,6,3,17.0,11,7,4,0,100.0,5.82,0.9,,0.05,,,,,,0.95,3.18,0.09,1.04,0.097,0.106,2루수
21,박승욱,25 2B,0.105,14,0,21.0,16,5,11,0,100.0,6.86,0.73,,0.06,0.21,,,,,1.0,4.37,0.03,1.03,0.102,0.105,2루수
22,김태진,25 2B,0.092,30,19,187.0,111,44,66,1,99.1,5.29,-1.2,,0.53,0.75,,,,,0.07,0.18,0.83,0.9,0.008,0.092,2루수
23,서유신,25 2B,0.085,2,2,17.0,7,3,4,0,100.0,3.71,0.73,,0.05,,,,,,0.78,18.61,0.06,0.84,0.079,0.085,2루수
24,김민성,25 2B,0.081,12,10,81.0,39,17,22,0,100.0,4.33,0.52,,0.23,-0.35,,,,,0.39,0.91,0.4,0.79,0.04,0.081,2루수
25,이도윤,25 2B,0.073,43,30,239.2,119,43,76,0,100.0,4.47,-1.66,,0.68,0.67,,,,,-0.31,-0.64,1.02,0.71,-0.031,0.073,2루수
26,구본혁,25 2B,0.066,26,19,162.0,88,39,48,1,98.9,4.83,-0.67,,-0.05,0.67,,,,,-0.05,-0.09,0.7,0.65,-0.005,0.066,2루수
27,김성현,25 2B,0.053,12,7,61.2,41,17,23,1,97.6,5.84,1.02,,-0.33,-0.46,,,,,0.23,1.07,0.29,0.52,0.023,0.053,2루수
28,이선우,25 2B,0.042,2,1,11.0,7,4,3,0,100.0,5.73,0.35,,0.03,,,,,,0.38,7.75,0.04,0.42,0.038,0.042,2루수
29,박계범,25 2B,0.042,15,11,100.0,49,25,24,0,100.0,4.41,0.47,,0.28,-0.85,,,,,-0.1,-0.28,0.51,0.41,-0.01,0.042,2루수
30,김찬형,25 2B,0.041,5,3,21.2,7,3,4,0,100.0,2.91,0.27,,0.06,,,,,,0.33,1.38,0.07,0.4,0.034,0.041,2루수
31,오선진,25 2B,0.04,7,3,29.0,17,8,8,1,94.1,4.97,0.21,,0.08,-0.01,,,,,0.28,0.62,0.12,0.4,0.028,0.04,2루수
32,고승민,25 2B,0.033,54,52,406.2,232,78,150,4,98.3,5.05,-2.89,,0.14,0.72,,,,,-2.03,-4.11,2.35,0.32,-0.206,0.033,2루수
33,전민재,25 2B,0.031,4,2,19.0,11,7,4,0,100.0,5.21,0.36,,0.05,-0.18,,,,,0.23,0.44,0.07,0.3,0.024,0.031,2루수
34,박민석,25 2B,0.014,5,2,12.0,9,4,4,1,88.9,6.0,0.21,,0.03,-0.15,,,,,0.09,0.7,0.05,0.14,0.009,0.014,2루수
35,최정원,25 2B,0.011,18,6,76.0,40,17,23,0,100.0,4.74,-0.03,,0.22,-0.35,,,,,-0.17,-0.48,0.28,0.11,-0.017,0.011,2루수
36,김병휘,25 2B,0.011,2,0,4.2,2,1,1,0,100.0,3.86,0.08,,0.01,,,,,,0.1,3.51,0.01,0.11,0.01,0.011,2루수
37,이호준,25 2B,0.008,25,1,48.1,23,7,16,0,100.0,4.28,0.02,,0.14,-0.18,,,,,-0.02,-0.04,0.1,0.08,-0.002,0.008,2루수
38,장준원,25 2B,0.005,4,2,18.1,11,4,7,0,100.0,5.4,-0.08,,0.05,,,,,,-0.03,-0.18,0.08,0.05,-0.003,0.005,2루수
39,정준재,25 2B,0.002,78,66,598.1,335,137,191,7,97.9,4.93,-0.89,,-1.85,0.03,,,,,-2.71,-4.65,2.73,0.02,-0.276,0.002,2루수
40,최항,25 2B,0.0,1,0,1.0,1,1,0,0,100.0,9.0,-0.01,,0.0,,,,,,-0.01,-0.15,0.01,0.0,-0.001,0.0,2루수
41,권혁빈,25 2B,-0.01,2,2,11.0,7,3,4,0,100.0,5.73,-0.14,,0.03,-0.03,,,,,-0.14,-4.97,0.04,-0.1,-0.014,-0.01,2루수
42,심재훈,25 2B,-0.014,15,7,77.0,33,13,20,0,100.0,3.86,-0.67,,0.22,0.0,,,,,-0.45,-2.84,0.32,-0.13,-0.046,-0.014,2루수
43,오윤석,25 2B,-0.015,35,15,161.0,90,40,49,1,98.9,4.98,-0.09,,-0.05,-0.64,,,,,-0.79,-2.06,0.64,-0.15,-0.08,-0.015,2루수
44,권동진,25 2B,-0.019,4,2,24.0,13,4,9,0,100.0,4.88,-0.34,,0.07,,,,,,-0.27,-0.5,0.09,-0.18,-0.028,-0.019,2루수
45,김주성,25 2B,-0.025,2,0,3.0,0,0,0,0,0.0,0.0,-0.26,,0.01,,,,,,-0.25,-2.79,0.01,-0.24,-0.026,-0.025,2루수
46,김한별,25 2B,-0.037,13,4,40.2,21,5,16,0,100.0,4.65,-0.62,,0.12,,,,,,-0.51,-1.7,0.14,-0.37,-0.052,-0.037,2루수
47,하주석,25 2B,-0.041,9,9,60.1,21,8,13,0,100.0,3.13,-0.93,,0.17,0.05,,,,,-0.71,-1.96,0.31,-0.4,-0.072,-0.041,2루수
48,이영빈,25 2B,-0.057,12,5,48.0,32,11,21,0,100.0,6.0,-0.92,,0.14,-0.01,,,,,-0.8,-2.95,0.24,-0.56,-0.081,-0.057,2루수
49,도태훈,25 2B,-0.061,11,4,45.0,30,10,19,1,96.7,5.8,-0.91,,0.13,,,,,,-0.79,-2.9,0.19,-0.6,-0.08,-0.061,2루수
50,박준순,25 2B,-0.081,10,4,41.0,28,11,16,1,96.4,5.93,-0.82,,-0.39,0.28,,,,,-0.92,-3.16,0.13,-0.79,-0.094,-0.081,2루수
51,안치홍,25 2B,-0.082,5,5,35.0,21,5,15,1,95.2,5.14,-0.8,,0.1,-0.26,,,,,-0.96,-3.44,0.15,-0.81,-0.097,-0.082,2루수
52,김준상,25 2B,-0.102,7,4,37.0,15,4,11,0,100.0,3.65,-1.27,,0.1,,,,,,-1.16,-18.59,0.16,-1.0,-0.118,-0.102,2루수
53,안상현,25 2B,-0.104,8,7,59.0,36,10,25,1,97.2,5.34,-1.15,,-0.34,0.21,,,,,-1.28,-3.41,0.26,-1.02,-0.13,-0.104,2루수
54,김선빈,25 2B,-0.114,31,30,225.0,110,44,62,4,96.4,4.24,-0.88,,-0.38,-1.1,,,,,-2.36,-9.43,1.24,-1.12,-0.24,-0.114,2루수
55,황영묵,25 2B,-0.12,78,47,473.1,240,85,150,5,97.9,4.47,-2.07,,-0.69,-0.46,,,,,-3.22,-5.72,2.04,-1.18,-0.328,-0.12,2루수
56,오태양,25 2B,-0.137,2,0,3.0,2,1,0,1,50.0,3.0,-0.85,,-0.5,,,,,,-1.35,-24.31,0.01,-1.34,-0.138,-0.137,2루수
57,윤도현,25 2B,-0.152,15,15,110.0,58,22,31,5,91.4,4.34,-2.88,,-0.2,0.95,,,,,-2.13,-16.15,0.64,-1.49,-0.217,-0.152,2루수
58,안주형,25 2B,-0.169,4,4,26.0,13,5,7,1,92.3,4.15,-1.16,,-0.43,-0.19,,,,,-1.78,-42.82,0.12,-1.66,-0.182,-0.169,2루수
59,박찬형,25 2B,-0.186,5,3,28.1,24,10,12,2,91.7,6.99,-1.05,,-0.93,0.0,,,,,-1.98,-15.02,0.15,-1.83,-0.202,-0.186,2루수
60,강민성,25 2B,-0.19,12,5,57.2,37,16,21,0,100.0,5.77,-1.89,,0.16,-0.34,,,,,-2.07,-14.9,0.2,-1.87,-0.211,-0.19,2루수
61,석정우,25 2B,-0.195,9,7,57.0,32,13,17,2,93.8,4.74,-2.04,,-0.35,0.21,,,,,-2.17,-14.2,0.25,-1.92,-0.221,-0.195,2루수
62,서호철,25 2B,-0.211,9,4,49.2,30,14,15,1,96.7,5.26,-1.71,,-0.37,-0.21,,,,,-2.29,-5.68,0.22,-2.07,-0.233,-0.211,2루수
63,신민재,25 2B,-0.471,81,68,597.1,340,141,191,8,97.6,5.0,-4.48,,-2.37,-0.66,,,,,-7.5,-13.02,2.88,-4.62,-0.764,-0.471,2루수
64,이승현,25 2B,,2,0,3.0,0,0,0,0,0.0,0.0,0.0,,0.01,,,,,,0.01,0.22,,,0.001,,2루수
64,박경수,25 2B,,1,0,0.2,0,0,0,0,0.0,0.0,-0.01,,0.0,,,,,,-0.01,-0.86,,,-0.001,,2루수
64,이태경,25 2B,,1,0,1.0,0,0,0,0,0.0,0.0,0.0,,0.0,,,,,,0.0,0.33,,,0.0,,2루수
64,홍대인,25 2B,,1,0,1.0,1,0,1,0,100.0,9.0,0.19,,0.0,,,,,,0.19,3.38,,,0.019,,2루수
64,고영우,25 2B,,1,0,2.0,0,0,0,0,0.0,0.0,0.0,,0.01,,,,,,0.0,0.04,,,0.0,,2루수
64,양우현,25 2B,,1,0,2.0,0,0,0,0,0.0,0.0,-0.13,,0.01,,,,,,-0.12,-8.7,,,-0.012,,2루수
64,김태윤,25 2B,,2,0,2.0,1,0,1,0,100.0,4.5,0.19,,0.01,,,,,,0.2,5.73,,,0.02,,2루수
1,김영웅,25 3B,0.475,67,63,533.2,162,46,108,8,95.1,2.6,4.05,,0.43,0.23,-0.04,,,,4.66,9.19,0.0,4.66,0.475,0.475,3루수
2,송성문,25 3B,0.422,65,62,543.0,185,69,108,8,95.7,2.93,3.76,,0.46,-0.57,0.49,,,,4.14,6.42,0.0,4.14,0.422,0.422,3루수
3,오선진,25 3B,0.392,20,9,93.0,27,5,22,0,100.0,2.61,2.88,,0.34,0.62,,,,,3.85,8.65,0.0,3.85,0.392,0.392,3루수
4,서호철,25 3B,0.349,16,9,91.0,29,9,18,2,93.1,2.67,2.73,,0.33,0.66,-0.3,,,,3.43,8.52,0.0,3.43,0.349,0.349,3루수
5,임종성,25 3B,0.332,32,26,212.0,57,22,33,2,96.5,2.33,2.32,,0.27,0.78,-0.11,,,,3.26,14.21,0.0,3.26,0.332,0.332,3루수
6,구본혁,25 3B,0.31,35,15,146.1,34,10,24,0,100.0,2.09,1.42,,0.54,0.37,0.72,,,,3.05,5.17,0.0,3.05,0.31,0.31,3루수
7,김도영,25 3B,0.293,22,22,180.0,51,9,39,3,94.1,2.4,2.42,,-0.36,0.88,-0.07,,,,2.88,15.36,0.0,2.88,0.293,0.293,3루수
8,위즈덤,25 3B,0.279,36,36,267.2,82,22,57,3,96.3,2.66,2.51,,-0.04,0.19,0.08,,,,2.74,5.64,0.0,2.74,0.279,0.279,3루수
9,변우혁,25 3B,0.232,29,24,213.0,69,17,48,4,94.2,2.75,2.18,,0.27,-0.15,-0.02,,,,2.28,8.21,0.0,2.28,0.232,0.232,3루수
10,김찬형,25 3B,0.164,28,20,167.1,55,15,37,3,94.5,2.8,1.5,,-0.91,0.87,0.14,,,,1.61,6.61,0.0,1.61,0.164,0.164,3루수
11,강민성,25 3B,0.145,6,0,9.0,6,2,4,0,100.0,6.0,1.11,,0.03,0.28,,,,,1.43,10.27,0.0,1.43,0.145,0.145,3루수
12,전병우,25 3B,0.142,32,12,119.2,28,9,19,0,100.0,2.11,0.7,,0.44,0.21,0.04,,,,1.39,4.66,0.0,1.39,0.142,0.142,3루수
13,강승호,25 3B,0.138,30,29,244.0,82,24,53,5,93.9,2.84,1.85,,-0.63,-0.34,0.48,,,,1.36,2.57,0.0,1.36,0.138,0.138,3루수
14,문정빈,25 3B,0.135,9,2,26.0,4,0,4,0,100.0,1.38,1.14,,0.1,0.09,,,,,1.32,9.07,0.0,1.32,0.135,0.135,3루수
15,여동건,25 3B,0.059,1,0,2.0,1,0,1,0,100.0,4.5,0.57,,0.01,,,,,,0.58,7.57,0.0,0.58,0.059,0.059,3루수
16,김민수,25 3B,0.057,6,0,13.0,4,0,4,0,100.0,2.77,0.51,,0.05,,,,,,0.56,6.22,0.0,0.56,0.057,0.057,3루수
17,송지후,25 3B,0.056,1,0,3.0,1,0,1,0,100.0,3.0,0.54,,0.01,,,,,,0.55,3.3,0.0,0.55,0.056,0.056,3루수
18,박준순,25 3B,0.054,26,23,208.0,85,18,58,9,89.4,3.29,1.06,,-0.76,0.08,0.15,,,,0.53,1.8,0.0,0.53,0.054,0.054,3루수
19,홍종표,25 3B,0.05,7,3,29.0,10,4,6,0,100.0,3.1,0.39,,0.11,,,,,,0.49,1.62,0.0,0.49,0.05,0.05,3루수
20,박승욱,25 3B,0.05,5,2,19.0,5,1,4,0,100.0,2.37,0.42,,0.07,0.0,,,,,0.49,2.14,0.0,0.49,0.05,0.05,3루수
