Rank,Name,Team,Sort▼,G,GS,IP,TC,PO,Ass,E,F%,RF9,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼,포지션
Rank,Name,Team,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼,
12,권동진,25 SS,0.297,75,61,509.0,284,109,162,13,95.4,4.79,1.54,,-1.24,-1.67,,,,,-1.36,-2.51,4.28,2.92,-0.138,0.297,유격수
13,이도윤,25 SS,0.294,27,10,132.0,63,24,37,2,96.8,4.16,2.19,,0.73,-1.15,,,,,1.77,3.7,1.12,2.89,0.18,0.294,유격수
14,오명진,25 SS,0.239,16,15,128.1,69,28,39,2,97.1,4.7,2.62,,-0.3,-1.21,,,,,1.11,2.34,1.24,2.35,0.113,0.239,유격수
15,김한별,25 SS,0.208,12,1,34.0,21,6,14,1,95.2,5.29,1.59,,-0.32,0.52,,,,,1.8,6.02,0.24,2.04,0.183,0.208,유격수
16,김성현,25 SS,0.128,4,2,19.0,10,2,8,0,100.0,4.74,0.99,,0.11,,,,,,1.1,5.09,0.16,1.26,0.112,0.128,유격수
17,윤준혁,25 SS,0.111,4,0,11.0,4,0,4,0,100.0,3.27,0.54,,0.06,0.41,,,,,1.01,7.25,0.08,1.09,0.103,0.111,유격수
18,박민석,25 SS,0.074,11,3,43.1,19,7,11,1,94.7,3.74,-0.41,,0.24,0.58,,,,,0.41,3.08,0.32,0.73,0.041,0.074,유격수
19,양우현,25 SS,0.055,1,1,4.0,2,0,2,0,100.0,4.5,0.5,,0.02,,,,,,0.52,37.24,0.02,0.54,0.053,0.055,유격수
20,박민,25 SS,0.053,3,0,6.0,4,0,4,0,100.0,6.0,0.66,,0.03,-0.19,,,,,0.5,2.68,0.02,0.52,0.051,0.053,유격수
21,박준순,25 SS,0.035,4,1,16.0,10,3,6,1,90.0,5.06,-0.8,,0.09,0.95,,,,,0.24,0.82,0.1,0.34,0.024,0.035,유격수
22,안주형,25 SS,0.022,3,0,6.0,4,1,3,0,100.0,6.0,-0.18,,0.03,0.31,,,,,0.16,3.82,0.06,0.22,0.016,0.022,유격수
23,황재균,25 SS,0.022,1,0,1.0,1,0,1,0,100.0,9.0,0.19,,0.01,,,,,,0.19,0.46,0.02,0.21,0.02,0.022,유격수
24,김준상,25 SS,0.003,1,0,1.0,0,0,0,0,0.0,0.0,,,0.01,,,,,,0.01,0.09,0.02,0.03,0.001,0.003,유격수
25,김민수,25 SS,0.003,1,0,1.0,0,0,0,0,0.0,0.0,0.0,,0.01,,,,,,0.0,0.05,0.02,0.02,0.0,0.003,유격수
26,김도영,25 SS,0.0,1,0,2.0,0,0,0,0,0.0,0.0,-0.03,,0.01,,,,,,-0.02,-0.12,0.02,0.0,-0.002,0.0,유격수
27,전민재,25 SS,-0.018,69,65,540.1,236,78,146,12,94.9,3.73,-4.2,,-1.57,0.47,,,,,-5.3,-9.91,5.12,-0.18,-0.54,-0.018,유격수
28,송지후,25 SS,-0.032,1,0,2.0,1,1,0,0,100.0,4.5,-0.34,,0.01,,,,,,-0.33,-1.99,0.02,-0.31,-0.034,-0.032,유격수
29,김병휘,25 SS,-0.032,2,0,4.0,2,0,2,0,100.0,4.5,-0.21,,0.02,-0.15,,,,,-0.34,-12.13,0.02,-0.32,-0.034,-0.032,유격수
30,박승욱,25 SS,-0.033,13,7,61.1,33,12,19,2,93.9,4.55,-1.37,,0.34,0.25,,,,,-0.78,-3.42,0.46,-0.32,-0.08,-0.033,유격수
31,이유찬,25 SS,-0.036,32,29,261.0,133,45,84,4,97.0,4.45,-2.33,,-0.07,-0.37,,,,,-2.78,-9.76,2.42,-0.36,-0.283,-0.036,유격수
32,박계범,25 SS,-0.037,18,8,78.2,35,11,22,2,94.3,3.78,-1.04,,-0.07,0.13,,,,,-0.99,-2.84,0.62,-0.37,-0.1,-0.037,유격수
33,박준영,25 SS,-0.048,38,34,287.0,137,54,75,8,94.2,4.05,-1.53,,-1.96,0.52,,,,,-2.97,-10.42,2.5,-0.47,-0.302,-0.048,유격수
34,신민재,25 SS,-0.049,1,0,6.0,2,0,2,0,100.0,3.0,-0.58,,0.03,,,,,,-0.55,-0.95,0.06,-0.49,-0.056,-0.049,유격수
35,이호준,25 SS,-0.05,35,19,196.0,87,27,54,6,93.1,3.72,-1.4,,-1.45,0.82,,,,,-2.03,-4.88,1.54,-0.49,-0.207,-0.05,유격수
36,박지훈,25 SS,-0.052,5,1,18.0,8,2,5,1,87.5,3.5,-0.71,,0.1,-0.02,,,,,-0.63,-3.61,0.12,-0.51,-0.064,-0.052,유격수
37,이영빈,25 SS,-0.052,8,1,18.0,6,1,5,0,100.0,3.0,-0.22,,0.1,-0.56,,,,,-0.67,-2.49,0.16,-0.51,-0.069,-0.052,유격수
38,김찬형,25 SS,-0.07,4,0,5.0,6,2,3,1,83.3,9.0,-1.04,,0.03,0.31,,,,,-0.71,-2.91,0.02,-0.69,-0.072,-0.07,유격수
