Rank,Name,Team,Sort▼,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,비율,비율,비율,비율,비율,비율,WAR▼
Rank,Name,Team,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR▼
24,장두성,25 CF,1.01,71,0.40,0.62,211,204,183,40,52,3,2,0,59,23,11,4,16,3,0,45,3,7,2,0.284,0.348,0.322,0.670,0.106,85.3,1.01
25,최지훈,25 CF,0.92,88,1.09,-0.17,385,383,347,43,93,11,3,3,119,27,21,5,30,3,1,61,0,1,4,0.268,0.328,0.343,0.671,0.101,85.0,0.92
26,이원석,25 RF,0.91,75,0.13,0.78,124,122,107,35,21,1,0,4,34,14,15,2,12,3,0,29,4,2,0,0.196,0.295,0.318,0.613,0.086,70.6,0.91
27,최정원,25 CF,0.90,50,1.02,-0.13,92,90,67,22,18,2,0,0,20,3,19,2,12,11,0,11,0,2,0,0.269,0.456,0.299,0.755,0.168,143.6,0.90
28,홍창기,25 RF,0.79,38,0.82,-0.03,169,167,134,24,36,3,0,1,42,15,2,0,24,6,0,35,4,2,3,0.269,0.395,0.313,0.708,0.136,119.0,0.79
29,에레디아,25 LF,0.73,45,0.32,0.41,201,198,180,19,50,4,0,4,66,19,1,0,19,1,3,26,4,0,1,0.278,0.348,0.367,0.715,0.112,96.3,0.73
30,김인태,25 LF,0.59,62,0.63,-0.04,112,112,91,8,22,5,0,2,33,11,0,0,18,2,0,27,1,0,1,0.242,0.375,0.363,0.738,0.142,122.6,0.59
Rank,Name,Team,Sort▼,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,비율,비율,비율,비율,비율,비율,WAR▼
Rank,Name,Team,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR▼
31,고종욱,25 LF,0.59,24,0.36,0.23,70,69,63,8,21,2,0,2,29,10,2,0,5,0,1,9,0,0,2,0.333,0.371,0.460,0.831,0.143,123.0,0.59
32,이성규,25 RF,0.55,40,0.16,0.39,91,90,72,8,13,3,1,3,27,13,2,1,10,6,0,33,1,1,2,0.181,0.322,0.375,0.697,0.118,95.0,0.55
33,최원영,25 LF,0.54,71,0.01,0.53,55,54,50,23,14,2,0,0,16,1,7,2,0,3,0,11,2,1,1,0.280,0.315,0.320,0.635,0.078,68.4,0.54
34,황성빈,25 CF,0.37,33,0.59,-0.22,145,144,135,20,41,3,2,0,48,12,13,2,7,2,0,19,2,1,0,0.304,0.347,0.356,0.703,0.111,92.4,0.37
35,박정우,25 CF,0.37,38,0.34,0.02,61,61,50,11,14,2,0,0,16,4,1,1,9,2,0,11,1,0,0,0.280,0.410,0.320,0.730,0.146,126.7,0.37
36,주성원,25 RF,0.35,22,0.22,0.13,76,76,67,11,19,2,0,0,21,4,1,0,7,2,0,16,2,0,0,0.284,0.368,0.313,0.681,0.116,107.3,0.35
